TotalEnvSteps,MetaTest/Average/NumTrajs,MetaTest/stick-pull-v1/TerminationRate,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTest/stick-pull-v1/AverageDiscountedReturn,MetaTest/stick-pull-v1/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/stick-pull-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/stick-pull-v1/SuccessRate,MetaTest/stick-pull-v1/Iteration,MetaTest/stick-pull-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/stick-pull-v1/NumTrajs,MetaTest/stick-pull-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha
224000,10,0.0,0,6.7306137,3.4856904572135297,0.0,8.691932,-3.7426565,1.5628065,-18.49486588677924,-14.621790620496895,0.0,-18.494865886779245,-14.621790620496895,-25.20676082748134,0.0,0,-25.20676082748134,-18.49486588677924,10,3.4856904572135297,-18.494865886779245,nan
248000,10,0.0,1,6.7204695,1.9056983239034042,0.0,8.176475,-7.2232533,2.3475668,-19.78747498805638,-17.101905078149013,0.0,-19.78747498805638,-17.101905078149013,-23.28990810900566,0.0,1,-23.28990810900566,-19.78747498805638,10,1.9056983239034042,-19.78747498805638,nan
272000,10,0.0,2,6.701498,6.170608776155017,0.0,7.9426746,-9.179428,6.4081845,-14.906984556642886,-8.786919079945086,0.0,-14.906984556642886,-8.786919079945086,-27.74187323913043,0.0,2,-27.74187323913043,-14.906984556642886,10,6.170608776155017,-14.906984556642886,nan
296000,10,0.0,3,6.678717,1.2665726798492816,0.0,7.934054,-10.280971,7.212885,-12.187099118719859,-10.804358827068162,0.0,-12.187099118719855,-10.804358827068162,-14.686535889908926,0.0,3,-14.686535889908926,-12.187099118719859,10,1.2665726798492816,-12.187099118719855,nan
320000,10,0.0,4,6.6491055,2.8579438692847683,0.0,7.9535193,-14.362733,8.79277,-11.455675730545698,-7.950897554336023,0.0,-11.455675730545702,-7.950897554336023,-15.589004206374291,0.0,4,-15.589004206374291,-11.455675730545698,10,2.8579438692847683,-11.455675730545702,nan
344000,10,0.0,5,6.6146445,2.671294073615809,0.0,7.878771,-19.602127,10.235477,-11.592755923846278,-7.286368362545503,0.0,-11.592755923846278,-7.286368362545503,-16.80504059320571,0.0,5,-16.80504059320571,-11.592755923846278,10,2.671294073615809,-11.592755923846278,nan
368000,10,0.0,6,6.57684,3.1747077001218083,0.0,8.147782,-25.818058,12.30229,-10.290270247288685,-7.643044220927127,0.0,-10.290270247288685,-7.643044220927127,-16.19428518641303,0.0,6,-16.19428518641303,-10.290270247288685,10,3.1747077001218083,-10.290270247288685,nan
392000,10,0.0,7,6.5434375,2.586106259751779,0.0,8.109992,-33.152855,15.201303,-10.047765377630778,-7.172627564186822,0.0,-10.047765377630776,-7.172627564186822,-14.027731537943087,0.0,7,-14.027731537943087,-10.047765377630778,10,2.586106259751779,-10.047765377630776,nan
416000,10,0.0,8,6.522083,1.7246939397409087,0.0,13908.815,-28.82226,56.582508,-8.591164053005267,-6.241597167436802,0.0,-8.591164053005263,-6.241597167436802,-11.60229186974401,0.0,8,-11.60229186974401,-8.591164053005267,10,1.7246939397409087,-8.591164053005263,nan
440000,10,0.0,9,6.5035305,1.9259494569857531,0.0,3271.635,-29.723696,52.261845,-8.242470445972149,-5.734614471479705,0.0,-8.24247044597215,-5.734614471479705,-12.8655858550607,0.0,9,-12.8655858550607,-8.242470445972149,10,1.9259494569857531,-8.24247044597215,nan
464000,10,0.0,10,6.452483,1.5471243399341195,0.0,138.56056,-48.657978,236.65665,-11.385395785471395,-9.284014966530222,0.0,-11.385395785471392,-9.284014966530222,-13.576143305278013,0.0,10,-13.576143305278013,-11.385395785471395,10,1.5471243399341195,-11.385395785471392,nan
488000,10,0.0,11,6.437215,1.7010527517409473,0.0,7.784108,-57.805954,359.91022,-17.96184979067705,-15.440763857205873,0.0,-17.961849790677054,-15.440763857205873,-19.85025376983596,0.0,11,-19.85025376983596,-17.96184979067705,10,1.7010527517409473,-17.961849790677054,nan
512000,10,0.0,12,6.437426,3.47691736147776,0.0,7.6246185,-57.231808,1137.6768,-19.670267128296523,-15.678672551246565,0.0,-19.67026712829652,-15.678672551246565,-25.605741223356514,0.0,12,-25.605741223356514,-19.670267128296523,10,3.47691736147776,-19.67026712829652,nan
536000,10,0.0,13,6.165581,3.7570536659514397,0.0,7.624718,-60.088314,3429.124,-9.486348227076911,-0.6110098976957283,0.0,-9.486348227076911,-0.6110098976957283,-14.045958653507181,0.0,13,-14.045958653507181,-9.486348227076911,10,3.7570536659514397,-9.486348227076911,nan
560000,10,0.0,14,5.4962473,6.361470481914395,0.0,7.6277657,-83.256035,10154.067,-13.003283950500157,-5.070164238219768,0.0,-13.003283950500157,-5.070164238219768,-29.93203772594572,0.0,14,-29.93203772594572,-13.003283950500157,10,6.361470481914395,-13.003283950500157,nan
584000,10,0.0,15,3.6396837,700.6157337086788,0.0,7.7086864,-366.59506,86454.58,727.8329585437582,1832.2827047765477,0.0,727.8329585437583,1832.2827047765477,-22.08714371923696,0.0,15,-22.08714371923696,727.8329585437582,10,700.6157337086788,727.8329585437583,nan
608000,10,0.0,16,0.86962086,2.6236700113617553,0.0,7.86974,-1325.6405,380983.8,-19.91234270966448,-16.448573550489936,0.0,-19.91234270966448,-16.448573550489936,-23.806858957859024,0.0,16,-23.806858957859024,-19.91234270966448,10,2.6236700113617553,-19.91234270966448,nan
632000,10,0.0,17,-3.5084622,48.16329804863006,0.0,7.7840085,-3880.1619,952740.8,-58.08655738401918,0.6461193910072656,0.0,-58.08655738401924,0.6461193910072656,-121.49603459087199,0.0,17,-121.49603459087199,-58.08655738401918,10,48.16329804863006,-58.08655738401924,nan
656000,10,0.0,18,-9.574666,11.944932698046571,0.0,7.989032,-9616.104,1292648.9,-24.705689402287792,-13.315727709611613,0.0,-24.705689402287796,-13.315727709611613,-49.230638991944986,0.0,18,-49.230638991944986,-24.705689402287792,10,11.944932698046571,-24.705689402287796,nan
680000,10,0.0,19,-15.314043,89.63629477426385,0.0,8.475351,-21015.748,1378042.9,6.597457950057191,275.43832858194787,0.0,6.597457950057193,275.43832858194787,-26.546274195431096,0.0,19,-26.546274195431096,6.597457950057191,10,89.63629477426385,6.597457950057193,nan
704000,10,0.0,20,-19.186192,6.766302750214173,0.0,25.98227,-34937.293,1138167.5,-25.60128877881035,-16.315325885659536,0.0,-25.601288778810357,-16.315325885659536,-37.141729060294374,0.0,20,-37.141729060294374,-25.60128877881035,10,6.766302750214173,-25.601288778810357,nan
728000,10,0.0,21,-18.834253,11.563511398276516,0.0,64.6197,-42109.793,880934.4,-22.413684845613922,-15.683325035360486,0.0,-22.413684845613922,-15.683325035360486,-56.6109445862532,0.0,21,-56.6109445862532,-22.413684845613922,10,11.563511398276516,-22.413684845613922,nan
752000,10,0.0,22,-16.592894,4.668338554006536,0.0,137.62581,-44059.855,1119491.4,-17.130389848655007,-8.95843615189306,0.0,-17.130389848655,-8.95843615189306,-24.31019885202947,0.0,22,-24.31019885202947,-17.130389848655007,10,4.668338554006536,-17.130389848655,nan
776000,10,0.0,23,-18.830704,4.4185476065349825,0.0,161.78981,-65603.19,1227811.6,-22.913264987118865,-16.396423914026606,0.0,-22.91326498711886,-16.396423914026606,-29.059101792463796,0.0,23,-29.059101792463796,-22.913264987118865,10,4.4185476065349825,-22.91326498711886,nan
800000,10,0.0,24,-11.382289,8.300937684007929,0.0,141.4652,-41812.81,395457.84,-28.929907288631558,-21.601803542481708,0.0,-28.929907288631558,-21.601803542481708,-46.51799320009028,0.0,24,-46.51799320009028,-28.929907288631558,10,8.300937684007929,-28.929907288631558,nan
824000,10,0.0,25,-8.243363,7.7963024046218425,0.0,123.87397,-34370.395,288168.38,-26.356452825919497,-16.156205278890727,0.0,-26.356452825919497,-16.156205278890727,-42.63267832411303,0.0,25,-42.63267832411303,-26.356452825919497,10,7.7963024046218425,-26.356452825919497,nan
848000,10,0.0,26,-6.46019,13.012227573660374,0.0,119.6927,-29202.988,352532.1,-28.934336311569115,-17.740873440747016,0.0,-28.934336311569126,-17.740873440747016,-54.47268522278426,0.0,26,-54.47268522278426,-28.934336311569115,10,13.012227573660374,-28.934336311569126,nan
872000,10,0.0,27,-5.402117,17.913620004963942,0.0,175.98146,-19510.785,342587.47,-76.64956045074614,-32.40596733764733,0.0,-76.64956045074616,-32.40596733764733,-100.4790710617513,0.0,27,-100.4790710617513,-76.64956045074614,10,17.913620004963942,-76.64956045074616,nan
896000,10,0.0,28,-6.834004,26.207624914759666,0.0,196.78209,-14403.247,312438.03,-39.71354346331942,-17.38350127641901,0.0,-39.713543463319404,-17.38350127641901,-90.36701480846985,0.0,28,-90.36701480846985,-39.71354346331942,10,26.207624914759666,-39.713543463319404,nan
920000,10,0.0,29,-6.9417367,42.44278405111071,0.0,289.19,-12590.836,274540.16,-75.44730316150367,-20.720521937459328,0.0,-75.44730316150367,-20.720521937459328,-122.72589254264314,0.0,29,-122.72589254264314,-75.44730316150367,10,42.44278405111071,-75.44730316150367,nan
944000,10,0.0,30,-3.6240518,25.17382055651865,0.0,209.95163,-8313.435,250622.81,-58.39742384059493,-25.31471486626856,0.0,-58.397423840594946,-25.31471486626856,-87.17980068595053,0.0,30,-87.17980068595053,-58.39742384059493,10,25.17382055651865,-58.397423840594946,nan
968000,10,0.0,31,-3.2844222,10.709638896592745,0.0,328.30145,-9561.604,300720.97,-113.87304521925482,-84.34825325245528,0.0,-113.87304521925496,-84.34825325245528,-124.914301296351,0.0,31,-124.914301296351,-113.87304521925482,10,10.709638896592745,-113.87304521925496,nan
992000,10,0.0,32,-4.06743,24.976655590394298,0.0,564.34314,-8622.337,357555.25,-41.451326028219725,-15.262559075515332,0.0,-41.451326028219725,-15.262559075515332,-79.64096401202983,0.0,32,-79.64096401202983,-41.451326028219725,10,24.976655590394298,-41.451326028219725,nan
1016000,10,0.0,33,-5.365761,23.80803516512526,0.0,1020.36316,-9473.946,453781.1,-45.86332640120497,-19.526580244429795,0.0,-45.863326401204986,-19.526580244429795,-101.43704936179276,0.0,33,-101.43704936179276,-45.86332640120497,10,23.80803516512526,-45.863326401204986,nan
1040000,10,0.0,34,-6.2449656,33.41327355021953,0.0,1065.1268,-11309.074,514286.1,-66.54989654246103,-23.002218843448677,0.0,-66.54989654246103,-23.002218843448677,-105.50942288720773,0.0,34,-105.50942288720773,-66.54989654246103,10,33.41327355021953,-66.54989654246103,nan
1064000,10,0.0,35,-4.5966463,27.941008912835137,0.0,2355.38,-8595.021,460059.12,-33.85280270495552,30.48595948578493,0.0,-33.85280270495552,30.48595948578493,-62.803486054498215,0.0,35,-62.803486054498215,-33.85280270495552,10,27.941008912835137,-33.85280270495552,nan
1088000,10,0.0,36,-4.4579797,22.60207083266933,0.0,1245.5554,-9533.432,485521.62,-64.77007185431218,-19.13632581913128,0.0,-64.77007185431216,-19.13632581913128,-93.73477338925488,0.0,36,-93.73477338925488,-64.77007185431218,10,22.60207083266933,-64.77007185431216,nan
1112000,10,0.0,37,-3.8403678,16.871020803306052,0.0,723.6927,-9407.786,549563.5,-45.13201180536213,-16.56819365235825,0.0,-45.13201180536213,-16.56819365235825,-62.20829564032591,0.0,37,-62.20829564032591,-45.13201180536213,10,16.871020803306052,-45.13201180536213,nan
