MetaTest/push-back-v1/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/push-back-v1/SuccessRate,MetaTest/push-back-v1/MinReturn,MetaTest/push-back-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/push-back-v1/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/push-back-v1/MaxReturn,MetaTest/push-back-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/push-back-v1/Iteration,MetaTest/Average/Iteration,MetaTest/push-back-v1/NumEpisodes
-77.90847213433068,0.089061156,-103.00544049759124,8.372901,15.896618839331664,-53.50374053353298,0.0,-103.00544049759124,15.896618839331664,-77.9084721343307,0.0,6.265325,-77.9084721343307,10,-53.50374053353298,0.0,6.0537057,-77.90847213433068,0.0,56000,0.9308303,0,0,10
-63.87666026876836,6.257332,-80.35433418448999,8.877132,11.161495860068777,-45.76773651051257,0.0,-80.35433418448999,11.161495860068777,-63.87666026876834,0.0,5.4409037,-63.87666026876834,10,-45.76773651051257,0.0,5.834296,-63.87666026876836,0.0,62000,0.8088634,1,1,10
-75.53167402607122,14.693498,-86.35315824597737,7.6248593,7.284824209685499,-62.47716026662727,0.0,-86.35315824597737,7.284824209685499,-75.5316740260712,0.0,4.74624,-75.5316740260712,10,-62.47716026662727,0.0,7.8530107,-75.53167402607122,0.0,68000,0.7069072,2,2,10
-45.39292276722148,23.301456,-55.57628345027843,7.639465,7.178939286794166,-28.812097819245793,0.0,-55.57628345027843,7.178939286794166,-45.39292276722145,0.0,4.1465025,-45.39292276722145,10,-28.812097819245793,0.0,9.148313,-45.39292276722148,0.0,74000,0.61989594,3,3,10
-44.97862006974532,32.16436,-74.70028185773013,7.628304,12.734432179967541,-30.953801224811286,0.0,-74.70028185773013,12.734432179967541,-44.97862006974532,0.0,3.6147354,-44.97862006974532,10,-30.953801224811286,0.0,8.875914,-44.97862006974532,0.0,80000,0.5448261,4,4,10
-43.64097309215897,40.237587,-62.84769364102884,7.6335087,8.013115235467167,-32.034323632878476,0.0,-62.84769364102884,8.013115235467167,-43.64097309215898,0.0,3.1364663,-43.64097309215898,10,-32.034323632878476,0.0,9.947473,-43.64097309215897,0.0,86000,0.47940966,5,5,10
-35.211639535102826,46.93414,-42.53837106140261,10.758487,4.799349983483668,-28.249359825773215,0.0,-42.53837106140261,4.799349983483668,-35.21163953510282,0.0,2.7019186,-35.21163953510282,10,-28.249359825773215,0.0,8.627904,-35.211639535102826,0.0,92000,0.42235082,6,6,10
-34.389637652285785,54.77817,-39.41473095659385,7.624042,3.046226346556138,-30.201692312818054,0.0,-39.41473095659385,3.046226346556138,-34.38963765228577,0.0,2.3106472,-34.38963765228577,10,-30.201692312818054,0.0,10.219996,-34.389637652285785,0.0,98000,0.37260878,7,7,10
-32.38507307414089,60.825127,-35.32279190733531,7.6295614,2.093256248959598,-28.80393593645676,0.0,-35.32279190733531,2.093256248959598,-32.385073074140884,0.0,1.967827,-32.385073074140884,10,-28.80393593645676,0.0,10.965214,-32.38507307414089,0.0,104000,0.3292248,8,8,10
-31.866214310380542,66.4587,-35.243865930581016,7.634363,2.007296977724195,-28.124384386731947,0.0,-35.243865930581016,2.007296977724195,-31.866214310380535,0.0,1.669219,-31.866214310380535,10,-28.124384386731947,0.0,11.486056,-31.866214310380542,0.0,110000,0.29108685,9,9,10
-30.17661664140607,71.47103,-35.083835910721504,7.6448035,3.046805635255703,-26.0836450769594,0.0,-35.083835910721504,3.046805635255703,-30.17661664140607,0.0,1.4177029,-30.17661664140607,10,-26.0836450769594,0.0,12.834213,-30.17661664140607,0.0,116000,0.25748006,10,10,10
-31.73214388302531,75.2354,-36.165386109885794,8.583285,1.9699871393845763,-28.331852387080254,0.0,-36.165386109885794,1.9699871393845763,-31.732143883025298,0.0,1.1746624,-31.732143883025298,10,-28.331852387080254,0.0,12.166976,-31.73214388302531,0.0,122000,0.22807308,11,11,10
-31.96480241855091,79.72842,-35.64848615436541,7.620964,2.766085262291278,-27.752141589351695,0.0,-35.64848615436541,2.766085262291278,-31.964802418550903,0.0,1.0148566,-31.964802418550903,10,-27.752141589351695,0.0,13.094361,-31.96480241855091,0.0,128000,0.20213138,12,12,10
-33.63887872067887,81.99311,-35.71626244890546,7.6332707,1.8594106929998218,-30.06471901879951,0.0,-35.71626244890546,1.8594106929998218,-33.638878720678875,0.0,0.8540286,-33.638878720678875,10,-30.06471901879951,0.0,14.201563,-33.63887872067887,0.0,134000,0.1788556,13,13,10
-33.08817976354961,85.74661,-35.66864948987023,7.6296096,2.914299544553396,-24.904469350050114,0.0,-35.66864948987023,2.914299544553396,-33.08817976354962,0.0,0.7107884,-33.08817976354962,10,-24.904469350050114,0.0,13.440929,-33.08817976354961,0.0,140000,0.15854076,14,14,10
-34.726274540986495,88.36431,-36.15407729054537,8.243664,0.8620446055116812,-33.40535565815986,0.0,-36.15407729054537,0.8620446055116812,-34.72627454098647,0.0,0.57895464,-34.72627454098647,10,-33.40535565815986,0.0,13.650664,-34.726274540986495,0.0,146000,0.14075318,15,15,10
-33.16479837069069,89.0123,-36.393989784843676,14.963818,2.954628837648789,-26.493864248644744,0.0,-36.393989784843676,2.954628837648789,-33.16479837069069,0.0,0.4668133,-33.16479837069069,10,-26.493864248644744,0.0,12.634896,-33.16479837069069,0.0,152000,0.12532073,16,16,10
-28.83466188490609,91.60364,-34.1686795111675,8.556542,3.5661917960438356,-23.570816294713616,0.0,-34.1686795111675,3.5661917960438356,-28.83466188490609,0.0,0.37701795,-28.83466188490609,10,-23.570816294713616,0.0,14.298243,-28.83466188490609,0.0,158000,0.11172241,17,17,10
-23.15518898413966,94.59788,-25.969902283004014,7.629593,1.2908591442784814,-21.428620921417686,0.0,-25.969902283004014,1.2908591442784814,-23.155188984139663,0.0,0.3098357,-23.155188984139663,10,-21.428620921417686,0.0,14.364164,-23.15518898413966,0.0,164000,0.099702425,18,18,10
-23.4516264432607,95.69089,-25.36195585314562,17.272243,1.5811274799959345,-21.027382462975552,0.0,-25.36195585314562,1.5811274799959345,-23.4516264432607,0.0,0.24558854,-23.4516264432607,10,-21.027382462975552,0.0,12.842355,-23.4516264432607,0.0,170000,0.08895658,19,19,10
-24.46809540036347,98.29429,-27.806212234723716,7.6234484,1.5739023577709874,-22.3467805972821,0.0,-27.806212234723716,1.5739023577709874,-24.46809540036347,0.0,0.19107376,-24.46809540036347,10,-22.3467805972821,0.0,15.452506,-24.46809540036347,0.0,176000,0.079646915,20,20,10
-23.642081598716906,100.36569,-29.758128440407752,7.625914,2.82955940074267,-20.207983941117188,0.0,-29.758128440407752,2.82955940074267,-23.642081598716896,0.0,0.15685156,-23.642081598716896,10,-20.207983941117188,0.0,14.449113,-23.642081598716906,0.0,182000,0.07136844,21,21,10
-25.865159610181035,102.04922,-32.24474602427494,7.6167374,3.644864793095769,-21.60523158365052,0.0,-32.24474602427494,3.644864793095769,-25.865159610181035,0.0,0.1268729,-25.865159610181035,10,-21.60523158365052,0.0,14.691331,-25.865159610181035,0.0,188000,0.0637728,22,22,10
-24.139858174156725,102.271576,-28.874024093483648,12.258963,2.9775879639208407,-20.352196279086083,0.0,-28.874024093483648,2.9775879639208407,-24.13985817415672,0.0,0.100577176,-24.13985817415672,10,-20.352196279086083,0.0,13.571821,-24.139858174156725,0.0,194000,0.057063524,23,23,10
-25.81730248909006,103.271545,-30.15846815292166,7.6670594,2.9342087291548546,-21.023049827738376,0.0,-30.15846815292166,2.9342087291548546,-25.81730248909006,0.0,0.07558109,-25.81730248909006,10,-21.023049827738376,0.0,13.338458,-25.81730248909006,0.0,200000,0.051363662,24,24,10
-22.653109014456,104.98315,-27.376192872067914,7.629857,2.511889326253111,-18.878106626472288,0.0,-27.376192872067914,2.511889326253111,-22.653109014455996,0.0,0.058968995,-22.653109014455996,10,-18.878106626472288,0.0,13.999728,-22.653109014456,0.0,206000,0.046232875,25,25,10
-23.229129298977018,106.72498,-26.97979514670544,7.6328087,2.1379422609129084,-20.869291457157715,0.0,-26.97979514670544,2.1379422609129084,-23.22912929897702,0.0,0.04585116,-23.22912929897702,10,-20.869291457157715,0.0,13.337964,-23.229129298977018,0.0,212000,0.041742288,26,26,10
-21.773948595195854,108.05716,-25.28434609054443,7.6673446,2.2242004488000147,-18.648809198131488,0.0,-25.28434609054443,2.2242004488000147,-21.773948595195854,0.0,0.030714933,-21.773948595195854,10,-18.648809198131488,0.0,13.040986,-21.773948595195854,0.0,218000,0.037859682,27,27,10
-22.44693024125086,108.50094,-24.405257984509085,7.6604867,1.5469764185299328,-19.630538345226384,0.0,-24.405257984509085,1.5469764185299328,-22.446930241250865,0.0,0.015038638,-22.446930241250865,10,-19.630538345226384,0.0,12.904044,-22.44693024125086,0.0,224000,0.03502342,28,28,10
-26.136625439971283,109.25667,-28.95064238690972,7.6613183,2.2117898833433802,-22.55037698329488,0.0,-28.95064238690972,2.2117898833433802,-26.136625439971276,0.0,0.006779658,-26.136625439971276,10,-22.55037698329488,0.0,12.8408165,-26.136625439971283,0.0,230000,0.033487663,29,29,10
-21.422436462702162,109.79028,-23.869591721872464,7.6804686,1.9302332167268397,-18.742189669534934,0.0,-23.869591721872464,1.9302332167268397,-21.422436462702162,0.0,0.0004576478,-21.422436462702162,10,-18.742189669534934,0.0,13.416228,-21.422436462702162,0.0,236000,0.03256707,30,30,10
-24.984531096091608,110.281075,-28.839360087175447,7.6435456,2.2097648186753114,-22.536126197002943,0.0,-28.839360087175447,2.2097648186753114,-24.984531096091608,0.0,-0.0018102569,-24.984531096091608,10,-22.536126197002943,0.0,13.080947,-24.984531096091608,0.0,242000,0.03325065,31,31,10
-23.554296077475268,109.82891,-25.021812926797555,7.849542,1.2464762670421228,-20.919119065209053,0.0,-25.021812926797555,1.2464762670421228,-23.554296077475268,0.0,-0.00536819,-23.554296077475268,10,-20.919119065209053,0.0,13.405027,-23.554296077475268,0.0,248000,0.03492012,32,32,10
-19.725331569685856,110.06089,-22.598229007770506,7.6209908,1.6059014835958445,-17.696122144162256,0.0,-22.598229007770506,1.6059014835958445,-19.725331569685856,0.0,-0.0020513844,-19.725331569685856,10,-17.696122144162256,0.0,13.837232,-19.725331569685856,0.0,254000,0.036042426,33,33,10
-22.133308095634536,109.62353,-26.323920358459294,7.627676,1.8895007696173358,-19.56541978295044,0.0,-26.323920358459294,1.8895007696173358,-22.133308095634536,0.0,-0.0043671415,-22.133308095634536,10,-19.56541978295044,0.0,14.092057,-22.133308095634536,0.0,260000,0.037364464,34,34,10
581.0161108561765,108.73422,-23.000087477781364,8.205106,1530.6916812695379,5157.626308966193,0.0,-23.000087477781364,1530.6916812695379,581.0161108561766,0.0,-0.0018641617,581.0161108561766,10,5157.626308966193,0.0,15.057557,581.0161108561765,0.0,266000,0.038642474,35,35,10
-106.972656245661,106.826485,-129.5080765920571,253.99802,15.603980789469112,-85.9894900407426,0.0,-129.5080765920571,15.603980789469112,-106.97265624566099,0.0,-0.25752014,-106.97265624566099,10,-85.9894900407426,0.0,1182.4407,-106.972656245661,0.0,272000,0.046640895,36,36,10
-134.7976626252631,121.33928,-152.29220627848557,15.261119,13.14435923805125,-109.37362759410303,0.0,-152.29220627848557,13.14435923805125,-134.79766262526303,0.0,-0.17862539,-134.79766262526303,10,-109.37362759410303,0.0,1178.2397,-134.7976626252631,0.0,278000,0.05464752,37,37,10
-60.93213849208259,-321.78732,-89.76346250254426,19.65108,24.146027946826244,-22.410656379600514,0.0,-89.76346250254426,24.146027946826244,-60.93213849208259,0.0,-0.67010903,-60.93213849208259,10,-22.410656379600514,0.0,3774.3347,-60.93213849208259,0.0,284000,0.06230162,38,38,10
411.3483716380113,-699.315,-113.1497960585168,14.993045,1268.739029613982,4204.795689218377,0.0,-113.1497960585168,1268.739029613982,411.3483716380114,0.0,-1.1635903,411.3483716380114,10,4204.795689218377,0.0,5208.6816,411.3483716380113,0.0,290000,0.07841742,39,39,10
