MetaTest/push-v1/TerminationRate,MetaTest/push-v1/MaxReturn,Average/AverageDiscountedReturn,push-v1/MaxReturn,GaussianMLPPolicy/KLBefore,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,push-v1/MinReturn,MetaTest/Average/AverageReturn,push-v1/SuccessRate,MetaTest/push-v1/AverageDiscountedReturn,MetaTest/push-v1/AverageReturn,GaussianMLPPolicy/Entropy,Average/StdReturn,Average/MaxReturn,MetaTest/push-v1/StdReturn,MetaTest/push-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,Average/AverageReturn,push-v1/Iteration,push-v1/NumEpisodes,GaussianMLPPolicy/LossBefore,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/push-v1/MinReturn,GaussianMLPPolicy/dLoss,Average/MinReturn,push-v1/AverageDiscountedReturn,Average/TerminationRate,MetaTest/push-v1/Iteration,Average/NumEpisodes,GaussianMLPPolicy/LossAfter,push-v1/TerminationRate,MetaTest/Average/TerminationRate,Iteration,push-v1/StdReturn,push-v1/AverageReturn,Average/Iteration,Average/SuccessRate,GaussianMLPPolicy/KLAfter,MetaTest/Average/NumEpisodes,MetaTest/push-v1/NumEpisodes,MetaTest/Average/StdReturn
0.0,1331.2754640955236,-5.28353842664312,2083.2042716911224,0.0,0.0,87.62641928913152,-82.037883710943,87.6264192891315,0.0,87.62641928913152,87.6264192891315,5.668449401855469,189.63660512811646,2083.2042716911224,308.9215793098205,0.0,0,-55.800288368821896,-18.4811747225601,0,200,-0.0003577701863832772,80000,1331.2754640955236,-55.800288368821896,0.0010916808969341218,-82.037883710943,-5.28353842664312,0.0,0,200,-0.001449451083317399,0.0,0.0,0,189.63660512811646,-18.4811747225601,0,0.0,0.009947284124791622,50,50,308.9215793098205
,,52.28277380092338,8145.786493841267,0.0,,,-69.73766256170508,,0.0,,,5.6718316078186035,726.0355585571292,8145.786493841267,,,,,118.19214994589146,1,200,0.00020120912813581526,160000,,,0.0008225687488447875,-69.73766256170508,52.28277380092338,0.0,,200,-0.0006213596207089722,0.0,,1,726.0355585571292,118.19214994589146,1,0.0,0.006781353149563074,,,
,,171.77979895779237,15113.693354736773,0.0,,,-55.0694577730995,,0.005,,,5.6817402839660645,1856.5507570564066,15113.693354736773,,,,,526.9396035615641,2,200,0.00021434023801703006,240000,,,0.00023928330119815655,-55.0694577730995,171.77979895779237,0.0,,200,-2.494306318112649e-05,0.0,,2,1856.5507570564066,526.9396035615641,2,0.005,0.0068129850551486015,,,
,,275.4913882956675,41280.026098849776,0.0,,,-49.109165256937516,,0.01,,,5.67101526260376,3305.9005378384195,41280.026098849776,,,,,918.0000297533454,3,200,-3.94531998608727e-05,320000,,,8.048281233641319e-05,-49.109165256937516,275.4913882956675,0.0,,200,-0.00011993601219728589,0.0,,3,3305.9005378384195,918.0000297533454,3,0.01,0.009748389944434166,,,
,,459.751600993449,24935.049855719957,0.0,,,-38.018663943661245,,0.035,,,5.665168762207031,3153.717268262565,24935.049855719957,,,,,1303.7368493375186,4,200,-6.411860340449493e-06,400000,,,1.4053111044631805e-05,-38.018663943661245,459.751600993449,0.0,,200,-2.04649713850813e-05,0.0,,4,3153.717268262565,1303.7368493375186,4,0.035,0.006303796079009771,,,
,,750.9647761817293,39231.534054595715,0.0,,,-35.860187517177145,,0.03,,,5.617774486541748,5508.352914067676,39231.534054595715,,,,,2218.8278567411903,5,200,-6.685774133075029e-05,480000,,,2.9089627787470818e-05,-35.860187517177145,750.9647761817293,0.0,,200,-9.59473691182211e-05,0.0,,5,5508.352914067676,2218.8278567411903,5,0.03,0.009398472495377064,,,
,,828.8437131635468,76033.08982919891,0.0,,,-34.72098401572347,,0.01,,,5.61621618270874,6851.702650927964,76033.08982919891,,,,,2457.7166278006007,6,200,-1.635403350519482e-06,560000,,,1.5736960449430626e-05,-34.72098401572347,828.8437131635468,0.0,,200,-1.7372363799950108e-05,0.0,,6,6851.702650927964,2457.7166278006007,6,0.01,0.006555613130331039,,,
,,1156.855132784942,35539.87713330106,0.0,,,-37.89442697001067,,0.02,,,5.6067304611206055,6176.291836745489,35539.87713330106,,,,,3294.3465591497675,7,200,-0.00012060458539053798,640000,,,0.00016351425438188016,-37.89442697001067,1156.855132784942,0.0,,200,-0.00028411883977241814,0.0,,7,6176.291836745489,3294.3465591497675,7,0.02,0.006819955073297024,,,
,,1221.6988360059022,86805.34624241052,0.0,,,-26.538159477568485,,0.02,,,5.578284740447998,8777.16645278209,86805.34624241052,,,,,3582.952280757924,8,200,-3.8365797081496567e-05,720000,,,2.3093190975487232e-05,-26.538159477568485,1221.6988360059022,0.0,,200,-6.14589880569838e-05,0.0,,8,8777.16645278209,3582.952280757924,8,0.02,0.00857357494533062,,,
,,1162.0732099642182,64162.92521428714,0.0,,,-25.159524494369695,,0.025,,,5.572394371032715,7451.636253961348,64162.92521428714,,,,,3469.0580897870996,9,200,-4.713085672847228e-06,800000,,,1.634766704228241e-06,-25.159524494369695,1162.0732099642182,0.0,,200,-6.347852377075469e-06,0.0,,9,7451.636253961348,3469.0580897870996,9,0.025,0.0010174346389248967,,,
