MetaTest/coffee-button-v1/TerminationRate,MetaTest/coffee-button-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/coffee-button-v1/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/coffee-button-v1/MaxReturn,MetaTrain/Average/PolicyLoss,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/coffee-button-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/coffee-button-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha,MetaTest/coffee-button-v1/NumEpisodes,MetaTrain/Average/AlphaLoss,MetaTest/coffee-button-v1/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/coffee-button-v1/SuccessRate
0.0,-99.80322290980817,0,0,2530.8748,-82.61980850246954,-99.80322290980817,-82.61980850246954,-665.9287,56000,10.77972484489112,0.0,10.77972484489112,-118.49711117187,0.0,10,-118.49711117187,-99.80322290980817,0.9873417,10,-0.3814844,-99.80322290980817,7333372.0,0.0
0.0,-93.71192133551016,1,1,2524.7734,-80.389253372904,-93.71192133551016,-80.389253372904,-1051.0105,62000,7.941905488116635,0.1,7.941905488116635,-107.20575939735225,0.0,10,-107.20575939735225,-93.71192133551018,1.0454181,10,-1.2804106,-93.71192133551018,6627242.5,0.1
0.0,-74.62885605536061,2,2,307.9201,-55.81648466332673,-74.62885605536061,-55.81648466332673,-1399.574,68000,15.845436801406665,0.0,15.845436801406665,-94.48615989627098,0.0,10,-94.48615989627098,-74.62885605536061,1.1714405,10,-3.6233487,-74.62885605536061,6148378.5,0.0
0.0,-69.25909801807505,3,3,277.0151,-55.352078734685456,-69.25909801807505,-55.352078734685456,-2686.7068,74000,10.031969313137973,0.0,10.031969313137973,-86.79664785671825,0.0,10,-86.79664785671825,-69.25909801807506,1.3323725,10,-3.9002242,-69.25909801807506,5694319.5,0.0
0.0,-75.38759124268282,4,4,324.38568,-50.70839479893807,-75.38759124268282,-50.70839479893807,-3619.6655,80000,18.737568743386287,0.0,18.737568743386287,-101.19724868302137,0.0,10,-101.19724868302137,-75.38759124268282,1.5777912,10,-7.45462,-75.38759124268282,4696838.0,0.0
0.0,-83.87677498426675,5,5,570.4533,-47.807602558473604,-83.87677498426675,-47.807602558473604,-4840.042,86000,26.096964274998573,0.0,26.096964274998573,-115.33975995191275,0.0,10,-115.33975995191275,-83.87677498426673,1.8254066,10,-5.418706,-83.87677498426673,4393324.0,0.0
0.0,-79.79330075864598,6,6,633.4629,-51.71244141554769,-79.79330075864598,-51.71244141554769,-6590.835,92000,17.598992840380085,0.0,17.598992840380085,-107.42843707274095,0.0,10,-107.42843707274095,-79.79330075864597,2.0637295,10,-5.58377,-79.79330075864597,3935318.5,0.0
0.0,901.9680695099939,7,7,718.0015,5977.67884070004,901.9680695099939,5977.67884070004,-7902.582,98000,1996.7660019513814,0.0,1996.7660019513814,-64.99522589786694,0.0,10,-64.99522589786694,901.9680695099938,2.2842002,10,-3.2060077,901.9680695099938,3625374.2,0.0
0.0,-51.67554761794982,8,8,805.5281,-32.18212363848332,-51.67554761794982,-32.18212363848332,-8664.026,104000,15.80823396378144,0.7,15.80823396378144,-82.04866109809306,0.0,10,-82.04866109809306,-51.67554761794982,2.4727721,10,-3.690709,-51.67554761794982,3489574.5,0.7
0.0,-84.22318102338306,9,9,1385.2821,-70.27791093606848,-84.22318102338306,-70.27791093606848,-12186.948,110000,7.899954995908158,0.2,7.899954995908158,-97.16459913621703,0.0,10,-97.16459913621703,-84.22318102338306,2.7792695,10,-4.855617,-84.22318102338306,3679710.8,0.2
0.0,-72.42850495024081,10,10,1914.9775,-36.24662866888597,-72.42850495024081,-36.24662866888597,-14444.327,116000,18.736037221055838,0.3,18.736037221055838,-92.09905408007201,0.0,10,-92.09905408007201,-72.42850495024078,3.0627286,10,-4.7571163,-72.42850495024078,3609798.2,0.3
0.0,-56.91663711208605,11,11,3048.924,-15.5046452720438,-56.91663711208605,-15.5046452720438,-17205.91,122000,30.33607529625964,0.2,30.33607529625964,-116.40682662037224,0.0,10,-116.40682662037224,-56.916637112086036,3.434124,10,-6.257102,-56.916637112086036,3961957.5,0.2
0.0,8827.498501909942,12,12,1724.6886,89057.83235009562,8827.498501909942,89057.83235009562,-20907.52,128000,26743.449627355534,0.1,26743.449627355534,-109.03847110880793,0.0,10,-109.03847110880793,8827.498501909944,3.959933,10,-10.492903,8827.498501909944,4300571.0,0.1
0.0,901.4681580420186,13,13,750.7146,9559.925142444697,901.4681580420186,9559.925142444697,-42374.27,134000,2886.532182494425,0.0,2886.532182494425,-119.60998671557458,0.0,10,-119.60998671557458,901.4681580420198,4.831629,10,-28.438889,901.4681580420198,7349245.5,0.0
0.0,35231.69372592358,14,14,117.62376,352868.27643967525,35231.69372592358,352868.27643967525,-51825.64,140000,105878.87113270651,0.5,105878.87113270651,-130.90127437480595,0.0,10,-130.90127437480595,35231.693725923586,5.8821964,10,-32.2589,35231.693725923586,8222488.5,0.5
0.0,39135.572462047916,15,15,1295.9595,214501.12889854648,39135.572462047916,214501.12889854648,-50277.234,146000,74199.78869569943,0.5,74199.78869569943,-83.69414823408485,0.0,10,-83.69414823408485,39135.5724620479,6.8742237,10,-33.067123,39135.5724620479,8820814.0,0.5
