MetaTest/pick-place-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/pick-place-v1/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/pick-place-v1/NumEpisodes,MetaTest/pick-place-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/pick-place-v1/AverageDiscountedReturn,MetaTest/pick-place-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTest/pick-place-v1/AverageReturn,MetaTest/pick-place-v1/MaxReturn,MetaTest/pick-place-v1/SuccessRate,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha
10,1.448523147821614,-20.328848977731873,7.7028174,-23.48752891089358,10,10,0.0,13.298703,0.0,10,130.50964,-20.328848977731873,1.448523147821614,-20.328848977731873,0.24408683,-23.48752891089358,-20.328848977731873,-18.697833151101456,0.0,-18.697833151101456,232000,0.0,0.07176086
11,1.4466346063635702,-21.835842417713128,7.658498,-23.340198759043005,10,10,0.0,13.327045,0.0,11,136.32858,-21.835842417713124,1.4466346063635702,-21.835842417713124,0.16351491,-23.340198759043005,-21.835842417713128,-18.84678703335478,0.0,-18.84678703335478,244000,0.0,0.05665318
12,2.246863895894108,-20.892210082583986,7.6924195,-24.757093883261728,10,10,0.0,13.5007925,0.0,12,141.81534,-20.89221008258399,2.246863895894108,-20.89221008258399,0.10525408,-24.757093883261728,-20.892210082583986,-17.19932063727035,0.0,-17.19932063727035,256000,0.0,0.04508684
13,1.8353976138928685,-19.66982526795115,7.6513076,-23.420395285314104,10,10,0.0,13.568987,0.0,13,145.47743,-19.66982526795115,1.8353976138928685,-19.66982526795115,0.06321716,-23.420395285314104,-19.66982526795115,-17.5728423804998,0.0,-17.5728423804998,268000,0.0,0.036199927
14,1.2395490538230298,-18.76881475268588,7.683469,-20.594656950693036,10,10,0.0,13.4847,0.0,14,148.26538,-18.768814752685877,1.2395490538230298,-18.768814752685877,0.03590447,-20.594656950693036,-18.76881475268588,-16.765362630401373,0.0,-16.765362630401373,280000,0.0,0.029452482
15,1.4581281635915846,-19.19747489377077,7.7082324,-22.321292185175736,10,10,0.0,13.105168,0.0,15,149.39668,-19.197474893770778,1.4581281635915846,-19.197474893770778,0.019410336,-22.321292185175736,-19.19747489377077,-16.626774872246827,0.0,-16.626774872246827,292000,0.0,0.024310688
16,1.631213677446556,-18.980444113435446,7.670251,-22.34658987563255,10,10,0.0,13.45494,0.0,16,151.06625,-18.980444113435446,1.631213677446556,-18.980444113435446,0.008073926,-22.34658987563255,-18.980444113435446,-16.88395538148687,0.0,-16.88395538148687,304000,0.0,0.020575443
17,1.736865868792459,-22.645163874014045,7.638374,-25.13790213384,10,10,0.0,12.910359,0.0,17,152.33957,-22.645163874014045,1.736865868792459,-22.645163874014045,0.0018726224,-25.13790213384,-22.645163874014045,-19.393588331789854,0.0,-19.393588331789854,316000,0.0,0.018772857
18,1.8947398849566275,-19.728539428289288,7.655862,-22.780819560159486,10,10,0.0,13.081128,0.0,18,152.93791,-19.728539428289288,1.8947398849566275,-19.728539428289288,0.0010874041,-22.780819560159486,-19.728539428289288,-17.389096999123854,0.0,-17.389096999123854,328000,0.0,0.01759803
19,2.897431789466736,-20.848111352304336,7.6612782,-25.474767815649226,10,10,0.0,12.219885,0.0,19,152.91545,-20.848111352304336,2.897431789466736,-20.848111352304336,0.0006032636,-25.474767815649226,-20.848111352304336,-17.817062973738178,0.0,-17.817062973738178,340000,0.0,0.01712929
20,1.8151332310908055,-19.081690874498026,7.6521006,-21.845405214817543,10,10,0.0,12.265267,0.0,20,153.15451,-19.081690874498026,1.8151332310908055,-19.081690874498026,0.00026597423,-21.845405214817543,-19.081690874498026,-17.048558496197945,0.0,-17.048558496197945,352000,0.0,0.016687674
21,2.077622440491799,-20.174380344845044,7.6299295,-24.13832309970887,10,10,0.0,12.251769,0.0,21,153.51251,-20.17438034484505,2.077622440491799,-20.17438034484505,-0.00011975483,-24.13832309970887,-20.174380344845044,-17.283609753073815,0.0,-17.283609753073815,364000,0.0,0.01676428
22,1.7480555932206179,-18.631818691643446,7.6355376,-22.647245166373814,10,10,0.0,12.098623,0.0,22,153.41626,-18.631818691643453,1.7480555932206179,-18.631818691643453,0.00042006583,-22.647245166373814,-18.631818691643446,-16.851059631563302,0.0,-16.851059631563302,376000,0.0,0.01650296
23,2.9511242374075852,-19.208334185120055,7.6356688,-27.171868307429076,10,10,0.0,11.672633,0.0,23,153.36853,-19.208334185120055,2.9511242374075852,-19.208334185120055,0.00024338912,-27.171868307429076,-19.208334185120055,-16.1793170449907,0.0,-16.1793170449907,388000,0.0,0.016369972
24,1.5368045904763734,-19.408602908435753,7.635012,-21.711826028219697,10,10,0.0,12.119829,0.0,24,153.14536,-19.408602908435753,1.5368045904763734,-19.408602908435753,-0.00010411713,-21.711826028219697,-19.408602908435753,-17.050437348701667,0.0,-17.050437348701667,400000,0.0,0.016111622
25,1.8775682647392746,-19.289832185885537,7.637108,-22.932616815517434,10,10,0.0,11.463876,0.0,25,152.38306,-19.289832185885547,1.8775682647392746,-19.289832185885547,-0.00012170914,-22.932616815517434,-19.289832185885537,-16.537582420173333,0.0,-16.537582420173333,412000,0.0,0.016203607
26,1.239398181296653,-19.112378698865008,7.62768,-20.613573213393924,10,10,0.0,10.878716,0.0,26,151.93962,-19.112378698865005,1.239398181296653,-19.112378698865005,-0.00017578733,-20.613573213393924,-19.112378698865008,-17.03220192301275,0.0,-17.03220192301275,424000,0.0,0.016128711
27,1.5604117132382391,-19.116155799588608,7.625161,-21.409640787781104,10,10,0.0,11.100435,0.0,27,150.2848,-19.116155799588608,1.5604117132382391,-19.116155799588608,0.00029872154,-21.409640787781104,-19.116155799588608,-16.140403358786944,0.0,-16.140403358786944,436000,0.0,0.016359799
28,2.331359254204035,-18.842110928280338,7.6266875,-24.707965390108107,10,10,0.0,10.781153,0.0,28,149.48805,-18.842110928280338,2.331359254204035,-18.842110928280338,0.00023610154,-24.707965390108107,-18.842110928280338,-15.806980299858951,0.0,-15.806980299858951,448000,0.0,0.016089924
29,2.0089017557359776,-20.182943074355826,7.624673,-23.093021457280607,10,10,0.0,10.422992,0.0,29,148.39409,-20.182943074355826,2.0089017557359776,-20.182943074355826,7.025677e-05,-23.093021457280607,-20.182943074355826,-17.455487963356045,0.0,-17.455487963356045,460000,0.0,0.015941998
30,1.2089813874294772,-18.55428641674208,7.6371665,-20.083459292007554,10,10,0.0,10.665832,0.0,30,147.74919,-18.55428641674208,1.2089813874294772,-18.55428641674208,0.00018097144,-20.083459292007554,-18.55428641674208,-16.73230918926907,0.0,-16.73230918926907,472000,0.0,0.015861675
31,0.94840716468745,-18.60397693925001,7.6263633,-20.179322746956597,10,10,0.0,9.9089575,0.0,31,146.50853,-18.603976939250007,0.94840716468745,-18.603976939250007,-0.00020396084,-20.179322746956597,-18.60397693925001,-17.459863776559693,0.0,-17.459863776559693,484000,0.0,0.015653795
32,1.3747472904102649,-17.933045655038352,7.626078,-21.377171784859986,10,10,0.0,9.955784,0.0,32,145.59175,-17.933045655038352,1.3747472904102649,-17.933045655038352,-0.00013556264,-21.377171784859986,-17.933045655038352,-16.4185038129224,0.0,-16.4185038129224,496000,0.0,0.015902359
33,0.926646830112836,-18.461021624261416,7.625152,-20.06697171754012,10,10,0.0,9.706091,0.0,33,144.79124,-18.461021624261416,0.926646830112836,-18.461021624261416,-0.0002591587,-20.06697171754012,-18.461021624261416,-17.004016388949598,0.0,-17.004016388949598,508000,0.0,0.016267782
34,1.5133107174988667,-19.167268827437397,7.624673,-22.62459462404583,10,10,0.0,9.498821,0.0,34,143.8662,-19.1672688274374,1.5133107174988667,-19.1672688274374,0.00022647613,-22.62459462404583,-19.167268827437397,-17.358409622469903,0.0,-17.358409622469903,520000,0.0,0.016337488
35,1.8376897115960602,-19.215285023615163,7.624698,-23.6440491155718,10,10,0.0,9.176297,0.0,35,142.70667,-19.215285023615166,1.8376897115960602,-19.215285023615166,-0.0004820174,-23.6440491155718,-19.215285023615163,-17.29719169162078,0.0,-17.29719169162078,532000,0.0,0.016302174
36,1.5491673441382983,-19.573901747840104,7.6258674,-23.280349591773703,10,10,0.0,9.320357,0.0,36,141.62622,-19.57390174784011,1.5491673441382983,-19.57390174784011,-0.00011522865,-23.280349591773703,-19.573901747840104,-17.374136311296198,0.0,-17.374136311296198,544000,0.0,0.01685483
37,1.1980550220248878,-20.159280167160468,7.627816,-21.729885053603248,10,10,0.0,9.262655,0.0,37,140.45119,-20.159280167160468,1.1980550220248878,-20.159280167160468,5.8669924e-05,-21.729885053603248,-20.159280167160468,-17.414798370500858,0.0,-17.414798370500858,556000,0.0,0.016498573
38,0.9387791405264784,-18.805971101202992,7.625079,-20.83901214856394,10,10,0.0,8.985852,0.0,38,139.25282,-18.805971101203,0.9387791405264784,-18.805971101203,-0.00032561208,-20.83901214856394,-18.805971101202992,-17.914878881171187,0.0,-17.914878881171187,568000,0.0,0.01685305
39,1.3152406429104917,-18.963647084291004,7.6248984,-20.355353751364152,10,10,0.0,9.038196,0.0,39,138.43597,-18.96364708429101,1.3152406429104917,-18.96364708429101,-0.0004866557,-20.355353751364152,-18.963647084291004,-16.80089356310783,0.0,-16.80089356310783,580000,0.0,0.01764788
40,0.8200969406117947,-19.861112613740314,7.6255174,-21.180052234359422,10,10,0.0,8.714745,0.0,40,137.36972,-19.86111261374031,0.8200969406117947,-19.86111261374031,-0.0002231662,-21.180052234359422,-19.861112613740314,-18.641467912675285,0.0,-18.641467912675285,592000,0.0,0.018211236
41,1.6599472116791005,-18.970959121204505,7.6246877,-21.73435868539416,10,10,0.0,8.643084,0.0,41,136.1135,-18.97095912120451,1.6599472116791005,-18.97095912120451,-0.00024636317,-21.73435868539416,-18.970959121204505,-16.663813899847284,0.0,-16.663813899847284,604000,0.0,0.018242698
42,1.037067964016858,-17.959427643046887,7.626846,-20.05309244927435,10,10,0.0,8.587675,0.0,42,135.32059,-17.959427643046894,1.037067964016858,-17.959427643046894,0.000273454,-20.05309244927435,-17.959427643046887,-16.701775926866883,0.0,-16.701775926866883,616000,0.0,0.017907245
43,1.1585271073466423,-18.43096193237943,7.6252356,-20.072179642797835,10,10,0.0,8.452684,0.0,43,134.6044,-18.430961932379425,1.1585271073466423,-18.430961932379425,-0.00041337367,-20.072179642797835,-18.43096193237943,-16.482560811159598,0.0,-16.482560811159598,628000,0.0,0.018029911
44,1.1042056440758448,-19.605726058088624,7.6256504,-20.98893419942987,10,10,0.0,8.462268,0.0,44,133.77272,-19.605726058088624,1.1042056440758448,-19.605726058088624,0.0001707684,-20.98893419942987,-19.605726058088624,-17.59978298548355,0.0,-17.59978298548355,640000,0.0,0.018191848
45,0.9291052528797895,-18.940928341113466,7.6248894,-20.891845073763257,10,10,0.0,8.42623,0.0,45,133.07115,-18.94092834111347,0.9291052528797895,-18.94092834111347,0.0006399201,-20.891845073763257,-18.940928341113466,-17.75761596923299,0.0,-17.75761596923299,652000,0.0,0.018085739
46,1.4933947466238233,-18.39429914514526,7.629514,-20.37454179441978,10,10,0.0,8.247593,0.0,46,132.15518,-18.39429914514526,1.4933947466238233,-18.39429914514526,-0.00023398474,-20.37454179441978,-18.39429914514526,-16.556109066271336,0.0,-16.556109066271336,664000,0.0,0.017592704
47,0.8943666218408131,-18.751361937097144,7.6276813,-19.92533921719263,10,10,0.0,8.338767,0.0,47,131.45065,-18.751361937097148,0.8943666218408131,-18.751361937097148,0.00052312925,-19.92533921719263,-18.751361937097144,-16.921956770556072,0.0,-16.921956770556072,676000,0.0,0.01755756
48,1.2343776909154127,-19.25847506779158,7.6246915,-21.800099251098953,10,10,0.0,8.047264,0.0,48,130.61969,-19.258475067791586,1.2343776909154127,-19.258475067791586,-0.00012755125,-21.800099251098953,-19.25847506779158,-17.57002353648985,0.0,-17.57002353648985,688000,0.0,0.017428579
49,1.062496941460592,-19.72376583798708,7.6246777,-21.170718299241774,10,10,0.0,8.097642,0.0,49,130.21114,-19.723765837987074,1.062496941460592,-19.723765837987074,0.00029634687,-21.170718299241774,-19.72376583798708,-18.07526828333069,0.0,-18.07526828333069,700000,0.0,0.017468346
50,1.2344215129155949,-18.619814047304796,7.6270857,-21.558033485641445,10,10,0.0,8.183735,0.0,50,129.23885,-18.6198140473048,1.2344215129155949,-18.6198140473048,-0.0005077913,-21.558033485641445,-18.619814047304796,-16.867654565240496,0.0,-16.867654565240496,712000,0.0,0.017455094
51,1.3600942643353933,-18.341061003078188,7.6248064,-20.41727891314222,10,10,0.0,7.849582,0.0,51,128.69386,-18.341061003078195,1.3600942643353933,-18.341061003078195,0.00010692277,-20.41727891314222,-18.341061003078188,-16.073743096571057,0.0,-16.073743096571057,724000,0.0,0.017609749
52,1.6254196328766122,-18.64584886051292,7.6248083,-20.43510702429149,10,10,0.0,7.8516307,0.0,52,127.86981,-18.64584886051292,1.6254196328766122,-18.64584886051292,0.0005556032,-20.43510702429149,-18.64584886051292,-15.687534586045414,0.0,-15.687534586045414,736000,0.0,0.017504131
53,1.1276327998614506,-18.786271892548474,7.6253276,-20.563330600379725,10,10,0.0,7.644549,0.0,53,127.218216,-18.786271892548477,1.1276327998614506,-18.786271892548477,-2.20114e-06,-20.563330600379725,-18.786271892548474,-16.72797229046569,0.0,-16.72797229046569,748000,0.0,0.016899101
54,0.672841543868348,-17.348846407325148,7.6246376,-18.544550791423266,10,10,0.0,7.6921024,0.0,54,126.72846,-17.348846407325155,0.672841543868348,-17.348846407325155,0.0013388253,-18.544550791423266,-17.348846407325148,-15.99733463108441,0.0,-15.99733463108441,760000,0.0,0.01706731
55,0.776840997663267,-17.665777530060605,7.624632,-19.041568886234167,10,10,0.0,7.3999195,0.0,55,126.0438,-17.66577753006061,0.776840997663267,-17.66577753006061,-0.0011689682,-19.041568886234167,-17.665777530060605,-16.621127642451945,0.0,-16.621127642451945,772000,0.0,0.016545331
56,1.3504043169111741,-17.45250867189097,7.624632,-21.12675117294089,10,10,0.0,7.4080253,0.0,56,125.42433,-17.452508671890975,1.3504043169111741,-17.452508671890975,3.0168027e-05,-21.12675117294089,-17.45250867189097,-16.22837367578343,0.0,-16.22837367578343,784000,0.0,0.016977321
57,1.0116757719439071,-18.87585466627661,7.624632,-20.474652133614587,10,10,0.0,7.519598,0.0,57,124.966995,-18.875854666276602,1.0116757719439071,-18.875854666276602,0.00022151756,-20.474652133614587,-18.87585466627661,-17.123075958814752,0.0,-17.123075958814752,796000,0.0,0.016982373
58,1.3715299317140204,-18.514803202324238,7.624632,-20.44235473171675,10,10,0.0,7.2669754,0.0,58,124.364174,-18.514803202324238,1.3715299317140204,-18.514803202324238,0.00049319887,-20.44235473171675,-18.514803202324238,-16.56588188848969,0.0,-16.56588188848969,808000,0.0,0.016725963
59,1.9567115585749497,-18.93487605092471,7.624632,-22.9757566456464,10,10,0.0,7.201443,0.0,59,123.774536,-18.934876050924714,1.9567115585749497,-18.934876050924714,5.5373745e-05,-22.9757566456464,-18.93487605092471,-16.646195487464773,0.0,-16.646195487464773,820000,0.0,0.01662429
60,1.6044522993953156,-19.062532129117894,7.624632,-22.084610506466262,10,10,0.0,7.2582197,0.0,60,123.15637,-19.062532129117905,1.6044522993953156,-19.062532129117905,-0.00076110713,-22.084610506466262,-19.062532129117894,-17.0695900973894,0.0,-17.0695900973894,832000,0.0,0.01669257
61,1.2169852200214788,-18.794549981772015,7.624632,-20.40496796389114,10,10,0.0,7.1096373,0.0,61,122.853,-18.794549981772015,1.2169852200214788,-18.794549981772015,9.14454e-05,-20.40496796389114,-18.794549981772015,-17.166580024168436,0.0,-17.166580024168436,844000,0.0,0.017337997
62,0.8626143662425036,-17.659851425308695,7.624632,-19.211278188982497,10,10,0.0,6.9744444,0.0,62,122.28121,-17.65985142530869,0.8626143662425036,-17.65985142530869,-0.00034756266,-19.211278188982497,-17.659851425308695,-16.34032273276575,0.0,-16.34032273276575,856000,0.0,0.017001392
63,1.5792983357800057,-19.024363111197935,7.624632,-21.603318873313448,10,10,0.0,6.979673,0.0,63,121.94417,-19.024363111197935,1.5792983357800057,-19.024363111197935,0.00071514817,-21.603318873313448,-19.024363111197935,-16.526278472403725,0.0,-16.526278472403725,868000,0.0,0.017241774
64,1.5598830710301204,-18.837471144175094,7.624632,-21.881615223333846,10,10,0.0,6.932537,0.0,64,121.1684,-18.837471144175097,1.5598830710301204,-18.837471144175097,-0.00026733946,-21.881615223333846,-18.837471144175094,-16.82220871682073,0.0,-16.82220871682073,880000,0.0,0.016982334
65,1.123109452504123,-17.821275973630293,7.624632,-20.782826869897843,10,10,0.0,6.7018046,0.0,65,120.5955,-17.821275973630296,1.123109452504123,-17.821275973630296,-0.00021300318,-20.782826869897843,-17.821275973630293,-16.69000450387253,0.0,-16.69000450387253,892000,0.0,0.016845088
66,1.4470890450087637,-18.897931888981464,7.624632,-21.510664697949025,10,10,0.0,6.7011786,0.0,66,120.23472,-18.897931888981464,1.4470890450087637,-18.897931888981464,0.00016522905,-21.510664697949025,-18.897931888981464,-16.777782129907873,0.0,-16.777782129907873,904000,0.0,0.01715073
67,1.7007360446339712,-18.662831895794664,7.624632,-21.425245454473856,10,10,0.0,6.81409,0.0,67,119.84909,-18.66283189579466,1.7007360446339712,-18.66283189579466,0.0003475023,-21.425245454473856,-18.662831895794664,-16.099402075037705,0.0,-16.099402075037705,916000,0.0,0.017001037
68,0.996759446763342,-18.606771894860618,7.624632,-20.088839814238874,10,10,0.0,6.5213075,0.0,68,119.3783,-18.606771894860618,0.996759446763342,-18.606771894860618,0.00023596606,-20.088839814238874,-18.606771894860618,-16.72285434254616,0.0,-16.72285434254616,928000,0.0,0.017044475
69,1.19053521380084,-18.13930534251883,7.624632,-19.83464909028521,10,10,0.0,6.678099,0.0,69,118.95447,-18.139305342518828,1.19053521380084,-18.139305342518828,-0.00042097,-19.83464909028521,-18.13930534251883,-16.4825875799391,0.0,-16.4825875799391,940000,0.0,0.017125756
70,1.1318977445511291,-18.1398000475183,7.624632,-20.38154038610201,10,10,0.0,6.6059327,0.0,70,118.583336,-18.139800047518293,1.1318977445511291,-18.139800047518293,-0.00038230693,-20.38154038610201,-18.1398000475183,-16.439743806406693,0.0,-16.439743806406693,952000,0.0,0.01754779
71,1.3420194943322934,-18.290359260203296,7.624632,-20.438661561693003,10,10,0.0,6.373892,0.0,71,117.95928,-18.2903592602033,1.3420194943322934,-18.2903592602033,0.00020069433,-20.438661561693003,-18.290359260203296,-15.946296069911167,0.0,-15.946296069911167,964000,0.0,0.017052488
72,1.132422132606812,-19.043272483965602,7.624632,-20.840872748236826,10,10,0.0,6.288152,0.0,72,117.53009,-19.043272483965602,1.132422132606812,-19.043272483965602,0.00036764005,-20.840872748236826,-19.043272483965602,-16.92635995645113,0.0,-16.92635995645113,976000,0.0,0.017051585
73,1.8786089820294558,-19.17000449364737,7.624632,-21.930714245757482,10,10,0.0,6.245233,0.0,73,117.147545,-19.17000449364737,1.8786089820294558,-19.17000449364737,3.560044e-05,-21.930714245757482,-19.17000449364737,-16.685650454465843,0.0,-16.685650454465843,988000,0.0,0.017070474
74,1.5831788925742498,-19.12934868553029,7.624632,-21.809945078534227,10,10,0.0,6.2321463,0.0,74,116.78874,-19.129348685530296,1.5831788925742498,-19.129348685530296,-7.224226e-05,-21.809945078534227,-19.12934868553029,-17.27263271010422,0.0,-17.27263271010422,1000000,0.0,0.01676144
75,1.8979464702350168,-19.637983089434936,7.624632,-23.083753052054313,10,10,0.0,6.1785665,0.0,75,116.31338,-19.637983089434933,1.8979464702350168,-19.637983089434933,0.0001368495,-23.083753052054313,-19.637983089434936,-16.46100056378546,0.0,-16.46100056378546,1012000,0.0,0.016754188
76,1.5458072704964698,-18.66716869390697,7.624632,-21.400324425968552,10,10,0.0,6.079942,0.0,76,115.97753,-18.667168693906966,1.5458072704964698,-18.667168693906966,0.00025534342,-21.400324425968552,-18.66716869390697,-16.736695790651776,0.0,-16.736695790651776,1024000,0.0,0.016891867
77,2.3134243924389812,-18.574267894254692,7.624632,-24.839638307239657,10,10,0.0,6.125336,0.0,77,115.590965,-18.574267894254692,2.3134243924389812,-18.574267894254692,0.0003961382,-24.839638307239657,-18.574267894254692,-16.32986838155267,0.0,-16.32986838155267,1036000,0.0,0.016927982
78,1.4406997726279127,-18.471084210680683,7.624632,-20.242255414787127,10,10,0.0,5.811288,0.0,78,115.135414,-18.47108421068068,1.4406997726279127,-18.47108421068068,-0.00028280984,-20.242255414787127,-18.471084210680683,-16.61405728615665,0.0,-16.61405728615665,1048000,0.0,0.016621076
79,0.7263411930893702,-18.304071211391253,7.624632,-19.529150497855372,10,10,0.0,5.8628426,0.0,79,114.90306,-18.30407121139125,0.7263411930893702,-18.30407121139125,0.0010651512,-19.529150497855372,-18.304071211391253,-17.298138944711503,0.0,-17.298138944711503,1060000,0.0,0.016838254
80,0.7018069985399873,-17.963043222889336,7.624632,-18.711490579149377,10,10,0.0,5.8082013,0.0,80,114.38325,-17.963043222889336,0.7018069985399873,-17.963043222889336,-0.00067874696,-18.711490579149377,-17.963043222889336,-16.360880083424675,0.0,-16.360880083424675,1072000,0.0,0.015764294
81,1.302739008963546,-18.380025398086914,7.624632,-21.651127266518944,10,10,0.0,5.663086,0.0,81,114.18406,-18.38002539808692,1.302739008963546,-18.38002539808692,0.00087400235,-21.651127266518944,-18.380025398086914,-16.847863667262068,0.0,-16.847863667262068,1084000,0.0,0.016364692
82,1.6816376722892685,-18.111576255711793,7.624632,-22.66481468973837,10,10,0.0,5.6427746,0.0,82,113.82829,-18.111576255711793,1.6816376722892685,-18.111576255711793,-0.0008962232,-22.66481468973837,-18.111576255711793,-16.0157471672266,0.0,-16.0157471672266,1096000,0.0,0.015833775
83,1.6491454569527806,-18.457946863340034,7.624632,-21.102081388091047,10,10,0.0,5.5894513,0.0,83,113.52503,-18.45794686334003,1.6491454569527806,-18.45794686334003,0.0003716278,-21.102081388091047,-18.457946863340034,-16.188173054429647,0.0,-16.188173054429647,1108000,0.0,0.016279016
84,0.6511382550121965,-17.28991536535984,7.624632,-18.23175654909479,10,10,0.0,5.5332227,0.0,84,113.20493,-17.28991536535984,0.6511382550121965,-17.28991536535984,-0.00023751895,-18.23175654909479,-17.28991536535984,-16.41884184606979,0.0,-16.41884184606979,1120000,0.0,0.015924396
85,1.2738133212165432,-18.241675977273996,7.624632,-21.244785625827856,10,10,0.0,5.5044355,0.0,85,113.04239,-18.241675977274003,1.2738133212165432,-18.241675977274003,0.0006527214,-21.244785625827856,-18.241675977273996,-16.475400572275124,0.0,-16.475400572275124,1132000,0.0,0.016216876
86,1.4305230050849105,-18.19813931243239,7.624632,-21.215075897381762,10,10,0.0,5.4205465,0.0,86,112.706894,-18.19813931243238,1.4305230050849105,-18.19813931243238,-4.5698227e-05,-21.215075897381762,-18.19813931243239,-16.550077372307545,0.0,-16.550077372307545,1144000,0.0,0.015929744
87,1.0903088504759206,-17.76474251332073,7.624632,-19.848075078888847,10,10,0.0,5.259441,0.0,87,112.36144,-17.764742513320734,1.0903088504759206,-17.764742513320734,0.0003916825,-19.848075078888847,-17.76474251332073,-16.72015960651087,0.0,-16.72015960651087,1156000,0.0,0.015475122
88,0.5786022592830196,-18.102359796930845,7.624632,-19.09599559742852,10,10,0.0,5.227605,0.0,88,112.16764,-18.10235979693085,0.5786022592830196,-18.10235979693085,-0.00016620844,-19.09599559742852,-18.102359796930845,-16.86573101756522,0.0,-16.86573101756522,1168000,0.0,0.015531514
89,0.5458817742108585,-17.442799846214378,7.624632,-18.513518080017352,10,10,0.0,5.2275567,0.0,89,111.97047,-17.442799846214378,0.5458817742108585,-17.442799846214378,-4.0902003e-05,-18.513518080017352,-17.442799846214378,-16.57643402355365,0.0,-16.57643402355365,1180000,0.0,0.015465385
