MetaTest/Average/StdReturn,MetaTest/plate-slide-side-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/plate-slide-side-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-side-v1/SuccessRate,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTest/plate-slide-side-v1/MinReturn,MetaTest/plate-slide-side-v1/TerminationRate,MetaTest/plate-slide-side-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/plate-slide-side-v1/MaxReturn,MetaTest/plate-slide-side-v1/AverageDiscountedReturn,MetaTest/plate-slide-side-v1/NumTrajs
2.9569327490205675,-45.53681221895239,0,0.0,-50.501944977866,0,-45.536812218952406,0.0,10,224000,0.0,-50.501944977866,0.0,2.9569327490205675,-45.53681221895239,-40.32302706688842,-40.32302706688842,-45.536812218952406,10
22.384570318247277,-41.704297446352356,1,0.0,-65.98633755315254,1,-41.704297446352356,0.0,10,248000,0.0,-65.98633755315254,0.0,22.384570318247277,-41.704297446352356,-16.4464599064434,-16.4464599064434,-41.704297446352356,10
2.641893731797283,-27.250351548307794,2,0.0,-30.559848326423694,2,-27.250351548307798,0.0,10,272000,0.0,-30.559848326423694,0.0,2.641893731797283,-27.250351548307794,-23.96870340905017,-23.96870340905017,-27.250351548307798,10
0.02553673156889411,-58.83413488407693,3,0.0,-58.89726490964564,3,-58.834134884076924,0.0,10,296000,0.0,-58.89726490964564,0.0,0.02553673156889411,-58.83413488407693,-58.79237195174211,-58.79237195174211,-58.834134884076924,10
16.87042292860498,-39.1760556716513,4,0.0,-65.76608873441484,4,-39.176055671651284,0.1,10,320000,0.1,-65.76608873441484,0.0,16.87042292860498,-39.1760556716513,-23.884548801687522,-23.884548801687522,-39.176055671651284,10
2.3992389441515014,-37.9967628852868,5,0.0,-43.730666699951286,5,-37.9967628852868,0.0,10,344000,0.0,-43.730666699951286,0.0,2.3992389441515014,-37.9967628852868,-33.493534384499576,-33.493534384499576,-37.9967628852868,10
814.8343533720441,277.87453067176943,6,0.0,-81.25328987526939,6,277.87453067176966,0.0,10,368000,0.0,-81.25328987526939,0.0,814.8343533720441,277.87453067176943,2701.706555323451,2701.706555323451,277.87453067176966,10
7641.913476428571,7856.88286131519,7,0.0,-62.07797200752487,7,7856.882861315191,0.0,10,392000,0.0,-62.07797200752487,0.0,7641.913476428571,7856.88286131519,22507.99456969254,22507.99456969254,7856.882861315191,10
5764.0183151360025,4110.857567797926,8,0.0,-74.3714999652049,8,4110.857567797924,0.0,10,416000,0.0,-74.3714999652049,0.0,5764.0183151360025,4110.857567797926,16546.85727240042,16546.85727240042,4110.857567797924,10
7662.706270097442,2700.699759753332,9,0.0,-49.294463958421744,9,2700.699759753332,0.0,10,440000,0.0,-49.294463958421744,0.0,7662.706270097442,2700.699759753332,25667.38943186043,25667.38943186043,2700.699759753332,10
5718.302089525956,5601.102291052941,10,0.0,-118.16013191938488,10,5601.102291052942,0.1,10,464000,0.1,-118.16013191938488,0.0,5718.302089525956,5601.102291052941,12600.39877828151,12600.39877828151,5601.102291052942,10
4161.530525980736,1990.251048042253,11,0.0,-101.5434839581404,11,1990.2510480422534,0.0,10,488000,0.0,-101.5434839581404,0.0,4161.530525980736,1990.251048042253,12700.772310411725,12700.772310411725,1990.2510480422534,10
7393.181006536582,3738.246819474663,12,0.0,-36.6313924154837,12,3738.2468194746607,0.0,10,512000,0.0,-36.6313924154837,0.0,7393.181006536582,3738.246819474663,23910.56872062548,23910.56872062548,3738.2468194746607,10
29355.293653391087,23584.316141759587,13,0.0,-98.87018264209013,13,23584.31614175959,0.0,10,536000,0.0,-98.87018264209013,0.0,29355.293653391087,23584.316141759587,72260.35826350369,72260.35826350369,23584.31614175959,10
23300.329215316156,14514.401431262979,14,0.0,-61.51161512961868,14,14514.401431262973,0.0,10,560000,0.0,-61.51161512961868,0.0,23300.329215316156,14514.401431262979,66001.70856380963,66001.70856380963,14514.401431262973,10
28830.535862963112,14904.54813484982,15,0.0,-48.02691669516398,15,14904.548134849825,0.3,10,584000,0.3,-48.02691669516398,0.0,28830.535862963112,14904.54813484982,73992.72368220366,73992.72368220366,14904.548134849825,10
40344.97024751723,21612.308331385175,16,0.0,-56.55882371271114,16,21612.30833138519,0.1,10,608000,0.1,-56.55882371271114,0.0,40344.97024751723,21612.308331385175,106207.78548289133,106207.78548289133,21612.30833138519,10
8242.953696732277,4027.49926628513,17,0.0,-54.996097897570365,17,4027.499266285128,0.2,10,632000,0.2,-54.996097897570365,0.0,8242.953696732277,4027.49926628513,27491.33984496904,27491.33984496904,4027.499266285128,10
5617.325565645685,3403.5862952162447,18,0.0,-60.768424260471804,18,3403.586295216247,0.0,10,656000,0.0,-60.768424260471804,0.0,5617.325565645685,3403.5862952162447,16739.829089917526,16739.829089917526,3403.586295216247,10
12726.84629794674,8273.195911931776,19,0.0,-143.67972385955883,19,8273.195911931773,0.0,10,680000,0.0,-143.67972385955883,0.0,12726.84629794674,8273.195911931776,40633.517784825286,40633.517784825286,8273.195911931773,10
3350.6542717852053,1077.1449753539227,20,0.0,-91.08721665551549,20,1077.1449753539225,0.1,10,704000,0.1,-91.08721665551549,0.0,3350.6542717852053,1077.1449753539227,11128.750798948733,11128.750798948733,1077.1449753539225,10
