MetaTest/pick-place-wall-v1/MinReturn,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/pick-place-wall-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/pick-place-wall-v1/MaxReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/pick-place-wall-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/pick-place-wall-v1/AverageDiscountedReturn,MetaTest/pick-place-wall-v1/AverageReturn,MetaTest/pick-place-wall-v1/Iteration,MetaTrain/Average/AlphaLoss,MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/pick-place-wall-v1/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/pick-place-wall-v1/NumEpisodes
-58.51887994910917,56000,-38.31033458926712,0.0,1.2035396,-23.96803456078862,0.0,8.356902,0,-23.96803456078862,11.593173341667535,11.593173341667535,-58.51887994910917,-38.31033458926712,-38.31033458926712,0,6.2634416,0.9307046,-0.2955003,0.0,-38.31033458926712,0.0,10,10
-54.991784870119226,62000,-38.826013901994244,0.0,2.4449844,-26.46030698878844,0.0,8.103879,1,-26.46030698878844,7.9211845360179485,7.9211845360179485,-54.991784870119226,-38.82601390199425,-38.826013901994244,1,5.437159,0.8087439,4.471007,0.0,-38.82601390199425,0.0,10,10
-41.528162106813454,68000,-35.704279903594575,0.0,6.4066415,-24.48274517003109,0.0,8.381262,2,-24.48274517003109,5.624405239878141,5.624405239878141,-41.528162106813454,-35.70427990359458,-35.704279903594575,2,4.740586,0.7065941,9.903475,0.0,-35.70427990359458,0.0,10,10
-67.09536350155632,74000,-40.92408476708249,0.0,7.007326,-25.653704416111307,0.0,7.820898,3,-25.653704416111307,10.792566053698517,10.792566053698517,-67.09536350155632,-40.92408476708249,-40.92408476708249,3,4.1439757,0.61949766,16.132883,0.0,-40.92408476708249,0.0,10,10
-39.920241838136896,80000,-29.69332695618102,0.0,6.3639746,-24.65124079947737,0.0,11.160164,4,-24.65124079947737,4.95084273651826,4.95084273651826,-39.920241838136896,-29.69332695618103,-29.69332695618102,4,3.6228943,0.54408765,21.77459,0.0,-29.69332695618103,0.0,10,10
-33.31981766983574,86000,-27.141922884213024,0.0,8.167428,-23.788860426667643,0.0,7.710489,5,-23.788860426667643,2.703343600312353,2.703343600312353,-33.31981766983574,-27.141922884213027,-27.141922884213024,5,3.1603243,0.47854713,29.172886,0.0,-27.141922884213027,0.0,10,10
-30.74204184209248,92000,-28.781532171335595,0.0,8.066665,-25.196154640408885,0.0,7.621979,6,-25.196154640408885,1.7268064832499352,1.7268064832499352,-30.74204184209248,-28.781532171335602,-28.781532171335595,6,2.7479267,0.42124316,37.150574,0.0,-28.781532171335602,0.0,10,10
-30.82020153367191,98000,-26.169694662306124,0.0,8.550992,-21.192224035523523,0.0,7.622008,7,-21.192224035523523,2.9950033305464006,2.9950033305464006,-30.82020153367191,-26.169694662306124,-26.169694662306124,7,2.3874247,0.37097365,44.221954,0.0,-26.169694662306124,0.0,10,10
-33.40932740718326,104000,-26.952379066304395,0.0,9.239803,-21.626062512943424,0.0,7.6241674,8,-21.626062512943424,3.601349047862205,3.601349047862205,-33.40932740718326,-26.952379066304395,-26.952379066304395,8,2.0593078,0.32706356,50.932384,0.0,-26.952379066304395,0.0,10,10
-35.072335873940794,110000,-30.77655639277068,0.0,9.538246,-24.12915234101583,0.0,7.6261473,9,-24.12915234101583,3.3400467950654424,3.3400467950654424,-35.072335873940794,-30.77655639277068,-30.77655639277068,9,1.7744201,0.2885513,57.75023,0.0,-30.77655639277068,0.0,10,10
-33.73243999990714,116000,-30.321846079797957,0.0,10.407977,-21.91462053154629,0.0,7.750659,10,-21.91462053154629,3.5030046396829126,3.5030046396829126,-33.73243999990714,-30.32184607979795,-30.321846079797957,10,1.5195506,0.2546652,63.964363,0.0,-30.32184607979795,0.0,10,10
-30.72022749284077,122000,-27.48297927592275,0.0,10.205906,-22.225533241086257,0.0,7.6325383,11,-22.225533241086257,2.690233286241056,2.690233286241056,-30.72022749284077,-27.48297927592275,-27.48297927592275,11,1.2988516,0.2248642,69.66761,0.0,-27.48297927592275,0.0,10,10
-34.05621637092523,128000,-30.641829090702352,0.0,10.772302,-26.921267870381246,0.0,7.6272893,12,-26.921267870381246,2.339273922123713,2.339273922123713,-34.05621637092523,-30.641829090702352,-30.641829090702352,12,1.1093472,0.19866638,75.79887,0.0,-30.641829090702352,0.0,10,10
-25.63979884444752,134000,-22.49396615047582,0.0,10.788339,-19.010396400827343,0.0,7.7262793,13,-19.010396400827343,1.9620914468458177,1.9620914468458177,-25.63979884444752,-22.49396615047582,-22.49396615047582,13,0.94811505,0.1755881,80.81958,0.0,-22.49396615047582,0.0,10,10
-28.978518157433207,140000,-23.759364956401047,0.0,11.712301,-19.70763823216092,0.0,7.629567,14,-19.70763823216092,3.2674874633743887,3.2674874633743887,-28.978518157433207,-23.759364956401043,-23.759364956401047,14,0.8076263,0.15520853,85.64908,0.0,-23.759364956401043,0.0,10,10
-22.6792403039354,146000,-19.883308250907113,0.0,12.149055,-17.984242902508882,0.0,7.63803,15,-17.984242902508882,1.4959053619811746,1.4959053619811746,-22.6792403039354,-19.883308250907113,-19.883308250907113,15,0.6890105,0.13721213,89.93586,0.0,-19.883308250907113,0.0,10,10
