MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/reach-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/reach-v1/SuccessRate,MetaTrain/Average/PolicyLoss,TotalEnvSteps,MetaTest/reach-v1/MaxReturn,MetaTest/reach-v1/Iteration,MetaTrain/Average/Alpha,MetaTest/reach-v1/StdReturn,MetaTest/reach-v1/NumEpisodes,MetaTest/reach-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/reach-v1/AverageReturn,MetaTest/reach-v1/TerminationRate,MetaTest/Average/MaxReturn
8794.964301100534,0.0,0,1059.7230360617339,1059.7230360617339,0.0,10,5517.386848506354,50273.477,8794.964301100534,5306627.0,0.0,-7267.812,112000,23126.393506758453,0,1.0354426,5517.386848506354,10,8794.964301100534,-0.87446105,8794.964301100534,0.0,23126.393506758453
3884.598415672449,0.0,1,2014.3991529169623,2014.3991529169623,0.0,10,1855.594983619271,22456.385,3884.5984156724503,5904079.0,0.0,-17494.71,124000,7886.077682470539,1,1.336336,1855.594983619271,10,3884.5984156724503,-5.403155,3884.598415672449,0.0,7886.077682470539
18671.229601217638,0.0,2,240.74772088935688,240.74772088935688,0.0,10,51164.1907278755,10176.018,18671.229601217638,5219569.0,0.0,-18752.016,136000,172065.76362844114,2,1.6946497,51164.1907278755,10,18671.229601217638,-2.7196941,18671.229601217638,0.0,172065.76362844114
2560.0686796317787,0.0,3,319.56099973092023,319.56099973092023,0.0,10,4787.948679598428,1959.0222,2560.068679631778,4190831.0,0.0,-20696.969,148000,16232.268472890322,3,2.285422,4787.948679598428,10,2560.068679631778,-12.7005825,2560.0686796317787,0.0,16232.268472890322
61345.11016800355,0.1,4,34293.98902994248,34293.98902994248,0.0,10,29029.396858246768,1065.4873,61345.110168003535,3936032.2,0.1,-34461.45,160000,127955.94578925853,4,3.3780563,29029.396858246768,10,61345.110168003535,-26.619547,61345.11016800355,0.0,127955.94578925853
75509.39441671796,0.0,5,6752.301139385365,6752.301139385365,0.0,10,47104.56818742681,933.3817,75509.39441671797,4146372.2,0.0,-53585.81,172000,157940.00967183098,5,4.911162,47104.56818742681,10,75509.39441671797,-45.561123,75509.39441671796,0.0,157940.00967183098
39352.93962237162,0.2,6,10099.768565456925,10099.768565456925,0.0,10,25153.35139748934,4768.903,39352.93962237162,5318367.5,0.2,-96285.33,184000,83609.21254737486,6,7.0184493,25153.35139748934,10,39352.93962237162,-70.17798,39352.93962237162,0.0,83609.21254737486
19695.074887770625,0.0,7,3653.8835394770426,3653.8835394770426,0.0,10,20087.494964549154,3160.5044,19695.07488777063,5323375.5,0.0,-128177.13,196000,74509.84896387764,7,9.901068,20087.494964549154,10,19695.07488777063,-94.52045,19695.074887770625,0.0,74509.84896387764
71057.66979306204,0.1,8,37482.7281126258,37482.7281126258,0.0,10,25084.225925661427,3390.9565,71057.669793062,5373156.5,0.1,-145563.78,208000,116855.23811187726,8,13.803137,25084.225925661427,10,71057.669793062,-120.413025,71057.66979306204,0.0,116855.23811187726
64611.866974764635,0.1,9,30760.049299156213,30760.049299156213,0.0,10,32399.004376507033,2960.4575,64611.866974764656,5434317.5,0.1,-159235.3,220000,134648.49003178565,9,19.077555,32399.004376507033,10,64611.866974764656,-138.66908,64611.866974764635,0.0,134648.49003178565
94294.04021229355,0.4,10,17569.598243916866,17569.598243916866,0.0,10,59589.414412168764,2202.532,94294.04021229356,5634699.5,0.4,-176154.38,232000,174207.57535514556,10,26.117353,59589.414412168764,10,94294.04021229356,-154.76248,94294.04021229355,0.0,174207.57535514556
62682.71496220222,0.1,11,38211.22757846545,38211.22757846545,0.0,10,33725.04838444233,1430.2772,62682.71496220222,5944223.0,0.1,-191456.16,244000,158532.89057775165,11,35.60406,33725.04838444233,10,62682.71496220222,-166.49174,62682.71496220222,0.0,158532.89057775165
66173.83078264863,0.3,12,41179.653250249925,41179.653250249925,0.0,10,25293.420934147583,1368.299,66173.83078264861,6463623.5,0.3,-203420.22,256000,133112.6749290848,12,48.179016,25293.420934147583,10,66173.83078264861,-173.58852,66173.83078264863,0.0,133112.6749290848
102451.33833767773,0.1,13,40533.08572045931,40533.08572045931,0.0,10,39830.93186422399,1116.9229,102451.33833767775,7176974.5,0.1,-214598.08,268000,159459.2723248829,13,65.29968,39830.93186422399,10,102451.33833767775,-180.39153,102451.33833767773,0.0,159459.2723248829
82790.81891334888,0.1,14,26772.264036703164,26772.264036703164,0.0,10,45255.913191380416,878.926,82790.81891334885,7958603.0,0.1,-219318.47,280000,196933.07887597193,14,85.507545,45255.913191380416,10,82790.81891334885,-137.4906,82790.81891334888,0.0,196933.07887597193
89460.11916853816,0.1,15,26538.7136084349,26538.7136084349,0.0,10,57398.13399618539,586.35394,89460.11916853816,8577443.0,0.1,-219819.81,292000,183328.1561788588,15,108.4191,57398.13399618539,10,89460.11916853816,-90.870705,89460.11916853816,0.0,183328.1561788588
43481.66761679961,0.0,16,413.45682385295396,413.45682385295396,0.0,10,29227.50553605974,607.2352,43481.66761679961,9601403.0,0.0,-220911.48,304000,103483.47051854062,16,128.48538,29227.50553605974,10,43481.66761679961,-44.513844,43481.66761679961,0.0,103483.47051854062
67227.97601085037,0.1,17,31052.0864124905,31052.0864124905,0.0,10,47804.63687530498,688.3078,67227.97601085037,11040400.0,0.1,-227950.39,316000,190293.78320839294,17,145.22462,47804.63687530498,10,67227.97601085037,-22.887661,67227.97601085037,0.0,190293.78320839294
89224.9574948309,0.3,18,47885.35423467234,47885.35423467234,0.0,10,39020.728044329735,688.9561,89224.95749483089,12646774.0,0.3,-247951.64,328000,154882.26538075626,18,164.5614,39020.728044329735,10,89224.95749483089,-51.91893,89224.9574948309,0.0,154882.26538075626
77819.11565413912,0.2,19,11324.69770413904,11324.69770413904,0.0,10,45849.5107715452,723.19147,77819.11565413917,14907191.0,0.2,-268049.53,340000,185508.16599482865,19,197.62567,45849.5107715452,10,77819.11565413917,-62.548008,77819.11565413912,0.0,185508.16599482865
