MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/reach-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/reach-v1/SuccessRate,MetaTrain/Average/PolicyLoss,TotalEnvSteps,MetaTest/reach-v1/MaxReturn,MetaTest/reach-v1/Iteration,MetaTrain/Average/Alpha,MetaTest/reach-v1/StdReturn,MetaTest/reach-v1/NumEpisodes,MetaTest/reach-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/reach-v1/AverageReturn,MetaTest/reach-v1/TerminationRate,MetaTest/Average/MaxReturn
58607.43149064344,0.2,20,35315.42019566298,35315.42019566298,0.0,10,17412.596147511715,797.59564,58607.43149064345,16990126.0,0.2,-293522.12,352000,87225.46432494861,20,228.94969,17412.596147511715,10,58607.43149064345,-40.55743,58607.43149064344,0.0,87225.46432494861
79446.76832567777,0.2,21,40386.34209336039,40386.34209336039,0.0,10,32096.49829584283,710.3718,79446.76832567778,18085688.0,0.2,-295672.25,364000,153002.60048172655,21,242.52525,32096.49829584283,10,79446.76832567778,-12.988453,79446.76832567777,0.0,153002.60048172655
39043.19578980443,0.0,22,2323.586510225917,2323.586510225917,0.0,10,18266.495913340645,741.74817,39043.19578980443,18731514.0,0.0,-305347.84,376000,62198.004301329725,22,247.24529,18266.495913340645,10,39043.19578980443,7.83543,39043.19578980443,0.0,62198.004301329725
63236.050157645834,0.1,23,20604.00640754707,20604.00640754707,0.0,10,33932.52737429664,784.0945,63236.05015764581,19966042.0,0.1,-314989.44,388000,113372.72369046009,23,246.19693,33932.52737429664,10,63236.05015764581,-3.6826398,63236.050157645834,0.0,113372.72369046009
62511.15880561649,0.1,24,15033.384632485762,15033.384632485762,0.0,10,60590.34008510915,771.6814,62511.15880561649,22835632.0,0.1,-322778.8,400000,238213.39070736401,24,246.5189,60590.34008510915,10,62511.15880561649,-10.499316,62511.15880561649,0.0,238213.39070736401
81086.23535381543,0.1,25,3249.189241469337,3249.189241469337,0.0,10,52320.60976250049,944.6601,81086.23535381541,24282166.0,0.1,-331072.62,412000,181725.51792624363,25,250.19588,52320.60976250049,10,81086.23535381541,2.0630605,81086.23535381543,0.0,181725.51792624363
44409.99801837547,0.1,26,2096.562440519547,2096.562440519547,0.0,10,46103.08968856735,826.0937,44409.99801837547,26294146.0,0.1,-342108.16,424000,155217.08085246818,26,251.36864,46103.08968856735,10,44409.99801837547,-3.1206522,44409.99801837547,0.0,155217.08085246818
66320.03072929318,0.0,27,26833.87221181278,26833.87221181278,0.0,10,35533.62632063268,885.34796,66320.0307292932,28196606.0,0.0,-350232.3,436000,143152.17276509924,27,261.97565,35533.62632063268,10,66320.0307292932,-9.052157,66320.03072929318,0.0,143152.17276509924
63509.91178477874,0.1,28,17726.059291354064,17726.059291354064,0.0,10,54783.473390958825,806.95746,63509.91178477876,30843192.0,0.1,-355087.5,448000,212603.55889646037,28,261.00577,54783.473390958825,10,63509.91178477876,5.11462,63509.91178477874,0.0,212603.55889646037
74942.03483716749,0.2,29,14573.950585471759,14573.950585471759,0.0,10,84591.75323678882,612.5028,74942.0348371675,31030782.0,0.2,-351395.7,460000,293974.38533944037,29,249.47687,84591.75323678882,10,74942.0348371675,20.498056,74942.03483716749,0.0,293974.38533944037
72629.99290555815,0.1,30,21111.592507074452,21111.592507074452,0.0,10,68472.27517993611,792.76355,72629.99290555816,32565630.0,0.1,-355016.25,472000,233535.6356957562,30,234.68259,68472.27517993611,10,72629.99290555816,24.243797,72629.99290555815,0.0,233535.6356957562
73963.87743124273,0.1,31,27925.346267507928,27925.346267507928,0.0,10,49397.70797192488,815.1041,73963.8774312427,32823978.0,0.1,-359029.6,484000,175879.24273323524,31,228.62595,49397.70797192488,10,73963.8774312427,-0.25606835,73963.87743124273,0.0,175879.24273323524
64633.02998952214,0.0,32,23338.860424763534,23338.860424763534,0.0,10,34726.25456217109,651.2074,64633.02998952214,32439856.0,0.0,-356055.66,496000,149031.0601526155,32,220.70169,34726.25456217109,10,64633.02998952214,29.285954,64633.02998952214,0.0,149031.0601526155
69617.50579545765,0.0,33,17212.78850616787,17212.78850616787,0.0,10,33570.17860126657,715.2974,69617.50579545766,35595340.0,0.0,-369846.84,508000,109164.8999991663,33,206.08144,33570.17860126657,10,69617.50579545766,9.276819,69617.50579545765,0.0,109164.8999991663
84229.65554487782,0.2,34,32321.862149160555,32321.862149160555,0.0,10,49000.60577325678,856.0995,84229.65554487781,36615010.0,0.2,-376744.5,520000,187963.09414777067,34,200.74582,49000.60577325678,10,84229.65554487781,4.150564,84229.65554487782,0.0,187963.09414777067
95792.69506916427,0.2,35,39820.33258476627,39820.33258476627,0.0,10,65007.89861650487,958.7638,95792.69506916426,39391616.0,0.2,-379792.3,532000,252006.83276398486,35,197.08003,65007.89861650487,10,95792.69506916426,1.2763106,95792.69506916427,0.0,252006.83276398486
86229.48089172924,0.1,36,20161.29413290936,20161.29413290936,0.0,10,51117.565567105514,1147.5016,86229.48089172925,43380616.0,0.1,-384529.88,544000,193068.31679716668,36,200.42203,51117.565567105514,10,86229.48089172925,-6.6418595,86229.48089172924,0.0,193068.31679716668
103875.94456302913,0.2,37,40150.66781558654,40150.66781558654,0.0,10,34543.519313139295,1172.795,103875.94456302912,43391988.0,0.2,-381341.0,556000,160287.47375565837,37,198.02032,34543.519313139295,10,103875.94456302912,13.006135,103875.94456302913,0.0,160287.47375565837
93684.05870708126,0.1,38,40745.653456512075,40745.653456512075,0.0,10,62700.56521402927,1368.3373,93684.05870708129,47424710.0,0.1,-383347.66,568000,226642.47631824395,38,193.75584,62700.56521402927,10,93684.05870708129,-1.4593405,93684.05870708126,0.0,226642.47631824395
111908.98585025148,0.2,39,32822.0899908587,32822.0899908587,0.0,10,97048.45862714142,1101.7133,111908.98585025159,50014584.0,0.2,-374464.62,580000,341606.9112689275,39,195.01035,97048.45862714142,10,111908.98585025159,0.41813233,111908.98585025148,0.0,341606.9112689275
74672.81054950572,0.0,40,29252.750133710742,29252.750133710742,0.0,10,39396.70469017479,773.0151,74672.81054950571,50770356.0,0.0,-378595.2,592000,157983.3119255007,40,191.3614,39396.70469017479,10,74672.81054950571,9.70899,74672.81054950572,0.0,157983.3119255007
65885.1254810484,0.1,41,27169.17221615266,27169.17221615266,0.0,10,32638.313639742104,1132.849,65885.1254810484,53390772.0,0.1,-372696.16,604000,141635.3879465734,41,183.84303,32638.313639742104,10,65885.1254810484,22.570763,65885.1254810484,0.0,141635.3879465734
59580.608593477366,0.2,42,8722.506921335578,8722.506921335578,0.0,10,36966.48659221019,1833.5829,59580.60859347736,49214836.0,0.2,-342342.1,616000,122652.08049541796,42,163.71059,36966.48659221019,10,59580.60859347736,52.613064,59580.608593477366,0.0,122652.08049541796
80678.50573608441,0.2,43,27183.307815270895,27183.307815270895,0.0,10,52858.75369056961,2412.701,80678.50573608441,43833030.0,0.2,-308498.2,628000,211928.98902812487,43,131.84747,52858.75369056961,10,80678.50573608441,53.657368,80678.50573608441,0.0,211928.98902812487
117866.48208489567,0.3,44,34889.92821141041,34889.92821141041,0.0,10,65057.951317297084,2553.9866,117866.48208489567,45522068.0,0.3,-322277.25,640000,215821.86818347292,44,122.85638,65057.951317297084,10,117866.48208489567,1.0669078,117866.48208489567,0.0,215821.86818347292
96208.101890765,0.4,45,44783.158651656806,44783.158651656806,0.0,10,33889.234269715256,2667.676,96208.10189076499,48801252.0,0.4,-324028.1,652000,178288.4910539816,45,128.84174,33889.234269715256,10,96208.10189076499,15.26037,96208.101890765,0.0,178288.4910539816
67753.84377924018,0.3,46,15608.187520339414,15608.187520339414,0.0,10,39698.249773863354,71942.26,67753.84377924018,62853736.0,0.3,-223051.75,664000,126790.60496256087,46,110.68532,39698.249773863354,10,67753.84377924018,49.967327,67753.84377924018,0.0,126790.60496256087
100001.91905814905,0.1,47,47502.47750080745,47502.47750080745,0.0,10,44551.27976753864,7129.0977,100001.91905814903,36575850.0,0.1,-230714.3,676000,157125.8184127908,47,97.8082,44551.27976753864,10,100001.91905814903,11.472246,100001.91905814905,0.0,157125.8184127908
81029.17040568982,0.3,48,36592.888497199514,36592.888497199514,0.0,10,48258.89111839495,4030.7678,81029.17040568983,39695424.0,0.3,-280042.06,688000,184702.9572273797,48,108.689514,48258.89111839495,10,81029.17040568983,-33.962276,81029.17040568982,0.0,184702.9572273797
64915.26909129527,0.4,49,28182.983331851457,28182.983331851457,0.0,10,28010.203315426344,3200.4756,64915.26909129527,39556564.0,0.4,-294915.9,700000,112410.66661560272,49,123.98655,28010.203315426344,10,64915.26909129527,-14.901371,64915.26909129527,0.0,112410.66661560272
63938.778005495515,0.0,50,40540.20287288167,40540.20287288167,0.0,10,28855.43625849799,2531.996,63938.77800549555,39264584.0,0.0,-316269.38,712000,127114.03095210055,50,133.57484,28855.43625849799,10,63938.77800549555,-12.38716,63938.778005495515,0.0,127114.03095210055
63644.71964118596,0.0,51,25142.523138712215,25142.523138712215,0.0,10,20613.272745240043,1513.8165,63644.71964118595,39735844.0,0.0,-327411.53,724000,102714.35536307437,51,140.9189,20613.272745240043,10,63644.71964118595,-3.2770467,63644.71964118596,0.0,102714.35536307437
76490.29669503987,0.1,52,29806.33993703611,29806.33993703611,0.0,10,51552.95056169194,2953.234,76490.29669503985,42317996.0,0.1,-346503.7,736000,193968.1624350051,52,143.22456,51552.95056169194,10,76490.29669503985,-5.823787,76490.29669503987,0.0,193968.1624350051
103762.99439174277,0.1,53,46766.92031814431,46766.92031814431,0.0,10,36314.357857288946,4587.159,103762.99439174277,50870544.0,0.1,-382051.03,748000,169849.5505571754,53,151.1261,36314.357857288946,10,103762.99439174277,-12.933671,103762.99439174277,0.0,169849.5505571754
121086.75777366091,0.2,54,52559.36614362662,52559.36614362662,0.0,10,48028.32268570426,3079.6445,121086.7577736609,47632310.0,0.2,-382118.28,760000,213132.37159810573,54,157.11794,48028.32268570426,10,121086.7577736609,-2.9871073,121086.75777366091,0.0,213132.37159810573
95776.67260563867,0.1,55,40401.73828894222,40401.73828894222,0.0,10,43710.12986809329,3436.2625,95776.67260563865,47968612.0,0.1,-384299.78,772000,172863.27426386665,55,161.5148,43710.12986809329,10,95776.67260563865,-2.3096287,95776.67260563867,0.0,172863.27426386665
111848.74311397027,0.2,56,46648.769664341555,46648.769664341555,0.0,10,62931.88183984982,3790.3364,111848.74311397027,52457940.0,0.2,-413251.47,784000,220320.12592883862,56,164.35013,62931.88183984982,10,111848.74311397027,-1.4105598,111848.74311397027,0.0,220320.12592883862
126962.21724263711,0.4,57,50569.475925845894,50569.475925845894,0.0,10,64801.96257596032,3616.688,126962.2172426371,48773012.0,0.4,-399120.6,796000,234337.64132427875,57,154.66371,64801.96257596032,10,126962.2172426371,22.192995,126962.21724263711,0.0,234337.64132427875
81284.49743351832,0.1,58,38272.85820307533,38272.85820307533,0.0,10,32115.57256501543,3051.849,81284.49743351832,48629684.0,0.1,-407258.7,808000,134617.33205312886,58,147.93513,32115.57256501543,10,81284.49743351832,2.0357442,81284.49743351832,0.0,134617.33205312886
94496.10928378909,0.0,59,58026.12658353985,58026.12658353985,0.0,10,32804.02735693591,4192.883,94496.10928378909,51950692.0,0.0,-414636.53,820000,153833.15530290804,59,147.26935,32804.02735693591,10,94496.10928378909,-0.4881654,94496.10928378909,0.0,153833.15530290804
94157.67996460981,0.1,60,47104.44720822514,47104.44720822514,0.0,10,54202.77249781518,3414.8467,94157.67996460982,51513936.0,0.1,-420932.5,832000,242539.77709375054,60,149.13203,54202.77249781518,10,94157.67996460982,-10.229742,94157.67996460981,0.0,242539.77709375054
97775.30815569132,0.1,61,32641.266462330062,32641.266462330062,0.0,10,54296.31059511048,2468.1494,97775.30815569132,50266876.0,0.1,-410706.44,844000,205445.42664188438,61,152.1619,54296.31059511048,10,97775.30815569132,22.973427,97775.30815569132,0.0,205445.42664188438
91345.31375513985,0.3,62,50367.63678065879,50367.63678065879,0.0,10,31697.698462681285,1647.3386,91345.31375513985,47978880.0,0.3,-421274.06,856000,164552.80762016014,62,142.22966,31697.698462681285,10,91345.31375513985,-7.446028,91345.31375513985,0.0,164552.80762016014
97557.24057389822,0.0,63,19701.8867244467,19701.8867244467,0.0,10,43873.946501308485,2076.37,97557.24057389819,49423270.0,0.0,-412756.5,868000,144691.4580518703,63,142.23785,43873.946501308485,10,97557.24057389819,-2.5773752,97557.24057389822,0.0,144691.4580518703
89866.29146204526,0.0,64,42239.94730146733,42239.94730146733,0.0,10,33548.58464801092,1903.6124,89866.29146204528,45863280.0,0.0,-415834.38,880000,153451.48078397167,64,141.46822,33548.58464801092,10,89866.29146204528,10.165008,89866.29146204526,0.0,153451.48078397167
71542.97418110864,0.0,65,19534.41175802509,19534.41175802509,0.0,10,35319.17300219658,1922.2252,71542.97418110863,56769084.0,0.0,-418585.5,892000,145069.8160099985,65,143.07939,35319.17300219658,10,71542.97418110863,-5.811244,71542.97418110864,0.0,145069.8160099985
98948.44643830878,0.2,66,53035.415396163036,53035.415396163036,0.0,10,39007.31564682485,2152.2021,98948.4464383088,53467372.0,0.2,-434577.3,904000,195875.15810471686,66,151.52907,39007.31564682485,10,98948.4464383088,-15.000036,98948.44643830878,0.0,195875.15810471686
103534.98263332753,0.3,67,37501.44099035871,37501.44099035871,0.0,10,54919.05101972996,2079.6528,103534.98263332751,54782216.0,0.3,-442330.1,916000,186468.20716174046,67,155.08221,54919.05101972996,10,103534.98263332751,3.8070037,103534.98263332753,0.0,186468.20716174046
76509.26280719209,0.1,68,36091.2781355,36091.2781355,0.0,10,44344.10526888284,2150.184,76509.26280719209,53822384.0,0.1,-437326.16,928000,173802.04837147935,68,149.60068,44344.10526888284,10,76509.26280719209,7.3539324,76509.26280719209,0.0,173802.04837147935
97931.78847923024,0.2,69,33103.264465133005,33103.264465133005,0.0,10,49995.27017057113,1620.795,97931.78847923024,54125908.0,0.2,-442678.12,940000,196709.38011480044,69,149.43535,49995.27017057113,10,97931.78847923024,-7.2012305,97931.78847923024,0.0,196709.38011480044
102996.62167086168,0.3,70,34196.33383330678,34196.33383330678,0.0,10,53825.90778737201,1673.8597,102996.62167086166,51669988.0,0.3,-444906.12,952000,210158.33353106736,70,152.83298,53825.90778737201,10,102996.62167086166,-1.5199958,102996.62167086168,0.0,210158.33353106736
64332.98935994027,0.0,71,24571.917023997044,24571.917023997044,0.0,10,25473.90490070198,1904.1005,64332.989359940286,59763620.0,0.0,-460586.38,964000,102510.96409815132,71,160.45491,25473.90490070198,10,64332.989359940286,-3.582348,64332.98935994027,0.0,102510.96409815132
89852.93095088957,0.1,72,41454.126234036026,41454.126234036026,0.0,10,38667.864405544606,2038.6718,89852.93095088954,54492520.0,0.1,-448689.66,976000,168848.53002254944,72,152.77922,38667.864405544606,10,89852.93095088954,4.1573277,89852.93095088957,0.0,168848.53002254944
69855.92526093988,0.2,73,30282.02783267003,30282.02783267003,0.0,10,53463.16781127327,1939.103,69855.9252609399,54189296.0,0.2,-442379.12,988000,191617.09055324772,73,153.99597,53463.16781127327,10,69855.9252609399,0.42636132,69855.92526093988,0.0,191617.09055324772
110749.43381018055,0.3,74,61273.98609278081,61273.98609278081,0.0,10,49633.5756947755,1947.5426,110749.43381018056,52930396.0,0.3,-439730.2,1000000,218726.84601533448,74,150.81635,49633.5756947755,10,110749.43381018056,4.0930066,110749.43381018055,0.0,218726.84601533448
109877.22134263122,0.3,75,23649.498390583645,23649.498390583645,0.0,10,83089.98957526291,1628.5878,109877.22134263124,53689720.0,0.3,-442322.56,1012000,257928.7554464947,75,149.12822,83089.98957526291,10,109877.22134263124,1.0822225,109877.22134263122,0.0,257928.7554464947
112771.0430411987,0.1,76,31969.815830218886,31969.815830218886,0.0,10,79774.12966103622,1920.3467,112771.04304119867,57327576.0,0.1,-445477.2,1024000,325196.4025814304,76,149.64409,79774.12966103622,10,112771.04304119867,5.0900693,112771.0430411987,0.0,325196.4025814304
