MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTest/bin-picking-v1/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/AlphaLoss,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/bin-picking-v1/TerminationRate,MetaTest/bin-picking-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/bin-picking-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/bin-picking-v1/MinReturn,MetaTest/bin-picking-v1/Iteration,MetaTest/bin-picking-v1/AverageDiscountedReturn,MetaTest/bin-picking-v1/NumEpisodes,MetaTest/bin-picking-v1/SuccessRate,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes
1.7655215,-100.56698611594922,-156.3031836422685,0.931067,5.260897,39.59102072288943,8.072161,6.2636123,0.0,56000,0.0,-100.56698611594922,-37.01793047628243,-37.01793047628243,0,-156.3031836422685,0,-100.56698611594922,10,0.0,0.0,39.59102072288943,-100.56698611594922,10
1.1460795,-102.57227643037206,-145.27272388132343,0.80908835,18.799437,26.04700150064503,9.884349,5.4437284,0.0,62000,0.0,-102.57227643037206,-56.78122355218054,-56.78122355218054,1,-145.27272388132343,1,-102.57227643037204,10,0.0,0.0,26.04700150064503,-102.57227643037204,10
2.5241086,-82.11148587168286,-131.09381768790314,0.7070104,34.260597,37.240941818460215,7.6460342,4.749696,0.0,68000,0.0,-82.11148587168286,-29.69894042346773,-29.69894042346773,2,-131.09381768790314,2,-82.1114858716829,10,0.0,0.0,37.240941818460215,-82.1114858716829,10
3.3668966,-77.09112303147239,-134.96032969163787,0.61970043,49.593742,27.94129863732958,7.6766987,4.152779,0.0,74000,0.0,-77.09112303147239,-42.676425614450636,-42.676425614450636,3,-134.96032969163787,3,-77.09112303147239,10,0.0,0.0,27.94129863732958,-77.09112303147239,10
3.0582592,-80.32811337404256,-132.77761709852234,0.5440713,64.43983,34.437808565390675,7.9706845,3.632562,0.0,80000,0.0,-80.32811337404256,-22.00150964675248,-22.00150964675248,4,-132.77761709852234,4,-80.32811337404254,10,0.0,0.0,34.437808565390675,-80.32811337404254,10
3.5981948,-91.36086260258439,-144.6502051899809,0.4782226,80.284515,25.444366472554208,7.995313,3.1773777,0.0,86000,0.0,-91.36086260258439,-54.402612969283666,-54.402612969283666,5,-144.6502051899809,5,-91.36086260258438,10,0.0,0.0,25.444366472554208,-91.36086260258438,10
4.8728356,-79.6253650678941,-125.99845390804953,0.4207187,96.02206,22.367992961453506,7.6786914,2.7750056,0.0,92000,0.0,-79.6253650678941,-53.101843959238614,-53.101843959238614,6,-125.99845390804953,6,-79.6253650678941,10,0.0,0.0,22.367992961453506,-79.6253650678941,10
4.7441444,-53.90398633878776,-114.90377126777412,0.37038338,108.525154,28.85339001866818,7.6524982,2.4181292,0.0,98000,0.0,-53.90398633878776,-25.53681011655517,-25.53681011655517,7,-114.90377126777412,7,-53.90398633878776,10,0.0,0.0,28.85339001866818,-53.90398633878776,10
5.130947,-49.1970670443586,-84.15230838575398,0.3262262,123.183784,22.86768281768594,7.7318134,2.0981688,0.0,104000,0.0,-49.1970670443586,-27.16708703767842,-27.16708703767842,8,-84.15230838575398,8,-49.19706704435858,10,0.0,0.0,22.86768281768594,-49.19706704435858,10
5.701512,-64.05949389495183,-138.82057904701847,0.28759044,134.52707,41.650834321312125,8.27348,1.8106784,0.0,110000,0.0,-64.05949389495183,-25.40014356451051,-25.40014356451051,9,-138.82057904701847,9,-64.05949389495183,10,0.0,0.0,41.650834321312125,-64.05949389495183,10
6.228418,-52.748967665867895,-103.34159681247108,0.25373575,145.12955,20.74411400296263,7.639035,1.5556413,0.0,116000,0.0,-52.748967665867895,-28.11386683983279,-28.11386683983279,10,-103.34159681247108,10,-52.74896766586788,10,0.0,0.0,20.74411400296263,-52.74896766586788,10
6.7224793,-45.39414798432454,-112.62273546487984,0.22408642,154.98628,27.315241431838135,7.651346,1.3263733,0.0,122000,0.0,-45.39414798432454,-27.65936799257989,-27.65936799257989,11,-112.62273546487984,11,-45.394147984324555,10,0.0,0.0,27.315241431838135,-45.394147984324555,10
7.125967,-34.72056573684263,-67.65184733375438,0.19816351,163.66713,18.939526384206797,7.7010283,1.1108354,0.0,128000,0.0,-34.72056573684263,3.77575382026813,3.77575382026813,12,-67.65184733375438,12,-34.72056573684262,10,0.0,0.0,18.939526384206797,-34.72056573684262,10
7.4913235,-50.915669185100185,-109.59303047100575,0.17556736,170.63098,25.49711840080639,7.68595,0.93229336,0.0,134000,0.0,-50.915669185100185,-26.433354907935467,-26.433354907935467,13,-109.59303047100575,13,-50.915669185100185,10,0.0,0.0,25.49711840080639,-50.915669185100185,10
8.62962,-68.96282218532554,-113.68416470357303,0.15571842,179.04091,28.573929797749077,7.667004,0.7706245,0.0,140000,0.0,-68.96282218532554,-28.185360794424984,-28.185360794424984,14,-113.68416470357303,14,-68.9628221853255,10,0.0,0.0,28.573929797749077,-68.9628221853255,10
9.010515,-48.9415135455368,-81.45088221355762,0.13842824,185.73506,20.11851198800818,7.6571183,0.6211741,0.0,146000,0.0,-48.9415135455368,-27.455883467044153,-27.455883467044153,15,-81.45088221355762,15,-48.94151354553678,10,0.0,0.0,20.11851198800818,-48.94151354553678,10
9.219322,-46.257538818029495,-100.1724965145483,0.12349117,189.70076,27.198943934281672,7.725438,0.4856819,0.0,152000,0.0,-46.257538818029495,-24.49475694916967,-24.49475694916967,16,-100.1724965145483,16,-46.25753881802949,10,0.0,0.0,27.198943934281672,-46.25753881802949,10
10.381216,-27.28744368302531,-46.780215851608034,0.11049908,193.6838,19.12245086137452,7.651164,0.39048553,0.0,158000,0.0,-27.28744368302531,27.681961129147766,27.681961129147766,17,-46.780215851608034,17,-27.287443683025305,10,0.0,0.0,19.12245086137452,-27.287443683025305,10
