MetaTest/Average/NumEpisodes,MetaTrain/Average/PolicyLoss,MetaTest/handle-press-side-v1/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/handle-press-side-v1/MaxReturn,MetaTest/handle-press-side-v1/SuccessRate,MetaTest/handle-press-side-v1/AverageReturn,MetaTest/handle-press-side-v1/NumEpisodes,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/handle-press-side-v1/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha,MetaTest/handle-press-side-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/handle-press-side-v1/AverageDiscountedReturn,MetaTest/handle-press-side-v1/MinReturn
10,-104.16903,14.841221548971273,64.38538,-19.005352495263573,0.0,-49.52437876541891,10,0.0,56000,-65.04691502477282,0,-1.8779306,-49.5243787654189,-19.005352495263573,14.841221548971273,-49.52437876541891,1.0073767,0.0,109534.734,0,0.0,-49.5243787654189,-65.04691502477282
10,-401.58115,865.0440151529173,201.67581,2670.9071344824556,0.0,337.27433921371954,10,0.0,62000,-95.84713963564697,1,-2.46685,337.27433921371966,2670.9071344824556,865.0440151529173,337.27433921371954,1.1168286,0.0,99365.66,1,0.0,337.27433921371966,-95.84713963564697
10,-902.0464,14.041606579455582,1018.1065,-24.51087353822621,0.0,-55.36828038478021,10,0.0,68000,-77.37340340246254,2,-0.7330831,-55.3682803847802,-24.51087353822621,14.041606579455582,-55.36828038478021,1.2004497,0.0,97549.59,2,0.0,-55.3682803847802,-77.37340340246254
10,-1525.2365,11.114260163232162,835.16614,-14.53875721671407,0.0,-45.558425186494816,10,0.0,74000,-56.99161938437479,3,-3.7939143,-45.55842518649482,-14.53875721671407,11.114260163232162,-45.558425186494816,1.3261223,0.0,87097.47,3,0.0,-45.55842518649482,-56.99161938437479
10,-2129.8994,8.89390724878867,787.53613,-39.053334922658024,0.0,-49.42219440356671,10,0.0,80000,-64.89518414817633,4,-6.623216,-49.422194403566714,-39.053334922658024,8.89390724878867,-49.42219440356671,1.6144167,0.0,90607.23,4,0.0,-49.422194403566714,-64.89518414817633
10,-2230.4055,13.053401233964632,8770.846,-80.39328449803283,0.0,-112.37506870681179,10,0.0,86000,-126.64965346187662,5,2.0419488,-112.37506870681177,-80.39328449803283,13.053401233964632,-112.37506870681179,1.7589095,0.0,303366.22,5,0.0,-112.37506870681177,-126.64965346187662
10,-3618.4211,4.842050996237666,511.44843,-62.79831077134183,0.0,-69.05086491144482,10,0.0,92000,-78.2045165909217,6,-3.5301173,-69.05086491144482,-62.79831077134183,4.842050996237666,-69.05086491144482,1.7675234,0.0,95179.47,6,0.0,-69.05086491144482,-78.2045165909217
10,-3657.4775,10892.394512089788,561.3812,26181.179194423712,0.0,7020.274161614414,10,0.0,98000,-61.802710722231595,7,-7.706543,7020.274161614414,26181.179194423712,10892.394512089788,7020.274161614414,2.031209,0.0,95184.414,7,0.0,7020.274161614414,-61.802710722231595
10,-756.1383,16.32672911713305,10756.605,-54.963780986217124,0.0,-70.57952668833751,10,0.0,104000,-103.61209242346717,8,6.9431834,-70.57952668833752,-54.963780986217124,16.32672911713305,-70.57952668833751,2.1036065,0.0,86373.77,8,0.0,-70.57952668833752,-103.61209242346717
10,-4530.676,1.9353427033383166,763.6242,-40.891562043453625,0.0,-44.41884814640308,10,0.0,110000,-47.05267697234744,9,-11.092884,-44.41884814640308,-40.891562043453625,1.9353427033383166,-44.41884814640308,2.0750542,0.0,94503.17,9,0.0,-44.41884814640308,-47.05267697234744
10,-6351.409,4.27249244984842,105.67839,-36.15886819210071,0.0,-40.21673820253545,10,0.0,116000,-51.844946310164744,10,-15.0916815,-40.21673820253545,-36.15886819210071,4.27249244984842,-40.21673820253545,2.4938645,0.0,86606.59,10,0.0,-40.21673820253545,-51.844946310164744
10,-6321.469,5.452346435042931,1145.5646,-39.65702015698873,0.0,-47.68278730672212,10,0.0,122000,-56.509933901904624,11,-15.559462,-47.682787306722126,-39.65702015698873,5.452346435042931,-47.68278730672212,2.9248588,0.0,103854.16,11,0.0,-47.682787306722126,-56.509933901904624
10,-9537.448,3.7683710892050493,135.22488,-77.74687733016144,0.0,-84.88470210776913,10,0.0,128000,-91.31111964595421,12,-21.77097,-84.88470210776916,-77.74687733016144,3.7683710892050493,-84.88470210776913,3.480084,0.0,153796.83,12,0.0,-84.88470210776916,-91.31111964595421
10,-8284.089,2.71398886378421,276.18893,-80.46199062632914,0.0,-84.28448686545553,10,0.0,134000,-88.03630052074386,13,-16.873615,-84.28448686545553,-80.46199062632914,2.71398886378421,-84.28448686545553,4.051749,0.0,88240.555,13,0.0,-84.28448686545553,-88.03630052074386
10,-9091.727,18.56175374893789,200.17181,-56.14503490810112,0.0,-92.14642569485237,10,0.0,140000,-111.73689343120697,14,-17.583233,-92.14642569485238,-56.14503490810112,18.56175374893789,-92.14642569485237,4.631353,0.0,83792.63,14,0.0,-92.14642569485238,-111.73689343120697
10,-7394.6997,18.291315943944124,573.51465,-25.81745030341072,0.0,-51.47824740990355,10,0.0,146000,-88.76610278969353,15,-9.859353,-51.47824740990357,-25.81745030341072,18.291315943944124,-51.47824740990355,5.2421017,0.0,86202.98,15,0.0,-51.47824740990357,-88.76610278969353
