GaussianMLPPolicy/KLAfter,MetaTest/button-press-wall-v1/StdReturn,MetaTest/button-press-wall-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/button-press-wall-v1/SuccessRate,TotalEnvSteps,button-press-wall-v1/MinReturn,MetaTest/button-press-wall-v1/AverageReturn,Average/AverageDiscountedReturn,Iteration,GaussianMLPPolicy/Entropy,MetaTest/Average/MinReturn,Average/AverageReturn,GaussianMLPPolicy/KLBefore,button-press-wall-v1/AverageDiscountedReturn,button-press-wall-v1/StdReturn,Average/MaxReturn,MetaTest/button-press-wall-v1/TerminationRate,MetaTest/Average/MaxReturn,button-press-wall-v1/AverageReturn,button-press-wall-v1/NumEpisodes,Average/Iteration,GaussianMLPPolicy/dLoss,MetaTest/button-press-wall-v1/AverageDiscountedReturn,button-press-wall-v1/SuccessRate,button-press-wall-v1/MaxReturn,Average/MinReturn,Average/SuccessRate,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,Average/StdReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/LossAfter,MetaTest/button-press-wall-v1/MaxReturn,MetaTest/button-press-wall-v1/NumEpisodes,MetaTest/button-press-wall-v1/MinReturn,MetaTest/Average/SuccessRate,Average/TerminationRate,MetaTest/Average/Iteration,button-press-wall-v1/Iteration,Average/NumEpisodes,button-press-wall-v1/TerminationRate
0.006672876421362162,0.0,0,-60.67837430919411,-60.67837430919408,0.0,80000,-95.54544099756438,-60.67837430919408,-24.418971386702125,0,5.695793628692627,-60.67837430919408,-66.38558580475942,0.0,-24.418971386702125,7.6501165767914365,-42.4431414891191,0.0,-60.67837430919408,-66.38558580475942,200,0,0.0004966719716321677,-60.67837430919411,0.0,-42.4431414891191,-95.54544099756438,0.0,0.0,0.0,1,7.6501165767914365,0.0008560821297578514,0.00035941015812568367,-60.67837430919408,1,-60.67837430919408,0.0,0.0,0,0,200,0.0
0.007574351038783789,0.0,1,-49.2068150526489,-49.206815052648906,0.0,160000,-83.57919750219648,-49.206815052648906,-21.998802267252703,1,5.710927963256836,-49.206815052648906,-59.44268978201935,0.0,-21.998802267252703,9.370104555154933,-30.938756192137987,0.0,-49.206815052648906,-59.44268978201935,200,1,0.0009786898008314893,-49.2068150526489,0.0,-30.938756192137987,-83.57919750219648,0.0,0.0,0.0,1,9.370104555154933,0.0008743539219722152,-0.00010433587885927409,-49.206815052648906,1,-49.206815052648906,0.0,0.0,1,1,200,0.0
0.007117465138435364,0.0,2,-20.849418693987886,-20.849418693987882,0.0,240000,-74.32507512206855,-20.849418693987882,397.58166452846416,2,5.685643672943115,-20.849418693987882,1674.991468589956,0.0,397.58166452846416,9227.770000738188,85315.81545808012,0.0,-20.849418693987882,1674.991468589956,200,2,0.00017301004845649004,-20.849418693987886,0.0,85315.81545808012,-74.32507512206855,0.0,0.0,0.0,1,9227.770000738188,-0.0004627868183888495,-0.0006357968668453395,-20.849418693987882,1,-20.849418693987882,0.0,0.0,2,2,200,0.0
0.006507829762995243,0.0,3,-47.204495866923274,-47.204495866923324,0.0,320000,-64.41247797831791,-47.204495866923324,803.3401704011326,3,5.686083793640137,-47.204495866923324,2504.1509430573637,0.0,803.3401704011326,13860.798838260209,168369.4212494155,0.0,-47.204495866923324,2504.1509430573637,200,3,0.0002077479721265263,-47.204495866923274,0.01,168369.4212494155,-64.41247797831791,0.01,0.0,0.0,1,13860.798838260209,4.503744094108697e-06,-0.0002032442280324176,-47.204495866923324,1,-47.204495866923324,0.0,0.0,3,3,200,0.0
0.007444324437528849,0.0,4,8571.607290137807,8571.607290137803,0.0,400000,-59.428146051331275,8571.607290137803,3315.399318731295,4,5.646927833557129,8571.607290137803,10024.819542699894,0.0,3315.399318731295,30243.64775905904,184807.9895351461,0.0,8571.607290137803,10024.819542699894,200,4,0.00010319147258996964,8571.607290137807,0.0,184807.9895351461,-59.428146051331275,0.0,0.0,0.0,1,30243.64775905904,-0.0003281884710304439,-0.00043137994362041354,8571.607290137803,1,8571.607290137803,0.0,0.0,4,4,200,0.0
0.009044918231666088,0.0,5,38194.884943741985,38194.88494374197,0.0,480000,-61.02276799950402,38194.88494374197,1529.3084113839584,5,5.623819351196289,38194.88494374197,4253.347272076755,0.0,1529.3084113839584,18044.269481036557,161572.62886859267,0.0,38194.88494374197,4253.347272076755,200,5,0.00043683667900040746,38194.884943741985,0.01,161572.62886859267,-61.02276799950402,0.01,0.0,0.0,1,18044.269481036557,-0.0006168095278553665,-0.001053646206855774,38194.88494374197,1,38194.88494374197,0.0,0.0,5,5,200,0.0
0.007047819904983044,0.0,6,14604.483792849891,14604.4837928499,0.0,560000,-55.51112287024362,14604.4837928499,3717.160583338442,6,5.614731311798096,14604.4837928499,10207.245418064604,0.0,3717.160583338442,28037.302452689142,149656.07334150793,0.0,14604.4837928499,10207.245418064604,200,6,0.00015725693810964003,14604.483792849891,0.0,149656.07334150793,-55.51112287024362,0.0,0.0,0.0,1,28037.302452689142,-0.00012066671479260549,-0.0002779236529022455,14604.4837928499,1,14604.4837928499,0.0,0.0,6,6,200,0.0
0.0093159731477499,0.0,7,-46.24234058659302,-46.24234058659301,0.0,640000,-53.252219667099105,-46.24234058659301,3646.3620944419404,7,5.638663291931152,-46.24234058659301,9606.999723663612,0.0,3646.3620944419404,28062.000956087013,177109.51130805956,0.0,-46.24234058659301,9606.999723663612,200,7,0.0002191410785599146,-46.24234058659302,0.0,177109.51130805956,-53.252219667099105,0.0,0.0,0.0,1,28062.000956087013,0.00025641132378950715,3.727024522959255e-05,-46.24234058659301,1,-46.24234058659301,0.0,0.0,7,7,200,0.0
0.0077802687883377075,0.0,8,-42.852087906673674,-42.852087906673695,0.0,720000,-61.101808818726624,-42.852087906673695,4703.343576461362,8,5.6790690422058105,-42.852087906673695,13391.083833822822,0.0,4703.343576461362,28659.293446114603,156758.14158630878,0.0,-42.852087906673695,13391.083833822822,200,8,0.00014304585056379437,-42.852087906673674,0.0,156758.14158630878,-61.101808818726624,0.0,0.0,0.0,1,28659.293446114603,0.00036147263017483056,0.00021842677961103618,-42.852087906673695,1,-42.852087906673695,0.0,0.0,8,8,200,0.0
7.405327778542414e-05,0.0,9,21506.597076679336,21506.597076679347,0.0,800000,-55.13938068485154,21506.597076679347,6105.581896803595,9,5.667809009552002,21506.597076679347,17403.32135503886,0.0,6105.581896803595,40086.28470823279,202676.79087988773,0.0,21506.597076679347,17403.32135503886,200,9,1.0517760529182851e-07,21506.597076679336,0.015,202676.79087988773,-55.13938068485154,0.015,0.0,0.0,1,40086.28470823279,-8.585237992519978e-06,-8.690415597811807e-06,21506.597076679347,1,21506.597076679347,0.0,0.0,9,9,200,0.0
