MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/lever-pull-v1/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/lever-pull-v1/TerminationRate,MetaTrain/Average/ContrastiveLoss,MetaTest/lever-pull-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/lever-pull-v1/AverageReturn,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/lever-pull-v1/MaxReturn,MetaTest/lever-pull-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/lever-pull-v1/AverageDiscountedReturn,MetaTest/lever-pull-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/lever-pull-v1/StdReturn
1.0178298,-13.915289597697424,0,0.0,0,-11.743386,0.0,8.767691,10,0.0,-10.937539866348864,-18.67464778203685,6.7319727,-13.915289597697429,10,224000,-10.937539866348864,0.0,nan,-13.915289597697424,-18.67464778203685,-13.915289597697429,2.4627436267827787,2.4627436267827787
2.2214394,-12.338958319641154,1,0.0,1,-25.422186,0.0,7.9334164,10,0.0,-7.985468339271446,-15.318878013532403,6.724359,-12.33895831964115,10,248000,-7.985468339271446,0.0,nan,-12.338958319641154,-15.318878013532403,-12.33895831964115,2.1099307848092828,2.1099307848092828
3.602647,-9.919189394864478,2,0.0,2,-37.67386,0.0,7.9228134,10,0.0,-6.501864907319516,-13.721627139794899,6.709991,-9.919189394864478,10,272000,-6.501864907319516,0.0,nan,-9.919189394864478,-13.721627139794899,-9.919189394864478,2.4013872548600195,2.4013872548600195
4.8687453,-9.355344172513918,3,0.0,3,-48.87386,0.0,7.9438124,10,0.0,-5.153058025571468,-11.426576202287931,6.6904426,-9.355344172513918,10,296000,-5.153058025571468,0.0,nan,-9.355344172513918,-11.426576202287931,-9.355344172513918,1.7851972997385361,1.7851972997385361
6.5081606,-7.022554971616532,4,0.0,4,-58.607292,0.0,7.692078,10,0.0,-5.191359386467842,-9.020846249710354,6.6667128,-7.022554971616531,10,320000,-5.191359386467842,0.0,nan,-7.022554971616532,-9.020846249710354,-7.022554971616531,1.1223361097277091,1.1223361097277091
8.295682,-7.700555787737743,5,0.0,5,-67.39009,0.0,7.7402616,10,0.0,-5.408286929051062,-10.915725631630695,6.64004,-7.700555787737741,10,344000,-5.408286929051062,0.0,nan,-7.700555787737743,-10.915725631630695,-7.700555787737741,1.4305919444676123,1.4305919444676123
9.839418,-6.641937441833491,6,0.0,6,-75.6567,0.0,7.7212863,10,0.0,-3.9386006434414926,-8.90234296283707,6.613751,-6.641937441833491,10,368000,-3.9386006434414926,0.0,nan,-6.641937441833491,-8.90234296283707,-6.641937441833491,1.4474015392599109,1.4474015392599109
11.421243,-6.777191308792958,7,0.0,7,-83.82092,0.0,7.6530976,10,0.0,-5.273240044568631,-8.576759108599706,6.587103,-6.777191308792959,10,392000,-5.273240044568631,0.0,nan,-6.777191308792958,-8.576759108599706,-6.777191308792959,1.1790297147664088,1.1790297147664088
13.016703,-8.006083393869499,8,0.0,8,-91.10474,0.0,7.648509,10,0.0,-6.670887814760748,-10.416830908796964,6.5610676,-8.006083393869499,10,416000,-6.670887814760748,0.0,nan,-8.006083393869499,-10.416830908796964,-8.006083393869499,1.1518337150296651,1.1518337150296651
14.563238,-8.411750744554318,9,0.0,9,-98.82617,0.0,7.6436405,10,0.0,-5.845529668192882,-11.241689259195274,6.538649,-8.41175074455432,10,440000,-5.845529668192882,0.0,nan,-8.411750744554318,-11.241689259195274,-8.41175074455432,1.9471831986748043,1.9471831986748043
