MetaTest/Average/Iteration,MetaTest/peg-insert-side-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/peg-insert-side-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTest/peg-insert-side-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/peg-insert-side-v1/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/peg-insert-side-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/peg-insert-side-v1/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/peg-insert-side-v1/Iteration,TotalEnvSteps
19,3.873239645568711,3.873239645568711,-14.904225401325464,10,-69.19778,-14.904225401325464,0.0,-21.154336831363143,0.0,nan,-21.154336831363143,-21.154336831363146,0.0,26.953348,-29.75514140036484,0.0,6.4703026,-29.75514140036484,7.7007704,10,-21.154336831363146,19,680000
20,9.054340572690503,9.054340572690503,-16.977720358401985,10,-71.11893,-16.977720358401985,0.0,-24.13398602515578,0.0,nan,-24.13398602515578,-24.13398602515579,0.0,27.107063,-46.14382496738576,0.0,6.474887,-46.14382496738576,7.7061825,10,-24.13398602515579,20,704000
21,3.392521122850219,3.392521122850219,-15.539750503936919,10,-73.074234,-15.539750503936919,0.0,-18.63531641252654,0.0,nan,-18.63531641252654,-18.635316412526535,0.0,27.278692,-27.85535275379769,0.0,6.470877,-27.85535275379769,7.630262,10,-18.635316412526535,21,728000
22,9.859311095253661,9.859311095253661,-15.940836082891906,10,-75.0494,-15.940836082891906,0.0,-24.083338760615163,0.0,nan,-24.083338760615163,-24.083338760615163,0.0,27.476402,-49.51634091749137,0.0,6.4750705,-49.51634091749137,7.6254487,10,-24.083338760615163,22,752000
23,3.967017302372799,3.967017302372799,-12.360412584111378,10,-75.99905,-12.360412584111378,0.0,-19.254764589391606,0.0,nan,-19.254764589391606,-19.254764589391613,0.0,27.782263,-28.899724229620357,0.0,6.4712763,-28.899724229620357,7.6255493,10,-19.254764589391613,23,776000
24,4.152843418148038,4.152843418148038,-8.51238543069681,10,-77.28825,-8.51238543069681,0.0,-14.856056710522557,0.0,nan,-14.856056710522557,-14.856056710522555,0.0,28.309803,-20.194753531975067,0.0,6.4717784,-20.194753531975067,7.624632,10,-14.856056710522555,24,800000
25,26.782063998456685,26.782063998456685,-7.598766454657315,10,-78.39261,-7.598766454657315,0.0,-28.143920390011726,0.0,nan,-28.143920390011726,-28.143920390011726,0.0,28.801207,-103.70586923158788,0.0,6.47334,-103.70586923158788,7.624632,10,-28.143920390011726,25,824000
26,28.713786873434174,28.713786873434174,-6.874729373974866,10,-79.522255,-6.874729373974866,0.0,-25.688438124637845,0.0,nan,-25.688438124637845,-25.688438124637827,0.0,29.690485,-109.6367170500728,0.0,6.4704275,-109.6367170500728,7.624632,10,-25.688438124637827,26,848000
27,23.98199047234273,23.98199047234273,-6.732265888483224,10,-82.23709,-6.732265888483224,0.0,-21.92654382337113,0.0,nan,-21.92654382337113,-21.92654382337114,0.0,31.076082,-91.86994424719137,0.0,6.468365,-91.86994424719137,7.636238,10,-21.92654382337114,27,872000
28,9.268863770906806,9.268863770906806,-4.441314388860283,10,-84.36023,-4.441314388860283,0.0,-14.801729375297096,0.0,nan,-14.801729375297096,-14.801729375297104,0.0,32.912968,-34.2298714061081,0.0,6.456849,-34.2298714061081,7.624632,10,-14.801729375297104,28,896000
29,23.639214666562882,23.639214666562882,-4.933517478471039,10,-86.30146,-4.933517478471039,0.0,-25.272925341383928,0.0,nan,-25.272925341383928,-25.272925341383925,0.0,37.72383,-84.41035918791692,0.0,6.444618,-84.41035918791692,7.624632,10,-25.272925341383925,29,920000
30,8.123097931663239,8.123097931663239,-5.738697286361633,10,-88.61261,-5.738697286361633,0.0,-17.25031896632044,0.0,nan,-17.25031896632044,-17.25031896632044,0.0,46.377834,-32.17043398573078,0.0,6.4161944,-32.17043398573078,7.624632,10,-17.25031896632044,30,944000
31,6.361584305788601,6.361584305788601,-7.287252067495847,10,-90.135925,-7.287252067495847,0.0,-16.44611087499732,0.0,nan,-16.44611087499732,-16.446110874997323,0.0,60.916363,-28.096063077018936,0.0,6.3945603,-28.096063077018936,7.624632,10,-16.446110874997323,31,968000
32,9.22563213262241,9.22563213262241,-0.10823780723419421,10,-91.257645,-0.10823780723419421,0.0,-12.749344317872644,0.0,nan,-12.749344317872644,-12.749344317872646,0.0,80.61209,-33.818435819742305,0.0,6.372794,-33.818435819742305,7.624632,10,-12.749344317872646,32,992000
33,53.34850228834542,53.34850228834542,157.36709804067112,10,-92.34995,157.36709804067112,0.0,5.197419498632092,0.0,nan,5.197419498632092,5.197419498632096,0.0,109.55339,-28.044682999032613,0.0,6.3594313,-28.044682999032613,7.624632,10,5.197419498632096,33,1016000
34,125.94242552276326,125.94242552276326,296.44807340178676,10,-94.641304,296.44807340178676,0.0,59.753595073457916,0.0,nan,59.753595073457916,59.75359507345788,0.0,169.24205,-27.520397268443993,0.0,6.3291044,-27.520397268443993,7.624632,10,59.75359507345788,34,1040000
35,2107.1502004656963,2107.1502004656963,6731.947519264485,10,-98.10477,6731.947519264485,0.0,958.157514587213,0.0,nan,958.157514587213,958.1575145872124,0.0,321.71286,-24.92515761006429,0.0,6.256194,-24.92515761006429,7.624632,10,958.1575145872124,35,1064000
36,11.735632179706469,11.735632179706469,-16.130866945560676,10,-146.89383,-16.130866945560676,0.0,-32.195872520022625,0.0,nan,-32.195872520022625,-32.19587252002262,0.0,7172.322,-56.38623930398336,0.0,5.2540812,-56.38623930398336,8.959273,10,-32.19587252002262,36,1088000
37,16.936162209371624,16.936162209371624,-22.21174957164223,10,-349.78955,-22.21174957164223,0.0,-44.346662149880004,0.0,nan,-44.346662149880004,-44.346662149880004,0.0,64544.543,-84.36344777143857,0.0,3.419393,-84.36344777143857,7.8473577,10,-44.346662149880004,37,1112000
