MetaTest/Average/Iteration,MetaTest/peg-insert-side-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/peg-insert-side-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTest/peg-insert-side-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/peg-insert-side-v1/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/peg-insert-side-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/peg-insert-side-v1/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/peg-insert-side-v1/Iteration,TotalEnvSteps
74,9.059431260175854,9.059431260175854,-20.512514896733723,10,1543.1932,-20.512514896733723,0.0,-37.821430157179655,0.0,nan,-37.821430157179655,-37.82143015717965,0.0,3704697.8,-52.00369315496437,0.0,-6.128206,-52.00369315496437,9392.552,10,-37.82143015717965,74,2000000
75,26.773872616912385,26.773872616912385,-31.109775289561497,10,-1053.3812,-31.109775289561497,0.0,-78.4387297052329,0.0,nan,-78.4387297052329,-78.43872970523293,0.0,6163413.0,-110.25867788929342,0.0,-11.353113,-110.25867788929342,8565.87,10,-78.43872970523293,75,2024000
76,29.29574824735211,29.29574824735211,-18.362213411211282,10,955.31335,-18.362213411211282,0.0,-53.037049553056875,0.0,nan,-53.037049553056875,-53.03704955305689,0.0,4465460.0,-111.50567667774077,0.0,-7.9461794,-111.50567667774077,4596.8037,10,-53.03704955305689,76,2048000
77,15.426463066595483,15.426463066595483,-31.9152791742782,10,1207.6284,-31.9152791742782,0.0,-55.66507914933486,0.0,nan,-55.66507914933486,-55.66507914933486,0.0,5319839.5,-80.1286370631196,0.0,-5.6339273,-80.1286370631196,7466.833,10,-55.66507914933486,77,2072000
78,25.347417173558174,25.347417173558174,-36.78425530115081,10,2266.817,-36.78425530115081,0.0,-94.32838380089339,0.0,nan,-94.32838380089339,-94.32838380089339,0.0,4700348.0,-117.282889417916,0.0,-4.608759,-117.282889417916,5706.9155,10,-94.32838380089339,78,2096000
79,10.873585364519798,10.873585364519798,-14.550314387428294,10,3981.6821,-14.550314387428294,0.0,-30.118987689002598,0.0,nan,-30.118987689002598,-30.118987689002587,0.0,426212.22,-56.27310187732769,0.0,-4.6727424,-56.27310187732769,2739.828,10,-30.118987689002587,79,2120000
80,17.053307539637764,17.053307539637764,-67.91595280527946,10,5045.7,-67.91595280527946,0.0,-90.62771367298994,0.0,nan,-90.62771367298994,-90.62771367298998,0.0,1788840.2,-117.61159470125357,0.0,-8.774945,-117.61159470125357,22091.309,10,-90.62771367298998,80,2144000
81,8.68722564553827,8.68722564553827,-16.58915531128617,10,5433.2944,-16.58915531128617,0.0,-28.84854926784005,0.0,nan,-28.84854926784005,-28.848549267840035,0.0,460154.2,-46.80993980524345,0.0,-5.5219784,-46.80993980524345,21212.338,10,-28.848549267840035,81,2168000
82,38.72091944667255,38.72091944667255,7.186712530551577,10,4191.6636,7.186712530551577,0.0,-50.19674228943716,0.0,nan,-50.19674228943716,-50.196742289437175,0.0,654366.5,-154.67610863730485,0.0,-5.715629,-154.67610863730485,16074.623,10,-50.196742289437175,82,2192000
83,459.1963303075828,459.1963303075828,1500.3969789206049,10,-1705.9679,1500.3969789206049,0.0,129.02238476336163,0.0,nan,129.02238476336163,129.02238476336157,0.0,1115811.6,-101.00028265266351,0.0,-9.963536,-101.00028265266351,12791.534,10,129.02238476336157,83,2216000
84,1158.8411322748514,1158.8411322748514,3828.449928082238,10,-1953.852,3828.449928082238,0.0,352.2386498015163,0.0,nan,352.2386498015163,352.2386498015165,0.0,859962.2,-48.63898788150527,0.0,-8.723475,-48.63898788150527,6632.8066,10,352.2386498015165,84,2240000
85,14.071127198281882,14.071127198281882,-23.427424627776197,10,-4095.69,-23.427424627776197,0.0,-48.872975742364986,0.0,nan,-48.872975742364986,-48.872975742364986,0.0,757195.5,-68.62898247880348,0.0,-7.5523357,-68.62898247880348,5693.062,10,-48.872975742364986,85,2264000
86,18.465414431605524,18.465414431605524,-14.827603824064363,10,-6022.109,-14.827603824064363,0.0,-58.84461937945527,0.0,nan,-58.84461937945527,-58.84461937945527,0.0,830934.9,-85.76110797052864,0.0,-7.336806,-85.76110797052864,4235.745,10,-58.84461937945527,86,2288000
87,10.238766867066117,10.238766867066117,-25.12317167640282,10,-4526.701,-25.12317167640282,0.0,-46.19388459125753,0.0,nan,-46.19388459125753,-46.193884591257536,0.0,920082.94,-58.18319726129143,0.0,-7.08991,-58.18319726129143,3122.191,10,-46.193884591257536,87,2312000
88,16.53815468574387,16.53815468574387,-21.326367215118296,10,-5380.567,-21.326367215118296,0.0,-45.78763409112501,0.0,nan,-45.78763409112501,-45.787634091125014,0.0,689455.0,-84.36207570846307,0.0,-6.0816846,-84.36207570846307,3709.9905,10,-45.787634091125014,88,2336000
89,14.813836908610767,14.813836908610767,-13.260191640788268,10,-2234.8374,-13.260191640788268,0.0,-37.107316854002256,0.0,nan,-37.107316854002256,-37.107316854002256,0.0,526912.56,-64.49138665754836,0.0,-4.707997,-64.49138665754836,2143.7234,10,-37.107316854002256,89,2360000
90,13.535629736249684,13.535629736249684,-58.59742915141995,10,5582.163,-58.59742915141995,0.0,-84.68175891639461,0.0,nan,-84.68175891639461,-84.68175891639464,0.0,456556.03,-99.07450927973366,0.0,-2.7329338,-99.07450927973366,1671.9624,10,-84.68175891639464,90,2384000
91,31.515088296366027,31.515088296366027,-17.084914509630103,10,8059.343,-17.084914509630103,0.0,-45.484748430061614,0.0,nan,-45.484748430061614,-45.48474843006162,0.0,727969.94,-110.8883252167975,0.0,-4.0280395,-110.8883252167975,3338.5244,10,-45.48474843006162,91,2408000
92,14.300870163357173,14.300870163357173,-22.950839089084702,10,5164.23,-22.950839089084702,0.0,-34.749617548515246,0.0,nan,-34.749617548515246,-34.749617548515246,0.0,568707.8,-70.22299866443747,0.0,-1.9650865,-70.22299866443747,2272.3645,10,-34.749617548515246,92,2432000
93,4556.709580543178,4556.709580543178,14288.40605542905,10,2818.9573,14288.40605542905,0.0,2098.2589351365177,0.0,nan,2098.2589351365177,2098.258935136518,0.0,632529.8,-45.08815371107268,0.0,-1.8270925,-45.08815371107268,1119.7745,10,2098.258935136518,93,2456000
94,30.15535827334264,30.15535827334264,51.44831866641632,10,938.5206,51.44831866641632,0.0,8.17638654791395,0.0,nan,8.17638654791395,8.176386547913964,0.0,664706.7,-36.68939478471766,0.0,-2.5101418,-36.68939478471766,909.6207,10,8.176386547913964,94,2480000
95,5696.981051234234,5696.981051234234,18980.24356167019,10,-51.483543,18980.24356167019,0.0,1889.5248649832502,0.0,nan,1889.5248649832502,1889.5248649832533,0.0,609448.2,-51.88983045782311,0.0,-3.3113265,-51.88983045782311,875.4078,10,1889.5248649832533,95,2504000
96,20.94836721516572,20.94836721516572,-7.232677364300532,10,-331.96176,-7.232677364300532,0.0,-51.10860868511738,0.0,nan,-51.10860868511738,-51.10860868511739,0.0,506076.34,-93.32825036618834,0.0,-4.041874,-93.32825036618834,953.5305,10,-51.10860868511739,96,2528000
97,10661.014881771862,10661.014881771862,35478.64957236197,10,-761.13776,35478.64957236197,0.0,3495.6793101128765,0.0,nan,3495.6793101128765,3495.679310112878,0.0,499483.53,-112.63407470796449,0.0,-4.2862864,-112.63407470796449,1515.499,10,3495.679310112878,97,2552000
98,19.64273853479974,19.64273853479974,-2.892546452370944,10,-1054.8872,-2.892546452370944,0.0,-37.8555832958922,0.0,nan,-37.8555832958922,-37.8555832958922,0.0,604561.8,-64.18886202284102,0.0,-4.7200437,-64.18886202284102,1368.4865,10,-37.8555832958922,98,2576000
99,23.865812384096152,23.865812384096152,25.449867464440036,10,-2681.7385,25.449867464440036,0.0,-22.92583635931784,0.0,nan,-22.92583635931784,-22.925836359317845,0.0,760494.8,-70.34555958715072,0.0,-6.3756046,-70.34555958715072,2019.8198,10,-22.925836359317845,99,2600000
