MetaTest/door-unlock-v1/StdReturn,MetaTest/door-unlock-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/door-unlock-v1/MaxReturn,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/door-unlock-v1/Iteration,MetaTest/door-unlock-v1/AverageReturn,MetaTest/door-unlock-v1/NumTrajs,MetaTest/door-unlock-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/door-unlock-v1/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/Average/Iteration,MetaTest/door-unlock-v1/MinReturn
3.0107238247036316,0.0,-22.48242890777233,0.0,-27.090426325541337,-22.48242890777233,-27.090426325541337,224000,-32.605920835776054,0,-27.090426325541337,10,0.0,3.0107238247036316,0.0,-27.090426325541337,10,0,-32.605920835776054
5244.158025361687,0.0,10926.165677504985,0.0,4260.589404703465,10926.165677504985,4260.5894047034635,248000,-23.098265779582153,1,4260.5894047034635,10,0.0,5244.158025361687,0.0,4260.589404703465,10,1,-23.098265779582153
3390.5136389385802,0.0,11281.16773848531,0.0,1110.2411374461167,11281.16773848531,1110.2411374461171,272000,-58.42939043901073,2,1110.2411374461171,10,0.1,3390.5136389385802,0.1,1110.2411374461167,10,2,-58.42939043901073
913.9313936386343,0.0,3011.6120658066448,0.0,270.0241201572967,3011.6120658066448,270.02412015729664,296000,-58.88616742128269,3,270.02412015729664,10,0.2,913.9313936386343,0.2,270.0241201572967,10,3,-58.88616742128269
74.70712068600989,0.0,205.7419850388306,0.0,-14.490727989771955,205.7419850388306,-14.490727989771944,320000,-75.47248876762298,4,-14.490727989771944,10,0.0,74.70712068600989,0.0,-14.490727989771955,10,4,-75.47248876762298
6458.904076596936,0.0,16333.399768173693,0.0,3366.0552741886945,16333.399768173693,3366.0552741886945,344000,-74.87433292988715,5,3366.0552741886945,10,0.2,6458.904076596936,0.2,3366.0552741886945,10,5,-74.87433292988715
4884.839531708364,0.0,16352.814646097886,0.0,1723.9228413340923,16352.814646097886,1723.922841334093,368000,-103.08346807126442,6,1723.922841334093,10,0.0,4884.839531708364,0.0,1723.9228413340923,10,6,-103.08346807126442
9.231802701873262,0.0,-18.659795511827454,0.0,-29.404855237732086,-18.659795511827454,-29.40485523773208,392000,-47.574278639677836,7,-29.40485523773208,10,0.0,9.231802701873262,0.0,-29.404855237732086,10,7,-47.574278639677836
23.38129546299489,0.0,-19.578604334636726,0.0,-45.532609485647136,-19.578604334636726,-45.53260948564714,416000,-89.17027966287858,8,-45.53260948564714,10,0.1,23.38129546299489,0.1,-45.532609485647136,10,8,-89.17027966287858
2822.3400057828812,0.0,9359.312605541527,0.0,892.8204441509286,9359.312605541527,892.8204441509284,440000,-108.82258911778717,9,892.8204441509284,10,0.1,2822.3400057828812,0.1,892.8204441509286,10,9,-108.82258911778717
29.22814568789398,0.0,-19.131318053204318,0.0,-43.34313642584227,-19.131318053204318,-43.34313642584226,464000,-97.77771618105483,10,-43.34313642584226,10,0.0,29.22814568789398,0.0,-43.34313642584227,10,10,-97.77771618105483
24.57942948953489,0.0,-18.140953563639698,0.0,-34.16206787125273,-18.140953563639698,-34.16206787125273,488000,-84.91262682676603,11,-34.16206787125273,10,0.0,24.57942948953489,0.0,-34.16206787125273,10,11,-84.91262682676603
662.8078030418284,0.0,2194.1339551160145,0.0,211.8531769902217,2194.1339551160145,211.85317699022175,512000,-52.38653871471028,12,211.85317699022175,10,0.0,662.8078030418284,0.0,211.8531769902217,10,12,-52.38653871471028
3000.3060323473046,0.0,9966.396286208283,0.0,965.5797627464647,9966.396286208283,965.5797627464648,536000,-67.48443189697373,13,965.5797627464648,10,0.0,3000.3060323473046,0.0,965.5797627464647,10,13,-67.48443189697373
3132.346250969019,0.0,9655.57492929701,0.0,1442.8262900804616,9655.57492929701,1442.826290080462,560000,-86.63337657311165,14,1442.826290080462,10,0.1,3132.346250969019,0.1,1442.8262900804616,10,14,-86.63337657311165
33.215446912345435,0.0,-13.133373429631474,0.0,-40.566695020889895,-13.133373429631474,-40.566695020889895,584000,-111.09814721431576,15,-40.566695020889895,10,0.1,33.215446912345435,0.1,-40.566695020889895,10,15,-111.09814721431576
5066.0416092012765,0.0,16445.98683390775,0.0,2502.8796407101777,16445.98683390775,2502.8796407101772,608000,-106.58483248005935,16,2502.8796407101772,10,0.2,5066.0416092012765,0.2,2502.8796407101777,10,16,-106.58483248005935
18188.279220208653,0.0,61092.51133229767,0.0,8807.429467365644,61092.51133229767,8807.42946736564,632000,-44.56276930128081,17,8807.42946736564,10,0.5,18188.279220208653,0.5,8807.429467365644,10,17,-44.56276930128081
1834.423885983678,0.0,6059.451376075401,0.0,556.7729259913697,6059.451376075401,556.7729259913697,656000,-99.93488244213263,18,556.7729259913697,10,0.1,1834.423885983678,0.1,556.7729259913697,10,18,-99.93488244213263
4792.211625441612,0.0,16001.036213144085,0.0,1649.7079465953047,16001.036213144085,1649.707946595306,680000,-102.57340615204969,19,1649.707946595306,10,0.2,4792.211625441612,0.2,1649.7079465953047,10,19,-102.57340615204969
3136.1360222765547,0.0,10422.98592953137,0.0,1014.5998229693623,10422.98592953137,1014.5998229693612,704000,-44.791053182786584,20,1014.5998229693612,10,0.1,3136.1360222765547,0.1,1014.5998229693623,10,20,-44.791053182786584
