MetaTest/Average/TerminationRate,MetaTest/hand-insert-v1/NumEpisodes,MetaTest/Average/NumEpisodes,MetaTrain/Average/PolicyLoss,MetaTest/hand-insert-v1/TerminationRate,MetaTrain/Average/Alpha,MetaTest/hand-insert-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/hand-insert-v1/StdReturn,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/hand-insert-v1/SuccessRate,MetaTest/hand-insert-v1/MinReturn,MetaTest/hand-insert-v1/MaxReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/hand-insert-v1/AverageDiscountedReturn,MetaTest/hand-insert-v1/Iteration,MetaTest/Average/AverageReturn
0.0,10,10,-18.618946,0.0,0.9318032,-71.3290062573126,0,-64.98108141728595,13.023882,9672.594,-77.03513070745876,-71.32900625731261,3.1841973681662386,56000,3.1841973681662386,0.0,-77.03513070745876,-64.98108141728595,0.0,5.8410635,-71.32900625731261,0,-71.3290062573126
0.0,10,10,-52.027203,0.0,0.8163507,49.715511735602476,1,1064.2994615540938,48.577522,7176.766,-81.13269016728911,49.71551173560256,338.546293043343,62000,338.546293043343,0.1,-81.13269016728911,1064.2994615540938,0.1,4.3425875,49.71551173560256,1,49.715511735602476
0.0,10,10,-103.23957,0.0,0.734436,-93.89628553045432,2,-67.29786712815097,107.51445,8170.678,-122.72316041138244,-93.89628553045432,23.677103215097222,68000,23.677103215097222,0.0,-122.72316041138244,-67.29786712815097,0.0,2.0120149,-93.89628553045432,2,-93.89628553045432
0.0,10,10,-206.58675,0.0,0.70157653,-68.08630814929502,3,-27.070676467401384,134.21327,9162.961,-121.46474409432193,-68.086308149295,34.76234640391601,74000,34.76234640391601,0.2,-121.46474409432193,-27.070676467401384,0.2,0.47316125,-68.086308149295,3,-68.08630814929502
0.0,10,10,-479.56937,0.0,0.6858241,3470.374449316912,4,15426.090463732227,278.34235,16591.018,-46.065037609414055,3470.3744493169143,5711.672355859957,80000,5711.672355859957,0.4,-46.065037609414055,15426.090463732227,0.4,0.14273907,3470.3744493169143,4,3470.374449316912
0.0,10,10,-2177.6677,0.0,0.76054513,-37.857728003170564,5,-25.856712611678933,835.40094,163797.77,-46.8842606464211,-37.857728003170585,6.587886827973767,86000,6.587886827973767,0.0,-46.8842606464211,-25.856712611678933,0.0,-3.233226,-37.857728003170585,5,-37.857728003170564
0.0,10,10,-7813.557,0.0,0.9824414,-66.68586206314497,6,-56.91304652799089,163.15903,847713.0,-71.71391786226543,-66.685862063145,4.465758604330308,92000,4.465758604330308,0.0,-71.71391786226543,-56.91304652799089,0.0,-21.746567,-66.685862063145,6,-66.68586206314497
0.0,10,10,-14749.239,0.0,1.2432404,-64.65698803495327,7,-58.73194534390703,7719.891,1395993.5,-69.46953582932733,-64.65698803495329,3.6061140119790918,98000,3.6061140119790918,0.0,-69.46953582932733,-58.73194534390703,0.0,-32.1208,-64.65698803495329,7,-64.65698803495327
0.0,10,10,-45284.547,0.0,1.4860483,-51.33175347767925,8,-37.001911853815415,13488.034,18065540.0,-65.40327958908199,-51.33175347767927,9.33505422809712,104000,9.33505422809712,0.0,-65.40327958908199,-37.001911853815415,0.0,-34.628773,-51.33175347767927,8,-51.33175347767925
0.0,10,10,-37702.277,0.0,1.7238513,469.40889859451516,9,5396.256332218693,2150.5046,3634335.5,-102.16478123103312,469.4088985945156,1642.4141325316632,110000,1642.4141325316632,0.1,-102.16478123103312,5396.256332218693,0.1,-35.08968,469.4088985945156,9,469.40889859451516
0.0,10,10,-40528.137,0.0,2.0055954,55.08782447533389,10,1003.9316253689344,2346.1848,3466820.2,-70.54214670948654,55.08782447533385,316.94293047017413,116000,316.94293047017413,0.1,-70.54214670948654,1003.9316253689344,0.1,-32.986973,55.08782447533385,10,55.08782447533389
0.0,10,10,-43046.176,0.0,2.3078008,-50.60491069821851,11,-15.719544542909883,3380.173,3556678.5,-69.52738954598495,-50.60491069821852,19.30685451782578,122000,19.30685451782578,0.0,-69.52738954598495,-15.719544542909883,0.0,-30.985113,-50.60491069821852,11,-50.60491069821851
0.0,10,10,-47248.168,0.0,2.663858,1784.6236338630144,12,14616.322795028787,3699.2224,4235119.5,-66.04054839598795,1784.6236338630138,4349.223015805771,128000,4349.223015805771,0.4,-66.04054839598795,14616.322795028787,0.4,-30.84048,1784.6236338630138,12,1784.6236338630144
0.0,10,10,-34697.348,0.0,3.0752237,27147.02457919808,13,271927.8248901267,5721.952,4696918.0,-82.5538521352287,27147.024579198092,81593.60137102513,134000,81593.60137102513,0.1,-82.5538521352287,271927.8248901267,0.1,-31.346375,27147.024579198092,13,27147.02457919808
0.0,10,10,-48517.31,0.0,3.5901275,36409.49252367653,14,360991.9888811887,5169.975,5297136.5,-85.33397580253255,36409.49252367653,108199.69715311425,140000,108199.69715311425,0.2,-85.33397580253255,360991.9888811887,0.2,-34.92793,36409.49252367653,14,36409.49252367653
0.0,10,10,-48844.49,0.0,4.197714,601.1007140179563,15,6599.760379796643,8361.3125,7579395.5,-85.86292400119541,601.1007140179561,1999.5893576817393,146000,1999.5893576817393,0.1,-85.86292400119541,6599.760379796643,0.1,-38.249516,601.1007140179561,15,601.1007140179563
