MetaTest/Average/SuccessRate,MetaTest/coffee-pull-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/coffee-pull-v1/SuccessRate,MetaTest/coffee-pull-v1/AverageReturn,MetaTest/coffee-pull-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTest/coffee-pull-v1/NumTrajs,MetaTest/coffee-pull-v1/MinReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/coffee-pull-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTest/coffee-pull-v1/Iteration,MetaTest/Average/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/coffee-pull-v1/AverageDiscountedReturn
0.0,4.225691834805096,-75.22675370889928,0.0,-75.22675370889928,0.0,-80.937820086481,10,-80.937820086481,0.0,224000,0,-66.67527362568013,4500.9243,-75.22675370889928,nan,-65.23454,0,10,4.225691834805096,-66.67527362568013,5.9382696,8.805597,-75.22675370889928
0.0,306.796282025113,261.3550697853867,0.0,261.3550697853867,0.0,-39.97265161633207,10,-39.97265161633207,0.0,248000,1,900.8827804709276,7827.081,261.3550697853867,nan,-235.17325,1,10,306.796282025113,900.8827804709276,4.6663985,47.460453,261.3550697853867
0.0,329.2015417757129,192.35846531659357,0.0,192.35846531659357,0.0,-38.342537397494645,10,-38.342537397494645,0.0,272000,2,1074.2467874000324,8618.422,192.35846531659365,nan,-592.6861,2,10,329.2015417757129,1074.2467874000324,2.2421935,50.94069,192.35846531659365
0.0,605.3035448293184,320.10139044854657,0.0,320.10139044854657,0.0,-38.2919083129431,10,-38.2919083129431,0.0,296000,3,1994.233570741806,43692.375,320.1013904485464,nan,-3714.493,3,10,605.3035448293184,1994.233570741806,-5.1949234,79.58263,320.1013904485464
0.0,279.13658323109775,152.47946854575372,0.0,152.47946854575372,0.0,-39.10400968674908,10,-39.10400968674908,0.0,320000,4,927.9791786277136,92365.45,152.4794685457536,nan,-12119.437,4,10,279.13658323109775,927.9791786277136,-8.888634,23.608265,152.4794685457536
0.0,338.703495646586,159.0741585959908,0.0,159.0741585959908,0.0,-40.31797169530762,10,-40.31797169530762,0.0,344000,5,826.6430399877225,24789868.0,159.07415859599078,nan,-16591.725,5,10,338.703495646586,826.6430399877225,1.1839678,413051.2,159.07415859599078
0.0,5.862308653226082,-75.28602216984255,0.0,-75.28602216984255,0.0,-82.1361228228006,10,-82.1361228228006,0.0,368000,6,-65.71131988141849,35485.67,-75.28602216984254,nan,-564.404,6,10,5.862308653226082,-65.71131988141849,-0.4404408,220.32092,-75.28602216984254
0.0,172.94332655787193,89.89292211281631,0.0,89.89292211281631,0.0,-68.1001731053533,10,-68.1001731053533,0.0,392000,7,432.26255267822336,42122.727,89.89292211281625,nan,-2335.0042,7,10,172.94332655787193,432.26255267822336,-3.353779,271.38095,89.89292211281625
0.0,185.54239320657925,182.33413971901334,0.0,182.33413971901334,0.0,-20.150663048941677,10,-20.150663048941677,0.0,416000,8,519.4627217282609,50784.066,182.3341397190135,nan,-5333.795,8,10,185.54239320657925,519.4627217282609,-5.407483,440.3162,182.3341397190135
0.0,0.8899418968729345,-80.09051472608556,0.0,-80.09051472608556,0.0,-81.48044429695375,10,-81.48044429695375,0.0,440000,9,-78.97853137433746,81637.11,-80.09051472608557,nan,-7783.6973,9,10,0.8899418968729345,-78.97853137433746,-5.292937,827.5495,-80.09051472608557
0.0,1258.3480728045583,1094.829305465812,0.0,1094.829305465812,0.0,-41.81338078706042,10,-41.81338078706042,0.0,464000,10,3049.818723962336,176666.42,1094.8293054658113,nan,-1188.3843,10,10,1258.3480728045583,3049.818723962336,-3.2954783,1369.8793,1094.8293054658113
0.0,19.996647034330636,-77.02051300461724,0.0,-77.02051300461724,0.0,-115.39064301466344,10,-115.39064301466344,0.0,488000,11,-53.77617956704465,133841.48,-77.02051300461724,nan,-1306.9343,11,10,19.996647034330636,-53.77617956704465,-2.6960795,3077.5984,-77.02051300461724
0.0,11.75595749717712,-67.98824777197989,0.0,-67.98824777197989,0.0,-84.21689103757876,10,-84.21689103757876,0.0,512000,12,-48.172222420800225,1560879.2,-67.98824777197989,nan,-1905.1997,12,10,11.75595749717712,-48.172222420800225,-3.7997904,1772.5248,-67.98824777197989
0.0,8.78735728831476,-28.327931520284995,0.0,-28.327931520284995,0.0,-51.91297798953064,10,-51.91297798953064,0.0,536000,13,-20.512193690925677,110308.83,-28.327931520284988,nan,-1598.1283,13,10,8.78735728831476,-20.512193690925677,-4.957904,190.95442,-28.327931520284988
0.0,4.485090080253347,-81.74710851996116,0.0,-81.74710851996116,0.0,-87.69124996527569,10,-87.69124996527569,0.0,560000,14,-76.37707291892559,198016.75,-81.74710851996117,nan,-1682.031,14,10,4.485090080253347,-76.37707291892559,-2.826909,2974.5164,-81.74710851996117
0.0,1312.2436627040952,536.861776361937,0.0,536.861776361937,0.0,-59.23402531191268,10,-59.23402531191268,0.0,584000,15,4215.8366330197605,103086.06,536.861776361937,nan,-1137.8773,15,10,1312.2436627040952,4215.8366330197605,-3.9128385,2135.2886,536.861776361937
0.0,121.33317159740936,12.851337535915004,0.0,12.851337535915004,0.0,-51.71117175749057,10,-51.71117175749057,0.0,608000,16,375.708125825482,120076.086,12.851337535914983,nan,-434.81213,16,10,121.33317159740936,375.708125825482,-3.0513608,3570.7527,12.851337535914983
