MetaTest/push-v1/TerminationRate,MetaTest/Average/MinReturn,Average/TerminationRate,GaussianMLPPolicy/KLAfter,GaussianMLPPolicy/Entropy,push-v1/MinReturn,GaussianMLPPolicy/LossAfter,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/NumEpisodes,Iteration,MetaTest/push-v1/MaxReturn,MetaTest/push-v1/AverageReturn,Average/StdReturn,MetaTest/push-v1/StdReturn,TotalEnvSteps,push-v1/AverageDiscountedReturn,Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/push-v1/MinReturn,push-v1/AverageReturn,push-v1/TerminationRate,push-v1/SuccessRate,push-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/Iteration,Average/NumEpisodes,Average/MaxReturn,GaussianMLPPolicy/dLoss,Average/AverageReturn,MetaTest/push-v1/Iteration,MetaTest/push-v1/SuccessRate,Average/Iteration,MetaTest/push-v1/AverageDiscountedReturn,push-v1/NumEpisodes,push-v1/MaxReturn,MetaTest/Average/AverageReturn,Average/MinReturn,Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KLBefore,push-v1/Iteration
0.0,-38.919028952763576,0.0,0.00993347354233265,5.717262268066406,-61.8460661717744,0.0006085968343541026,0.02,273.5365968970651,50,0,4399.193718529502,273.536596897065,2798.826245312287,797.9113073643338,80000,209.67483590062773,209.67483590062773,50,-38.919028952763576,613.7729367450956,0.0,0.005,2798.826245312287,0.0,0,200,27584.18579174574,0.0004767095670104027,613.7729367450956,0,0.02,0,273.5365968970651,200,27584.18579174574,273.536596897065,-61.8460661717744,0.005,4399.193718529502,797.9113073643338,0.0010853064013645053,0.0,0
,,0.0,0.009609677828848362,5.705849647521973,-47.51938480930025,-0.0006903384928591549,,,,1,,,3371.387421898597,,160000,321.7733330082999,321.7733330082999,,,889.891644342424,0.0,0.005,3371.387421898597,,,200,26477.131523605873,0.00043638472561724484,889.891644342424,,,1,,200,26477.131523605873,,-47.51938480930025,0.005,,,-0.0002539537672419101,0.0,1
,,0.0,0.00853910855948925,5.70270299911499,-43.76619231697036,-0.0003932576219085604,,,,2,,,1538.0728041532363,,240000,229.2331475991162,229.2331475991162,,,540.2283548429687,0.0,0.005,1538.0728041532363,,,200,12496.920930076782,0.00033998732760665007,540.2283548429687,,,2,,200,12496.920930076782,,-43.76619231697036,0.005,,,-5.3270294301910326e-05,0.0,2
,,0.0,0.008833649568259716,5.697141170501709,-42.949399292885154,-3.655689215520397e-05,,,,3,,,1629.2401935888058,,320000,293.2860444094415,293.2860444094415,,,745.095929949956,0.0,0.02,1629.2401935888058,,,200,11438.409128952266,2.8689765713352244e-05,745.095929949956,,,3,,200,11438.409128952266,,-42.949399292885154,0.02,,,-7.867126441851724e-06,0.0,3
,,0.0,0.008648711256682873,5.711850166320801,-33.9569697268027,-2.40617519011721e-05,,,,4,,,6613.903184379938,,400000,683.0769739082606,683.0769739082606,,,2258.83426334253,0.0,0.05,6613.903184379938,,,200,61082.56652288529,0.0001225711894221604,2258.83426334253,,,4,,200,61082.56652288529,,-33.9569697268027,0.05,,,9.850943752098829e-05,0.0,4
,,0.0,0.007686600089073181,5.707812309265137,-22.715652844784785,-2.5224788259947672e-05,,,,5,,,6325.8964033777565,,480000,816.9203993096248,816.9203993096248,,,2668.352640746035,0.0,0.045,6325.8964033777565,,,200,60479.7806517084,2.031703570537502e-05,2668.352640746035,,,5,,200,60479.7806517084,,-22.715652844784785,0.045,,,-4.907752554572653e-06,0.0,5
,,0.0,0.007031886372715235,5.701725959777832,-42.081178555373064,-2.572404991951771e-05,,,,6,,,5829.667693143977,,560000,912.8512555810354,912.8512555810354,,,2930.741830542426,0.0,0.04,5829.667693143977,,,200,43695.25453565853,1.8842126792151248e-05,2930.741830542426,,,6,,200,43695.25453565853,,-42.081178555373064,0.04,,,-6.881923127366463e-06,0.0,6
,,0.0,0.00028914707945659757,5.688125133514404,-27.63754343942563,-9.238699931302108e-06,,,,7,,,9011.242356989938,,640000,1170.5067248235998,1170.5067248235998,,,4034.053831538637,0.0,0.055,9011.242356989938,,,200,64881.83781830361,4.142748366575688e-07,4034.053831538637,,,7,,200,64881.83781830361,,-27.63754343942563,0.055,,,-8.824425094644539e-06,0.0,7
,,0.0,0.0008885484421625733,5.70844030380249,-26.072186749618407,1.3461074559018016e-05,,,,8,,,10870.906634079218,,720000,2073.5154473103066,2073.5154473103066,,,6942.793125192304,0.0,0.055,10870.906634079218,,,200,72918.13579654436,1.3705885066883639e-06,6942.793125192304,,,8,,200,72918.13579654436,,-26.072186749618407,0.055,,,1.483166306570638e-05,0.0,8
,,0.0,0.0004030177369713783,5.688262462615967,-22.614564082025094,-1.4549853403877933e-05,,,,9,,,8681.261444300417,,800000,1310.11932739127,1310.11932739127,,,4630.720978093004,0.0,0.055,8681.261444300417,,,200,58731.6762525542,5.80883352085948e-07,4630.720978093004,,,9,,200,58731.6762525542,,-22.614564082025094,0.055,,,-1.3968970051791985e-05,0.0,9
