MetaTest/dissassemble-v1/NumTrajs,MetaTest/dissassemble-v1/AverageReturn,MetaTest/dissassemble-v1/Iteration,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTest/dissassemble-v1/MinReturn,MetaTest/dissassemble-v1/StdReturn,MetaTest/Average/Iteration,MetaTest/dissassemble-v1/SuccessRate,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/dissassemble-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/dissassemble-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/dissassemble-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MaxReturn,MetaTest/Average/NumTrajs
10,-48.66326625320179,0,nan,-48.6632662532018,-55.07034493626406,3.4913569663974573,0,0.0,0.0,224000,0.0,-55.07034493626406,13.704763,-48.6632662532018,3.4913569663974573,-42.25499997120978,2.7163327,8.202613,-48.66326625320179,0.0,6.7219706,-42.25499997120978,10
10,-31.954531605252992,1,nan,-31.954531605252974,-36.97971768379749,2.0798414109875747,1,0.0,0.0,248000,0.0,-36.97971768379749,42.002144,-31.954531605252974,2.0798414109875747,-29.54772520521567,6.7731776,7.6450553,-31.954531605252992,0.0,6.670208,-29.54772520521567,10
10,-26.463907994282312,2,nan,-26.463907994282305,-28.762750947067133,1.881312135825835,2,0.0,0.0,272000,0.0,-28.762750947067133,60.593792,-26.463907994282305,1.881312135825835,-22.77884805892588,11.845701,7.584934,-26.463907994282312,0.0,6.5863247,-22.77884805892588,10
10,-25.630826785932648,3,nan,-25.630826785932648,-29.55361722059535,2.130929682521428,3,0.0,0.0,296000,0.0,-29.55361722059535,69.9278,-25.630826785932648,2.130929682521428,-22.327838478685102,18.237762,7.419715,-25.630826785932648,0.0,6.484869,-22.327838478685102,10
10,-24.77118577899878,4,nan,-24.77118577899879,-30.03480725117464,3.0419428022618566,4,0.0,0.0,320000,0.0,-30.03480725117464,71.04869,-24.77118577899879,3.0419428022618566,-19.539961094330014,25.27349,7.3284473,-24.77118577899878,0.0,6.385747,-19.539961094330014,10
10,-24.73780480346267,5,nan,-24.737804803462662,-28.658038540607016,2.275131795625081,5,0.0,0.0,344000,0.0,-28.658038540607016,68.49503,-24.737804803462662,2.275131795625081,-21.04178306225025,32.18037,7.263711,-24.73780480346267,0.0,6.3060575,-21.04178306225025,10
10,-24.301819700092004,6,nan,-24.30181970009201,-28.379131492998436,2.7326175378017643,6,0.0,0.0,368000,0.0,-28.379131492998436,62.017876,-24.30181970009201,2.7326175378017643,-18.70113150615616,37.62717,7.2514544,-24.301819700092004,0.0,6.248876,-18.70113150615616,10
10,-25.448931861249214,7,nan,-25.448931861249207,-29.076370973897014,2.226851756124575,7,0.0,0.0,392000,0.0,-29.076370973897014,56.05494,-25.448931861249207,2.226851756124575,-22.725434117983998,42.03997,7.217232,-25.448931861249214,0.0,6.2117047,-22.725434117983998,10
10,-23.328977161605074,8,nan,-23.328977161605074,-25.734814688612772,1.2531456540039925,8,0.0,0.0,416000,0.0,-25.734814688612772,47.341125,-23.328977161605074,1.2531456540039925,-21.756959032407977,44.87639,7.3104644,-23.328977161605074,0.0,6.1798663,-21.756959032407977,10
10,-23.391175341690346,9,nan,-23.39117534169035,-27.093097189428654,2.1564871025602628,9,0.0,0.0,440000,0.0,-27.093097189428654,37.137264,-23.39117534169035,2.1564871025602628,-19.16315310637342,47.73188,7.33536,-23.391175341690346,0.0,6.1581454,-19.16315310637342,10
10,-23.4160283003676,10,nan,-23.416028300367593,-26.555046157884533,2.4235262014322014,10,0.0,0.0,464000,0.0,-26.555046157884533,27.434599,-23.416028300367593,2.4235262014322014,-20.006675869872414,49.234352,7.42429,-23.4160283003676,0.0,6.149017,-20.006675869872414,10
10,-25.377396106835942,11,nan,-25.37739610683594,-30.033240076740157,2.4362068177477116,11,0.0,0.0,488000,0.0,-30.033240076740157,18.25943,-25.37739610683594,2.4362068177477116,-20.86086557164502,50.144478,7.4677854,-25.377396106835942,0.0,6.1490555,-20.86086557164502,10
10,-23.970391522808562,12,nan,-23.970391522808562,-27.916049502650793,2.846202347670048,12,0.0,0.0,512000,0.0,-27.916049502650793,8.999672,-23.970391522808562,2.846202347670048,-19.241564142957927,49.721066,7.5160675,-23.970391522808562,0.0,6.1595583,-19.241564142957927,10
10,-24.948596515320077,13,nan,-24.94859651532007,-27.45463536452438,2.921978929595686,13,0.0,0.0,536000,0.0,-27.45463536452438,1.355873,-24.94859651532007,2.921978929595686,-18.887596855051285,49.026108,7.525044,-24.948596515320077,0.0,6.1748343,-18.887596855051285,10
10,-21.97732849889642,14,nan,-21.97732849889642,-25.305414293935304,1.9898253891680637,14,0.0,0.0,560000,0.0,-25.305414293935304,-4.699487,-21.97732849889642,1.9898253891680637,-18.939479167149717,48.220657,7.5315266,-21.97732849889642,0.0,6.1831503,-18.939479167149717,10
10,-24.43829399772204,15,nan,-24.43829399772204,-28.611517004626787,2.579985413991463,15,0.0,0.0,584000,0.0,-28.611517004626787,-10.935123,-24.43829399772204,2.579985413991463,-18.75453659460643,47.490696,7.528678,-24.43829399772204,0.0,6.1933446,-18.75453659460643,10
