MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTrain/Average/QfLoss,MetaTest/Average/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTest/button-press-topdown-wall-v1/Iteration,TotalEnvSteps,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/NumTrajs,MetaTrain/Average/Alpha,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn
4.794195911384867,-52.40737460554931,0,-60.543561810688246,0.0,0.0,-60.543561810688246,-43.48467695631459,-52.407374605549286,-52.40737460554931,-43.48467695631459,10,1.8420471,4.794195911384867,8.224838,14.494379,0,224000,0.0,6.7291756,10,nan,0.0,-52.407374605549286
20775.03926801188,14829.275139799478,1,-57.807908117860514,0.0,0.0,-57.807908117860514,50890.445739157265,14829.275139799476,14829.275139799478,50890.445739157265,10,3.2801719,20775.03926801188,8.065032,44.46379,1,248000,0.0,6.720223,10,nan,0.0,14829.275139799476
7.609181751373883,-67.25878825204676,2,-88.29263886300554,0.0,0.0,-88.29263886300554,-61.91831617491975,-67.25878825204677,-67.25878825204676,-61.91831617491975,10,35882.93,7.609181751373883,8.150174,59.685448,2,272000,0.0,5.7630067,10,nan,0.0,-67.25878825204677
3.166415633315236,-27.522093930139352,3,-32.41861955108405,0.0,0.0,-32.41861955108405,-22.751032328061356,-27.52209393013934,-27.522093930139352,-22.751032328061356,10,61241.92,3.166415633315236,315.5792,45.21503,3,296000,0.0,3.912371,10,nan,0.0,-27.52209393013934
6.773818196950696,-46.344167166725455,4,-57.96015204609108,0.0,0.0,-57.96015204609108,-35.79858549562988,-46.344167166725455,-46.344167166725455,-35.79858549562988,10,448496.7,6.773818196950696,1000.64636,-124.25013,4,320000,0.0,0.27170593,10,nan,0.0,-46.344167166725455
9.748411251720198,-49.58107330693106,5,-75.52335415925565,0.0,0.0,-75.52335415925565,-41.0077332609828,-49.58107330693105,-49.58107330693106,-41.0077332609828,10,633706.25,9.748411251720198,1860.1178,-1809.8767,5,344000,0.0,-3.396392,10,nan,0.0,-49.58107330693105
0.8414406084071251,-43.97120366335851,6,-45.19205120975194,0.0,0.0,-45.19205120975194,-42.25840640893878,-43.971203663358494,-43.97120366335851,-42.25840640893878,10,797769.9,0.8414406084071251,2952.3535,-4871.01,6,368000,0.0,-8.398057,10,nan,0.0,-43.971203663358494
10.044517216575636,-124.82701346297442,7,-147.09625380166807,0.0,0.0,-147.09625380166807,-112.19503053500851,-124.82701346297442,-124.82701346297442,-112.19503053500851,10,710096.5,10.044517216575636,1009.4981,-9912.094,7,392000,0.0,-10.256381,10,nan,0.0,-124.82701346297442
5.467894750943594,-108.60750468698836,8,-117.39323308891515,0.0,0.0,-117.39323308891515,-99.7499760004606,-108.60750468698839,-108.60750468698836,-99.7499760004606,10,722681.9,5.467894750943594,5987.0815,-4053.545,8,416000,0.0,-3.1103055,10,nan,0.0,-108.60750468698839
42461.26650393105,17238.311069083473,9,-67.3105763945432,0.0,0.3,-67.3105763945432,142165.28467316634,17238.31106908348,17238.311069083473,142165.28467316634,10,909086.2,42461.26650393105,6702.7,-8741.776,9,440000,0.3,-5.8229837,10,nan,0.0,17238.31106908348
5.875781594735896,-48.26289109968149,10,-61.44685589621855,0.0,0.0,-61.44685589621855,-39.016688761658266,-48.26289109968148,-48.26289109968149,-39.016688761658266,10,2335762.2,5.875781594735896,6930.3965,-55205.36,10,464000,0.0,-18.85955,10,nan,0.0,-48.26289109968148
2195.6831483543365,669.1930844163753,11,-140.4203890494733,0.0,0.0,-140.4203890494733,7255.199014029552,669.1930844163751,669.1930844163753,7255.199014029552,10,2725699.0,2195.6831483543365,3020.5212,-105406.81,11,488000,0.0,-22.865921,10,nan,0.0,669.1930844163751
3.7048556898871214,-55.805610015461994,12,-61.78333770379862,0.0,0.0,-61.78333770379862,-49.06026939951114,-55.805610015461994,-55.805610015461994,-49.06026939951114,10,5423329.5,3.7048556898871214,3005.656,-123298.78,12,512000,0.0,-24.03234,10,nan,0.0,-55.805610015461994
40.88336405386543,-75.57617910062002,13,-126.84890607583527,0.0,0.0,-126.84890607583527,-31.14756111807396,-75.57617910062,-75.57617910062002,-31.14756111807396,10,13739780.0,40.88336405386543,49942.68,-87786.43,13,536000,0.0,-21.719183,10,nan,0.0,-75.57617910062
88782.88551041376,29539.805937182333,14,-139.93762694446357,0.0,0.1,-139.93762694446357,295888.43352831574,29539.80593718234,29539.805937182333,295888.43352831574,10,5689549.0,88782.88551041376,13935.554,-66284.6,14,560000,0.1,-20.27007,10,nan,0.0,29539.80593718234
124625.49962539593,62200.29321405138,15,-87.1809631645095,0.0,0.2,-87.1809631645095,322873.90555336286,62200.29321405142,62200.29321405138,322873.90555336286,10,10617386.0,124625.49962539593,3224.107,-113577.664,15,584000,0.2,-27.237911,10,nan,0.0,62200.29321405142
