MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/box-close-v1/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/TerminationRate,MetaTest/box-close-v1/NumTrajs,MetaTest/box-close-v1/TerminationRate,MetaTest/box-close-v1/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/box-close-v1/AverageReturn,MetaTest/box-close-v1/Iteration,MetaTest/box-close-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/box-close-v1/MinReturn,MetaTest/box-close-v1/SuccessRate,MetaTrain/Average/QfLoss,MetaTrain/Average/Alpha,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn
-33.72777090502423,9.950415,-26.259126841280576,6.7255187,0.0,10,0.0,-33.72777090502423,10,-26.259126841280576,-33.72777090502423,0,5.612371037042637,-33.72777090502423,0.0,224000,-44.50288500887754,-44.50288500887754,0.0,10.117972,nan,0,-7.0647306,5.612371037042637
-15.163513947112842,9.186322,-12.907365122999177,6.6800346,0.0,10,0.0,-15.163513947112833,10,-12.907365122999177,-15.163513947112842,1,2.6845117933590004,-15.163513947112833,0.0,248000,-22.89229491283835,-22.89229491283835,0.0,12.474052,nan,1,-11.210481,2.6845117933590004
-14.846850890535482,9.12751,-13.488920742298175,6.6175,0.0,10,0.0,-14.846850890535482,10,-13.488920742298175,-14.846850890535482,2,0.8011524490652607,-14.846850890535482,0.0,272000,-16.140957599188262,-16.140957599188262,0.0,16.58967,nan,2,-14.919523,0.8011524490652607
-15.10777995828131,7.6335416,-13.926686103329846,6.5541954,0.0,10,0.0,-15.107779958281307,10,-13.926686103329846,-15.10777995828131,3,0.9969008830595036,-15.107779958281307,0.0,296000,-16.577893381216168,-16.577893381216168,0.0,19.899305,nan,3,-17.2234,0.9969008830595036
-14.864687625824512,7.657611,-14.135684578119069,6.491494,0.0,10,0.0,-14.864687625824516,10,-14.135684578119069,-14.864687625824512,4,0.6073909795605754,-14.864687625824516,0.0,320000,-16.178645506053815,-16.178645506053815,0.0,25.013895,nan,4,-20.854914,0.6073909795605754
-14.315603933040288,7.660081,-13.43476316649427,6.4385576,0.0,10,0.0,-14.315603933040288,10,-13.43476316649427,-14.315603933040288,5,0.6169516006818111,-14.315603933040288,0.0,344000,-15.462748084981847,-15.462748084981847,0.0,32.726192,nan,5,-25.066137,0.6169516006818111
-14.077833461867986,7.6602383,-12.98757276317876,6.39853,0.0,10,0.0,-14.077833461867986,10,-12.98757276317876,-14.077833461867986,6,0.7114131273605756,-14.077833461867986,0.0,368000,-15.115751961726541,-15.115751961726541,0.0,42.162407,nan,6,-29.36545,0.7114131273605756
-13.750664488269914,7.6267447,-13.165121738420691,6.369185,0.0,10,0.0,-13.750664488269914,10,-13.165121738420691,-13.750664488269914,7,0.506165789155506,-13.750664488269914,0.0,392000,-14.886212930501252,-14.886212930501252,0.0,55.928406,nan,7,-35.435608,0.506165789155506
-13.95124197847789,7.628086,-13.081447343740953,6.324083,0.0,10,0.0,-13.95124197847789,10,-13.081447343740953,-13.95124197847789,8,0.6318091593053502,-13.95124197847789,0.0,416000,-15.275003360115369,-15.275003360115369,0.0,75.21582,nan,8,-40.423733,0.6318091593053502
-10.949125013480565,7.62474,-8.452647678883263,6.2776914,0.0,10,0.0,-10.949125013480565,10,-8.452647678883263,-10.949125013480565,9,2.1526542225443257,-10.949125013480565,0.0,440000,-14.064599307705189,-14.064599307705189,0.0,103.348076,nan,9,-46.26507,2.1526542225443257
