MetaTest/push-back-v1/AverageDiscountedReturn,MetaTest/push-back-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/push-back-v1/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTest/push-back-v1/TerminationRate,MetaTest/push-back-v1/MinReturn,MetaTest/push-back-v1/StdReturn,MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/push-back-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/push-back-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTrain/Average/QfLoss,MetaTest/push-back-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/PolicyLoss
-22.870461922517574,0.0,0.027825557,16,7.646877,-20.473112770317247,0.0,-25.020203000364084,1.3381527194742138,-25.020203000364084,-0.00015288628,10,0.0,-20.473112770317247,16,-22.870461922517574,608000,1.3381527194742138,0.0,10,14.304111,-22.870461922517578,-22.870461922517578,160.7806
-18.714425443567897,0.0,0.027050717,17,7.648093,-17.547756929398876,0.0,-20.346503361700183,0.8374470983674819,-20.346503361700183,0.00072437385,10,0.0,-17.547756929398876,17,-18.714425443567897,632000,0.8374470983674819,0.0,10,14.163522,-18.7144254435679,-18.7144254435679,159.10373
-19.477589409054385,0.0,0.026575537,18,7.639495,-17.012664158781426,0.0,-22.107997326046963,1.8318527140194876,-22.107997326046963,0.00035078733,10,0.0,-17.012664158781426,18,-19.477589409054385,656000,1.8318527140194876,0.0,10,13.722992,-19.47758940905438,-19.47758940905438,157.15614
-20.004244900499295,0.0,0.025840111,19,7.656309,-18.29966324584943,0.0,-22.535088004432556,1.2315474313077095,-22.535088004432556,0.00017906341,10,0.0,-18.29966324584943,19,-20.004244900499295,680000,1.2315474313077095,0.0,10,13.627672,-20.0042449004993,-20.0042449004993,155.35815
-18.957070105955673,0.0,0.025359157,20,7.7510448,-17.472942345812815,0.0,-20.92547424467581,1.1919950293168466,-20.92547424467581,0.00056339725,10,0.0,-17.472942345812815,20,-18.957070105955673,704000,1.1919950293168466,0.0,10,13.180215,-18.957070105955665,-18.957070105955665,153.28845
-18.644410773115194,0.0,0.024820866,21,7.6353445,-17.47541368192785,0.0,-21.02974718428826,0.9857119695234771,-21.02974718428826,0.00015833974,10,0.0,-17.47541368192785,21,-18.644410773115194,728000,0.9857119695234771,0.0,10,13.200233,-18.644410773115194,-18.644410773115194,151.4989
-19.135626671025033,0.0,0.024900168,22,7.7383647,-17.427483114924136,0.0,-22.0102228985989,1.255969990787885,-22.0102228985989,-0.0001568622,10,0.0,-17.427483114924136,22,-19.135626671025033,752000,1.255969990787885,0.0,10,13.27718,-19.13562667102504,-19.13562667102504,150.004
-18.88442244107115,0.0,0.024976848,23,7.6304297,-17.356015639657716,0.0,-21.680982489971107,1.0797540907238208,-21.680982489971107,0.00019767568,10,0.0,-17.356015639657716,23,-18.88442244107115,776000,1.0797540907238208,0.0,10,13.2502365,-18.884422441071152,-18.884422441071152,148.18748
-18.783230710313013,0.0,0.024540454,24,7.654948,-17.338924286629243,0.0,-21.661844838826834,1.1650855615282174,-21.661844838826834,0.00012858784,10,0.0,-17.338924286629243,24,-18.783230710313013,800000,1.1650855615282174,0.0,10,13.144547,-18.783230710313013,-18.783230710313013,146.25551
-20.006812399649732,0.0,0.02425456,25,7.6327157,-17.932698589622966,0.0,-23.24620420140891,1.514210614419333,-23.24620420140891,0.0006978942,10,0.0,-17.932698589622966,25,-20.006812399649732,824000,1.514210614419333,0.0,10,13.099749,-20.006812399649732,-20.006812399649732,144.3576
-19.146533289444516,0.0,0.023377532,26,7.634721,-17.8913219765532,0.0,-19.955838359179776,0.6705935037554147,-19.955838359179776,5.0852537e-05,10,0.0,-17.8913219765532,26,-19.146533289444516,848000,0.6705935037554147,0.0,10,13.039057,-19.146533289444516,-19.146533289444516,142.58728
-18.962271937694744,0.0,0.02263051,27,7.6331587,-17.108557649420263,0.0,-22.03494283949407,1.5492401076640812,-22.03494283949407,0.00072069623,10,0.0,-17.108557649420263,27,-18.962271937694744,872000,1.5492401076640812,0.0,10,12.87455,-18.962271937694737,-18.962271937694737,140.83545
-18.622388012003082,0.0,0.022102704,28,7.6319904,-17.468222408305977,0.0,-19.535133311032183,0.6373742129078337,-19.535133311032183,0.00052485213,10,0.0,-17.468222408305977,28,-18.622388012003082,896000,0.6373742129078337,0.0,10,12.738034,-18.62238801200309,-18.62238801200309,139.54572
-19.253093019953187,0.0,0.021477737,29,7.635965,-17.445031521608396,0.0,-20.56415524271554,1.075547100198803,-20.56415524271554,0.000105078405,10,0.0,-17.445031521608396,29,-19.253093019953187,920000,1.075547100198803,0.0,10,12.471566,-19.25309301995319,-19.25309301995319,137.99242
-18.477506764816873,0.0,0.021343023,30,7.6382236,-17.368978816286372,0.0,-21.15266042484098,1.0575415972868754,-21.15266042484098,0.00012011519,10,0.0,-17.368978816286372,30,-18.477506764816873,944000,1.0575415972868754,0.0,10,12.547858,-18.477506764816873,-18.477506764816873,136.8194
-18.830490570422313,0.0,0.021150364,31,7.6295056,-17.766749215378127,0.0,-20.49263755876244,0.90710193317323,-20.49263755876244,0.00036496948,10,0.0,-17.766749215378127,31,-18.830490570422313,968000,0.90710193317323,0.0,10,12.39022,-18.83049057042231,-18.83049057042231,135.41376
-18.329244106881973,0.0,0.02059598,32,7.6299295,-17.404807600666608,0.0,-19.314937018526113,0.6200587602497034,-19.314937018526113,0.00021846517,10,0.0,-17.404807600666608,32,-18.329244106881973,992000,0.6200587602497034,0.0,10,12.273338,-18.32924410688197,-18.32924410688197,133.8715
-19.07808135930675,0.0,0.020653889,33,7.6301847,-18.377111507204802,0.0,-20.364878103319885,0.6001496497303723,-20.364878103319885,0.00032859057,10,0.0,-18.377111507204802,33,-19.07808135930675,1016000,0.6001496497303723,0.0,10,12.194726,-19.078081359306747,-19.078081359306747,132.2816
-19.463999137385166,0.0,0.019927101,34,7.628486,-17.918914235665362,0.0,-20.80640686946613,0.9215499552115849,-20.80640686946613,0.00033946062,10,0.0,-17.918914235665362,34,-19.463999137385166,1040000,0.9215499552115849,0.0,10,11.86392,-19.463999137385162,-19.463999137385162,130.5981
-20.62486220219042,0.0,0.019082615,35,7.628884,-18.38724983362929,0.0,-22.741350723076145,1.346826201925874,-22.741350723076145,0.0011641445,10,0.0,-18.38724983362929,35,-20.62486220219042,1064000,1.346826201925874,0.0,10,11.522104,-20.62486220219042,-20.62486220219042,128.83955
-19.186768728286744,0.0,0.018241704,36,7.6281815,-17.692802937440188,0.0,-21.48468320365857,1.091723580565816,-21.48468320365857,-0.00012639762,10,0.0,-17.692802937440188,36,-19.186768728286744,1088000,1.091723580565816,0.0,10,11.250011,-19.186768728286747,-19.186768728286747,127.29939
-18.96715956485544,0.0,0.01809522,37,7.6260047,-17.7383937241435,0.0,-20.76765470914883,0.8122431617608981,-20.76765470914883,0.00080574345,10,0.0,-17.7383937241435,37,-18.96715956485544,1112000,0.8122431617608981,0.0,10,10.942083,-18.967159564855432,-18.967159564855432,125.81707
-19.602371326209227,0.0,0.017697727,38,7.6275225,-17.63485864652656,0.0,-23.340145827636945,1.813219822221606,-23.340145827636945,-0.0006198921,10,0.0,-17.63485864652656,38,-19.602371326209227,1136000,1.813219822221606,0.0,10,11.011843,-19.60237132620923,-19.60237132620923,124.76519
-19.659229998549193,0.0,0.018279837,39,7.625187,-18.184323231328534,0.0,-21.26403988558422,0.9203409320995617,-21.26403988558422,0.00082810834,10,0.0,-18.184323231328534,39,-19.659229998549193,1160000,0.9203409320995617,0.0,10,10.886135,-19.659229998549193,-19.659229998549193,123.91062
-19.65277836479229,0.0,0.017586198,40,7.6291437,-17.91918838304087,0.0,-20.810802792492694,0.9278425670429008,-20.810802792492694,-0.00044650992,10,0.0,-17.91918838304087,40,-19.65277836479229,1184000,0.9278425670429008,0.0,10,10.609199,-19.65277836479229,-19.65277836479229,122.62613
-19.568415549553393,0.0,0.017507385,41,7.625169,-18.024646935732463,0.0,-21.07641834620342,0.9750059055017488,-21.07641834620342,0.000276662,10,0.0,-18.024646935732463,41,-19.568415549553393,1208000,0.9750059055017488,0.0,10,10.669253,-19.56841554955339,-19.56841554955339,121.807785
-19.27268069327802,0.0,0.017324822,42,7.623127,-17.434023524589982,0.0,-20.33178270798711,0.9261730145882032,-20.33178270798711,0.00015855182,10,0.0,-17.434023524589982,42,-19.27268069327802,1232000,0.9261730145882032,0.0,10,10.70242,-19.272680693278023,-19.272680693278023,121.19638
-19.384224705470196,0.0,0.016959285,43,7.6260877,-17.700290234416986,0.0,-22.16861725544462,1.3214294580276038,-22.16861725544462,-0.00020459766,10,0.0,-17.700290234416986,43,-19.384224705470196,1256000,1.3214294580276038,0.0,10,10.80556,-19.3842247054702,-19.3842247054702,120.55436
-20.3552128680201,0.0,0.017302863,44,7.6226087,-17.98702346899784,0.0,-25.382022945659863,2.0846817674198164,-25.382022945659863,0.00045345505,10,0.0,-17.98702346899784,44,-20.3552128680201,1280000,2.0846817674198164,0.0,10,10.947301,-20.355212868020097,-20.355212868020097,119.995
-19.794265357936208,0.0,0.017611967,45,7.625628,-17.807519774423863,0.0,-21.73238461319154,1.1716966925323824,-21.73238461319154,0.00045036257,10,0.0,-17.807519774423863,45,-19.794265357936208,1304000,1.1716966925323824,0.0,10,11.049117,-19.794265357936204,-19.794265357936204,119.49492
-19.426494600514022,0.0,0.017842693,46,7.6190047,-17.23211349509766,0.0,-22.19252628796607,1.4794192780328592,-22.19252628796607,-0.0009380934,10,0.0,-17.23211349509766,46,-19.426494600514022,1328000,1.4794192780328592,0.0,10,11.346045,-19.426494600514012,-19.426494600514012,118.90398
-19.477961195283363,0.0,0.018348068,47,7.621403,-17.2785823560133,0.0,-23.978387819181354,1.9132075111076134,-23.978387819181354,-0.00039166104,10,0.0,-17.2785823560133,47,-19.477961195283363,1352000,1.9132075111076134,0.0,10,11.600485,-19.47796119528336,-19.47796119528336,118.50527
-19.211783624407552,0.0,0.018753562,48,7.616495,-17.43898793439402,0.0,-21.868008465565705,1.1219410822828293,-21.868008465565705,-0.0012637591,10,0.0,-17.43898793439402,48,-19.211783624407552,1376000,1.1219410822828293,0.0,10,12.587863,-19.21178362440755,-19.21178362440755,118.17942
-19.77514750707913,0.0,0.02030985,49,7.6090965,-17.59240520329233,0.0,-22.274624511478795,1.6007266336374202,-22.274624511478795,0.0017247064,10,0.0,-17.59240520329233,49,-19.77514750707913,1400000,1.6007266336374202,0.0,10,13.690361,-19.775147507079133,-19.775147507079133,118.44914
