MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/push-wall-v1/NumTrajs,MetaTest/push-wall-v1/SuccessRate,MetaTest/push-wall-v1/StdReturn,TotalEnvSteps,MetaTest/push-wall-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/push-wall-v1/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/push-wall-v1/AverageDiscountedReturn,MetaTest/push-wall-v1/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/push-wall-v1/MinReturn,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-wall-v1/AverageReturn
164.34842,190.3399306642878,528.6032721079143,0.0,10,0.0,528.6032721079143,224000,0.0,10,0.0,0,-22.156949422911534,1755.250289416267,6.6203494,190.3399306642877,1755.250289416267,14.476994,0,-12.642603,-22.156949422911534,nan,190.3399306642877,190.3399306642878
7995.57,-34.74119471575667,20.560649074456595,0.0,10,0.0,20.560649074456595,248000,0.0,10,0.0,1,-67.5062462605189,12.238733168808542,4.771981,-34.74119471575666,12.238733168808542,13.1714945,1,-134.22395,-67.5062462605189,nan,-34.74119471575666,-34.74119471575667
72792.484,-15.762925993186983,11.774998792826489,0.0,10,0.0,11.774998792826489,272000,0.0,10,0.0,2,-34.77223475209138,1.4612472219378576,1.2332873,-15.762925993186988,1.4612472219378576,20.826532,2,-684.9263,-34.77223475209138,nan,-15.762925993186988,-15.762925993186983
127742.4,-42.49900179491192,3.075255752772253,0.0,10,0.0,3.075255752772253,296000,0.0,10,0.0,3,-46.30118472133943,-36.49768822985108,-2.2420452,-42.49900179491192,-36.49768822985108,35.529423,3,-1098.165,-46.30118472133943,nan,-42.49900179491192,-42.49900179491192
392191.03,-72.75823259277155,23.248261873069872,0.0,10,0.0,23.248261873069872,320000,0.0,10,0.0,4,-99.24355207149164,-28.815883852733297,-4.227143,-72.75823259277155,-28.815883852733297,531.59393,4,-2652.2004,-99.24355207149164,nan,-72.75823259277155,-72.75823259277155
1046802.94,-35.011384242792786,12.140613732646061,0.0,10,0.0,12.140613732646061,344000,0.0,10,0.0,5,-52.8482571045598,-17.944994186883104,-1.7634096,-35.0113842427928,-17.944994186883104,23944.352,5,-1914.5759,-52.8482571045598,nan,-35.0113842427928,-35.011384242792786
1101798.4,10.571109384508972,147.73200010858585,0.0,10,0.0,147.73200010858585,368000,0.0,10,0.0,6,-91.98931733913115,450.0702079955245,-5.5990744,10.571109384508967,450.0702079955245,2205.3823,6,-7851.7256,-91.98931733913115,nan,10.571109384508967,10.571109384508972
4672475.0,-45.35773933352993,27.480719908873088,0.0,10,0.0,27.480719908873088,392000,0.0,10,0.0,7,-90.54264339613782,12.163613568166838,-13.767664,-45.35773933352992,12.163613568166838,18605.232,7,-69536.74,-90.54264339613782,nan,-45.35773933352992,-45.35773933352993
6440738.5,1685.2622237119972,5240.374394724576,0.0,10,0.0,5240.374394724576,416000,0.0,10,0.0,8,-132.83674106147632,17406.143293736397,-15.465852,1685.2622237119963,17406.143293736397,4122.2847,8,-109423.02,-132.83674106147632,nan,1685.2622237119963,1685.2622237119972
1933833.5,-82.78752712332144,19.02946935824727,0.0,10,0.0,19.02946935824727,440000,0.0,10,0.0,9,-96.45690076092309,-39.34485375843517,-9.306728,-82.78752712332145,-39.34485375843517,12575.73,9,-16114.446,-96.45690076092309,nan,-82.78752712332145,-82.78752712332144
