TotalEnvSteps,Average/TerminationRate,MetaTest/push-v1/SuccessRate,Average/MinReturn,MetaTest/Average/MaxReturn,GaussianMLPPolicy/Entropy,push-v1/NumEpisodes,Average/AverageDiscountedReturn,push-v1/Iteration,GaussianMLPPolicy/LossAfter,MetaTest/push-v1/TerminationRate,MetaTest/push-v1/NumEpisodes,Average/NumEpisodes,GaussianMLPPolicy/KLAfter,MetaTest/push-v1/Iteration,MetaTest/push-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,push-v1/AverageDiscountedReturn,push-v1/MinReturn,Average/MaxReturn,Average/StdReturn,push-v1/TerminationRate,push-v1/StdReturn,push-v1/SuccessRate,Average/Iteration,MetaTest/push-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/push-v1/AverageReturn,GaussianMLPPolicy/KLBefore,MetaTest/Average/AverageReturn,Iteration,GaussianMLPPolicy/dLoss,MetaTest/push-v1/MaxReturn,push-v1/AverageReturn,Average/AverageReturn,push-v1/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/MinReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/LossBefore,Average/SuccessRate
80000,0.0,0.0,-100.78752769300162,80.13083975431319,5.66443395614624,200,-24.131376387917516,0,-0.0014585971366614103,0.0,50,200,0.006576858460903168,0,26.009944559428746,0.0,26.009944559428746,-24.131376387917516,-100.78752769300162,-35.58354838614649,12.857552810508004,0.0,12.857552810508004,0.0,0,-44.08522190370289,0,-87.08965586403579,-44.08522190370289,0.0,-44.08522190370289,0,0.000793331884779036,80.13083975431319,-68.54683428663645,-68.54683428663645,-35.58354838614649,0.0,-44.08522190370289,-87.08965586403579,50,-0.0006652652518823743,0.0
160000,0.0,,-95.69054464537953,,5.668463230133057,200,-17.312940072338918,1,-0.0007012374699115753,,,200,0.007004626095294952,,,,,-17.312940072338918,-95.69054464537953,466.6302596438849,47.74767131583748,0.0,47.74767131583748,0.0,1,,,,,0.0,,1,0.0009035737748490646,,-49.66524556251391,-49.66524556251391,466.6302596438849,,,,,0.00020233630493748933,0.0
240000,0.0,,-80.9551297392048,,5.694378852844238,200,11.887195655368672,2,0.00048409629380330443,,,200,0.006709113717079163,,,,,11.887195655368672,-80.9551297392048,6036.121844950023,484.946632033042,0.0,484.946632033042,0.0,2,,,,,0.0,,2,0.0005494526703841984,,37.3944176153108,37.3944176153108,6036.121844950023,,,,,0.0010335489641875029,0.0
320000,0.0,,-68.5104363887436,,5.687337398529053,200,88.060690508728,3,-0.0008797248592600226,,,200,0.00977263506501913,,,,,88.060690508728,-68.5104363887436,11553.76893598809,1001.0342643929034,0.0,1001.0342643929034,0.01,3,,,,,0.0,,3,0.0006834458326920867,,228.9185848754123,228.9185848754123,11553.76893598809,,,,,-0.00019627902656793594,0.01
400000,0.0,,-48.952982024003056,,5.682136535644531,200,220.8313109566161,4,-0.00015897586126811802,,,200,0.0068332538940012455,,,,,220.8313109566161,-48.952982024003056,20701.032155670717,2062.3605239420062,0.0,2062.3605239420062,0.01,4,,,,,0.0,,4,0.0001182322739623487,,661.0259199744377,661.0259199744377,20701.032155670717,,,,,-4.0743587305769324e-05,0.01
480000,0.0,,-40.344201237314394,,5.7325286865234375,200,321.5435108687727,5,7.530264701927081e-05,,,200,0.006816172040998936,,,,,321.5435108687727,-40.344201237314394,30432.630352730524,2834.315940616948,0.0,2834.315940616948,0.01,5,,,,,0.0,,5,2.5282941351179034e-05,,1040.3736890655316,1040.3736890655316,30432.630352730524,,,,,0.00010058558837044984,0.01
560000,0.0,,-34.086030341545296,,5.71398401260376,200,488.7886541192092,6,-5.566767504205927e-05,,,200,0.006956510245800018,,,,,488.7886541192092,-34.086030341545296,16547.472898897842,2555.842756457611,0.0,2555.842756457611,0.02,6,,,,,0.0,,6,2.1884006855543703e-05,,1451.1150298238672,1451.1150298238672,16547.472898897842,,,,,-3.378366818651557e-05,0.02
640000,0.0,,-32.82374239624978,,5.719146251678467,200,951.4092387243634,7,-4.44406441602041e-06,,,200,0.004150791559368372,,,,,951.4092387243634,-32.82374239624978,33399.75882835469,5407.545170327832,0.0,5407.545170327832,0.035,7,,,,,0.0,,7,8.944689852796728e-06,,2746.1270599387485,2746.1270599387485,33399.75882835469,,,,,4.500625436776318e-06,0.035
720000,0.0,,-24.67386741751505,,5.725800037384033,200,1301.633631275518,8,-5.6595927162561566e-06,,,200,0.0056873224675655365,,,,,1301.633631275518,-24.67386741751505,50988.00425843836,8387.62618883461,0.0,8387.62618883461,0.065,8,,,,,0.0,,8,1.2228692412463715e-05,,4171.6835589638185,4171.6835589638185,50988.00425843836,,,,,6.569099696207559e-06,0.065
800000,0.0,,-20.98122997707867,,5.721831798553467,200,1106.627826551847,9,-3.107220663878252e-06,,,200,0.00010187902807956561,,,,,1106.627826551847,-20.98122997707867,44531.0760481913,6548.530531018828,0.0,6548.530531018828,0.045,9,,,,,0.0,,9,1.4464399100688752e-07,,3598.299750996743,3598.299750996743,44531.0760481913,,,,,-2.9625766728713643e-06,0.045
880000,0.0,0.02,-25.333836028861715,21686.31250479826,5.726478099822998,200,1197.131478739989,10,3.091226290052873e-06,0.0,50,200,0.000220594578422606,1,4973.829528074102,0.0,4973.829528074102,1197.131478739989,-25.333836028861715,35201.69179969576,6375.13549133077,0.0,6375.13549133077,0.055,10,3206.10240890974,1,-18.201259826331935,3206.1024089097396,0.0,3206.1024089097396,10,3.156358161504613e-07,21686.31250479826,3890.3547223878572,3890.3547223878572,35201.69179969576,0.02,3206.10240890974,-18.201259826331935,50,3.4068621062033344e-06,0.055
960000,0.0,,-41.781118191445515,,5.715981483459473,200,1418.3924379905848,11,-8.554097803425975e-06,,,200,0.0004127034917473793,,,,,1418.3924379905848,-41.781118191445515,53785.08280282545,7734.244598561424,0.0,7734.244598561424,0.015,11,,,,,0.0,,11,5.963411240372807e-07,,4609.314592387719,4609.314592387719,53785.08280282545,,,,,-7.957756679388694e-06,0.015
1040000,0.0,,-22.919946049473758,,5.720085144042969,200,1647.4276484929524,12,3.9281821955228224e-06,,,200,0.0001671583449933678,,,,,1647.4276484929524,-22.919946049473758,54835.36779389205,9486.485666575809,0.0,9486.485666575809,0.055,12,,,,,0.0,,12,2.3792699721525423e-07,,5260.858510687526,5260.858510687526,54835.36779389205,,,,,4.166109192738077e-06,0.055
