TotalEnvSteps,Average/TerminationRate,MetaTest/push-v1/SuccessRate,Average/MinReturn,MetaTest/Average/MaxReturn,GaussianMLPPolicy/Entropy,push-v1/NumEpisodes,Average/AverageDiscountedReturn,push-v1/Iteration,GaussianMLPPolicy/LossAfter,MetaTest/push-v1/TerminationRate,MetaTest/push-v1/NumEpisodes,Average/NumEpisodes,GaussianMLPPolicy/KLAfter,MetaTest/push-v1/Iteration,MetaTest/push-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,push-v1/AverageDiscountedReturn,push-v1/MinReturn,Average/MaxReturn,Average/StdReturn,push-v1/TerminationRate,push-v1/StdReturn,push-v1/SuccessRate,Average/Iteration,MetaTest/push-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/push-v1/AverageReturn,GaussianMLPPolicy/KLBefore,MetaTest/Average/AverageReturn,Iteration,GaussianMLPPolicy/dLoss,MetaTest/push-v1/MaxReturn,push-v1/AverageReturn,Average/AverageReturn,push-v1/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/MinReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/LossBefore,Average/SuccessRate
1120000,0.0,,-19.318938048651525,,5.680821895599365,200,1396.9470235259353,13,-3.2296891731675714e-05,,,200,0.0012753254268318415,,,,,1396.9470235259353,-19.318938048651525,41685.918905258775,7482.401992248283,0.0,7482.401992248283,0.025,13,,,,,0.0,,13,2.216254870290868e-06,,4301.88714019432,4301.88714019432,41685.918905258775,,,,,-3.0080636861384846e-05,0.025
1200000,0.0,,-20.197701382653186,,5.66534423828125,200,2242.8168114897294,14,-1.1836947123811115e-05,,,200,0.00023484307166654617,,,,,2242.8168114897294,-20.197701382653186,113790.17477313714,14104.382560645845,0.0,14104.382560645845,0.035,14,,,,,0.0,,14,3.359409674885683e-07,,7063.486185732198,7063.486185732198,113790.17477313714,,,,,-1.1501006156322546e-05,0.035
1280000,0.0,,-21.033871691582085,,5.6761908531188965,200,1493.1514132769778,15,7.348381586780306e-06,,,200,0.0008847039425745606,,,,,1493.1514132769778,-21.033871691582085,69616.77404539472,10715.0989666223,0.0,10715.0989666223,0.04,15,,,,,0.0,,15,1.3567905625677668e-06,,5095.739413826927,5095.739413826927,69616.77404539472,,,,,8.705172149348073e-06,0.04
1360000,0.0,,-23.355022039209917,,5.668808937072754,200,2206.64063555977,16,-5.630453870253405e-06,,,200,0.0001073438543244265,,,,,2206.64063555977,-23.355022039209917,54601.45824851622,9678.622088887156,0.0,9678.622088887156,0.03,16,,,,,0.0,,16,1.5243904272210784e-07,,6684.880851691036,6684.880851691036,54601.45824851622,,,,,-5.478014827531297e-06,0.03
1440000,0.0,,-23.401815656913424,,5.674994468688965,200,1363.1835674260003,17,4.8608321776555385e-06,,,200,7.729323988314718e-05,,,,,1363.1835674260003,-23.401815656913424,78494.93610137697,8736.207856727793,0.0,8736.207856727793,0.015,17,,,,,0.0,,17,1.0961184671032242e-07,,4332.675280765966,4332.675280765966,78494.93610137697,,,,,4.970444024365861e-06,0.015
1520000,0.0,,-34.64198955124502,,5.670977592468262,200,2445.438951614213,18,-3.8033208511478733e-06,,,200,2.9751248803222552e-05,,,,,2445.438951614213,-34.64198955124502,90409.27353584454,14174.247059288857,0.0,14174.247059288857,0.08,18,,,,,0.0,,18,4.206776793580502e-08,,7910.199644568354,7910.199644568354,90409.27353584454,,,,,-3.7612530832120683e-06,0.08
1600000,0.0,,-22.53285348958994,,5.666119575500488,200,2044.4102433727614,19,-5.498152859217953e-06,,,200,0.00036896110395900905,,,,,2044.4102433727614,-22.53285348958994,63019.87231599196,10166.834027202118,0.0,10166.834027202118,0.05,19,,,,,0.0,,19,6.440664037654642e-07,,6176.039189336123,6176.039189336123,63019.87231599196,,,,,-4.854086455452489e-06,0.05
1680000,0.0,0.02,-24.9997637391336,34697.13055308553,5.659012317657471,200,1685.1612934869156,20,-5.646709723805543e-06,0.0,50,200,7.701844879193231e-05,2,7224.588906499525,0.0,7224.588906499525,1685.1612934869156,-24.9997637391336,55321.036264739494,9937.561969280103,0.0,9937.561969280103,0.04,20,4000.5295768095093,2,-19.974610272988166,4000.5295768095098,0.0,4000.5295768095098,20,1.0930580174317583e-07,34697.13055308553,5417.485854124583,5417.485854124583,55321.036264739494,0.02,4000.5295768095093,-19.974610272988166,50,-5.537403922062367e-06,0.04
1760000,0.0,,-23.100060408342415,,5.636566638946533,200,2350.4770524100254,21,-1.5885962056927383e-05,,,200,0.000193458326975815,,,,,2350.4770524100254,-23.100060408342415,66735.4345778996,12697.879810194008,0.0,12697.879810194008,0.1,21,,,,,0.0,,21,2.7663554647006094e-07,,7442.71409626484,7442.71409626484,66735.4345778996,,,,,-1.5609326510457322e-05,0.1
1840000,0.0,,-23.109020089538543,,5.627878665924072,200,1444.1048710641996,22,-8.131418326229323e-06,,,200,0.0004946048720739782,,,,,1444.1048710641996,-23.109020089538543,58156.63854308552,8356.652613210326,0.0,8356.652613210326,0.045,22,,,,,0.0,,22,8.296142368635628e-07,,4673.505495587717,4673.505495587717,58156.63854308552,,,,,-7.30180408936576e-06,0.045
1920000,0.0,,-20.969756771846527,,5.602386951446533,200,2202.8978501682122,23,-1.816645271901507e-05,,,200,0.0002444954589009285,,,,,2202.8978501682122,-20.969756771846527,61795.853364567076,10893.834293892309,0.0,10893.834293892309,0.055,23,,,,,0.0,,23,3.505920176394284e-07,,6728.663948049306,6728.663948049306,61795.853364567076,,,,,-1.781586070137564e-05,0.055
2000000,0.0,,-32.39810626325337,,5.59909725189209,200,1785.3870578409872,24,-3.0511628210661e-06,,,200,7.817536243237555e-05,,,,,1785.3870578409872,-32.39810626325337,79106.534997771,11392.727461471479,0.0,11392.727461471479,0.03,24,,,,,0.0,,24,1.1104930308647454e-07,,5722.358828276188,5722.358828276188,79106.534997771,,,,,-2.9401135179796256e-06,0.03
2080000,0.0,,-27.32868734974822,,5.6019086837768555,200,2571.6194427430337,25,2.032179736488615e-06,,,200,7.00138189131394e-05,,,,,2571.6194427430337,-27.32868734974822,104442.07380691492,16711.949828461948,0.0,16711.949828461948,0.085,25,,,,,0.0,,25,9.920177035382949e-08,,8037.662178044154,8037.662178044154,104442.07380691492,,,,,2.1313815068424447e-06,0.085
2160000,0.0,,-19.841548341636088,,5.60139274597168,200,2645.8666933164686,26,-1.573141162225511e-06,,,200,9.656566362536978e-06,,,,,2645.8666933164686,-19.841548341636088,93041.48293769393,13931.896886732831,0.0,13931.896886732831,0.045,26,,,,,0.0,,26,1.3642647900269367e-08,,8963.762369755965,8963.762369755965,93041.48293769393,,,,,-1.5594985143252416e-06,0.045
2240000,0.0,,-19.85534711288906,,5.60136604309082,200,3126.978657504654,27,-7.200192442269326e-08,,,200,6.8909721449017525e-06,,,,,3126.978657504654,-19.85534711288906,131451.01690124848,18485.484064087843,0.0,18485.484064087843,0.1,27,,,,,0.0,,27,9.73705027718097e-09,,10751.038596261498,10751.038596261498,131451.01690124848,,,,,-6.22648741455123e-08,0.1
2320000,0.0,,-20.203836260393764,,5.586937427520752,200,2008.837315545912,28,-1.2645177775993943e-05,,,200,0.000820682558696717,,,,,2008.837315545912,-20.203836260393764,109201.6172189143,11766.589764790826,0.0,11766.589764790826,0.035,28,,,,,0.0,,28,1.3425596989691257e-06,,6191.373119120134,6191.373119120134,109201.6172189143,,,,,-1.1302618077024817e-05,0.035
2400000,0.0,,-48.52175174066862,,5.594399452209473,200,2088.446480685799,29,5.755354777647881e-06,,,200,0.00010198143718298525,,,,,2088.446480685799,-48.52175174066862,64686.303569202246,11898.388958842332,0.0,11898.388958842332,0.055,29,,,,,0.0,,29,1.4495390132651664e-07,,6643.645644263058,6643.645644263058,64686.303569202246,,,,,5.9003086789743975e-06,0.055
2480000,0.0,0.08,-22.06867573510168,46569.65668242895,5.592160224914551,200,2094.4912663909713,30,-2.1530809135583695e-06,0.0,50,200,0.00019590296142268926,3,10600.75901212144,0.0,10600.75901212144,2094.4912663909713,-22.06867573510168,77253.50816613996,12201.105096830343,0.0,12201.105096830343,0.03,30,5912.528240527492,3,-19.106814859904073,5912.528240527491,0.0,5912.528240527491,30,2.794502051983727e-07,46569.65668242895,7078.3650358335335,7078.3650358335335,77253.50816613996,0.08,5912.528240527492,-19.106814859904073,50,-1.8736307083599968e-06,0.03
2560000,0.0,,-30.429170062800182,,5.608232021331787,200,2928.3207665405025,31,7.56747158447979e-06,,,200,0.003140754532068968,,,,,2928.3207665405025,-30.429170062800182,149935.94011724938,18850.363125525684,0.0,18850.363125525684,0.1,31,,,,,0.0,,31,5.939623406447936e-06,,9577.990680243662,9577.990680243662,149935.94011724938,,,,,1.3507094990927726e-05,0.1
2640000,0.0,,-35.88922262564575,,5.6077470779418945,200,2546.7931759533403,32,-2.2274066395766567e-06,,,200,8.126681495923549e-05,,,,,2546.7931759533403,-35.88922262564575,97919.34721007023,14460.32857721984,0.0,14460.32857721984,0.08,32,,,,,0.0,,32,1.1519841791596264e-07,,8511.508783656316,8511.508783656316,97919.34721007023,,,,,-2.112208221660694e-06,0.08
2720000,0.0,,-29.276588379689905,,5.611503601074219,200,2822.7035121430727,33,3.329635774207418e-06,,,200,4.9725116696208715e-05,,,,,2822.7035121430727,-29.276588379689905,91601.90747355908,14281.890576697344,0.0,14281.890576697344,0.085,33,,,,,0.0,,33,7.04214926372515e-08,,8940.61877148091,8940.61877148091,91601.90747355908,,,,,3.4000572668446694e-06,0.085
2800000,0.0,,-18.661349191451126,,5.591672420501709,200,2975.1013551947717,34,-1.4413267308555078e-05,,,200,0.00031082844361662865,,,,,2975.1013551947717,-18.661349191451126,76556.93042587473,14452.058879672652,0.0,14452.058879672652,0.085,34,,,,,0.0,,34,4.46452759206295e-07,,9486.691660830054,9486.691660830054,76556.93042587473,,,,,-1.3966814549348783e-05,0.085
2880000,0.0,,-39.366750954243315,,5.5875067710876465,200,3540.9935606865515,35,-3.70531233784277e-06,,,200,4.2947322071995586e-05,,,,,3540.9935606865515,-39.366750954243315,138134.96647950902,20304.92121053194,0.0,20304.92121053194,0.065,35,,,,,0.0,,35,6.081290848669596e-08,,11384.117403636374,11384.117403636374,138134.96647950902,,,,,-3.644499429356074e-06,0.065
2960000,0.0,,-40.38745112686357,,5.5843505859375,200,2793.0549120432925,36,-2.434312136756489e-06,,,200,1.8840119082597084e-05,,,,,2793.0549120432925,-40.38745112686357,110545.80260757772,16688.156671218905,0.0,16688.156671218905,0.105,36,,,,,0.0,,36,2.669548848643899e-08,,9080.253564960854,9080.253564960854,110545.80260757772,,,,,-2.40761664827005e-06,0.105
3040000,0.0,,-26.094417864012055,,5.579262733459473,200,2814.0122128689395,37,-3.88960415875772e-06,,,200,5.2105031500104815e-05,,,,,2814.0122128689395,-26.094417864012055,123569.7007958812,18237.838884028322,0.0,18237.838884028322,0.105,37,,,,,0.0,,37,7.380913302768022e-08,,9752.747397014055,9752.747397014055,123569.7007958812,,,,,-3.81579502573004e-06,0.105
3120000,0.0,,-21.578292963032283,,5.5716552734375,200,3292.0501773964615,38,-6.321428372757509e-06,,,200,0.0005123342270962894,,,,,3292.0501773964615,-21.578292963032283,118736.87139152299,17757.75363620127,0.0,17757.75363620127,0.11,38,,,,,0.0,,38,8.435063136857934e-07,,10427.177685586465,10427.177685586465,118736.87139152299,,,,,-5.477922059071716e-06,0.11
3200000,0.0,,-40.97662658819881,,5.572724342346191,200,3060.447825424383,39,8.775572268859833e-07,,,200,2.5261479095206596e-05,,,,,3060.447825424383,-40.97662658819881,128882.0937068256,17831.39481117093,0.0,17831.39481117093,0.09,39,,,,,0.0,,39,3.5701418710232247e-08,,10251.628497149677,10251.628497149677,128882.0937068256,,,,,9.132586455962155e-07,0.09
3280000,0.0,0.12,-21.87777702534,70432.01524298424,5.570253372192383,200,4130.912926558127,40,-2.1208629732427653e-06,0.0,50,200,2.9789549444103613e-05,4,16269.141365774252,0.0,16269.141365774252,4130.912926558127,-21.87777702534,143634.42580383155,22124.468815348842,0.0,22124.468815348842,0.12,40,12465.475389485955,4,-28.42624760039219,12465.475389485955,0.0,12465.475389485955,40,4.212051862850785e-08,70432.01524298424,13746.284109871587,13746.284109871587,143634.42580383155,0.12,12465.475389485955,-28.42624760039219,50,-2.0787424546142574e-06,0.12
3360000,0.0,,-44.0500194969687,,5.566466331481934,200,3062.981188622429,41,-3.026092372238054e-06,,,200,3.580579505069181e-05,,,,,3062.981188622429,-44.0500194969687,126699.31093078923,16969.094504969617,0.0,16969.094504969617,0.08,41,,,,,0.0,,41,5.0664539230638184e-08,,9875.971801988167,9875.971801988167,126699.31093078923,,,,,-2.9754278330074158e-06,0.08
3440000,0.0,,-25.21244083139032,,5.566856861114502,200,3312.500723082239,42,1.6800664752736338e-06,,,200,1.790923488442786e-05,,,,,3312.500723082239,-25.21244083139032,98113.67498149355,16278.541927227227,0.0,16278.541927227227,0.12,42,,,,,0.0,,42,2.5305894268967677e-08,,11268.092663172523,11268.092663172523,98113.67498149355,,,,,1.7053723695426015e-06,0.12
3520000,0.0,,-24.024977797079142,,5.563931465148926,200,4320.047088107599,43,-2.9680663828912657e-06,,,200,3.1621078960597515e-05,,,,,4320.047088107599,-24.024977797079142,133330.81414820984,21652.564750068545,0.0,21652.564750068545,0.135,43,,,,,0.0,,43,4.4758053263649344e-08,,14122.845866134883,14122.845866134883,133330.81414820984,,,,,-2.9233083296276163e-06,0.135
3600000,0.0,,-20.18202415563025,,5.568143367767334,200,3022.808996170472,44,3.954400199290831e-06,,,200,1.733826138661243e-05,,,,,3022.808996170472,-20.18202415563025,102293.39799316367,18342.42191629987,0.0,18342.42191629987,0.06,44,,,,,0.0,,44,2.450769898132421e-08,,10095.61765403788,10095.61765403788,102293.39799316367,,,,,3.978907898272155e-06,0.06
3680000,0.0,,-34.847337188249284,,5.568318843841553,200,3098.7862532785907,45,6.455078391809366e-07,,,200,3.510938404360786e-05,,,,,3098.7862532785907,-34.847337188249284,111912.64676346157,15649.549227876669,0.0,15649.549227876669,0.06,45,,,,,0.0,,45,4.961799504599185e-08,,10064.011723722366,10064.011723722366,111912.64676346157,,,,,6.951258342269284e-07,0.06
3760000,0.0,,-28.768982346946245,,5.570343971252441,200,3920.872920091443,46,1.6552627357668825e-06,,,200,2.3876991690485738e-05,,,,,3920.872920091443,-28.768982346946245,109948.02422703145,20566.342052695312,0.0,20566.342052695312,0.105,46,,,,,0.0,,46,3.3737819649104495e-08,,12753.322644430802,12753.322644430802,109948.02422703145,,,,,1.689000555415987e-06,0.105
3840000,0.0,,-42.72499452190753,,5.572522163391113,200,2882.46099060171,47,1.3695571396965533e-06,,,200,9.84488069661893e-05,,,,,2882.46099060171,-42.72499452190753,94456.46685846604,15197.240687522471,0.0,15197.240687522471,0.065,47,,,,,0.0,,47,1.4017257399245864e-07,,9606.012930698898,9606.012930698898,94456.46685846604,,,,,1.509729713689012e-06,0.065
3920000,0.0,,-28.620240347694153,,5.571413516998291,200,4150.539784710018,48,-1.2193029306217795e-06,,,200,1.4530980479321443e-05,,,,,4150.539784710018,-28.620240347694153,174597.57413656818,22698.14294755965,0.0,22698.14294755965,0.115,48,,,,,0.0,,48,2.0551397028611973e-08,,13922.10681718835,13922.10681718835,174597.57413656818,,,,,-1.1987515335931676e-06,0.115
4000000,0.0,,-38.36060311983133,,5.571261882781982,200,3414.6489128628373,49,-6.732349220328615e-07,,,200,1.1774494851124473e-05,,,,,3414.6489128628373,-38.36060311983133,114376.46657800357,16395.163638789327,0.0,16395.163638789327,0.09,49,,,,,0.0,,49,1.665802074057865e-08,,10913.822031637746,10913.822031637746,114376.46657800357,,,,,-6.565769012922829e-07,0.09
4080000,0.0,0.08,-23.08917048834235,84793.5782581661,5.567537784576416,200,2805.018142163825,50,-3.425016529945424e-06,0.0,50,200,0.0001255942916031927,5,18153.167317931213,0.0,18153.167317931213,2805.018142163825,-23.08917048834235,101540.64215536263,17163.88131437832,0.0,17163.88131437832,0.075,50,10126.03800218342,5,-23.28108836394094,10126.038002183423,0.0,10126.038002183423,50,1.7856018530437723e-07,84793.5782581661,9576.085609756812,9576.085609756812,101540.64215536263,0.08,10126.03800218342,-23.28108836394094,50,-3.2464563446410466e-06,0.075
4160000,0.0,,-42.65738683422607,,5.567955493927002,200,4408.09906005029,51,4.198213048312027e-07,,,200,1.5917528799036518e-05,,,,,4408.09906005029,-42.65738683422607,111750.6175216276,23916.325556911233,0.0,23916.325556911233,0.09,51,,,,,0.0,,51,2.2529121679326636e-08,,14132.827741260398,14132.827741260398,111750.6175216276,,,,,4.4235042651052936e-07,0.09
4240000,0.0,,-58.332582331344874,,5.5676164627075195,200,3478.264647247008,52,-1.4915819974703481e-06,,,200,1.6468939065816812e-05,,,,,3478.264647247008,-58.332582331344874,135546.57143675865,21600.744653148475,0.0,21600.744653148475,0.105,52,,,,,0.0,,52,2.3252368919202127e-08,,11691.314255009414,11691.314255009414,135546.57143675865,,,,,-1.468329628551146e-06,0.105
4320000,0.0,,-31.378291083873396,,5.564549922943115,200,3196.5899824039625,53,-3.360516757311416e-06,,,200,5.3700779972132295e-05,,,,,3196.5899824039625,-31.378291083873396,148385.63199700546,19996.041733352926,0.0,19996.041733352926,0.075,53,,,,,0.0,,53,7.60353486839449e-08,,10332.802561103019,10332.802561103019,148385.63199700546,,,,,-3.284481408627471e-06,0.075
4400000,0.0,,-25.868725458001876,,5.560427665710449,200,3927.5831102110888,54,-3.1757463148096576e-06,,,200,1.5177708519331645e-05,,,,,3927.5831102110888,-25.868725458001876,137706.0346700548,21724.027353236233,0.0,21724.027353236233,0.105,54,,,,,0.0,,54,2.1464074961841106e-08,,12890.639308979487,12890.639308979487,137706.0346700548,,,,,-3.1542822398478165e-06,0.105
4480000,0.0,,-18.483788088054496,,5.559319019317627,200,3686.2912273758416,55,-2.228467110398924e-06,,,200,5.077800778963137e-06,,,,,3686.2912273758416,-18.483788088054496,169009.0479286044,20993.286999960146,0.0,20993.286999960146,0.115,55,,,,,0.0,,55,7.1902377385413274e-09,,11850.136334629013,11850.136334629013,169009.0479286044,,,,,-2.2212768726603827e-06,0.115
4560000,0.0,,-42.206556396912944,,5.5594000816345215,200,3794.390451737029,56,2.6007506903624744e-07,,,200,4.351684037828818e-05,,,,,3794.390451737029,-42.206556396912944,91109.65695091913,20863.319415256756,0.0,20863.319415256756,0.13,56,,,,,0.0,,56,6.178342459861597e-08,,13012.154054285234,13012.154054285234,91109.65695091913,,,,,3.218584936348634e-07,0.13
4640000,0.0,,-21.997120162137193,,5.548156261444092,200,3262.0803150023526,57,-6.548335477418732e-06,,,200,0.00024138169828802347,,,,,3262.0803150023526,-21.997120162137193,132583.97980190892,19201.259842069274,0.0,19201.259842069274,0.09,57,,,,,0.0,,57,3.729696800292004e-07,,10854.124793268767,10854.124793268767,132583.97980190892,,,,,-6.1753657973895315e-06,0.09
4720000,0.0,,-19.47226014039656,,5.553441047668457,200,3941.795165253358,58,4.036912287119776e-06,,,200,8.488137245876715e-05,,,,,3941.795165253358,-19.47226014039656,127979.59861263618,20971.5865064057,0.0,20971.5865064057,0.115,58,,,,,0.0,,58,1.2079544831067324e-07,,13074.828372739768,13074.828372739768,127979.59861263618,,,,,4.157707735430449e-06,0.115
4800000,0.0,,-23.548104767620725,,5.553893566131592,200,5062.101890862059,59,1.945014901139075e-06,,,200,2.23414390347898e-05,,,,,5062.101890862059,-23.548104767620725,135542.55133082278,24737.986293874492,0.0,24737.986293874492,0.165,59,,,,,0.0,,59,3.1582430892740376e-08,,17406.898245537326,17406.898245537326,135542.55133082278,,,,,1.9765973320318153e-06,0.165
4880000,0.0,0.04,-22.259813400613325,49201.689740471535,5.554003715515137,200,4262.016597572424,60,4.3732856624956185e-07,0.0,50,200,1.9402664293011185e-06,6,10941.812602997457,0.0,10941.812602997457,4262.016597572424,-22.259813400613325,106444.00033303924,21811.272102976614,0.0,21811.272102976614,0.1,60,7880.254117925489,6,-21.27351689764792,7880.2541179254895,0.0,7880.2541179254895,60,2.7568773930397583e-09,49201.689740471535,14194.713071693282,14194.713071693282,106444.00033303924,0.04,7880.254117925489,-21.27351689764792,50,4.400854436426016e-07,0.1
4960000,0.0,,-24.86042966360169,,5.553443431854248,200,5097.713083082803,61,-1.9930978396587307e-06,,,200,6.474680958490353e-06,,,,,5097.713083082803,-24.86042966360169,247690.13666268575,26099.71974255691,0.0,26099.71974255691,0.165,61,,,,,0.0,,61,9.135646905633621e-09,,16785.851718229573,16785.851718229573,247690.13666268575,,,,,-1.983962192753097e-06,0.165
5040000,0.0,,-23.156314914567474,,5.55132532119751,200,3048.380595724188,62,-2.4138141725416062e-06,,,200,4.148302105022594e-05,,,,,3048.380595724188,-23.156314914567474,157282.93022986173,19516.029793117512,0.0,19516.029793117512,0.065,62,,,,,0.0,,62,5.871152097824961e-08,,9884.916904404337,9884.916904404337,157282.93022986173,,,,,-2.3551026515633566e-06,0.065
5120000,0.0,,-23.01576156680078,,5.550378799438477,200,4061.6405396591813,63,-7.443417189278989e-07,,,200,1.8820650439010933e-05,,,,,4061.6405396591813,-23.01576156680078,135422.6363038466,20512.566746472894,0.0,20512.566746472894,0.135,63,,,,,0.0,,63,2.6659904506232124e-08,,13270.747852514358,13270.747852514358,135422.6363038466,,,,,-7.176818144216668e-07,0.135
