button-press-wall-v1/AverageReturn,Average/MinReturn,GaussianMLPPolicy/KLAfter,Iteration,MetaTest/button-press-wall-v1/MinReturn,button-press-wall-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTest/button-press-wall-v1/SuccessRate,button-press-wall-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/button-press-wall-v1/StdReturn,button-press-wall-v1/MinReturn,GaussianMLPPolicy/LossAfter,Average/StdReturn,MetaTest/button-press-wall-v1/Iteration,MetaTest/button-press-wall-v1/TerminationRate,GaussianMLPPolicy/KLBefore,button-press-wall-v1/NumEpisodes,button-press-wall-v1/AverageDiscountedReturn,MetaTest/button-press-wall-v1/MaxReturn,MetaTest/Average/AverageReturn,button-press-wall-v1/SuccessRate,MetaTest/button-press-wall-v1/NumEpisodes,GaussianMLPPolicy/LossBefore,button-press-wall-v1/Iteration,GaussianMLPPolicy/Entropy,MetaTest/Average/SuccessRate,Average/AverageReturn,GaussianMLPPolicy/dLoss,MetaTest/button-press-wall-v1/AverageDiscountedReturn,Average/SuccessRate,TotalEnvSteps,MetaTest/Average/NumEpisodes,Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,button-press-wall-v1/StdReturn,MetaTest/button-press-wall-v1/AverageReturn,MetaTest/Average/Iteration,Average/TerminationRate,MetaTest/Average/StdReturn,Average/AverageDiscountedReturn,Average/Iteration,Average/NumEpisodes
111.34379792975237,-65.67041778734497,0.009496656246483326,0,-59.75420880489527,0.0,-59.75420880489527,0.1,28251.628547636534,13076.701145532757,3910.269251284291,-65.67041778734497,-0.0012009202037006617,2003.2643290083574,0,0.0,0.0,200,27.949497546581892,13076.701145532757,1449.073040055857,0.0,10,0.0001378432207275182,0,5.681157112121582,0.1,111.34379792975237,0.0013387634244281799,1449.0730400558573,0.0,80000,10,28251.628547636534,1449.0730400558573,0.0,2003.2643290083574,1449.073040055857,0,0.0,3910.269251284291,27.949497546581892,0,200
970.259359549643,-56.46138010940791,0.006758745759725571,1,,0.0,,,77340.09493623782,,,-56.46138010940791,0.0013712887885048985,6325.81180712273,,,0.0,200,382.1822688899629,,,0.01,,0.0025361119769513607,1,5.7215256690979,,970.259359549643,0.0011648231884464622,,0.01,160000,,77340.09493623782,,,6325.81180712273,,,0.0,,382.1822688899629,1,200
5644.2039482332075,-47.84734853055112,0.0064638047479093075,2,,0.0,,,177249.2757783688,,,-47.84734853055112,0.0005731540150009096,18640.98138781601,,,0.0,200,2066.584112633558,,,0.025,,0.0009779903339222074,2,5.765444278717041,,5644.2039482332075,0.0004048363189212978,,0.025,240000,,177249.2757783688,,,18640.98138781601,,,0.0,,2066.584112633558,2,200
19741.31856810227,-42.724460718813454,0.007262059953063726,3,,0.0,,,237037.70671323582,,,-42.724460718813454,-0.0004661900456994772,46155.57677273725,,,0.0,200,6689.321765799508,,,0.055,,-0.00022077650646679103,3,5.750213146209717,,19741.31856810227,0.00024541353923268616,,0.055,320000,,237037.70671323582,,,46155.57677273725,,,0.0,,6689.321765799508,3,200
15027.823000336291,-42.83860474730158,1.3998120266478509e-05,4,,0.0,,,222832.60499071414,,,-42.83860474730158,5.307800847731414e-07,37054.34849822623,,,0.0,200,6009.562422846469,,,0.025,,5.505871172317711e-07,4,5.750536918640137,,15027.823000336291,1.9807032458629692e-08,,0.025,400000,,222832.60499071414,,,37054.34849822623,,,0.0,,6009.562422846469,4,200
20887.823978150995,-36.92452935692199,1.951783360709669e-06,5,,0.0,,,244695.53293288153,,,-36.92452935692199,-1.4670453651888238e-07,46217.41272292913,,,0.0,200,7926.701104853265,,,0.075,,-1.4392496439086244e-07,5,5.750465393066406,,20887.823978150995,2.779572128019936e-09,,0.075,480000,,244695.53293288153,,,46217.41272292913,,,0.0,,7926.701104853265,5,200
20972.48481846878,-34.381121089894094,3.139533146168105e-05,6,,0.0,,,271991.6367828403,,,-34.381121089894094,-1.7878294329420896e-06,47413.544058298736,,,0.0,200,7649.277257110392,,,0.02,,-1.7433576431358233e-06,6,5.749638080596924,,20972.48481846878,4.4471789806266315e-08,,0.02,560000,,271991.6367828403,,,47413.544058298736,,,0.0,,7649.277257110392,6,200
17588.370229435932,-37.65461153878516,1.2316524589550681e-05,7,,0.0,,,221439.07200760322,,,-37.65461153878516,-6.368203457896016e-07,39616.04279775139,,,0.0,200,6838.136427025904,,,0.045,,-6.194233037604135e-07,7,5.749150276184082,,17588.370229435932,1.7397042029188015e-08,,0.045,640000,,221439.07200760322,,,39616.04279775139,,,0.0,,6838.136427025904,7,200
23142.900949509913,-40.10846473189418,1.8449878780302242e-06,8,,0.0,,,251923.26399825962,,,-40.10846473189418,3.4051612374241813e-07,48442.03103953872,,,0.0,200,8618.908876213467,,,0.035,,3.431223944971862e-07,8,5.7493133544921875,,23142.900949509913,2.6062707547680475e-09,,0.035,720000,,251923.26399825962,,,48442.03103953872,,,0.0,,8618.908876213467,8,200
16540.931794209544,-38.21732454034938,0.008283441886305809,9,,0.0,,,169586.9504496201,,,-38.21732454034938,0.0003265760315116495,35158.566694038425,,,0.0,200,6269.519692861637,,,0.02,,0.0007712934748269618,9,5.7797465324401855,,16540.931794209544,0.00044471744331531227,,0.02,800000,,169586.9504496201,,,35158.566694038425,,,0.0,,6269.519692861637,9,200
