MetaTest/faucet-close-v1/MaxReturn,MetaTest/faucet-close-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/faucet-close-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/Average/NumTrajs,MetaTest/faucet-close-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/faucet-close-v1/SuccessRate,MetaTest/faucet-close-v1/StdReturn,MetaTest/faucet-close-v1/MinReturn,MetaTest/Average/Iteration,MetaTest/faucet-close-v1/NumTrajs,MetaTest/faucet-close-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn
-21.12521971247927,-28.00176106432803,-36.45844735838324,0.0,0.0,0.0,224000,10,-28.00176106432803,-21.12521971247927,-28.00176106432803,0.0,4.643351183444789,-36.45844735838324,0,10,0,4.643351183444789,-28.00176106432803
5346.526506843122,1236.5634335722768,-53.959166987629104,0.0,0.0,0.0,248000,10,1236.563433572277,5346.526506843122,1236.5634335722768,0.0,1627.4686844403152,-53.959166987629104,1,10,1,1627.4686844403152,1236.563433572277
5923.9975380997785,1875.4665687888944,-49.750376700343324,0.0,0.0,0.0,272000,10,1875.4665687888942,5923.9975380997785,1875.4665687888944,0.0,2144.059654433149,-49.750376700343324,2,10,2,2144.059654433149,1875.4665687888942
14399.309652596703,4095.015148831311,-53.83740204459235,0.0,0.0,0.0,296000,10,4095.015148831311,14399.309652596703,4095.015148831311,0.0,4762.374980960992,-53.83740204459235,3,10,3,4762.374980960992,4095.015148831311
28215.664049060397,7098.775620464393,-46.504602658963954,0.0,0.0,0.0,320000,10,7098.775620464391,28215.664049060397,7098.775620464393,0.0,8724.059044091331,-46.504602658963954,4,10,4,8724.059044091331,7098.775620464391
17568.18140406447,2622.8723717806924,-46.42788931911394,0.0,0.0,0.0,344000,10,2622.8723717806924,17568.18140406447,2622.8723717806924,0.0,5138.74812467442,-46.42788931911394,5,10,5,5138.74812467442,2622.8723717806924
29492.414612457203,5422.749077748376,604.1392798282986,0.0,0.0,0.1,368000,10,5422.749077748376,29492.414612457203,5422.749077748376,0.1,8477.642772074852,604.1392798282986,6,10,6,8477.642772074852,5422.749077748376
31020.190245829886,4921.529704388432,-74.57966349718313,0.0,0.0,0.0,392000,10,4921.529704388432,31020.190245829886,4921.529704388432,0.0,10051.347262795254,-74.57966349718313,7,10,7,10051.347262795254,4921.529704388432
9939.417476845216,1899.0316839482814,-25.05033093093608,0.0,0.0,0.0,416000,10,1899.0316839482807,9939.417476845216,1899.0316839482814,0.0,3066.358118266701,-25.05033093093608,8,10,8,3066.358118266701,1899.0316839482807
9545.792038825612,1941.3555716381593,-45.40995589846202,0.0,0.0,0.0,440000,10,1941.3555716381584,9545.792038825612,1941.3555716381593,0.0,2632.951983223269,-45.40995589846202,9,10,9,2632.951983223269,1941.3555716381584
19531.3250559944,4031.3513511896226,-39.09132517288503,0.0,0.0,0.0,464000,10,4031.3513511896235,19531.3250559944,4031.3513511896226,0.0,6231.997011409715,-39.09132517288503,10,10,10,6231.997011409715,4031.3513511896235
24078.376075260727,5075.252631416113,-41.57419161380726,0.0,0.0,0.0,488000,10,5075.252631416115,24078.376075260727,5075.252631416113,0.0,7314.946859428548,-41.57419161380726,11,10,11,7314.946859428548,5075.252631416115
22841.765419435545,6544.7835581606405,-26.615627393451007,0.0,0.0,0.0,512000,10,6544.783558160644,22841.765419435545,6544.7835581606405,0.0,7848.261663901161,-26.615627393451007,12,10,12,7848.261663901161,6544.783558160644
21242.106970272027,5908.661296420225,-25.32724269467793,0.0,0.0,0.0,536000,10,5908.661296420225,21242.106970272027,5908.661296420225,0.0,7020.323700581707,-25.32724269467793,13,10,13,7020.323700581707,5908.661296420225
27436.602304186395,12949.260256892183,-24.66794285557094,0.0,0.0,0.0,560000,10,12949.260256892187,27436.602304186395,12949.260256892183,0.0,8221.650703708146,-24.66794285557094,14,10,14,8221.650703708146,12949.260256892187
24296.077228762184,3576.800643227295,-65.26567690598777,0.0,0.0,0.0,584000,10,3576.800643227293,24296.077228762184,3576.800643227295,0.0,7303.404115970099,-65.26567690598777,15,10,15,7303.404115970099,3576.800643227293
29178.085467058714,9265.106812062626,-16.733115586490072,0.0,0.0,0.0,608000,10,9265.106812062633,29178.085467058714,9265.106812062626,0.0,10283.252501416046,-16.733115586490072,16,10,16,10283.252501416046,9265.106812062633
32344.28964363588,10910.315001734862,-11.634456166394466,0.0,0.0,0.0,632000,10,10910.315001734863,32344.28964363588,10910.315001734862,0.0,13612.863970601005,-11.634456166394466,17,10,17,13612.863970601005,10910.315001734863
22321.4092715486,10646.485247826582,-34.56778000070893,0.0,0.0,0.0,656000,10,10646.48524782658,22321.4092715486,10646.485247826582,0.0,9965.874159659192,-34.56778000070893,18,10,18,9965.874159659192,10646.48524782658
24430.775664633224,7734.946505746858,-19.81446589358272,0.0,0.0,0.0,680000,10,7734.946505746857,24430.775664633224,7734.946505746858,0.0,8381.365985415277,-19.81446589358272,19,10,19,8381.365985415277,7734.946505746857
