MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/dissassemble-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/dissassemble-v1/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha,MetaTest/dissassemble-v1/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/dissassemble-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/dissassemble-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/NumTrajs,MetaTest/dissassemble-v1/MinReturn,MetaTest/dissassemble-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/dissassemble-v1/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTest/dissassemble-v1/NumTrajs
-71.79215998703236,0.0,0.0,2.2457588,0,-102.40142257412819,-82.65109911777225,0.0,nan,8.549424111087298,8.22509,-82.65109911777225,6.7220955,0.0,0,10,-102.40142257412819,-71.79215998703236,8.549424111087298,-82.65109911777223,224000,-82.65109911777223,17.798073,10
-35.62911739550138,0.0,0.0,5.233605,1,-49.26310296768602,-40.27960196681786,0.0,nan,4.047748990293911,7.81342,-40.27960196681786,6.6800504,0.0,1,10,-49.26310296768602,-35.62911739550138,4.047748990293911,-40.27960196681786,248000,-40.27960196681786,50.67557,10
-31.162797502883247,0.0,0.0,9.39677,2,-43.62596071516412,-38.54044955581307,0.0,nan,4.078836329197791,7.711162,-38.54044955581307,6.604684,0.0,2,10,-43.62596071516412,-31.162797502883247,4.078836329197791,-38.54044955581308,272000,-38.54044955581308,75.07635,10
-27.480332300843408,0.0,0.0,14.531105,3,-38.02294713213315,-32.24188598301162,0.0,nan,2.835984400210945,7.6815066,-32.24188598301162,6.513017,0.0,3,10,-38.02294713213315,-27.480332300843408,2.835984400210945,-32.24188598301162,296000,-32.24188598301162,92.2172,10
-24.36034746152257,0.0,0.0,20.454292,4,-28.568401346592847,-27.063922133388907,0.0,nan,1.41538032272811,7.7111216,-27.063922133388907,6.4178624,0.0,4,10,-28.568401346592847,-24.36034746152257,1.41538032272811,-27.063922133388907,320000,-27.063922133388907,99.647,10
-20.712401902164327,0.0,0.0,26.7605,5,-29.117528558841553,-25.625861754756237,0.0,nan,2.6194684234027434,7.7051225,-25.625861754756237,6.338376,0.0,5,10,-29.117528558841553,-20.712401902164327,2.6194684234027434,-25.625861754756226,344000,-25.625861754756226,104.130394,10
-19.92668055180571,0.0,0.0,31.824833,6,-26.729170791036175,-23.210258620573164,0.0,nan,2.564697709403069,7.677614,-23.210258620573164,6.279171,0.0,6,10,-26.729170791036175,-19.92668055180571,2.564697709403069,-23.21025862057317,368000,-23.21025862057317,101.59641,10
-18.697168040542476,0.0,0.0,36.246166,7,-27.675647955142136,-23.09654330408569,0.0,nan,3.062444716904537,7.682127,-23.09654330408569,6.230738,0.0,7,10,-27.675647955142136,-18.697168040542476,3.062444716904537,-23.096543304085685,392000,-23.096543304085685,99.19414,10
-18.75454162311196,0.0,0.0,39.29276,8,-25.305273628915963,-21.432154648486126,0.0,nan,1.792945305281358,7.7003307,-21.432154648486126,6.2017584,0.0,8,10,-25.305273628915963,-18.75454162311196,1.792945305281358,-21.43215464848613,416000,-21.43215464848613,91.56748,10
-25.532374896683777,0.0,0.0,42.202587,9,-28.339287826060815,-26.920800138544774,0.0,nan,0.991666831749462,7.6693454,-26.920800138544774,6.1758294,0.0,9,10,-28.339287826060815,-25.532374896683777,0.991666831749462,-26.92080013854478,440000,-26.92080013854478,84.81457,10
-20.364787614949318,0.0,0.0,43.906326,10,-27.25975865324928,-24.15862720082621,0.0,nan,2.0773308315075645,7.668729,-24.15862720082621,6.1684923,0.0,10,10,-27.25975865324928,-20.364787614949318,2.0773308315075645,-24.15862720082621,464000,-24.15862720082621,74.196045,10
-21.062291707755882,0.0,0.0,46.216,11,-30.39082853400805,-27.483771050908565,0.0,nan,2.7509220143875197,7.6792436,-27.483771050908565,6.160964,0.0,11,10,-30.39082853400805,-21.062291707755882,2.7509220143875197,-27.483771050908565,488000,-27.483771050908565,66.69579,10
-20.22906588158571,0.0,0.0,47.113377,12,-28.962796261468338,-24.224617833928008,0.0,nan,2.9993797942702534,7.6637216,-24.224617833928008,6.16262,0.0,12,10,-28.962796261468338,-20.22906588158571,2.9993797942702534,-24.224617833928008,512000,-24.224617833928008,57.197575,10
-19.280971927567887,0.0,0.0,47.64062,13,-28.34919953735421,-24.693912346837635,0.0,nan,2.9732913843941122,7.667865,-24.693912346837635,6.1670294,0.0,13,10,-28.34919953735421,-19.280971927567887,2.9732913843941122,-24.693912346837642,536000,-24.693912346837642,48.289906,10
-22.68423901178915,0.0,0.0,47.72789,14,-29.996957514583606,-25.461085770788976,0.0,nan,2.4115672899418743,7.641662,-25.461085770788976,6.1760726,0.0,14,10,-29.996957514583606,-22.68423901178915,2.4115672899418743,-25.46108577078898,560000,-25.46108577078898,39.87411,10
