TotalEnvSteps,pick-place-v1/MaxReturn,Average/SuccessRate,policy/dLoss,pick-place-v1/StdReturn,MetaTest/Average/SuccessRate,policy/Entropy,Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,Average/TerminationRate,pick-place-v1/SuccessRate,policy/KLBefore,policy/KL,pick-place-v1/AverageDiscountedReturn,pick-place-v1/TerminationRate,Average/MaxReturn,MetaTest/pick-place-v1/MinReturn,MetaTest/pick-place-v1/SuccessRate,MetaTest/pick-place-v1/AverageDiscountedReturn,pick-place-v1/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/pick-place-v1/Iteration,MetaTest/pick-place-v1/AverageReturn,MetaTest/pick-place-v1/MaxReturn,MetaTest/Average/NumEpisodes,pick-place-v1/AverageReturn,MetaTest/pick-place-v1/TerminationRate,Average/MinReturn,Average/AverageReturn,Average/NumEpisodes,pick-place-v1/NumEpisodes,MetaTest/pick-place-v1/StdReturn,pick-place-v1/Iteration,Average/StdReturn,LinearFeatureBaseline/ExplainedVariance,Average/AverageDiscountedReturn,policy/LossAfter,MetaTest/Average/MinReturn,policy/LossBefore,MetaTest/pick-place-v1/NumEpisodes,MetaTest/Average/AverageDiscountedReturn
1200000,-17.412210834221675,0.0,-0.0003244658,2.5810358046794906,,5.243762,59,,,,0.0,0.0,0.0,0.006357618,-10.83122957990421,0.0,-17.412210834221675,,,,-31.254866845163313,,,,,,,-23.566299330613766,,-31.254866845163313,-23.566299330613766,100,100,,59,2.5810358046794906,0.3031444743375846,-10.83122957990421,0.0010534306,,0.0007289648,,
1220000,-18.489498286436824,0.0,-0.0018918334,2.865698503453846,0.0,5.2305803,60,0.0,-22.768628571053064,-18.790950053821813,0.0,0.0,0.0,0.0054326626,-10.975936574765827,0.0,-18.489498286436824,-28.563429087360433,0.0,-22.76862857105308,-34.49194618244223,2.8294519468208676,6,6,-22.768628571053064,-18.790950053821813,10,-23.69827788719221,0.0,-34.49194618244223,-23.69827788719221,100,100,2.8294519468208676,60,2.865698503453846,0.35284619328359634,-10.975936574765827,-0.0015053829,-28.563429087360433,-0.0033972163,10,-22.76862857105308
1240000,-17.932306071151324,0.0,-0.014775936,2.1775749519903584,,5.2164993,61,,,,0.0,0.0,0.0,0.030060217,-10.688300261168859,0.0,-17.932306071151324,,,,-29.358229848851764,,,,,,,-23.11472465153648,,-29.358229848851764,-23.11472465153648,100,100,,61,2.1775749519903584,0.2796993969336654,-10.688300261168859,0.015528334,,0.0007523985,,
1260000,-19.151468662642262,0.0,0.00014475244,2.61571927162755,,5.208625,62,,,,0.0,0.0,0.0,0.021272304,-11.507892601033227,0.0,-19.151468662642262,,,,-32.503516195073345,,,,,,,-25.078027881093277,,-32.503516195073345,-25.078027881093277,100,100,,62,2.61571927162755,0.2867125349552392,-11.507892601033227,-0.0035363738,,-0.0033916214,,
1280000,-18.721144781245993,0.0,0.0012748439,4.372674037481166,,5.188884,63,,,,0.0,0.0,0.0,0.013268698,-11.22587747873161,0.0,-18.721144781245993,,,,-38.19041930326526,,,,,,,-26.021457456526154,,-38.19041930326526,-26.021457456526154,100,100,,63,4.372674037481166,0.28597633452824633,-11.22587747873161,-0.0017167067,,-0.00044186268,,
1300000,-18.975778705933287,0.0,-0.005088393,3.0563624513125465,,5.1635137,64,,,,0.0,0.0,0.0,0.010308693,-11.393107316204231,0.0,-18.975778705933287,,,,-35.606385198430445,,,,,,,-24.984229979454682,,-35.606385198430445,-24.984229979454682,100,100,,64,3.0563624513125465,0.3233275033822204,-11.393107316204231,0.004205254,,-0.00088313903,,
1320000,-19.882314074188002,0.0,-0.0003999467,3.9390575697207626,,5.1413584,65,,,,0.0,0.0,0.0,0.012062766,-11.422221136433922,0.0,-19.882314074188002,,,,-36.70117642362805,,,,,,,-26.044048491972408,,-36.70117642362805,-26.044048491972408,100,100,,65,3.9390575697207626,0.27593069336903453,-11.422221136433922,-0.00307882,,-0.0034787667,,
1340000,-18.70406452266796,0.0,-0.0012830093,3.0684693466897746,,5.123635,66,,,,0.0,0.0,0.0,0.0071082823,-11.199683834658838,0.0,-18.70406452266796,,,,-34.904422115405154,,,,,,,-24.57848204464343,,-34.904422115405154,-24.57848204464343,100,100,,66,3.0684693466897746,0.30609010317444196,-11.199683834658838,0.00057854,,-0.0007044693,,
1360000,-18.604383924071982,0.0,-0.0021674365,3.3340146734691047,,5.1053996,67,,,,0.0,0.0,0.0,0.0053065484,-10.845358564448313,0.0,-18.604383924071982,,,,-34.919253457108326,,,,,,,-24.098796117589938,,-34.919253457108326,-24.098796117589938,100,100,,67,3.3340146734691047,0.2533169182869087,-10.845358564448313,0.0041752886,,0.002007852,,
1380000,-17.618831203673846,0.0,-0.0030260766,2.5839959462538085,,5.08538,68,,,,0.0,0.0,0.0,0.0049497024,-10.688766382984102,0.0,-17.618831203673846,,,,-29.774750376477392,,,,,,,-23.304157676769613,,-29.774750376477392,-23.304157676769613,100,100,,68,2.5839959462538085,0.25880981501767375,-10.688766382984102,0.0031819087,,0.0001558321,,
1400000,-17.533545330991906,0.0,-0.0008566346,2.622598136629717,,5.0705256,69,,,,0.0,0.0,0.0,0.0045614336,-10.360263573414862,0.0,-17.533545330991906,,,,-32.34940624671509,,,,,,,-22.97358132102746,,-32.34940624671509,-22.97358132102746,100,100,,69,2.622598136629717,0.28759804729318894,-10.360263573414862,-0.00025389937,,-0.001110534,,
1420000,-17.90635527555364,0.0,-0.0018500045,2.810657456651938,0.0,5.0553513,70,0.0,-23.68570408174028,-20.394047373180904,0.0,0.0,0.0,0.0051300027,-10.700107356803947,0.0,-17.90635527555364,-27.327170901207598,0.0,-23.68570408174027,-32.29856051645061,2.1982214229250414,7,7,-23.68570408174028,-20.394047373180904,10,-23.38546056017685,0.0,-32.29856051645061,-23.38546056017685,100,100,2.1982214229250414,70,2.810657456651938,0.24141677161203046,-10.700107356803947,0.0004785492,-27.327170901207598,-0.0013714554,10,-23.68570408174027
1440000,-17.03490158031363,0.0,-0.0032464317,2.396568863000505,,5.0383677,71,,,,0.0,0.0,0.0,0.008157208,-10.639817351793551,0.0,-17.03490158031363,,,,-29.011443063177442,,,,,,,-22.827500548395477,,-29.011443063177442,-22.827500548395477,100,100,,71,2.396568863000505,0.2852241587194676,-10.639817351793551,0.004142367,,0.00089593505,,
1460000,-17.087537475912534,0.0,-0.0025907774,2.7736711119959088,,5.020396,72,,,,0.0,0.0,0.0,0.00938368,-10.184410314870938,0.0,-17.087537475912534,,,,-30.987280965135707,,,,,,,-22.16934105647139,,-30.987280965135707,-22.16934105647139,100,100,,72,2.7736711119959088,0.36363586571436535,-10.184410314870938,0.004777173,,0.0021863957,,
1480000,-17.49437332037796,0.0,-0.0040804017,2.5023323605268732,,4.9991293,73,,,,0.0,0.0,0.0,0.010602309,-10.134498983162374,0.0,-17.49437332037796,,,,-30.508012155019248,,,,,,,-21.922559720607588,,-30.508012155019248,-21.922559720607588,100,100,,73,2.5023323605268732,0.3326501265627716,-10.134498983162374,0.004141765,,6.136322e-05,,
1500000,-16.385300171720296,0.0,-0.0038025118,2.2150217615063736,,4.9798765,74,,,,0.0,0.0,0.0,0.005711419,-9.698204277578263,0.0,-16.385300171720296,,,,-30.680008829377762,,,,,,,-21.06992374080866,,-30.680008829377762,-21.06992374080866,100,100,,74,2.2150217615063736,0.3623691252096458,-9.698204277578263,0.0026987894,,-0.0011037224,,
1520000,-18.214105964225773,0.0,-0.0037572184,2.292605588667568,,4.959435,75,,,,0.0,0.0,0.0,0.0044111093,-10.116939024429639,0.0,-18.214105964225773,,,,-28.510099078215703,,,,,,,-21.805189601429866,,-28.510099078215703,-21.805189601429866,100,100,,75,2.292605588667568,0.330843047717419,-10.116939024429639,0.004211684,,0.00045446586,,
1540000,-17.560073713594925,0.0,-0.0036354484,1.8470592432779436,,4.941383,76,,,,0.0,0.0,0.0,0.0074763647,-9.723845394680401,0.0,-17.560073713594925,,,,-25.68940292463888,,,,,,,-20.913355558738036,,-25.68940292463888,-20.913355558738036,100,100,,76,1.8470592432779436,0.3815027372215962,-9.723845394680401,0.0034869693,,-0.00014847908,,
1560000,-17.585431474529745,0.0,-0.0028455437,2.0999650305682316,,4.925682,77,,,,0.0,0.0,0.0,0.010352551,-9.7793128666442,0.0,-17.585431474529745,,,,-27.36248004794438,,,,,,,-20.882479921506036,,-27.36248004794438,-20.882479921506036,100,100,,77,2.0999650305682316,0.3761191212462903,-9.7793128666442,0.0026656447,,-0.00017989884,,
1580000,-17.494045575443636,0.0,-0.005620403,2.3246733890793583,,4.90738,78,,,,0.0,0.0,0.0,0.012078266,-9.699577490059923,0.0,-17.494045575443636,,,,-30.646666224297547,,,,,,,-20.94017661161981,,-30.646666224297547,-20.94017661161981,100,100,,78,2.3246733890793583,0.4208880093651305,-9.699577490059923,0.007051439,,0.001431036,,
1600000,-17.005922083144938,0.0,-0.0045865607,1.6926698756322864,,4.8912287,79,,,,0.0,0.0,0.0,0.007538611,-9.650244948514953,0.0,-17.005922083144938,,,,-26.980004825064384,,,,,,,-20.713981576060757,,-26.980004825064384,-20.713981576060757,100,100,,79,1.6926698756322864,0.2493181295305532,-9.650244948514953,0.004382986,,-0.00020357437,,
1620000,-17.452351247745433,0.0,-0.0028418815,1.3833518889969807,0.0,4.8798976,80,0.0,-21.380969735124474,-18.96539857695802,0.0,0.0,0.0,0.01871185,-9.620354620056757,0.0,-17.452351247745433,-25.087731997713043,0.0,-21.380969735124474,-24.42976897746477,1.9774756242651,8,8,-21.380969735124474,-18.96539857695802,10,-20.41858622055664,0.0,-24.42976897746477,-20.41858622055664,100,100,1.9774756242651,80,1.3833518889969807,0.2618522051594202,-9.620354620056757,0.0045243334,-25.087731997713043,0.0016824518,10,-21.380969735124474
1640000,-16.184841895573385,0.0,-0.0021466448,1.983371817317395,,4.8652887,81,,,,0.0,0.0,0.0,0.004344856,-9.435325800529228,0.0,-16.184841895573385,,,,-25.070080372900982,,,,,,,-20.204090115789654,,-25.070080372900982,-20.204090115789654,100,100,,81,1.983371817317395,0.18262369333300787,-9.435325800529228,-0.0021506713,,-0.004297316,,
1660000,-16.848117398590976,0.0,-0.003669394,1.560347452157859,,4.8487806,82,,,,0.0,0.0,0.0,0.005419938,-9.524726269462205,0.0,-16.848117398590976,,,,-25.208967025333763,,,,,,,-20.116931918199445,,-25.208967025333763,-20.116931918199445,100,100,,82,1.560347452157859,0.17799401873868237,-9.524726269462205,0.0038571137,,0.00018771972,,
1680000,-16.13222199691262,0.0,-0.0027176347,2.2390360194888035,,4.834178,83,,,,0.0,0.0,0.0,0.0064111413,-9.410584167997596,0.0,-16.13222199691262,,,,-26.777152401645118,,,,,,,-20.146654210855147,,-26.777152401645118,-20.146654210855147,100,100,,83,2.2390360194888035,0.519091168858287,-9.410584167997596,0.0019886147,,-0.0007290199,,
1700000,-17.263337743871293,0.0,-0.0021135837,1.497380191386237,,4.821877,84,,,,0.0,0.0,0.0,0.0046090605,-9.442392053448877,0.0,-17.263337743871293,,,,-25.472273461692875,,,,,,,-20.016344232238577,,-25.472273461692875,-20.016344232238577,100,100,,84,1.497380191386237,0.26036903059406913,-9.442392053448877,0.00182622,,-0.0002873637,,
1720000,-16.62266708255375,0.0,-0.0024481039,1.3663989516844959,,4.81191,85,,,,0.0,0.0,0.0,0.0100603085,-9.134251905586401,0.0,-16.62266708255375,,,,-23.339168463668326,,,,,,,-19.30269728660891,,-23.339168463668326,-19.30269728660891,100,100,,85,1.3663989516844959,-0.0017981808974070201,-9.134251905586401,0.0031164908,,0.0006683868,,
1740000,-16.650390572550535,0.0,-0.0027392781,1.6822442049522046,,4.804509,86,,,,0.0,0.0,0.0,0.006723056,-9.27407413838516,0.0,-16.650390572550535,,,,-24.698309123980753,,,,,,,-19.80410932795005,,-24.698309123980753,-19.80410932795005,100,100,,86,1.6822442049522046,0.5079558898166605,-9.27407413838516,0.0013142185,,-0.0014250595,,
1760000,-16.860650756616796,0.0,-0.0019913316,1.6982936227875534,,4.7921143,87,,,,0.0,0.0,0.0,0.010404029,-9.119900559749329,0.0,-16.860650756616796,,,,-28.00266150918136,,,,,,,-19.761920380214136,,-28.00266150918136,-19.761920380214136,100,100,,87,1.6982936227875534,0.22464922566418744,-9.119900559749329,0.0025602616,,0.00056893006,,
1780000,-16.096068867255823,0.0,-0.0050770896,1.5130665926743267,,4.775391,88,,,,0.0,0.0,0.0,0.0049523725,-9.161556369722694,0.0,-16.096068867255823,,,,-23.963833581201527,,,,,,,-19.564705068609797,,-23.963833581201527,-19.564705068609797,100,100,,88,1.5130665926743267,0.1121042608849232,-9.161556369722694,0.005663168,,0.0005860786,,
1800000,-15.755931393345488,0.0,-0.0036444825,1.4746694841841888,,4.758947,89,,,,0.0,0.0,0.0,0.007642366,-9.010055206384177,0.0,-15.755931393345488,,,,-24.074179456753996,,,,,,,-19.193442346923238,,-24.074179456753996,-19.193442346923238,100,100,,89,1.4746694841841888,0.30492979100353745,-9.010055206384177,0.0046036285,,0.0009591461,,
1820000,-16.096066693193055,0.0,-0.0025460466,1.5652704135648579,0.0,4.745263,90,0.0,-19.334544549981167,-17.618190170259464,0.0,0.0,0.0,0.0048929383,-9.15326342874791,0.0,-16.096066693193055,-23.50533501839579,0.0,-19.334544549981164,-24.64092785659335,1.5612342641948789,9,9,-19.334544549981167,-17.618190170259464,10,-19.435598420417243,0.0,-24.64092785659335,-19.435598420417243,100,100,1.5612342641948789,90,1.5652704135648579,0.2045451070323583,-9.15326342874791,0.0050702845,-23.50533501839579,0.0025242378,10,-19.334544549981164
1840000,-15.614586179357044,0.0,-0.0025625213,1.797517320140553,,4.7324147,91,,,,0.0,0.0,0.0,0.00683093,-9.201994952454557,0.0,-15.614586179357044,,,,-23.446647085553032,,,,,,,-19.434142205874302,,-23.446647085553032,-19.434142205874302,100,100,,91,1.797517320140553,0.2818104652979466,-9.201994952454557,0.0009001579,,-0.0016623634,,
1860000,-16.836559982939633,0.0,-0.0026748618,1.287733075602862,,4.720341,92,,,,0.0,0.0,0.0,0.004055395,-8.973270774128236,0.0,-16.836559982939633,,,,-23.312347007848338,,,,,,,-19.08646726505257,,-23.312347007848338,-19.08646726505257,100,100,,92,1.287733075602862,0.2501020434895945,-8.973270774128236,0.0019963116,,-0.0006785502,,
1880000,-15.743930899331072,0.0,-0.0030700671,1.0937267825667278,,4.7083235,93,,,,0.0,0.0,0.0,0.00935049,-8.744387743494876,0.0,-15.743930899331072,,,,-21.80576729206532,,,,,,,-18.662218414824586,,-21.80576729206532,-18.662218414824586,100,100,,93,1.0937267825667278,0.2309277097567327,-8.744387743494876,0.0027142174,,-0.00035584983,,
1900000,-15.837355928307273,0.0,-0.003022807,1.2298431493490303,,4.695554,94,,,,0.0,0.0,0.0,0.0043941126,-8.699638727920016,0.0,-15.837355928307273,,,,-21.558244671420944,,,,,,,-18.48650825665317,,-21.558244671420944,-18.48650825665317,100,100,,94,1.2298431493490303,0.27897348955765755,-8.699638727920016,0.0032579703,,0.0002351633,,
1920000,-15.674651423494353,0.0,-0.011801954,1.266442833741549,,4.6855545,95,,,,0.0,0.0,0.0,0.04038504,-8.885434523311947,0.0,-15.674651423494353,,,,-22.468035478091746,,,,,,,-18.64702366074428,,-22.468035478091746,-18.64702366074428,100,100,,95,1.266442833741549,0.2082210735628115,-8.885434523311947,0.010678461,,-0.001123494,,
1940000,-17.0301887335852,0.0,-8.938504e-05,1.5617224725178058,,4.6771,96,,,,0.0,0.0,0.0,0.015294824,-9.53034455124551,0.0,-17.0301887335852,,,,-24.886919915344382,,,,,,,-20.411945894859443,,-24.886919915344382,-20.411945894859443,100,100,,96,1.5617224725178058,0.26609465235778074,-9.53034455124551,-0.000109413144,,-0.00019879818,,
1960000,-15.60902299134525,0.0,-0.0014958999,2.2739773893908426,,4.6605673,97,,,,0.0,0.0,0.0,0.0070466995,-9.60177039174167,0.0,-15.60902299134525,,,,-27.298433080483985,,,,,,,-20.79907804646607,,-27.298433080483985,-20.79907804646607,100,100,,97,2.2739773893908426,0.28293390302609744,-9.60177039174167,-0.00083327334,,-0.0023291733,,
1980000,-16.50828985695632,0.0,-0.003223221,1.842065951405386,,4.6432037,98,,,,0.0,0.0,0.0,0.01309744,-9.296040349652845,0.0,-16.50828985695632,,,,-26.89402022223494,,,,,,,-20.122279583161138,,-26.89402022223494,-20.122279583161138,100,100,,98,1.842065951405386,0.18642792419459886,-9.296040349652845,0.004529992,,0.0013067711,,
2000000,-15.87811635909054,0.0,0.001694453,2.3460417680414962,,4.6301084,99,,,,0.0,0.0,0.0,0.010413071,-9.219145619921235,0.0,-15.87811635909054,,,,-27.44757877149712,,,,,,,-20.22410133455211,,-27.44757877149712,-20.22410133455211,100,100,,99,2.3460417680414962,0.17656783627094907,-9.219145619921235,-0.0032803405,,-0.0015858875,,
