TotalEnvSteps,pick-place-v1/MaxReturn,Average/SuccessRate,policy/dLoss,pick-place-v1/StdReturn,MetaTest/Average/SuccessRate,policy/Entropy,Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,Average/TerminationRate,pick-place-v1/SuccessRate,policy/KLBefore,policy/KL,pick-place-v1/AverageDiscountedReturn,pick-place-v1/TerminationRate,Average/MaxReturn,MetaTest/pick-place-v1/MinReturn,MetaTest/pick-place-v1/SuccessRate,MetaTest/pick-place-v1/AverageDiscountedReturn,pick-place-v1/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/pick-place-v1/Iteration,MetaTest/pick-place-v1/AverageReturn,MetaTest/pick-place-v1/MaxReturn,MetaTest/Average/NumEpisodes,pick-place-v1/AverageReturn,MetaTest/pick-place-v1/TerminationRate,Average/MinReturn,Average/AverageReturn,Average/NumEpisodes,pick-place-v1/NumEpisodes,MetaTest/pick-place-v1/StdReturn,pick-place-v1/Iteration,Average/StdReturn,LinearFeatureBaseline/ExplainedVariance,Average/AverageDiscountedReturn,policy/LossAfter,MetaTest/Average/MinReturn,policy/LossBefore,MetaTest/pick-place-v1/NumEpisodes,MetaTest/Average/AverageDiscountedReturn
280000,-25.29695115328311,0.0,0.010100897,9.910612202722028,,5.562757,13,,,,0.0,0.0,0.0,0.006888832,-15.705499933486887,0.0,-25.29695115328311,,,,-84.9101867517464,,,,,,,-40.74056189801175,,-84.9101867517464,-40.74056189801175,100,100,,13,9.910612202722028,0.3841040455491789,-15.705499933486887,-0.011718384,,-0.0016174866,,
300000,-24.492986836154607,0.0,0.0019129348,7.873171133987431,,5.557978,14,,,,0.0,0.0,0.0,0.004427945,-15.22645608137213,0.0,-24.492986836154607,,,,-63.21570107629045,,,,,,,-37.708561840634395,,-63.21570107629045,-37.708561840634395,100,100,,14,7.873171133987431,0.41628958225159307,-15.22645608137213,-0.003587886,,-0.0016749512,,
320000,-11.976253167387593,0.0,0.0031122104,8.675219791705002,,5.5502777,15,,,,0.0,0.0,0.0,0.008207506,-14.499606275946716,0.0,-11.976253167387593,,,,-68.16373591289944,,,,,,,-35.35137340513402,,-68.16373591289944,-35.35137340513402,100,100,,15,8.675219791705002,0.3020457426414487,-14.499606275946716,-0.004727626,,-0.0016154159,,
340000,-25.013289434181537,0.0,0.008120878,8.594600591044502,,5.546997,16,,,,0.0,0.0,0.0,0.011952945,-14.981566076949724,0.0,-25.013289434181537,,,,-81.19979089382159,,,,,,,-37.4530350851712,,-81.19979089382159,-37.4530350851712,100,100,,16,8.594600591044502,0.3706522534764023,-14.981566076949724,-0.018599661,,-0.010478783,,
360000,-25.067369645712695,0.0,0.0037568798,9.03756312846643,,5.540054,17,,,,0.0,0.0,0.0,0.006242224,-14.83073282502986,0.0,-25.067369645712695,,,,-82.73175432447293,,,,,,,-36.823179739036426,,-82.73175432447293,-36.823179739036426,100,100,,17,9.03756312846643,0.40089973780026866,-14.83073282502986,-0.014673568,,-0.0109166885,,
380000,-21.61755892732229,0.0,0.0005769944,7.827266472113534,,5.526652,18,,,,0.0,0.0,0.0,0.008752821,-14.004921658921115,0.0,-21.61755892732229,,,,-65.66190831510593,,,,,,,-33.95701489447584,,-65.66190831510593,-33.95701489447584,100,100,,18,7.827266472113534,0.45499637249877123,-14.004921658921115,-0.014049013,,-0.013472019,,
400000,-25.23360314324276,0.0,0.0025453847,6.168958555042561,,5.517624,19,,,,0.0,0.0,0.0,0.010550396,-14.25031118777024,0.0,-25.23360314324276,,,,-59.86017210051024,,,,,,,-35.04373678675543,,-59.86017210051024,-35.04373678675543,100,100,,19,6.168958555042561,0.34682846664125655,-14.25031118777024,-0.01119665,,-0.008651265,,
420000,-23.095341675283787,0.0,0.0072750733,6.941364689259727,0.0,5.512555,20,0.0,-36.99946230649692,-20.880967159548536,0.0,0.0,0.0,0.0149032315,-14.117537855333467,0.0,-23.095341675283787,-56.71202315366447,0.0,-36.99946230649692,-54.9175729883612,9.828459533879467,2,2,-36.99946230649692,-20.880967159548536,10,-34.067761144122336,0.0,-54.9175729883612,-34.067761144122336,100,100,9.828459533879467,20,6.941364689259727,0.4159520232907925,-14.117537855333467,-0.00626156,-56.71202315366447,0.0010135132,10,-36.99946230649692
440000,-24.01086478185321,0.0,0.0104782125,9.058037606622502,,5.505547,21,,,,0.0,0.0,0.0,0.022628771,-14.782780332464103,0.0,-24.01086478185321,,,,-70.7462102452989,,,,,,,-37.98479422322005,,-70.7462102452989,-37.98479422322005,100,100,,21,9.058037606622502,0.41524432096012065,-14.782780332464103,-0.014805206,,-0.0043269936,,
460000,-21.764005915285267,0.0,-5.2154064e-07,8.911264529038768,,5.504693,22,,,,0.0,0.0,0.0,2.5614012e-05,-15.397140292569233,0.0,-21.764005915285267,,,,-62.65983824898074,,,,,,,-38.927280611335675,,-62.65983824898074,-38.927280611335675,100,100,,22,8.911264529038768,0.496888606928402,-15.397140292569233,-0.014407504,,-0.014408026,,
480000,-24.081948869535502,0.0,0.008220574,7.338966567176347,,5.4941864,23,,,,0.0,0.0,0.0,0.022840537,-14.717685127863154,0.0,-24.081948869535502,,,,-60.77609548189434,,,,,,,-36.07427041954906,,-60.77609548189434,-36.07427041954906,100,100,,23,7.338966567176347,0.41171224235075576,-14.717685127863154,-0.014414594,,-0.006194019,,
500000,-23.61170100169204,0.0,0.007936174,6.680319593716247,,5.492452,24,,,,0.0,0.0,0.0,0.014935327,-13.928765093003825,0.0,-23.61170100169204,,,,-56.04625785932072,,,,,,,-34.87920590447348,,-56.04625785932072,-34.87920590447348,100,100,,24,6.680319593716247,0.3782585929020411,-13.928765093003825,-0.0099655315,,-0.002029358,,
520000,-20.741877409481354,0.0,0.005148793,6.274590351824471,,5.4969306,25,,,,0.0,0.0,0.0,0.0031186466,-13.732490307680575,0.0,-20.741877409481354,,,,-56.96840867836841,,,,,,,-32.30856890470919,,-56.96840867836841,-32.30856890470919,100,100,,25,6.274590351824471,0.4044273571020548,-13.732490307680575,-0.009058556,,-0.0039097625,,
540000,-18.652048738467716,0.0,0.004837077,5.7053722093930945,,5.4941125,26,,,,0.0,0.0,0.0,0.01437904,-13.416482947743695,0.0,-18.652048738467716,,,,-51.63816089074268,,,,,,,-31.540450135471016,,-51.63816089074268,-31.540450135471016,100,100,,26,5.7053722093930945,0.3014658119547997,-13.416482947743695,-0.006391751,,-0.0015546738,,
560000,-24.85395442476304,0.0,0.0045390488,7.3321014872400445,,5.4837546,27,,,,0.0,0.0,0.0,0.015980689,-14.562376026235745,0.0,-24.85395442476304,,,,-64.31330671058845,,,,,,,-36.97162562500444,,-64.31330671058845,-36.97162562500444,100,100,,27,7.3321014872400445,0.3753428039673462,-14.562376026235745,-0.0091382805,,-0.0045992318,,
580000,-21.275788921079446,0.0,-0.00048788218,5.3980148346585395,,5.473878,28,,,,0.0,0.0,0.0,0.007720015,-13.229566808651992,0.0,-21.275788921079446,,,,-52.24489037281467,,,,,,,-31.078320047219687,,-52.24489037281467,-31.078320047219687,100,100,,28,5.3980148346585395,0.3169872872653947,-13.229566808651992,-0.0046011764,,-0.0050890585,,
600000,-21.632972132796024,0.0,0.0034950427,4.141552884127773,,5.4711685,29,,,,0.0,0.0,0.0,0.01018478,-13.11553969392815,0.0,-21.632972132796024,,,,-42.65282097093347,,,,,,,-31.160603462457402,,-42.65282097093347,-31.160603462457402,100,100,,29,4.141552884127773,0.35744689425633813,-13.11553969392815,-0.009266309,,-0.0057712668,,
620000,-23.36243080368776,0.0,0.004303893,5.1604648794367565,0.0,5.468491,30,0.0,-33.38388316916891,-23.651912672743446,0.0,0.0,0.0,0.013111796,-13.872713973820892,0.0,-23.36243080368776,-41.135219966579506,0.0,-33.38388316916892,-57.83899401659576,6.051137734266271,3,3,-33.38388316916891,-23.651912672743446,10,-32.4589133254961,0.0,-57.83899401659576,-32.4589133254961,100,100,6.051137734266271,30,5.1604648794367565,0.38413520009472313,-13.872713973820892,-0.0065867826,-41.135219966579506,-0.0022828896,10,-33.38388316916892
640000,-21.475760016354688,0.0,0.004222362,5.408309711971414,,5.4642463,31,,,,0.0,0.0,0.0,0.015962774,-13.18678331619722,0.0,-21.475760016354688,,,,-49.09638794194274,,,,,,,-31.636324106190845,,-49.09638794194274,-31.636324106190845,100,100,,31,5.408309711971414,0.3698131536070999,-13.18678331619722,-0.0074322526,,-0.0032098908,,
660000,-24.358787094093945,0.0,0.0068799322,6.099162326277013,,5.4612575,32,,,,0.0,0.0,0.0,0.020078745,-13.902754741282445,0.0,-24.358787094093945,,,,-54.0546122007728,,,,,,,-32.8879453081294,,-54.0546122007728,-32.8879453081294,100,100,,32,6.099162326277013,0.39135257703762405,-13.902754741282445,-0.012557149,,-0.0056772167,,
680000,-22.757560041379286,0.0,0.0029852516,5.126495667368112,,5.455053,33,,,,0.0,0.0,0.0,0.008670619,-13.213498592823447,0.0,-22.757560041379286,,,,-51.72779650250252,,,,,,,-31.991846575423533,,-51.72779650250252,-31.991846575423533,100,100,,33,5.126495667368112,0.4087023771971843,-13.213498592823447,-0.007265098,,-0.0042798463,,
700000,-21.82929773095132,0.0,0.0036375406,4.549568480875898,,5.449572,34,,,,0.0,0.0,0.0,0.008440775,-13.195928460689784,0.0,-21.82929773095132,,,,-49.19063085091516,,,,,,,-30.456713392473613,,-49.19063085091516,-30.456713392473613,100,100,,34,4.549568480875898,0.36013379874448515,-13.195928460689784,-0.004340443,,-0.0007029022,,
720000,-21.363128805169964,0.0,0.0018302372,4.482308996930721,,5.4446034,35,,,,0.0,0.0,0.0,0.004944146,-12.828437897486559,0.0,-21.363128805169964,,,,-42.38519604139755,,,,,,,-30.169471433279735,,-42.38519604139755,-30.169471433279735,100,100,,35,4.482308996930721,0.40103805195228903,-12.828437897486559,-0.0031579144,,-0.0013276772,,
740000,-22.289594258440022,0.0,0.0024904716,3.7223459264943903,,5.4431405,36,,,,0.0,0.0,0.0,0.0046409857,-13.40442142724941,0.0,-22.289594258440022,,,,-43.06946061614956,,,,,,,-30.65029512037925,,-43.06946061614956,-30.65029512037925,100,100,,36,3.7223459264943903,0.3309791242192741,-13.40442142724941,-0.007203966,,-0.0047134943,,
760000,-23.05720307048326,0.0,0.0023361337,4.318188102070044,,5.441401,37,,,,0.0,0.0,0.0,0.007101426,-12.938124785456282,0.0,-23.05720307048326,,,,-52.31684157286596,,,,,,,-30.364456823527036,,-52.31684157286596,-30.364456823527036,100,100,,37,4.318188102070044,0.32867508064605755,-12.938124785456282,-0.0026631814,,-0.00032704772,,
780000,-23.812136562371386,0.0,0.00043660193,3.42473484982583,,5.436707,38,,,,0.0,0.0,0.0,0.011895358,-12.943215386249516,0.0,-23.812136562371386,,,,-38.822751720291286,,,,,,,-30.3453346196688,,-38.822751720291286,-30.3453346196688,100,100,,38,3.42473484982583,0.3470319066117671,-12.943215386249516,-0.0027817176,,-0.0023451156,,
800000,-23.228678272787217,0.0,0.00019633677,3.6878690861458625,,5.4279866,39,,,,0.0,0.0,0.0,0.007784099,-13.139703911477984,0.0,-23.228678272787217,,,,-44.75314176403646,,,,,,,-30.50981251706993,,-44.75314176403646,-30.50981251706993,100,100,,39,3.6878690861458625,0.3419160725816226,-13.139703911477984,-0.0018553749,,-0.0016590381,,
820000,-20.059741698851756,0.0,0.0006130319,3.8771305549435593,0.0,5.424064,40,0.0,-28.97442448691306,-24.883738978445074,0.0,0.0,0.0,0.0031892825,-12.703053118297628,0.0,-20.059741698851756,-34.13491994157154,0.0,-28.97442448691306,-37.56923858968656,2.935957015418385,4,4,-28.97442448691306,-24.883738978445074,10,-29.525610005279987,0.0,-37.56923858968656,-29.525610005279987,100,100,2.935957015418385,40,3.8771305549435593,0.2708731719255586,-12.703053118297628,-0.0018944137,-34.13491994157154,-0.0012813818,10,-28.97442448691306
840000,-20.40737697001067,0.0,0.0028556786,3.1452311677143157,,5.4214487,41,,,,0.0,0.0,0.0,0.0029893233,-12.59849272405485,0.0,-20.40737697001067,,,,-44.43306413020843,,,,,,,-28.622073365288326,,-44.43306413020843,-28.622073365288326,100,100,,41,3.1452311677143157,0.3769246707350987,-12.59849272405485,-0.0031812144,,-0.00032553598,,
860000,-22.045748162985323,0.0,0.00051515223,3.784566259024931,,5.416992,42,,,,0.0,0.0,0.0,0.0027668565,-12.786209805301796,0.0,-22.045748162985323,,,,-43.15928781659218,,,,,,,-29.636241531716408,,-43.15928781659218,-29.636241531716408,100,100,,42,3.784566259024931,0.33015306122539034,-12.786209805301796,-0.005721527,,-0.005206375,,
880000,-21.30521477057751,0.0,-0.00027944776,3.96492996981327,,5.408198,43,,,,0.0,0.0,0.0,0.003807739,-12.701202093026062,0.0,-21.30521477057751,,,,-48.24011499292343,,,,,,,-28.840405945837915,,-48.24011499292343,-28.840405945837915,100,100,,43,3.96492996981327,0.3594327047985403,-12.701202093026062,-0.0038922767,,-0.0041717244,,
