MetaTest/button-press-topdown-wall-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/Average/StdReturn,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate
-54.38007967098787,10,6.649510268641865,6.649510268641865,-43.60809750904319,-54.380079670987854,-63.26071710305989,-54.380079670987854,10,0.0,0.0,-43.60809750904319,0,-63.26071710305989,0.0,224000,0,-54.38007967098787,0.0
471.68039860520213,10,1559.168204767682,1559.168204767682,5149.167925418986,471.68039860520184,-52.362011708072394,471.68039860520184,10,0.0,0.0,5149.167925418986,1,-52.362011708072394,0.0,248000,1,471.68039860520213,0.0
-118.82718886651597,10,27.94875122775559,27.94875122775559,-45.10779461916079,-118.82718886651597,-139.67863672398622,-118.82718886651597,10,0.0,0.0,-45.10779461916079,2,-139.67863672398622,0.0,272000,2,-118.82718886651597,0.0
-127.25070104545469,10,23.693222416325234,23.693222416325234,-64.9986917658713,-127.25070104545466,-147.61655447808434,-127.25070104545466,10,0.0,0.0,-64.9986917658713,3,-147.61655447808434,0.0,296000,3,-127.25070104545469,0.0
-72.365349436198,10,8.24978709073861,8.24978709073861,-57.50103423190417,-72.36534943619802,-82.48896474603603,-72.36534943619802,10,0.0,0.0,-57.50103423190417,4,-82.48896474603603,0.0,320000,4,-72.365349436198,0.0
-54.32164135226643,10,28.2680822077121,28.2680822077121,-26.30172624201733,-54.32164135226642,-126.03708221998247,-54.32164135226642,10,0.0,0.0,-26.30172624201733,5,-126.03708221998247,0.0,344000,5,-54.32164135226643,0.0
-43.697807982470565,10,11.45288689015693,11.45288689015693,-30.472523230896577,-43.697807982470565,-58.136934376317356,-43.697807982470565,10,0.0,0.0,-30.472523230896577,6,-58.136934376317356,0.0,368000,6,-43.697807982470565,0.0
-106.41815938777142,10,28.62150009656144,28.62150009656144,-39.5631561627479,-106.41815938777145,-127.4387724108959,-106.41815938777145,10,0.0,0.0,-39.5631561627479,7,-127.4387724108959,0.0,392000,7,-106.41815938777142,0.0
-129.45585721953844,10,25.57467711183664,25.57467711183664,-67.78875488654776,-129.45585721953844,-149.7012952984384,-129.45585721953844,10,0.0,0.0,-67.78875488654776,8,-149.7012952984384,0.0,416000,8,-129.45585721953844,0.0
-134.82674408097557,10,13.045367810448571,13.045367810448571,-97.60451380846524,-134.82674408097563,-144.09288689684251,-134.82674408097563,10,0.0,0.0,-97.60451380846524,9,-144.09288689684251,0.0,440000,9,-134.82674408097557,0.0
-107.57369505297311,10,5.83441019603555,5.83441019603555,-98.25805617786078,-107.57369505297314,-118.23644256357727,-107.57369505297314,10,0.0,0.0,-98.25805617786078,10,-118.23644256357727,0.0,464000,10,-107.57369505297311,0.0
-87.59702408435024,10,21.718399874946744,21.718399874946744,-48.922774196192016,-87.59702408435024,-114.98470273684238,-87.59702408435024,10,0.0,0.0,-48.922774196192016,11,-114.98470273684238,0.0,488000,11,-87.59702408435024,0.0
5382.219411912416,10,16312.144623995133,16312.144623995133,54318.63104685864,5382.219411912419,-87.70070977050753,5382.219411912419,10,0.0,0.0,54318.63104685864,12,-87.70070977050753,0.0,512000,12,5382.219411912416,0.0
25404.73000074477,10,76325.2683054729,76325.2683054729,254380.53134102406,25404.730000744767,-57.65009882639728,25404.730000744767,10,0.0,0.1,254380.53134102406,13,-57.65009882639728,0.0,536000,13,25404.73000074477,0.1
-44.11747868272254,10,18.268442522192217,18.268442522192217,-23.13216309870318,-44.117478682722535,-67.43216787988075,-44.117478682722535,10,0.0,0.0,-23.13216309870318,14,-67.43216787988075,0.0,560000,14,-44.11747868272254,0.0
-37.70956298149045,10,10.101778028551191,10.101778028551191,-19.99981212716697,-37.709562981490464,-51.751696449564136,-37.709562981490464,10,0.0,0.0,-19.99981212716697,15,-51.751696449564136,0.0,584000,15,-37.70956298149045,0.0
-81.65755329790949,10,29.815531330799047,29.815531330799047,-48.385056990765186,-81.65755329790949,-115.71174036632928,-81.65755329790949,10,0.0,0.0,-48.385056990765186,16,-115.71174036632928,0.0,608000,16,-81.65755329790949,0.0
-125.95971181287015,10,32.49707699863684,32.49707699863684,-31.742944506590554,-125.95971181287018,-145.2245723457657,-125.95971181287018,10,0.0,0.0,-31.742944506590554,17,-145.2245723457657,0.0,632000,17,-125.95971181287015,0.0
61731.01825377048,10,123588.2176603505,123588.2176603505,309682.61074068374,61731.01825377046,-86.426141944607,61731.01825377046,10,0.0,0.2,309682.61074068374,18,-86.426141944607,0.0,656000,18,61731.01825377048,0.2
-89.82276651886608,10,14.278505045610093,14.278505045610093,-75.514252193957,-89.82276651886606,-122.0448214422932,-89.82276651886606,10,0.0,0.0,-75.514252193957,19,-122.0448214422932,0.0,680000,19,-89.82276651886608,0.0
-59.73498193518102,10,16.560934071345912,16.560934071345912,-38.25782823438846,-59.73498193518102,-93.07822388891383,-59.73498193518102,10,0.0,0.0,-38.25782823438846,20,-93.07822388891383,0.0,704000,20,-59.73498193518102,0.0
-41.407421412730514,10,4.291135451017834,4.291135451017834,-34.099056716578495,-41.4074214127305,-46.17633986906473,-41.4074214127305,10,0.0,0.0,-34.099056716578495,21,-46.17633986906473,0.0,728000,21,-41.407421412730514,0.0
-117.37510955176636,10,9.42341311763927,9.42341311763927,-101.29455382559199,-117.37510955176637,-136.70393710228913,-117.37510955176637,10,0.0,0.0,-101.29455382559199,22,-136.70393710228913,0.0,752000,22,-117.37510955176636,0.0
-137.9055532796619,10,8.143817898644668,8.143817898644668,-121.92422626527927,-137.90555327966186,-152.63379380337068,-137.90555327966186,10,0.0,0.0,-121.92422626527927,23,-152.63379380337068,0.0,776000,23,-137.9055532796619,0.0
-66.86111993689279,10,36.526625592809786,36.526625592809786,-35.67938511032159,-66.86111993689282,-131.32203251950483,-66.86111993689282,10,0.0,0.0,-35.67938511032159,24,-131.32203251950483,0.0,800000,24,-66.86111993689279,0.0
11161.678041605446,10,33655.69734704639,33655.69734704639,112128.68655308793,11161.67804160544,-139.16585110589608,11161.67804160544,10,0.0,0.1,112128.68655308793,25,-139.16585110589608,0.0,824000,25,11161.678041605446,0.1
1682.7385419112456,10,4178.320332125044,4178.320332125044,13807.792749511154,1682.7385419112463,-91.64647258786707,1682.7385419112463,10,0.0,0.2,13807.792749511154,26,-91.64647258786707,0.0,848000,26,1682.7385419112456,0.2
4517.732768966003,10,10167.75290103967,10167.75290103967,32731.08589396917,4517.732768966005,-89.65723350143625,4517.732768966005,10,0.0,0.1,32731.08589396917,27,-89.65723350143625,0.0,872000,27,4517.732768966003,0.1
17870.067322264444,10,53769.89139270903,53769.89139270903,179179.71876327583,17870.06732226445,-83.03796710243114,17870.06732226445,10,0.0,0.1,179179.71876327583,28,-83.03796710243114,0.0,896000,28,17870.067322264444,0.1
42787.3282979247,10,93182.70736535102,93182.70736535102,296008.29960951244,42787.328297924716,-92.55400031734064,42787.328297924716,10,0.0,0.2,296008.29960951244,29,-92.55400031734064,0.0,920000,29,42787.3282979247,0.2
1145.130956995876,10,3632.291195926432,3632.291195926432,12041.748129763153,1145.1309569958757,-98.26628120722125,1145.1309569958757,10,0.0,0.0,12041.748129763153,30,-98.26628120722125,0.0,944000,30,1145.130956995876,0.0
-44.217774105713104,10,27.15834953321902,27.15834953321902,-17.682072863935275,-44.21777410571311,-91.52554198881359,-44.21777410571311,10,0.0,0.0,-17.682072863935275,31,-91.52554198881359,0.0,968000,31,-44.217774105713104,0.0
62482.45982070948,10,125099.04479381912,125099.04479381912,316939.22439442395,62482.459820709504,-91.5946957726297,62482.459820709504,10,0.0,0.2,316939.22439442395,32,-91.5946957726297,0.0,992000,32,62482.45982070948,0.2
27032.838979486492,10,75960.98688011096,75960.98688011096,254442.41325868323,27032.83897948647,-86.79861935075131,27032.83897948647,10,0.0,0.3,254442.41325868323,33,-86.79861935075131,0.0,1016000,33,27032.838979486492,0.3
34414.949764865814,10,99109.11246489297,99109.11246489297,331511.1374759462,34414.949764865785,-88.72305535537858,34414.949764865785,10,0.0,0.2,331511.1374759462,34,-88.72305535537858,0.0,1040000,34,34414.949764865814,0.2
