MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/lever-pull-v1/TerminationRate,MetaTest/lever-pull-v1/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/lever-pull-v1/Iteration,MetaTrain/Average/Alpha,MetaTest/lever-pull-v1/MaxReturn,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/lever-pull-v1/AverageReturn,MetaTest/lever-pull-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/lever-pull-v1/AverageDiscountedReturn,MetaTest/lever-pull-v1/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/lever-pull-v1/NumTrajs,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration
10,0.0,-18.457556619477963,0.0,2.6836547894805847,-13.669172390594431,0.0,0,nan,-13.669172390594431,2.6836547894805847,224000,-18.45755661947796,1.428863,8.510472,-18.457556619477963,0.0,-22.28608193576756,-18.45755661947796,-22.28608193576756,-15.084775,10,6.7323604,0
10,0.0,-9.537354144924418,0.0,2.53913471534502,-5.158876868775407,0.0,1,nan,-5.158876868775407,2.53913471534502,248000,-9.537354144924416,2.4365191,7.959546,-9.537354144924418,0.0,-12.771282716697755,-9.537354144924416,-12.771282716697755,-32.933617,10,6.727124,1
10,0.0,-9.15333186297961,0.0,2.180226825256444,-5.235866171543938,0.0,2,nan,-5.235866171543938,2.180226825256444,272000,-9.153331862979611,3.1054776,7.8613973,-9.15333186297961,0.0,-11.988732723044889,-9.153331862979611,-11.988732723044889,-46.775726,10,6.715069,2
10,0.0,-7.756306394111078,0.0,2.4932637183501236,-5.055304014729196,0.0,3,nan,-5.055304014729196,2.4932637183501236,296000,-7.756306394111076,4.7854114,7.7771206,-7.756306394111078,0.0,-11.746431638805639,-7.756306394111076,-11.746431638805639,-60.122612,10,6.696842,3
10,0.0,-6.093245150329671,0.0,1.6414353585719292,-4.474093130357406,0.0,4,nan,-4.474093130357406,1.6414353585719292,320000,-6.093245150329673,6.1533146,7.955263,-6.093245150329671,0.0,-9.463210768540659,-6.093245150329673,-9.463210768540659,-72.81403,10,6.6745787,4
10,0.0,-9.114888471086072,0.0,2.4157274481167748,-5.274070784554516,0.0,5,nan,-5.274070784554516,2.4157274481167748,344000,-9.114888471086072,8.22239,7.9467783,-9.114888471086072,0.0,-12.640481336205834,-9.114888471086072,-12.640481336205834,-82.52711,10,6.64784,5
10,0.0,-6.339699292519185,0.0,1.5628737817889293,-3.7943998382291784,0.0,6,nan,-3.7943998382291784,1.5628737817889293,368000,-6.339699292519187,9.073572,7.6983604,-6.339699292519185,0.0,-8.690089353943385,-6.339699292519187,-8.690089353943385,-91.30719,10,6.6202207,6
10,0.0,-6.435499931106857,0.0,1.1164233068706904,-4.860324914429321,0.0,7,nan,-4.860324914429321,1.1164233068706904,392000,-6.435499931106858,10.727174,7.698555,-6.435499931106857,0.0,-8.30133621603891,-6.435499931106858,-8.30133621603891,-100.3798,10,6.594792,7
10,0.0,-6.8884580726712645,0.0,1.0328925528055808,-5.619748204167215,0.0,8,nan,-5.619748204167215,1.0328925528055808,416000,-6.8884580726712645,12.138187,7.720515,-6.8884580726712645,0.0,-8.591911864784695,-6.8884580726712645,-8.591911864784695,-108.53103,10,6.5728393,8
10,0.0,-6.5733059013818265,0.0,1.3929223272148759,-4.724010818096215,0.0,9,nan,-4.724010818096215,1.3929223272148759,440000,-6.5733059013818265,13.848708,7.6663523,-6.5733059013818265,0.0,-8.487864992033495,-6.5733059013818265,-8.487864992033495,-115.51837,10,6.5509667,9
10,0.0,-6.589517366662037,0.0,1.0300852394033342,-4.662752011118669,0.0,10,nan,-4.662752011118669,1.0300852394033342,464000,-6.589517366662039,15.279334,7.7261033,-6.589517366662037,0.0,-7.863788561504473,-6.589517366662039,-7.863788561504473,-122.1677,10,6.5338564,10
10,0.0,-6.57684412874296,0.0,1.5131560096024281,-4.429828037798261,0.0,11,nan,-4.429828037798261,1.5131560096024281,488000,-6.576844128742962,16.245192,7.746609,-6.57684412874296,0.0,-8.880282347007858,-6.576844128742962,-8.880282347007858,-128.1044,10,6.5181837,11
10,0.0,-6.697785483890378,0.0,1.5263778068468503,-4.71947140155745,0.0,12,nan,-4.71947140155745,1.5263778068468503,512000,-6.697785483890378,17.174013,7.684695,-6.697785483890378,0.0,-9.57677173691103,-6.697785483890378,-9.57677173691103,-133.35776,10,6.506143,12
10,0.0,-6.12785073062115,0.0,1.1480476398329182,-4.51061009874457,0.0,13,nan,-4.51061009874457,1.1480476398329182,536000,-6.1278507306211525,18.29197,7.722254,-6.12785073062115,0.0,-7.962931666418848,-6.1278507306211525,-7.962931666418848,-137.68146,10,6.495534,13
10,0.0,-5.669392042938892,0.0,1.4042070256343306,-3.817344920088425,0.0,14,nan,-3.817344920088425,1.4042070256343306,560000,-5.66939204293889,18.832281,7.6596675,-5.669392042938892,0.0,-7.990156659966389,-5.66939204293889,-7.990156659966389,-141.47964,10,6.4890575,14
10,0.0,-5.404967592572913,0.0,1.0180131138591837,-4.007727256436123,0.0,15,nan,-4.007727256436123,1.0180131138591837,584000,-5.404967592572914,19.129862,7.6772003,-5.404967592572913,0.0,-7.003621129880893,-5.404967592572914,-7.003621129880893,-145.30257,10,6.4840984,15
10,0.0,-5.41236076960884,0.0,1.043380694794371,-3.42404821470197,0.0,16,nan,-3.42404821470197,1.043380694794371,608000,-5.412360769608842,19.496044,7.679955,-5.41236076960884,0.0,-6.818106624889321,-5.412360769608842,-6.818106624889321,-148.76237,10,6.480084,16
10,0.0,-5.100562334142703,0.0,1.2184715209269057,-3.5381260603857454,0.0,17,nan,-3.5381260603857454,1.2184715209269057,632000,-5.100562334142703,20.070314,7.7144456,-5.100562334142703,0.0,-7.31766547575296,-5.100562334142703,-7.31766547575296,-152.10272,10,6.477364,17
10,0.0,-5.159982912608475,0.0,1.0741281513039964,-3.6212159936366595,0.0,18,nan,-3.6212159936366595,1.0741281513039964,656000,-5.159982912608475,19.318933,7.657823,-5.159982912608475,0.0,-7.53192719490278,-5.159982912608475,-7.53192719490278,-155.84921,10,6.478449,18
10,0.0,-4.877184055950531,0.0,0.9467699873839317,-3.4854063140129456,0.0,19,nan,-3.4854063140129456,0.9467699873839317,680000,-4.877184055950531,19.497587,7.6671267,-4.877184055950531,0.0,-6.5540145661389735,-4.877184055950531,-6.5540145661389735,-159.33769,10,6.4805555,19
10,0.0,-5.621624645493327,0.0,1.4279947877634307,-3.6005569007136944,0.0,20,nan,-3.6005569007136944,1.4279947877634307,704000,-5.621624645493329,19.375906,7.644587,-5.621624645493327,0.0,-8.249173691243728,-5.621624645493329,-8.249173691243728,-161.4628,10,6.479675,20
10,0.0,-4.927155401732724,0.0,1.0418039126800902,-3.5960074983283037,0.0,21,nan,-3.5960074983283037,1.0418039126800902,728000,-4.927155401732725,19.349754,7.658939,-4.927155401732724,0.0,-6.959661213101081,-4.927155401732725,-6.959661213101081,-163.67206,10,6.480229,21
10,0.0,-5.763044517504675,0.0,1.1030005857460494,-3.8664267851240774,0.0,22,nan,-3.8664267851240774,1.1030005857460494,752000,-5.7630445175046745,19.175558,7.610699,-5.763044517504675,0.0,-7.688664989513714,-5.7630445175046745,-7.688664989513714,-166.71365,10,6.483567,22
10,0.0,-5.868188796064709,0.0,1.3836600913060666,-3.9327268245150546,0.0,23,nan,-3.9327268245150546,1.3836600913060666,776000,-5.868188796064709,19.19976,7.609249,-5.868188796064709,0.0,-7.789588894276379,-5.868188796064709,-7.789588894276379,-168.68553,10,6.48622,23
10,0.0,-4.804030676935598,0.0,1.4267963001417154,-3.4356545870534188,0.0,24,nan,-3.4356545870534188,1.4267963001417154,800000,-4.804030676935599,18.991602,7.610566,-4.804030676935598,0.0,-7.645994185865226,-4.804030676935599,-7.645994185865226,-170.77423,10,6.4864845,24
10,0.0,-4.708319039788879,0.0,0.9197951375857346,-3.261284587173125,0.0,25,nan,-3.261284587173125,0.9197951375857346,824000,-4.70831903978888,18.957897,7.615404,-4.708319039788879,0.0,-6.291280085266727,-4.70831903978888,-6.291280085266727,-172.6702,10,6.4887276,25
10,0.0,-5.241969808565973,0.0,1.6202583327421614,-3.5920762543438083,0.0,26,nan,-3.5920762543438083,1.6202583327421614,848000,-5.241969808565972,18.699305,7.611541,-5.241969808565973,0.0,-7.843568553022695,-5.241969808565972,-7.843568553022695,-174.508,10,6.491096,26
10,0.0,-5.231712724109037,0.0,1.1830731769659384,-3.7312555353618038,0.0,27,nan,-3.7312555353618038,1.1830731769659384,872000,-5.231712724109036,18.6291,7.6146374,-5.231712724109037,0.0,-8.008843962321679,-5.231712724109036,-8.008843962321679,-175.99109,10,6.493355,27
10,0.0,-5.175857816868384,0.0,0.8525353548563805,-3.715907677894036,0.0,28,nan,-3.715907677894036,0.8525353548563805,896000,-5.1758578168683815,18.312407,7.6057105,-5.175857816868384,0.0,-6.805133646736987,-5.1758578168683815,-6.805133646736987,-178.162,10,6.4973216,28
10,0.0,-5.314959834165364,0.0,1.1847393078210884,-3.456276547194904,0.0,29,nan,-3.456276547194904,1.1847393078210884,920000,-5.314959834165366,18.154121,7.616589,-5.314959834165364,0.0,-7.813199460358269,-5.314959834165366,-7.813199460358269,-179.78998,10,6.5000176,29
10,0.0,-4.5971190377025835,0.0,1.073666122883077,-3.44290881904291,0.0,30,nan,-3.44290881904291,1.073666122883077,944000,-4.597119037702583,17.924965,7.6114473,-4.5971190377025835,0.0,-6.78435558544609,-4.597119037702583,-6.78435558544609,-181.13339,10,6.502951,30
10,0.0,-5.1232649918710305,0.0,1.3732125129253008,-3.7642222815899755,0.0,31,nan,-3.7642222815899755,1.3732125129253008,968000,-5.1232649918710305,17.744461,7.614963,-5.1232649918710305,0.0,-7.940272298867153,-5.1232649918710305,-7.940272298867153,-182.38374,10,6.504323,31
10,0.0,-4.500837301335144,0.0,0.7465398239022601,-3.1831631240167346,0.0,32,nan,-3.1831631240167346,0.7465398239022601,992000,-4.500837301335144,17.530464,7.6099706,-4.500837301335144,0.0,-5.931472660786487,-4.500837301335144,-5.931472660786487,-183.90735,10,6.507565,32
10,0.0,-4.819912040285396,0.0,0.7908501924669203,-3.5623249052151933,0.0,33,nan,-3.5623249052151933,0.7908501924669203,1016000,-4.819912040285397,17.355242,7.609967,-4.819912040285396,0.0,-6.118790146083696,-4.819912040285397,-6.118790146083696,-185.00877,10,6.511003,33
10,0.0,-5.545118296061341,0.0,1.1068273675165206,-3.876399006442315,0.0,34,nan,-3.876399006442315,1.1068273675165206,1040000,-5.545118296061342,17.479914,7.6097097,-5.545118296061341,0.0,-7.390697416878567,-5.545118296061342,-7.390697416878567,-185.72891,10,6.5125,34
10,0.0,-5.952833178522939,0.0,1.5615751322126081,-3.670808562581752,0.0,35,nan,-3.670808562581752,1.5615751322126081,1064000,-5.952833178522938,17.224026,7.610084,-5.952833178522939,0.0,-8.196653299652795,-5.952833178522938,-8.196653299652795,-186.5455,10,6.51342,35
10,0.0,-5.121332232337705,0.0,0.8583111566748074,-3.8472714592122697,0.0,36,nan,-3.8472714592122697,0.8583111566748074,1088000,-5.121332232337705,17.191393,7.616514,-5.121332232337705,0.0,-6.93298105228325,-5.121332232337705,-6.93298105228325,-187.58385,10,6.516993,36
10,0.0,-4.748249758400122,0.0,0.7071927460298664,-3.7677517385505173,0.0,37,nan,-3.7677517385505173,0.7071927460298664,1112000,-4.748249758400122,17.163202,7.616422,-4.748249758400122,0.0,-5.819223609942236,-4.748249758400122,-5.819223609942236,-188.02925,10,6.518154,37
10,0.0,-5.272989830885562,0.0,0.7019804930314484,-4.104927970389982,0.0,38,nan,-4.104927970389982,0.7019804930314484,1136000,-5.272989830885561,17.22366,7.6132236,-5.272989830885562,0.0,-6.272263274512909,-5.272989830885561,-6.272263274512909,-188.61069,10,6.5185804,38
10,0.0,-4.833217811737048,0.0,1.0457290265185621,-3.387664872421398,0.0,39,nan,-3.387664872421398,1.0457290265185621,1160000,-4.833217811737049,17.165571,7.610917,-4.833217811737048,0.0,-7.456957849404957,-4.833217811737049,-7.456957849404957,-189.16853,10,6.519368,39
10,0.0,-5.020373648025795,0.0,1.806725092729353,-3.367297815169313,0.0,40,nan,-3.367297815169313,1.806725092729353,1184000,-5.020373648025794,17.13458,7.6156087,-5.020373648025795,0.0,-9.619341830477943,-5.020373648025794,-9.619341830477943,-189.73479,10,6.520827,40
10,0.0,-5.0870999623622435,0.0,1.5361309876693803,-2.825960488094639,0.0,41,nan,-2.825960488094639,1.5361309876693803,1208000,-5.087099962362244,17.131973,7.6215653,-5.0870999623622435,0.0,-6.939141580722989,-5.087099962362244,-6.939141580722989,-190.17993,10,6.521084,41
10,0.0,-5.5019671061532325,0.0,1.739956961971587,-3.695092455681245,0.0,42,nan,-3.695092455681245,1.739956961971587,1232000,-5.5019671061532325,17.023273,7.6161213,-5.5019671061532325,0.0,-9.552320424245382,-5.5019671061532325,-9.552320424245382,-190.85165,10,6.5217237,42
