reach-wall-v1/MaxReturn,reach-wall-v1/NumEpisodes,Average/AverageDiscountedReturn,Average/MinReturn,policy/LossBefore,policy/LossAfter,reach-wall-v1/AverageDiscountedReturn,reach-wall-v1/TerminationRate,Average/NumEpisodes,Average/AverageReturn,MetaTest/reach-wall-v1/MaxReturn,MetaTest/Average/TerminationRate,Average/SuccessRate,MetaTest/Average/SuccessRate,MetaTest/reach-wall-v1/Iteration,policy/KLBefore,policy/dLoss,Average/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,Average/Iteration,policy/Entropy,MetaTest/reach-wall-v1/AverageReturn,reach-wall-v1/SuccessRate,LinearFeatureBaseline/ExplainedVariance,MetaTest/reach-wall-v1/StdReturn,MetaTest/reach-wall-v1/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/reach-wall-v1/TerminationRate,reach-wall-v1/AverageReturn,reach-wall-v1/StdReturn,reach-wall-v1/MinReturn,Average/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/reach-wall-v1/MinReturn,MetaTest/reach-wall-v1/NumEpisodes,policy/KL,MetaTest/Average/StdReturn,TotalEnvSteps,Average/StdReturn,MetaTest/reach-wall-v1/AverageDiscountedReturn,reach-wall-v1/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/AverageReturn
6536.579219823248,100,2513.346391973161,1344.6890797742253,-0.25548124,-3.0130618,2513.346391973161,0.0,100,2941.483595332249,5201.349790975144,0.0,0.0,0.0,0,0.0,2.7575805,0.0,0,3397.3329600700504,0,5.662759,3397.3329600700504,0.0,0.5958665254793707,754.4263823573169,0.0,10,0.0,2941.483595332249,1050.8549004941024,1344.6890797742253,6536.579219823248,5201.349790975144,2046.4227483535549,10,0.0068592546,754.4263823573169,20000,1050.8549004941024,3397.3329600700504,0,2046.4227483535549,3397.3329600700504
5628.3953985286535,100,2931.7974144321593,1558.6031422669616,0.93367034,-0.7176535,2931.7974144321593,0.0,100,3479.968380462877,,,0.0,,,0.0,1.6513238,0.0,,,1,5.650741,,0.0,0.6083556540228998,,,,,3479.968380462877,812.2809259319315,1558.6031422669616,5628.3953985286535,,,,0.005203515,,40000,812.2809259319315,,1,,
8057.864287053398,100,3648.480004201633,1935.2846417840142,0.9395086,-1.7035742,3648.480004201633,0.0,100,4401.457953925855,,,0.0,,,0.0,2.6430829,0.0,,,2,5.6338525,,0.0,0.6546467108768965,,,,,4401.457953925855,1072.956776965559,1935.2846417840142,8057.864287053398,,,,0.006372802,,60000,1072.956776965559,,2,,
6322.899134200562,100,3452.8156321081515,1876.598487119335,0.43993124,-1.6567101,3452.8156321081515,0.0,100,4146.648648247159,,,0.0,,,0.0,2.0966413,0.0,,,3,5.6163244,,0.0,0.6458460145727511,,,,,4146.648648247159,953.887203561773,1876.598487119335,6322.899134200562,,,,0.0112012895,,80000,953.887203561773,,3,,
8195.335610477423,100,3890.4117664511405,1969.3338791311494,1.5991015,-0.86350703,3890.4117664511405,0.0,100,4716.340129582991,,,0.0,,,0.0,2.4626086,0.0,,,4,5.5999765,,0.0,0.6240962933190941,,,,,4716.340129582991,1256.5209214544539,1969.3338791311494,8195.335610477423,,,,0.005054894,,100000,1256.5209214544539,,4,,
6413.7265341409575,100,3284.2606309520543,1452.3358105405264,1.084364,-0.87004846,3284.2606309520543,0.0,100,3928.9532199082446,,,0.0,,,0.0,1.9544125,0.0,,,5,5.590882,,0.0,0.6619546411117253,,,,,3928.9532199082446,922.2382863305005,1452.3358105405264,6413.7265341409575,,,,0.010136688,,120000,922.2382863305005,,5,,
8742.187305364749,100,3885.6067460644076,2299.720575211715,2.6555605,0.9244211,3885.6067460644076,0.0,100,4720.702730960031,,,0.0,,,0.0,1.7311394,0.0,,,6,5.5757804,,0.0,0.7177150904801473,,,,,4720.702730960031,1006.1040425063878,2299.720575211715,8742.187305364749,,,,0.009421135,,140000,1006.1040425063878,,6,,
9062.936225195239,100,3722.744050241733,2249.773645397935,0.035529297,-1.5497457,3722.744050241733,0.0,100,4517.395765393554,,,0.0,,,0.0,1.5852749,0.0,,,7,5.5630975,,0.0,0.6943145671805089,,,,,4517.395765393554,1205.8576208489105,2249.773645397935,9062.936225195239,,,,0.0073266136,,160000,1205.8576208489105,,7,,
9701.62256195016,100,4801.656762015309,3917.0083164532334,3.8251016,1.6177328,4801.656762015309,0.0,100,5991.654213881207,,,0.0,,,0.0,2.2073689,0.0,,,8,5.5651407,,0.0,0.7794506149298053,,,,,5991.654213881207,1298.1879499848424,3917.0083164532334,9701.62256195016,,,,0.006143665,,180000,1298.1879499848424,,8,,
9048.384221525486,100,4322.219406566526,3027.531862068189,2.7031407,0.44721407,4322.219406566526,0.0,100,5348.669671524075,,,0.0,,,0.0,2.2559266,0.0,,,9,5.5599723,,0.0,0.7063338021643565,,,,,5348.669671524075,1499.357629509633,3027.531862068189,9048.384221525486,,,,0.006193055,,200000,1499.357629509633,,9,,
12553.613840819917,100,5359.72911723519,3589.2334778249115,0.495541,-1.9998125,5359.72911723519,0.0,100,6747.9677619147105,8351.764609163825,0.0,0.0,0.0,1,0.0,2.4953535,0.0,1,5678.2997698945055,10,5.553052,5678.2997698945055,0.0,0.7612689890741801,1627.488964044647,0.0,10,0.0,6747.9677619147105,1678.2343766265112,3589.2334778249115,12553.613840819917,8351.764609163825,3774.6416104132,10,0.007069812,1627.488964044647,220000,1678.2343766265112,5678.2997698945055,10,3774.6416104132,5678.2997698945055
12315.978958217403,100,5511.287602188753,3793.419527747094,0.92822695,-2.521207,5511.287602188753,0.0,100,6956.148868801294,,,0.0,,,0.0,3.449434,0.0,,,11,5.527929,,0.0,0.7357054122708853,,,,,6956.148868801294,1865.471762662529,3793.419527747094,12315.978958217403,,,,0.0056501287,,240000,1865.471762662529,,11,,
13362.187138084939,100,5656.492209880525,4070.0682150738958,1.6758626,-0.5734031,5656.492209880525,0.0,100,7213.683708303412,,,0.0,,,0.0,2.2492657,0.0,,,12,5.5152655,,0.0,0.7353068338532949,,,,,7213.683708303412,1718.381658414384,4070.0682150738958,13362.187138084939,,,,0.0033534714,,260000,1718.381658414384,,12,,
15046.74389448149,100,7236.933911791229,5486.504684898129,3.907256,-0.7760141,7236.933911791229,0.0,100,9471.633508230465,,,0.0,,,0.0,4.68327,0.0,,,13,5.497811,,0.0,0.7613377433544164,,,,,9471.633508230465,2372.2588603844297,5486.504684898129,15046.74389448149,,,,0.005942533,,280000,2372.2588603844297,,13,,
19112.952827757632,100,7474.687598411947,5163.024002168422,1.3607154,-2.1774216,7474.687598411947,0.0,100,9868.404555038605,,,0.0,,,0.0,3.538137,0.0,,,14,5.501361,,0.0,0.7105607540245165,,,,,9868.404555038605,2934.969099336059,5163.024002168422,19112.952827757632,,,,0.0062230886,,300000,2934.969099336059,,14,,
23832.036720571723,100,8077.599440781196,4642.7113870438025,6.6869264,2.1060555,8077.599440781196,0.0,100,10754.836543873249,,,0.0,,,0.0,4.5808706,0.0,,,15,5.49295,,0.0,0.6395764501043777,,,,,10754.836543873249,3687.1258518013888,4642.7113870438025,23832.036720571723,,,,0.009255914,,320000,3687.1258518013888,,15,,
29643.475978858092,100,9489.238455954535,6292.583024653976,7.9716935,2.1165907,9489.238455954535,0.0,100,12979.562710229837,,,0.0,,,0.0,5.8551025,0.0,,,16,5.4812474,,0.0,0.6881764591592975,,,,,12979.562710229837,4149.263762590225,6292.583024653976,29643.475978858092,,,,0.011632017,,340000,4149.263762590225,,16,,
34168.07061573738,100,9753.392552107285,5300.224573785008,2.3184562,-4.258794,9753.392552107285,0.0,100,13387.608582446175,,,0.0,,,0.0,6.57725,0.0,,,17,5.487979,,0.0,0.7487502649995368,,,,,13387.608582446175,4652.3821152339515,5300.224573785008,34168.07061573738,,,,0.007517185,,360000,4652.3821152339515,,17,,
35098.94253348224,100,11596.07331234808,8330.55066130474,0.9438625,-8.441881,11596.07331234808,0.0,100,16681.36343275336,,,0.0,,,0.0,9.385744,0.0,,,18,5.497289,,0.0,0.6920065547151862,,,,,16681.36343275336,5557.639054942978,8330.55066130474,35098.94253348224,,,,0.010446889,,380000,5557.639054942978,,18,,
42387.80907622262,100,14139.81553352159,10077.82830098361,3.07915,-9.519981,14139.81553352159,0.0,100,21346.132227639155,,,0.02,,,0.0,12.599132,0.0,,,19,5.507331,,0.02,0.6373866613177299,,,,,21346.132227639155,6709.676292825471,10077.82830098361,42387.80907622262,,,,0.011127231,,400000,6709.676292825471,,19,,
