MetaTest/peg-unplug-side-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,Average/AverageReturn,policy/LossAfter,MetaTest/peg-unplug-side-v1/NumEpisodes,MetaTest/Average/MaxReturn,peg-unplug-side-v1/TerminationRate,Average/SuccessRate,peg-unplug-side-v1/NumEpisodes,policy/dLoss,peg-unplug-side-v1/SuccessRate,MetaTest/peg-unplug-side-v1/MaxReturn,MetaTest/peg-unplug-side-v1/AverageReturn,MetaTest/peg-unplug-side-v1/MinReturn,MetaTest/Average/NumEpisodes,Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,Average/StdReturn,peg-unplug-side-v1/StdReturn,Average/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/peg-unplug-side-v1/Iteration,policy/LossBefore,TotalEnvSteps,Average/TerminationRate,MetaTest/peg-unplug-side-v1/SuccessRate,peg-unplug-side-v1/MaxReturn,policy/Entropy,MetaTest/peg-unplug-side-v1/StdReturn,Average/MinReturn,policy/KL,MetaTest/peg-unplug-side-v1/TerminationRate,MetaTest/Average/SuccessRate,peg-unplug-side-v1/Iteration,Average/Iteration,peg-unplug-side-v1/AverageReturn,peg-unplug-side-v1/MinReturn,Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,policy/KLBefore,MetaTest/Average/AverageReturn,LinearFeatureBaseline/ExplainedVariance,peg-unplug-side-v1/AverageDiscountedReturn
-90.56432038315701,0.0,-89.41785496794095,-0.06364286,10,-73.99593539445745,0.0,0.0,100,0.033403546,0.0,-73.99593539445745,-90.56432038315701,-111.4738940861785,10,-33.69443748725499,0,10.131702918972332,16.90807783395925,16.90807783395925,100,-111.4738940861785,0,-0.030239312,20000,0.0,0.0,-60.3581440413086,5.6851935,10.131702918972332,-132.407589343993,0.005343339,0.0,0.0,0,0,-89.41785496794095,-132.407589343993,-60.3581440413086,-90.56432038315701,0.0,-90.56432038315701,0.4795755140322384,-33.69443748725499
,,-77.53459320827805,-0.041018248,,,0.0,0.0,100,0.020205002,0.0,,,,,-30.18613306123708,,,15.9726030104061,15.9726030104061,100,,,-0.020813245,40000,0.0,,-36.005052052991566,5.6769266,,-114.5313816078603,0.012844019,,,1,1,-77.53459320827805,-114.5313816078603,-36.005052052991566,,0.0,,0.5243575453663245,-30.18613306123708
,,-30.621318844001035,-0.30081645,,,0.0,0.01,100,0.29906064,0.01,,,,,-17.544475269845954,,,194.6600178784384,194.6600178784384,100,,,-0.0017558106,60000,0.0,,1813.4675989191937,5.6474586,,-84.81523477433748,0.01886798,,,2,2,-30.621318844001035,-84.81523477433748,1813.4675989191937,,0.0,,0.18158586383781739,-17.544475269845954
,,105.20755346730064,-1.0122606,,,0.0,0.02,100,1.0121614,0.02,,,,,16.91639828287057,,,617.148183116528,617.148183116528,100,,,-9.921875e-05,80000,0.0,,4016.347003161404,5.620903,,-111.07398955911991,0.013807344,,,3,3,105.20755346730064,-111.07398955911991,4016.347003161404,,0.0,,0.11970852401060483,16.91639828287057
,,515.6263932356105,-2.3197587,,,0.0,0.02,100,1.561697,0.02,,,,,145.51098570429497,,,1178.7749825959886,1178.7749825959886,100,,,-0.7580617,100000,0.0,,7743.858980218673,5.576858,,-117.37523069781082,0.008767542,,,4,4,515.6263932356105,-117.37523069781082,7743.858980218673,,0.0,,0.11851012856047949,145.51098570429497
,,1357.5095685552742,-2.4475727,,,0.0,0.04,100,2.73217,0.04,,,,,407.3262274073154,,,2219.0158144892553,2219.0158144892553,100,,,0.28459728,120000,0.0,,14477.539770613055,5.555127,,-122.68445338818294,0.005376017,,,5,5,1357.5095685552742,-122.68445338818294,14477.539770613055,,0.0,,0.15721829427900158,407.3262274073154
,,1736.4919485014125,-1.7280176,,,0.0,0.06,100,2.9563692,0.06,,,,,533.7242473319847,,,2260.7137862926243,2260.7137862926243,100,,,1.2283516,140000,0.0,,10984.867018499821,5.5100756,,-110.17842232790282,0.0065612756,,,6,6,1736.4919485014125,-110.17842232790282,10984.867018499821,,0.0,,0.23154163658293148,533.7242473319847
,,1656.2288224885083,-0.9401078,,,0.0,0.06,100,3.2434711,0.06,,,,,532.6813932633895,,,2188.381948038484,2188.381948038484,100,,,2.3033633,160000,0.0,,8967.745719702865,5.473882,,-121.02421614980825,0.0044308393,,,7,7,1656.2288224885083,-121.02421614980825,8967.745719702865,,0.0,,0.22032914317830543,532.6813932633895
,,2824.888244753198,-2.823482,,,0.0,0.07,100,4.6076055,0.07,,,,,808.1437856838315,,,4212.989404891851,4212.989404891851,100,,,1.7841234,180000,0.0,,27705.18719073763,5.441055,,-110.82496432402058,0.0068545733,,,8,8,2824.888244753198,-110.82496432402058,27705.18719073763,,0.0,,0.16886428400882814,808.1437856838315
,,2199.5600486236667,-8.277121,,,0.0,0.03,100,4.65821,0.03,,,,,658.1049066133022,,,4157.820209464878,4157.820209464878,100,,,-3.618911,200000,0.0,,33645.93239692799,5.4079514,,-111.16502240726767,0.0071726623,,,9,9,2199.5600486236667,-111.16502240726767,33645.93239692799,,0.0,,0.1834394169832292,658.1049066133022
4565.220267540453,0.0,5236.471669598089,3.0926406,10,19694.76982644692,0.0,0.12,100,8.9700775,0.12,19694.76982644692,4565.2202675404515,-97.93680128348682,10,1326.122980506079,1,5717.856808568585,8494.94098066018,8494.94098066018,100,-97.93680128348682,1,12.062718,220000,0.0,0.1,62987.26470146495,5.369309,5717.856808568585,-109.04283513600477,0.0063410695,0.0,0.1,10,10,5236.471669598089,-109.04283513600477,62987.26470146495,4565.220267540453,0.0,4565.2202675404515,0.15203493349035446,1326.122980506079
,,5745.90102906208,-13.740553,,,0.0,0.11,100,9.855638,0.11,,,,,1707.4385723819425,,,8911.270733850773,8911.270733850773,100,,,-3.8849156,240000,0.0,,52863.09645592817,5.333488,,-106.94342537754373,0.006644641,,,11,11,5745.90102906208,-106.94342537754373,52863.09645592817,,0.0,,0.20396101560828228,1707.4385723819425
,,7154.929906918112,-16.22183,,,0.0,0.11,100,12.725618,0.11,,,,,1894.4895644765427,,,11759.28690951759,11759.28690951759,100,,,-3.4962125,260000,0.0,,84610.03800826901,5.304428,,-111.02290822320818,0.0058492613,,,12,12,7154.929906918112,-111.02290822320818,84610.03800826901,,0.0,,0.1763836157715618,1894.4895644765427
,,8134.900869040529,-24.041113,,,0.0,0.12,100,18.829525,0.12,,,,,1920.6660517035552,,,22020.3762311578,22020.3762311578,100,,,-5.2115874,280000,0.0,,159936.39367982664,5.291898,,-104.82389404023381,0.0071985717,,,13,13,8134.900869040529,-104.82389404023381,159936.39367982664,,0.0,,0.15345148649299933,1920.6660517035552
,,4407.4216096788,-8.922802,,,0.0,0.07,100,7.7437286,0.07,,,,,1167.7836611393564,,,8123.9424389989,8123.9424389989,100,,,-1.1790735,300000,0.0,,45393.32204547597,5.281045,,-108.37866648379979,0.009294343,,,14,14,4407.4216096788,-108.37866648379979,45393.32204547597,,0.0,,0.3091049186299507,1167.7836611393564
,,9491.555093411796,-21.616898,,,0.0,0.16,100,16.952812,0.16,,,,,2765.5647964218397,,,19045.339195346885,19045.339195346885,100,,,-4.6640844,320000,0.0,,123221.54230734515,5.269574,,-108.60055293486684,0.005493433,,,15,15,9491.555093411796,-108.60055293486684,123221.54230734515,,0.0,,0.2261344290247923,2765.5647964218397
