MetaTest/push-v1/AverageDiscountedReturn,Average/StdReturn,MetaTest/Average/Iteration,push-v1/AverageDiscountedReturn,Average/AverageReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/NumEpisodes,Average/TerminationRate,push-v1/MinReturn,GaussianMLPPolicy/KLAfter,push-v1/Iteration,MetaTest/Average/StdReturn,Average/MaxReturn,push-v1/MaxReturn,MetaTest/push-v1/Iteration,MetaTest/push-v1/MaxReturn,Average/MinReturn,GaussianMLPPolicy/LossBefore,Average/SuccessRate,push-v1/SuccessRate,MetaTest/push-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/push-v1/StdReturn,Average/Iteration,MetaTest/push-v1/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/push-v1/AverageReturn,MetaTest/Average/SuccessRate,Average/NumEpisodes,push-v1/TerminationRate,TotalEnvSteps,push-v1/AverageReturn,GaussianMLPPolicy/LossAfter,Iteration,MetaTest/Average/AverageDiscountedReturn,push-v1/StdReturn,GaussianMLPPolicy/dLoss,Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/push-v1/SuccessRate,MetaTest/Average/MaxReturn,push-v1/NumEpisodes,GaussianMLPPolicy/Entropy
531.5424693926295,330.9968586794844,0,-2.3729488835629184,5.004779828389478,0.0,50,0.0,-89.56290350586787,0.006651103496551514,0,1914.792593932113,3231.3073636296904,3231.3073636296904,0,10930.588218701938,-89.56290350586787,0.0001589944149600342,0.0,0.0,0.0,531.5424693926295,0.0,1914.792593932113,0,-62.373537746500496,50,531.5424693926295,0.02,200,0.0,80000,5.004779828389478,-0.000540712964721024,0,531.5424693926295,330.9968586794844,0.0006997073796810582,-2.3729488835629184,-62.373537746500496,0.02,10930.588218701938,200,5.678627967834473
,252.2583521938845,,2.7197588779440487,12.692751868590888,0.0,,0.0,-76.11332641026247,0.007034472189843655,1,,2503.8851644786973,2503.8851644786973,,,-76.11332641026247,-0.00010369756637373939,0.0,0.0,,,,,1,,,,,200,0.0,160000,12.692751868590888,-0.0008896695217117667,1,,252.2583521938845,0.0007859719553380273,2.7197588779440487,,,,200,5.6775970458984375
,969.8460888112172,,76.60900483955328,259.1514554515866,0.0,,0.0,-55.39940169858518,0.007280820049345493,2,,10208.274070929663,10208.274070929663,,,-55.39940169858518,-0.00030852979398332536,0.005,0.005,,,,,2,,,,,200,0.0,240000,259.1514554515866,-0.0004225349985063076,2,,969.8460888112172,0.00011400520452298224,76.60900483955328,,,,200,5.631246566772461
,2182.5464604361327,,264.77175370838887,868.8344525027082,0.0,,0.0,-42.712239659316054,0.008348455652594566,3,,17943.28120204393,17943.28120204393,,,-42.712239659316054,-3.219113204977475e-05,0.0,0.0,,,,,3,,,,,200,0.0,320000,868.8344525027082,-7.250392809510231e-05,3,,2182.5464604361327,4.031279604532756e-05,264.77175370838887,,,,200,5.618537425994873
,3124.70369426519,,458.45041960908367,1470.9691711015337,0.0,,0.0,-37.203722533890165,0.008552636951208115,4,,20062.997329226884,20062.997329226884,,,-37.203722533890165,2.839105400198605e-05,0.02,0.02,,,,,4,,,,,200,0.0,400000,1470.9691711015337,1.693214244369301e-06,4,,3124.70369426519,2.6697839757616748e-05,458.45041960908367,,,,200,5.639312267303467
,5224.6671525568845,,741.5147157408901,2604.9126403266655,0.0,,0.0,-24.384280364830563,0.0037394403479993343,5,,31311.489786485756,31311.489786485756,,,-24.384280364830563,1.1385886864445638e-05,0.01,0.01,,,,,5,,,,,200,0.0,480000,2604.9126403266655,3.517887762427563e-06,5,,5224.6671525568845,7.867999102018075e-06,741.5147157408901,,,,200,5.6525092124938965
,5706.114664613789,,832.6371736203233,2880.9393953402932,0.0,,0.0,-24.695943208769858,0.0007861553458496928,6,,30391.688967470953,30391.688967470953,,,-24.695943208769858,-1.6496123862452805e-05,0.01,0.01,,,,,6,,,,,200,0.0,560000,2880.9393953402932,-1.7784786905394867e-05,6,,5706.114664613789,1.288663042942062e-06,832.6371736203233,,,,200,5.630281448364258
,12588.317230065795,,1241.1125140480506,4308.597494358757,0.0,,0.0,-25.12890969300753,0.0002184393524657935,7,,157856.4466294499,157856.4466294499,,,-25.12890969300753,2.7057076295022853e-06,0.025,0.025,,,,,7,,,,,200,0.0,640000,4308.597494358757,2.393902377662016e-06,7,,12588.317230065795,3.118052518402692e-07,1241.1125140480506,,,,200,5.632903575897217
,9646.170390600006,,1555.7450913041812,5330.2931129444005,0.0,,0.0,-29.992542557315012,4.270958743290976e-05,8,,89744.89937336335,89744.89937336335,,,-29.992542557315012,-1.7611039311304921e-06,0.01,0.01,,,,,8,,,,,200,0.0,720000,5330.2931129444005,-1.821486875996925e-06,8,,9646.170390600006,6.038294486643281e-08,1555.7450913041812,,,,200,5.631533622741699
,6064.963343057923,,906.2197135369954,3118.1938078097564,0.0,,0.0,-45.610260723890406,0.0015245478134602308,9,,38254.69937527177,38254.69937527177,,,-45.610260723890406,-2.1981636564305518e-06,0.02,0.02,,,,,9,,,,,200,0.0,800000,3118.1938078097564,-4.797976544068661e-06,9,,6064.963343057923,2.599812887638109e-06,906.2197135369954,,,,200,5.63033390045166
