MetaTest/shelf-place-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,policy/LossAfter,MetaTest/Average/SuccessRate,policy/KL,policy/Entropy,Average/SuccessRate,policy/KLBefore,policy/LossBefore,shelf-place-v1/NumEpisodes,Average/Iteration,MetaTest/shelf-place-v1/Iteration,MetaTest/Average/AverageReturn,Average/TerminationRate,MetaTest/Average/Iteration,Average/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/shelf-place-v1/AverageDiscountedReturn,shelf-place-v1/TerminationRate,shelf-place-v1/AverageDiscountedReturn,shelf-place-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/shelf-place-v1/TerminationRate,MetaTest/shelf-place-v1/MinReturn,MetaTest/shelf-place-v1/StdReturn,MetaTest/shelf-place-v1/NumEpisodes,MetaTest/shelf-place-v1/SuccessRate,shelf-place-v1/Iteration,Average/AverageReturn,Average/StdReturn,TotalEnvSteps,shelf-place-v1/StdReturn,LinearFeatureBaseline/ExplainedVariance,Average/AverageDiscountedReturn,shelf-place-v1/MinReturn,MetaTest/Average/MaxReturn,shelf-place-v1/MaxReturn,policy/dLoss,MetaTest/shelf-place-v1/AverageReturn,MetaTest/Average/StdReturn,shelf-place-v1/AverageReturn,Average/NumEpisodes,MetaTest/Average/MinReturn,Average/MinReturn
-39.94414092166977,-56.51761634168902,-0.05263847,0.0,0.0065706894,5.678884,0.0,0.0,-0.021705594,100,0,0,-56.51761634168905,0.0,0,-28.830686025606308,10,-56.51761634168902,0.0,-21.19796229152771,0.0,0.0,0.0,-84.36396025707559,12.933534540106445,10,0.0,0,-60.38206631773342,17.193728566841287,20000,17.193728566841287,0.47715581930766027,-21.19796229152771,-103.8214519545099,-39.94414092166977,-28.830686025606308,0.030932877,-56.51761634168905,12.933534540106445,-60.38206631773342,100,-84.36396025707559,-103.8214519545099
,,-0.020813687,,0.008472791,5.678039,0.0,0.0,-0.007886676,100,1,,,0.0,,-14.503153883162877,,,0.0,-18.027783053775146,0.0,,,,,,,1,-48.76862795007994,13.252407286438643,40000,13.252407286438643,0.3686882875442822,-18.027783053775146,-83.74750532361968,,-14.503153883162877,0.012927011,,,-48.76862795007994,100,,-83.74750532361968
,,-0.016691625,,0.015980894,5.667821,0.0,0.0,-0.0024539765,100,2,,,0.0,,-26.342367353684466,,,0.0,-19.63518768221381,0.0,,,,,,,2,-53.86285760166646,13.484173397162033,60000,13.484173397162033,0.37695850714467183,-19.63518768221381,-88.23700933881375,,-26.342367353684466,0.014237649,,,-53.86285760166646,100,,-88.23700933881375
,,-0.023937043,,0.010058638,5.6457133,0.0,0.0,-0.010521042,100,3,,,0.0,,9.584828117073707,,,0.0,-17.46226471992619,0.0,,,,,,,3,-44.734222789944845,17.693831856172583,80000,17.693831856172583,0.367834644926301,-17.46226471992619,-103.47618641662734,,9.584828117073707,0.013416001,,,-44.734222789944845,100,,-103.47618641662734
,,0.0061431886,,0.005712188,5.6221037,0.0,0.0,0.006097345,100,4,,,0.0,,-26.159316872856394,,,0.0,-17.174729474304517,0.0,,,,,,,4,-45.04330168078751,14.092912978066137,100000,14.092912978066137,0.46695927121988945,-17.174729474304517,-88.97205855983827,,-26.159316872856394,-4.5843422e-05,,,-45.04330168078751,100,,-88.97205855983827
,,-0.025234997,,0.012175461,5.6006703,0.0,0.0,-0.018900385,100,5,,,0.0,,8.865217563727938,,,0.0,-16.457939147107737,0.0,,,,,,,5,-41.91454438565589,14.134730558129926,120000,14.134730558129926,0.40010331700533674,-16.457939147107737,-88.58572416200838,,8.865217563727938,0.006334612,,,-41.91454438565589,100,,-88.58572416200838
,,-0.019405918,,0.015444445,5.582993,0.0,0.0,-0.0054524355,100,6,,,0.0,,-16.778680558682133,,,0.0,-17.930180311801756,0.0,,,,,,,6,-45.98282425239858,14.868020108064846,140000,14.868020108064846,0.41145089712433847,-17.930180311801756,-88.67245006704113,,-16.778680558682133,0.013953483,,,-45.98282425239858,100,,-88.67245006704113
,,-0.008756311,,0.0129410615,5.5767446,0.0,0.0,-0.0020591065,100,7,,,0.0,,-23.93799850438068,,,0.0,-15.775703292333997,0.0,,,,,,,7,-41.03000101876427,11.19117689241969,160000,11.19117689241969,0.41514071629684224,-15.775703292333997,-73.12026040002306,,-23.93799850438068,0.006697204,,,-41.03000101876427,100,,-73.12026040002306
,,-0.024894824,,0.010572077,5.5719047,0.0,0.0,-0.0126048885,100,8,,,0.0,,-23.767989707915294,,,0.0,-16.16741649306246,0.0,,,,,,,8,-42.734005853141205,13.537773815400277,180000,13.537773815400277,0.4031702902935316,-16.16741649306246,-85.94062935639494,,-23.767989707915294,0.012289936,,,-42.734005853141205,100,,-85.94062935639494
,,-0.010697527,,0.009598481,5.568255,0.0,0.0,-0.0006619904,100,9,,,0.0,,-23.782673684315146,,,0.0,-15.376503257726831,0.0,,,,,,,9,-38.00928209437998,8.74302489224923,200000,8.74302489224923,0.35055950665315805,-15.376503257726831,-65.71088650295462,,-23.782673684315146,0.010035536,,,-38.00928209437998,100,,-65.71088650295462
