MetaTest/window-open-v1/MinReturn,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/NumEpisodes,MetaTest/window-open-v1/AverageReturn,MetaTest/window-open-v1/Iteration,MetaTest/window-open-v1/TerminationRate,MetaTest/window-open-v1/MaxReturn,MetaTest/window-open-v1/SuccessRate,MetaTrain/Average/AlphaLoss,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/window-open-v1/AverageDiscountedReturn,MetaTest/window-open-v1/NumEpisodes,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/window-open-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn
-50.74481270750572,-50.74481270750572,13.947507,10,-31.00298086874551,0,0.0,-11.652636579349196,0.0,4.2221456,224000,0.7762279,-31.00298086874551,10,0,-31.00298086874551,10.569319446182282,10.569319446182282,0.0,-53.69288,2364.8254,0.0,-31.00298086874551,-11.652636579349196
-46.33258381278058,-46.33258381278058,13.08806,10,-37.720684067601056,1,0.0,-20.94420080607061,0.0,0.4672654,248000,0.5484202,-37.720684067601056,10,1,-37.720684067601056,7.4878251415902675,7.4878251415902675,0.0,-296.3749,3836.3718,0.0,-37.720684067601056,-20.94420080607061
-52.96655246299174,-52.96655246299174,18.725775,10,628.7154478772231,2,0.0,3807.7030055908517,0.0,-2.6889126,272000,0.8554839,628.7154478772227,10,2,628.7154478772227,1335.1330933775246,1335.1330933775246,0.0,-1407.4773,11202.404,0.0,628.7154478772231,3807.7030055908517
-36.95854766175364,-36.95854766175364,25.530273,10,1658.712913582883,3,0.0,4104.921213625505,0.0,-2.2446046,296000,1.5004656,1658.712913582883,10,3,1658.712913582883,1510.9910005817032,1510.9910005817032,0.0,-2142.6846,13866.529,0.0,1658.712913582883,4104.921213625505
-24.976435570685897,-24.976435570685897,49.093414,10,1780.5139108977924,4,0.0,6336.742578083079,0.0,-8.0154416e-05,320000,1.8310754,1780.5139108977933,10,4,1780.5139108977933,2020.8988391360201,2020.8988391360201,0.0,-2103.528,15387.288,0.0,1780.5139108977924,6336.742578083079
-60.04943807083937,-60.04943807083937,88.43476,10,572.3625712824872,5,0.0,3286.818247699335,0.0,0.21633656,344000,1.6396573,572.362571282487,10,5,572.362571282487,1002.7846995477444,1002.7846995477444,0.0,-2103.493,20459.824,0.0,572.3625712824872,3286.818247699335
-96.32556613544813,-96.32556613544813,1001.0323,10,8520.366921410388,6,0.0,84204.26484571416,0.2,-6.450693,368000,2.1401095,8520.366921410392,10,6,8520.366921410392,25230.907327537352,25230.907327537352,0.2,-3065.2976,180944.5,0.0,8520.366921410388,84204.26484571416
-52.58830752796358,-52.58830752796358,5227.115,10,21588.922193130536,7,0.0,122921.9782487376,0.2,-4.614174,392000,3.431101,21588.922193130555,10,7,21588.922193130555,43244.05944694424,43244.05944694424,0.2,-6467.6685,450510.66,0.0,21588.922193130536,122921.9782487376
-110.36517869676632,-110.36517869676632,4792.265,10,-86.88993356075598,8,0.0,-25.704515516203344,0.0,3.0987847,416000,3.906212,-86.889933560756,10,8,-86.889933560756,22.144500589452935,22.144500589452935,0.0,-5737.335,477172.94,0.0,-86.88993356075598,-25.704515516203344
-68.70268504738958,-68.70268504738958,12463.242,10,-42.85589982205649,9,0.0,-17.557793549580794,0.0,4.839278,440000,2.700206,-42.85589982205649,10,9,-42.85589982205649,16.729877252261495,16.729877252261495,0.0,-2918.0789,660483.44,0.0,-42.85589982205649,-17.557793549580794
-99.92912781169665,-99.92912781169665,108483.12,10,10.920463451180236,10,0.0,791.9044259749562,0.0,-5.2907095,464000,2.5846403,10.920463451180169,10,10,10.920463451180169,260.8500002546625,260.8500002546625,0.0,-4889.977,11792570.0,0.0,10.920463451180236,791.9044259749562
-77.59837680222155,-77.59837680222155,31035.309,10,288.42195025789187,11,0.0,2442.625650698846,0.0,-3.3155243,488000,3.3456385,288.4219502578921,10,11,288.4219502578921,766.3521156813133,766.3521156813133,0.0,-9659.17,1644134.5,0.0,288.42195025789187,2442.625650698846
-84.6902251386026,-84.6902251386026,35381.246,10,12715.534641212833,12,0.0,127653.4017387578,0.1,4.02058,512000,2.676007,12715.534641212844,10,12,12715.534641212844,38312.62703133696,38312.62703133696,0.1,-6740.628,2516899.2,0.0,12715.534641212833,127653.4017387578
-106.76928352858648,-106.76928352858648,182357.38,10,-87.55651949486136,13,0.0,-75.68965115240248,0.0,-4.289162,536000,3.1371708,-87.55651949486138,10,13,-87.55651949486138,9.39775121434327,9.39775121434327,0.0,-13540.42,6464483.0,0.0,-87.55651949486136,-75.68965115240248
-98.06438718081749,-98.06438718081749,652142.4,10,102.51562261837402,14,0.0,1650.4621190108824,0.1,-8.254712,560000,3.600344,102.51562261837402,10,14,102.51562261837402,516.4796325048553,516.4796325048553,0.1,-19188.297,6207389.5,0.0,102.51562261837402,1650.4621190108824
-90.89341483824383,-90.89341483824383,68692.78,10,186.4986436004743,15,0.0,2387.960732323762,0.0,-16.56283,584000,5.8582006,186.49864360047408,10,15,186.49864360047408,734.3038795320622,734.3038795320622,0.0,-40843.85,6276807.0,0.0,186.4986436004743,2387.960732323762
-92.44579595374081,-92.44579595374081,80420.78,10,12219.830639123618,16,0.0,70223.7298932988,0.3,-1.8255597,608000,7.910581,12219.830639123616,10,16,12219.830639123616,24403.017895522626,24403.017895522626,0.3,-29889.684,6003396.5,0.0,12219.830639123618,70223.7298932988
-107.74718937888076,-107.74718937888076,29993.168,10,-83.47658341516335,17,0.0,-17.92860323432627,0.1,16.490349,632000,6.94575,-83.47658341516333,10,17,-83.47658341516333,24.72260422500035,24.72260422500035,0.1,-16360.725,8859418.0,0.0,-83.47658341516335,-17.92860323432627
-105.55740570376484,-105.55740570376484,107547.58,10,-91.74645570193331,18,0.0,-75.71746211235326,0.0,8.302925,656000,4.7494707,-91.7464557019333,10,18,-91.7464557019333,9.818282485961019,9.818282485961019,0.0,-1123.3558,5649158.0,0.0,-91.74645570193331,-75.71746211235326
-79.27138791515016,-79.27138791515016,234770.88,10,10532.01689575464,19,0.0,105722.38955857672,0.3,-7.269471,680000,3.954322,10532.016895754641,10,19,10532.016895754641,31730.13067735405,31730.13067735405,0.3,-20832.46,10152541.0,0.0,10532.01689575464,105722.38955857672
-85.45590579858043,-85.45590579858043,12462.028,10,-73.40701796199394,20,0.0,-59.333071040673524,0.0,-11.183262,704000,5.575384,-73.40701796199396,10,20,-73.40701796199396,8.435737225834483,8.435737225834483,0.0,-47054.992,15050162.0,0.0,-73.40701796199394,-59.333071040673524
-83.2364143643111,-83.2364143643111,42783.863,10,6750.880697477833,21,0.0,66204.20252252465,0.1,-16.829538,728000,8.382307,6750.880697477832,10,21,6750.880697477832,19824.74102086761,19824.74102086761,0.1,-47610.066,13494256.0,0.0,6750.880697477833,66204.20252252465
-78.47224501390464,-78.47224501390464,21308.36,10,2522.828809070456,22,0.0,23597.54252616741,0.1,-8.9649725,752000,11.929456,2522.828809070458,10,22,2522.828809070458,7049.518400553652,7049.518400553652,0.1,-58021.664,15486674.0,0.0,2522.828809070456,23597.54252616741
-36.96783306815438,-36.96783306815438,24611.145,10,4503.167158240013,23,0.0,45117.47390109574,0.4,-25.722742,776000,16.004255,4503.167158240014,10,23,4503.167158240014,13538.202547619818,13538.202547619818,0.4,-78873.39,21962560.0,0.0,4503.167158240013,45117.47390109574
-52.00328620402817,-52.00328620402817,7416.9785,10,17458.638223754606,24,0.0,99345.63867422337,0.2,-18.685308,800000,24.493872,17458.6382237546,10,24,17458.6382237546,31749.011546857975,31749.011546857975,0.2,-93904.82,26666476.0,0.0,17458.638223754606,99345.63867422337
-37.24571499249304,-37.24571499249304,6955.871,10,40628.46999327252,25,0.0,148714.73823968892,0.4,-2.21784,824000,28.748148,40628.469993272505,10,25,40628.469993272505,52485.582696989346,52485.582696989346,0.4,-90755.99,28082746.0,0.0,40628.46999327252,148714.73823968892
-70.18306524916882,-70.18306524916882,6973.039,10,33902.948741886736,26,0.0,106680.7846857385,0.3,4.776738,848000,28.56191,33902.948741886736,10,26,33902.948741886736,40838.01532043683,40838.01532043683,0.3,-81573.484,26171170.0,0.0,33902.948741886736,106680.7846857385
-88.98562927764644,-88.98562927764644,47689.99,10,6684.422092934275,27,0.0,65817.64824400969,0.2,-3.8996522,872000,29.686571,6684.4220929342755,10,27,6684.4220929342755,19715.873527460608,19715.873527460608,0.2,-90292.56,30448538.0,0.0,6684.422092934275,65817.64824400969
-34.24294855295607,-34.24294855295607,34566.49,10,21327.452652889227,28,0.0,118173.40768743902,0.3,-1.6777889,896000,30.866798,21327.452652889227,10,28,21327.452652889227,38430.21101221111,38430.21101221111,0.3,-84905.664,30926036.0,0.0,21327.452652889227,118173.40768743902
-40.38982327022702,-40.38982327022702,10815.954,10,39164.39528142959,29,0.0,156670.78091508188,0.3,-1.2731898,920000,31.697403,39164.39528142956,10,29,39164.39528142956,59343.02494683609,59343.02494683609,0.3,-90512.81,35462544.0,0.0,39164.39528142959,156670.78091508188
-65.73117145892006,-65.73117145892006,14570.074,10,5914.292251966364,30,0.0,56369.972136412754,0.1,6.9440618,944000,31.163876,5914.292251966356,10,30,5914.292251966356,16847.032040622038,16847.032040622038,0.1,-96063.2,48782660.0,0.0,5914.292251966364,56369.972136412754
-28.531030849055966,-28.531030849055966,36692.977,10,46326.95797668047,31,0.0,101209.5313338611,0.4,26.594416,968000,23.326824,46326.957976680496,10,31,46326.957976680496,40651.93958803534,40651.93958803534,0.4,-58043.586,23553258.0,0.0,46326.95797668047,101209.5313338611
-25.211904730026514,-25.211904730026514,74034.945,10,51674.339861337896,32,0.0,201315.24113200954,0.5,-7.1393523,992000,25.250187,51674.33986133792,10,32,51674.33986133792,77176.02635004537,77176.02635004537,0.5,-96788.016,48683284.0,0.0,51674.339861337896,201315.24113200954
-55.55021435456633,-55.55021435456633,34769.254,10,49260.84248831875,33,0.0,184166.23123427504,0.4,-2.07832,1016000,29.664036,49260.842488318754,10,33,49260.842488318754,62212.164632175125,62212.164632175125,0.4,-115790.93,63595376.0,0.0,49260.84248831875,184166.23123427504
-31.85737246707631,-31.85737246707631,11566.257,10,47286.39524350088,34,0.0,125954.55193133205,0.7,-6.224748,1040000,32.226387,47286.39524350087,10,34,47286.39524350087,49937.16623430102,49937.16623430102,0.7,-125703.016,73016870.0,0.0,47286.39524350088,125954.55193133205
-77.58522444286024,-77.58522444286024,4293.514,10,42798.22542965375,35,0.0,152943.8875116581,0.6,-4.715426,1064000,38.169064,42798.22542965376,10,35,42798.22542965376,51970.84710200687,51970.84710200687,0.6,-129213.74,81455170.0,0.0,42798.22542965375,152943.8875116581
-39.68212163558874,-39.68212163558874,7298.465,10,22723.79661960467,36,0.0,90323.37570441586,0.2,3.8783016,1088000,39.389633,22723.79661960466,10,36,22723.79661960466,36006.640089239096,36006.640089239096,0.2,-126202.38,89319200.0,0.0,22723.79661960467,90323.37570441586
42704.745125543945,42704.745125543945,8058.253,10,109528.8149505872,37,0.0,148425.98507229204,0.9,-1.8152598,1112000,38.224697,109528.81495058723,10,37,109528.81495058723,32721.206423938245,32721.206423938245,0.9,-135787.33,98540800.0,0.0,109528.8149505872,148425.98507229204
-56.52994761347227,-56.52994761347227,7081.5337,10,84352.7821538732,38,0.0,152202.0212153016,0.6,5.201473,1136000,37.596138,84352.78215387315,10,38,84352.78215387315,50578.595240198236,50578.595240198236,0.6,-127852.1,96418510.0,0.0,84352.7821538732,152202.0212153016
-22.505750010223583,-22.505750010223583,4493.122,10,96758.29414035431,39,0.0,172014.86460387695,0.8,-8.833565,1160000,36.66419,96758.2941403543,10,39,96758.2941403543,64165.67250968464,64165.67250968464,0.8,-139081.6,117035680.0,0.0,96758.29414035431,172014.86460387695
6555.434734899584,6555.434734899584,4344.299,10,86287.70047142415,40,0.0,138575.05227145177,0.8,-5.27796,1184000,44.091835,86287.70047142413,10,40,86287.70047142413,47539.53903057666,47539.53903057666,0.8,-152293.4,130842184.0,0.0,86287.70047142415,138575.05227145177
-20.04046227781933,-20.04046227781933,3928.4685,10,107670.1904100125,41,0.0,195294.28592306204,1.0,-1.7330549,1208000,47.788048,107670.19041001254,10,41,107670.19041001254,77672.14664441193,77672.14664441193,1.0,-163917.38,144602850.0,0.0,107670.1904100125,195294.28592306204
-23.291124824612915,-23.291124824612915,3814.763,10,77041.4346797872,42,0.0,154582.8353563701,0.7,-1.282307,1232000,51.6588,77041.4346797872,10,42,77041.4346797872,60798.0780559367,60798.0780559367,0.7,-186782.28,173657890.0,0.0,77041.4346797872,154582.8353563701
-24.082919121853678,-24.082919121853678,4187.5205,10,68745.05898640401,43,0.0,164210.96708774447,0.7,-0.8319057,1256000,51.378933,68745.05898640401,10,43,68745.05898640401,71535.26579426779,71535.26579426779,0.7,-193824.98,176199580.0,0.0,68745.05898640401,164210.96708774447
-25.79482785834051,-25.79482785834051,4724.595,10,75354.31225070356,44,0.0,180168.06920505894,0.7,-1.7306542,1280000,54.763638,75354.31225070359,10,44,75354.31225070359,63761.04460284047,63761.04460284047,0.7,-205910.12,198002080.0,0.0,75354.31225070356,180168.06920505894
-69.88091471377604,-69.88091471377604,4575.871,10,73600.02179726868,45,0.0,150593.61639426122,0.6,-3.341458,1304000,56.9685,73600.02179726867,10,45,73600.02179726867,60736.393269740016,60736.393269740016,0.6,-212892.28,208213950.0,0.0,73600.02179726868,150593.61639426122
-25.096047915627135,-25.096047915627135,4272.795,10,49703.724783538004,46,0.0,135644.4455497146,0.4,-2.1389718,1328000,61.20543,49703.724783538004,10,46,49703.724783538004,53213.1399449982,53213.1399449982,0.4,-233332.95,250916140.0,0.0,49703.724783538004,135644.4455497146
-45.95800020405462,-45.95800020405462,4076.1702,10,45039.99473728532,47,0.0,114090.52423733116,0.6,-2.8937523,1352000,64.2578,45039.99473728532,10,47,45039.99473728532,51544.235235114356,51544.235235114356,0.6,-241817.69,259267650.0,0.0,45039.99473728532,114090.52423733116
-22.6557493266147,-22.6557493266147,4919.785,10,48372.21336852988,48,0.0,137567.06494617663,0.4,0.65132666,1376000,64.72666,48372.2133685299,10,48,48372.2133685299,56849.66754077924,56849.66754077924,0.4,-243290.4,249001680.0,0.0,48372.21336852988,137567.06494617663
-31.9633843814117,-31.9633843814117,4192.5,10,81959.75861467962,49,0.0,151690.25003201913,0.7,-5.3224735,1400000,66.51329,81959.75861467965,10,49,81959.75861467965,52613.67064426476,52613.67064426476,0.7,-251961.03,267704980.0,0.0,81959.75861467962,151690.25003201913
