MetaTest/Average/NumTrajs,MetaTest/coffee-push-v1/MinReturn,MetaTest/coffee-push-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/coffee-push-v1/TerminationRate,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/coffee-push-v1/StdReturn,MetaTest/coffee-push-v1/NumTrajs,MetaTest/coffee-push-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/coffee-push-v1/AverageReturn,MetaTest/Average/MinReturn,MetaTest/coffee-push-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/coffee-push-v1/Iteration,MetaTest/Average/StdReturn
10,-28.851274353749517,-26.53204880759888,-22.76047171774774,0.0,0.0,224000,-26.532048807598887,1.9104782258226574,10,-22.76047171774774,0,0.0,-26.532048807598887,-28.851274353749517,0.0,-26.53204880759888,0,1.9104782258226574
10,-92.2845374625394,224.33735176296227,1799.510718959284,0.0,0.0,248000,224.33735176296233,605.9283409753237,10,1799.510718959284,1,0.0,224.33735176296233,-92.2845374625394,0.0,224.33735176296227,1,605.9283409753237
10,-81.25207982799083,-57.72517223959485,-34.93520059853956,0.0,0.0,272000,-57.725172239594826,17.433739087114237,10,-34.93520059853956,2,0.0,-57.725172239594826,-81.25207982799083,0.0,-57.72517223959485,2,17.433739087114237
10,-107.64715547611702,-91.45039137258762,-78.46216888362603,0.0,0.0,296000,-91.45039137258762,7.955240089964764,10,-78.46216888362603,3,0.0,-91.45039137258762,-107.64715547611702,0.0,-91.45039137258762,3,7.955240089964764
10,-113.17293756341802,-24.83504644627788,193.77680750325382,0.0,0.0,320000,-24.835046446277868,78.55471514268443,10,193.77680750325382,4,0.0,-24.835046446277868,-113.17293756341802,0.0,-24.83504644627788,4,78.55471514268443
10,-53.86325729879781,-15.589784187794587,184.0086262026552,0.0,0.0,344000,-15.589784187794596,67.26844032370563,10,184.0086262026552,5,0.0,-15.589784187794596,-53.86325729879781,0.0,-15.589784187794587,5,67.26844032370563
10,-132.5954422138285,-81.13929784260559,35.24723200216422,0.0,0.0,368000,-81.13929784260561,47.65443318179112,10,35.24723200216422,6,0.0,-81.13929784260561,-132.5954422138285,0.0,-81.13929784260559,6,47.65443318179112
10,-59.026122970520944,-49.475839691549425,-38.1581442143665,0.0,0.0,392000,-49.475839691549425,6.311260995292597,10,-38.1581442143665,7,0.0,-49.475839691549425,-59.026122970520944,0.0,-49.475839691549425,7,6.311260995292597
10,-75.8624459274714,-32.677166301349345,147.7340961668253,0.0,0.0,416000,-32.67716630134933,64.73063084856017,10,147.7340961668253,8,0.0,-32.67716630134933,-75.8624459274714,0.0,-32.677166301349345,8,64.73063084856017
10,-107.99368959250656,-95.02026427578724,-84.4165636469145,0.0,0.0,440000,-95.02026427578723,6.694376785355734,10,-84.4165636469145,9,0.0,-95.02026427578723,-107.99368959250656,0.0,-95.02026427578724,9,6.694376785355734
10,-101.20529826290743,-84.51357157933566,-66.72092664591435,0.0,0.0,464000,-84.51357157933566,10.213187592012632,10,-66.72092664591435,10,0.0,-84.51357157933566,-101.20529826290743,0.0,-84.51357157933566,10,10.213187592012632
10,-70.96901014759271,-63.36403694168017,-54.19058059690684,0.0,0.0,488000,-63.36403694168016,4.844440268902876,10,-54.19058059690684,11,0.0,-63.36403694168016,-70.96901014759271,0.0,-63.36403694168017,11,4.844440268902876
10,-106.74404863917205,-81.10387184016415,-52.85358051708288,0.0,0.0,512000,-81.10387184016416,15.034377974450116,10,-52.85358051708288,12,0.0,-81.10387184016416,-106.74404863917205,0.0,-81.10387184016415,12,15.034377974450116
10,-91.41982679042411,-73.87227333636856,-48.07443227175332,0.0,0.0,536000,-73.87227333636856,12.271644090421203,10,-48.07443227175332,13,0.0,-73.87227333636856,-91.41982679042411,0.0,-73.87227333636856,13,12.271644090421203
10,-87.49157239598613,14.996479384694732,319.9478281963793,0.0,0.0,560000,14.996479384694698,118.93765648208726,10,319.9478281963793,14,0.0,14.996479384694698,-87.49157239598613,0.0,14.996479384694732,14,118.93765648208726
10,-92.29613649151653,47.25039955558001,825.9235086745774,0.0,0.0,584000,47.25039955558001,262.56147485665,10,825.9235086745774,15,0.0,47.25039955558001,-92.29613649151653,0.0,47.25039955558001,15,262.56147485665
10,-79.42593532538191,7.0233062258284225,437.8936348198049,0.0,0.0,608000,7.023306225828433,146.12371522367548,10,437.8936348198049,16,0.0,7.023306225828433,-79.42593532538191,0.0,7.0233062258284225,16,146.12371522367548
10,-46.17277863548043,1301.0001874175055,9229.093026151408,0.0,0.0,632000,1301.0001874175052,2900.2994024487384,10,9229.093026151408,17,0.0,1301.0001874175052,-46.17277863548043,0.0,1301.0001874175055,17,2900.2994024487384
10,-29.028440761915824,2236.0598365175674,16407.962964089296,0.0,0.0,656000,2236.0598365175674,4835.840655689445,10,16407.962964089296,18,0.0,2236.0598365175674,-29.028440761915824,0.0,2236.0598365175674,18,4835.840655689445
10,-88.21113197809723,280.13297955340965,2712.9576287139416,0.0,0.0,680000,280.1329795534098,813.8298355266782,10,2712.9576287139416,19,0.0,280.1329795534098,-88.21113197809723,0.0,280.13297955340965,19,813.8298355266782
10,-92.37380671584896,57.46533624017941,549.2086619621914,0.0,0.0,704000,57.46533624017944,214.5931156239239,10,549.2086619621914,20,0.0,57.46533624017944,-92.37380671584896,0.0,57.46533624017941,20,214.5931156239239
10,-28.518188803344767,949.6328795807851,9251.166260078062,0.0,0.0,728000,949.6328795807852,2769.858834906275,10,9251.166260078062,21,0.0,949.6328795807852,-28.518188803344767,0.0,949.6328795807851,21,2769.858834906275
10,-75.92098958593795,560.0856230897823,5448.538388121415,0.0,0.0,752000,560.0856230897825,1637.8767634902258,10,5448.538388121415,22,0.0,560.0856230897825,-75.92098958593795,0.0,560.0856230897823,22,1637.8767634902258
10,-37.20866398130601,17011.087188874,160300.95711584465,0.0,0.1,776000,17011.087188874015,47827.198946449775,10,160300.95711584465,23,0.0,17011.087188874015,-37.20866398130601,0.1,17011.087188874,23,47827.198946449775
10,-34.460379645403904,-24.817393901288526,-16.977317089572544,0.0,0.0,800000,-24.817393901288522,4.977170324304158,10,-16.977317089572544,24,0.0,-24.817393901288522,-34.460379645403904,0.0,-24.817393901288526,24,4.977170324304158
10,-46.02291320279199,158.33736419308903,1691.74427283873,0.0,0.0,824000,158.337364193089,511.7419304815623,10,1691.74427283873,25,0.0,158.337364193089,-46.02291320279199,0.0,158.33736419308903,25,511.7419304815623
10,-47.9456977836631,245.43909458192684,1102.5853303504675,0.0,0.0,848000,245.43909458192675,406.18938189247166,10,1102.5853303504675,26,0.0,245.43909458192675,-47.9456977836631,0.0,245.43909458192684,26,406.18938189247166
10,-46.21209055244433,312.85282045483723,1668.0305447672033,0.0,0.0,872000,312.85282045483723,659.9850785380686,10,1668.0305447672033,27,0.0,312.85282045483723,-46.21209055244433,0.0,312.85282045483723,27,659.9850785380686
10,-144.40258372592723,-94.02991725874077,-47.897631347247675,0.0,0.0,896000,-94.02991725874077,26.607824082628227,10,-47.897631347247675,28,0.0,-94.02991725874077,-144.40258372592723,0.0,-94.02991725874077,28,26.607824082628227
10,-96.57845998785281,-64.28812774179232,-19.85821249237258,0.0,0.0,920000,-64.28812774179235,25.193522017172818,10,-19.85821249237258,29,0.0,-64.28812774179235,-96.57845998785281,0.0,-64.28812774179232,29,25.193522017172818
10,-138.8223823878633,-123.38033767989982,-110.81276820412351,0.0,0.0,944000,-123.38033767989987,8.704605603290512,10,-110.81276820412351,30,0.0,-123.38033767989987,-138.8223823878633,0.0,-123.38033767989982,30,8.704605603290512
10,-53.62894074276862,110.91298850938804,1513.1980071448745,0.0,0.0,968000,110.91298850938804,467.46830100430276,10,1513.1980071448745,31,0.0,110.91298850938804,-53.62894074276862,0.0,110.91298850938804,31,467.46830100430276
10,-120.51777454083572,-101.75569705369183,-70.15970455421774,0.0,0.0,992000,-101.75569705369183,13.43370433249098,10,-70.15970455421774,32,0.0,-101.75569705369183,-120.51777454083572,0.0,-101.75569705369183,32,13.43370433249098
10,-111.75753770294907,13025.07259543182,130587.57719053628,0.0,0.1,1016000,13025.072595431819,39187.67688352746,10,130587.57719053628,33,0.0,13025.072595431819,-111.75753770294907,0.1,13025.07259543182,33,39187.67688352746
10,-84.42664978325871,-9.193252938713824,299.16895823642267,0.0,0.0,1040000,-9.193252938713862,105.98171034709074,10,299.16895823642267,34,0.0,-9.193252938713862,-84.42664978325871,0.0,-9.193252938713824,34,105.98171034709074
10,-139.41442385222925,-117.81523437260032,-91.54972903971121,0.0,0.0,1064000,-117.81523437260027,16.607707348489825,10,-91.54972903971121,35,0.0,-117.81523437260027,-139.41442385222925,0.0,-117.81523437260032,35,16.607707348489825
10,-93.99912978514148,83.57212253445553,369.19993830401125,0.0,0.0,1088000,83.57212253445552,172.5632289502169,10,369.19993830401125,36,0.0,83.57212253445552,-93.99912978514148,0.0,83.57212253445553,36,172.5632289502169
10,-125.60107493515544,1361.3434049515806,8805.140417580586,0.0,0.0,1112000,1361.3434049515806,2857.4978640595696,10,8805.140417580586,37,0.0,1361.3434049515806,-125.60107493515544,0.0,1361.3434049515806,37,2857.4978640595696
10,-25.148464172441688,11160.458372935573,53845.68584407008,0.0,0.0,1136000,11160.458372935573,17804.54033214214,10,53845.68584407008,38,0.0,11160.458372935573,-25.148464172441688,0.0,11160.458372935573,38,17804.54033214214
10,-43.080868381103755,540.9415897340648,5405.161528832298,0.0,0.0,1160000,540.941589734065,1623.2560983434512,10,5405.161528832298,39,0.0,540.941589734065,-43.080868381103755,0.0,540.9415897340648,39,1623.2560983434512
10,-136.4734072860382,-84.25177284824436,-28.622547635709747,0.0,0.0,1184000,-84.25177284824437,30.10230664734041,10,-28.622547635709747,40,0.0,-84.25177284824437,-136.4734072860382,0.0,-84.25177284824436,40,30.10230664734041
10,-111.35403437456698,-99.00084937970644,-78.86652690876673,0.0,0.0,1208000,-99.00084937970641,9.826775570735581,10,-78.86652690876673,41,0.0,-99.00084937970641,-111.35403437456698,0.0,-99.00084937970644,41,9.826775570735581
10,-130.92207681554103,-7.570744063769405,351.1774323278092,0.0,0.0,1232000,-7.570744063769361,172.76831350394454,10,351.1774323278092,42,0.0,-7.570744063769361,-130.92207681554103,0.0,-7.570744063769405,42,172.76831350394454
10,-139.78576558018216,33181.75811675961,140259.57498416258,0.0,0.3,1256000,33181.75811675962,48823.80126349776,10,140259.57498416258,43,0.0,33181.75811675962,-139.78576558018216,0.3,33181.75811675961,43,48823.80126349776
10,-100.68258828812725,164.6578180408048,1153.4127035718861,0.0,0.0,1280000,164.6578180408048,461.0319437314259,10,1153.4127035718861,44,0.0,164.6578180408048,-100.68258828812725,0.0,164.6578180408048,44,461.0319437314259
10,-50.58883966821894,408.39017018467405,3925.1513918784526,0.0,0.0,1304000,408.39017018467416,1176.7033838203631,10,3925.1513918784526,45,0.0,408.39017018467416,-50.58883966821894,0.0,408.39017018467405,45,1176.7033838203631
10,-65.26312850467815,179.98638298227146,1500.0229996557368,0.0,0.0,1328000,179.98638298227132,486.4457940740784,10,1500.0229996557368,46,0.0,179.98638298227132,-65.26312850467815,0.0,179.98638298227146,46,486.4457940740784
10,-107.47292938388225,-69.18752401577345,-27.34782059818729,0.0,0.0,1352000,-69.18752401577345,21.12123624663874,10,-27.34782059818729,47,0.0,-69.18752401577345,-107.47292938388225,0.0,-69.18752401577345,47,21.12123624663874
10,-89.69203863539389,-42.64612078909167,159.48411854808035,0.0,0.0,1376000,-42.64612078909168,71.19794777380508,10,159.48411854808035,48,0.0,-42.64612078909168,-89.69203863539389,0.0,-42.64612078909167,48,71.19794777380508
10,-109.23868716221679,14100.968126111407,133399.65821397808,0.0,0.1,1400000,14100.968126111396,39842.58210655049,10,133399.65821397808,49,0.0,14100.968126111396,-109.23868716221679,0.1,14100.968126111407,49,39842.58210655049
10,-131.14888368447643,1209.7605467814078,11461.691973642346,0.0,0.1,1424000,1209.7605467814085,3434.2999960628335,10,11461.691973642346,50,0.0,1209.7605467814085,-131.14888368447643,0.1,1209.7605467814078,50,3434.2999960628335
10,-78.23354564169796,76.6501351385975,1174.6624690035903,0.0,0.1,1448000,76.65013513859753,366.43514536551186,10,1174.6624690035903,51,0.0,76.65013513859753,-78.23354564169796,0.1,76.6501351385975,51,366.43514536551186
10,-79.38704669969584,14372.564965286661,124787.28714250519,0.0,0.3,1472000,14372.564965286661,36962.84565618354,10,124787.28714250519,52,0.0,14372.564965286661,-79.38704669969584,0.3,14372.564965286661,52,36962.84565618354
10,-78.84849018450235,16278.65154751638,151452.03923629632,0.0,0.4,1496000,16278.651547516385,45107.601201353806,10,151452.03923629632,53,0.0,16278.651547516385,-78.84849018450235,0.4,16278.65154751638,53,45107.601201353806
10,-94.23268536672693,1.9558049358709808,289.18698290711797,0.0,0.0,1520000,1.9558049358709866,129.89527627928788,10,289.18698290711797,54,0.0,1.9558049358709866,-94.23268536672693,0.0,1.9558049358709808,54,129.89527627928788
10,-89.00853858622352,2316.8105629018946,12378.813425349517,0.0,0.2,1544000,2316.8105629018937,4298.315507121595,10,12378.813425349517,55,0.0,2316.8105629018937,-89.00853858622352,0.2,2316.8105629018946,55,4298.315507121595
10,-82.15934502871146,40843.33527401264,162724.52215583588,0.0,0.3,1568000,40843.33527401268,64650.7244996906,10,162724.52215583588,56,0.0,40843.33527401268,-82.15934502871146,0.3,40843.33527401264,56,64650.7244996906
10,-80.20137672534548,4102.45927572816,16719.361065461253,0.0,0.4,1592000,4102.459275728158,5634.487225759348,10,16719.361065461253,57,0.0,4102.459275728158,-80.20137672534548,0.4,4102.45927572816,57,5634.487225759348
10,-76.08248656522613,3034.018244733748,13488.649972271161,0.0,0.3,1616000,3034.018244733749,5083.5733053675485,10,13488.649972271161,58,0.0,3034.018244733749,-76.08248656522613,0.3,3034.018244733748,58,5083.5733053675485
10,-88.79224996839869,4486.957566681581,32943.1591786435,0.0,0.2,1640000,4486.95756668158,9769.824664862936,10,32943.1591786435,59,0.0,4486.95756668158,-88.79224996839869,0.2,4486.957566681581,59,9769.824664862936
10,-74.64771688781966,3150.9206138138857,30504.103045437136,0.0,0.1,1664000,3150.9206138138857,9124.018203903865,10,30504.103045437136,60,0.0,3150.9206138138857,-74.64771688781966,0.1,3150.9206138138857,60,9124.018203903865
10,-95.94422395862725,14788.234851452977,70351.91942157882,0.0,0.3,1688000,14788.234851452979,25560.902661925582,10,70351.91942157882,61,0.0,14788.234851452979,-95.94422395862725,0.3,14788.234851452977,61,25560.902661925582
10,-71.76625704778868,2084.647747208684,18141.022285175666,0.0,0.3,1712000,2084.6477472086863,5402.14071789233,10,18141.022285175666,62,0.0,2084.6477472086863,-71.76625704778868,0.3,2084.647747208684,62,5402.14071789233
10,-75.84284316211661,8722.067420356056,82521.50644658759,0.0,0.4,1736000,8722.067420356056,24643.63449493618,10,82521.50644658759,63,0.0,8722.067420356056,-75.84284316211661,0.4,8722.067420356056,63,24643.63449493618
10,-61.99884376498915,16951.246675852708,89918.09552621316,0.0,0.3,1760000,16951.246675852708,29927.7889986945,10,89918.09552621316,64,0.0,16951.246675852708,-61.99884376498915,0.3,16951.246675852708,64,29927.7889986945
10,-58.92963603927205,1251.859558893918,6898.553640736367,0.0,0.0,1784000,1251.8595588939177,2191.809368935449,10,6898.553640736367,65,0.0,1251.8595588939177,-58.92963603927205,0.0,1251.859558893918,65,2191.809368935449
10,-72.09132167643864,808.3692726858502,5732.395340433277,0.0,0.1,1808000,808.3692726858499,1704.465680863528,10,5732.395340433277,66,0.0,808.3692726858499,-72.09132167643864,0.1,808.3692726858502,66,1704.465680863528
10,-54.2131252514599,2694.9066109391124,15262.292142717733,0.0,0.3,1832000,2694.9066109391124,4851.104631342699,10,15262.292142717733,67,0.0,2694.9066109391124,-54.2131252514599,0.3,2694.9066109391124,67,4851.104631342699
10,-71.56126513085498,1275.617566125975,8592.085904599075,0.0,0.1,1856000,1275.6175661259754,2682.316833738631,10,8592.085904599075,68,0.0,1275.6175661259754,-71.56126513085498,0.1,1275.617566125975,68,2682.316833738631
10,-94.65098854746073,8788.510130953196,65118.924893969204,0.0,0.3,1880000,8788.510130953196,19464.886832885793,10,65118.924893969204,69,0.0,8788.510130953196,-94.65098854746073,0.3,8788.510130953196,69,19464.886832885793
10,-72.71772428293026,15091.148889619197,143462.08949447767,0.0,0.1,1904000,15091.148889619208,42826.14754599066,10,143462.08949447767,70,0.0,15091.148889619208,-72.71772428293026,0.1,15091.148889619197,70,42826.14754599066
10,-90.8155508112083,2376.323927812003,17501.606701563964,0.0,0.1,1928000,2376.323927812003,5377.0738308972595,10,17501.606701563964,71,0.0,2376.323927812003,-90.8155508112083,0.1,2376.323927812003,71,5377.0738308972595
10,-83.19560597586988,45515.84129240671,242270.00598473698,0.0,0.3,1952000,45515.841292406694,84253.75516430417,10,242270.00598473698,72,0.0,45515.841292406694,-83.19560597586988,0.3,45515.84129240671,72,84253.75516430417
10,-85.5116740140327,7967.388046280619,58337.1426681481,0.0,0.1,1976000,7967.388046280619,17878.441944806775,10,58337.1426681481,73,0.0,7967.388046280619,-85.5116740140327,0.1,7967.388046280619,73,17878.441944806775
10,-100.02597512499874,23534.47870291642,124965.04868280457,0.0,0.2,2000000,23534.47870291642,46572.25822160357,10,124965.04868280457,74,0.0,23534.47870291642,-100.02597512499874,0.2,23534.47870291642,74,46572.25822160357
10,-87.10820822067862,1459.3794685656915,8447.009813099565,0.0,0.0,2024000,1459.3794685656903,2734.5841127576205,10,8447.009813099565,75,0.0,1459.3794685656903,-87.10820822067862,0.0,1459.3794685656915,75,2734.5841127576205
10,-97.0153546265007,28697.737527871697,274580.62031858246,0.0,0.3,2048000,28697.73752787169,82007.02584617522,10,274580.62031858246,76,0.0,28697.73752787169,-97.0153546265007,0.3,28697.737527871697,76,82007.02584617522
10,-96.97756316429837,16824.43098227401,73733.68459479617,0.0,0.3,2072000,16824.430982274003,26756.6977856604,10,73733.68459479617,77,0.0,16824.430982274003,-96.97756316429837,0.3,16824.43098227401,77,26756.6977856604
10,-107.07344873088154,22024.869844720484,151489.85072778974,0.0,0.2,2096000,22024.869844720484,45316.81972064303,10,151489.85072778974,78,0.0,22024.869844720484,-107.07344873088154,0.2,22024.869844720484,78,45316.81972064303
