MetaTest/Average/StdReturn,MetaTest/faucet-close-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/faucet-close-v1/Iteration,MetaTest/faucet-close-v1/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/faucet-close-v1/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/faucet-close-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/faucet-close-v1/AverageReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/Average/MaxReturn,MetaTest/faucet-close-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/faucet-close-v1/NumTrajs,MetaTest/faucet-close-v1/TerminationRate
5333.581022472234,2773.1133270836685,-25.365411767826828,0,5333.581022472234,-203.44597,15521.546282066509,3.9263022,2773.113327083669,-25.365411767826828,0.0,28021.836,0,8.026345,2773.113327083669,224000,0.0,2773.1133270836685,nan,15521.546282066509,0.0,10,10,0.0
97.286994791399,500.0778596349704,280.8395364479729,1,97.286994791399,-1365.6532,596.0094937260355,-1.662448,500.0778596349704,280.8395364479729,0.0,67675.1,1,13.3929,500.0778596349704,248000,0.0,500.0778596349704,nan,596.0094937260355,0.0,10,10,0.0
14164.375636850633,8411.420732369083,-64.03810724994678,2,14164.375636850633,-6227.224,44291.722688429436,-9.426687,8411.42073236909,-64.03810724994678,0.0,297815.28,2,49.604214,8411.42073236909,272000,0.0,8411.420732369083,nan,44291.722688429436,0.0,10,10,0.0
22061.845498622446,9752.703427780467,-28.63311708135658,3,22061.845498622446,-11140.662,72591.60837037004,-12.802113,9752.703427780465,-28.63311708135658,0.1,383555.2,3,138.34648,9752.703427780465,296000,0.0,9752.703427780467,nan,72591.60837037004,0.1,10,10,0.0
2429.8399685044324,18496.229505319403,12353.250886566462,4,2429.8399685044324,-16392.42,21036.016437086677,-14.514259,18496.2295053194,12353.250886566462,0.0,557505.4,4,122.74141,18496.2295053194,320000,0.0,18496.229505319403,nan,21036.016437086677,0.0,10,10,0.0
279.23570619460133,118.88270829403632,-50.05297835512838,5,279.23570619460133,-12908.929,730.6204275870084,-22.628578,118.88270829403636,-50.05297835512838,0.0,1145520.6,5,333.87662,118.88270829403636,344000,0.0,118.88270829403632,nan,730.6204275870084,0.0,10,10,0.0
7052.811036243264,4072.5909985280923,-87.24554337663987,6,7052.811036243264,-16103.734,20550.079363382458,-22.8655,4072.5909985280937,-87.24554337663987,0.0,602418.44,6,211.32724,4072.5909985280937,368000,0.0,4072.5909985280923,nan,20550.079363382458,0.0,10,10,0.0
9955.617017737115,8921.477915900277,-70.45046733416952,7,9955.617017737115,-18881.664,23885.182521997634,-22.866203,8921.477915900277,-70.45046733416952,0.0,861009.1,7,230.34225,8921.477915900277,392000,0.0,8921.477915900277,nan,23885.182521997634,0.0,10,10,0.0
29671.63707973367,16992.00799769772,-84.71249823033534,8,29671.63707973367,-22041.04,87503.65739918678,-22.529001,16992.007997697714,-84.71249823033534,0.2,1271095.8,8,173.48476,16992.007997697714,416000,0.0,16992.00799769772,nan,87503.65739918678,0.2,10,10,0.0
15070.160499338863,10586.11627915502,-67.88367071725236,9,15070.160499338863,-27833.688,45397.182170120446,-21.480171,10586.116279155023,-67.88367071725236,0.1,2117141.8,9,127.652275,10586.116279155023,440000,0.0,10586.11627915502,nan,45397.182170120446,0.1,10,10,0.0
44800.6732055151,18901.756895965962,-70.03731701046428,10,44800.6732055151,-32383.535,152260.063628712,-21.37402,18901.756895965947,-70.03731701046428,0.1,2947351.8,10,144.0908,18901.756895965947,464000,0.0,18901.756895965962,nan,152260.063628712,0.1,10,10,0.0
8666.879829772504,10235.952006465235,-92.28349491720878,11,8666.879829772504,-35057.684,19925.163788597918,-21.131481,10235.952006465235,-92.28349491720878,0.0,3736335.5,11,99.68259,10235.952006465235,488000,0.0,10235.952006465235,nan,19925.163788597918,0.0,10,10,0.0
12283.375979914359,13013.696460353425,-100.6317985270803,12,12283.375979914359,-38902.496,37469.98226115415,-20.299696,13013.696460353425,-100.6317985270803,0.0,4821466.0,12,86.76184,13013.696460353425,512000,0.0,13013.696460353425,nan,37469.98226115415,0.0,10,10,0.0
9840.014839748854,14537.477735776742,-39.9548144601884,13,9840.014839748854,-37039.16,26495.215541520287,-19.32616,14537.47773577674,-39.9548144601884,0.0,6230963.0,13,133.55768,14537.47773577674,536000,0.0,14537.477735776742,nan,26495.215541520287,0.0,10,10,0.0
10104.15232356022,15627.754345876147,-113.19818744398157,14,10104.15232356022,-40601.258,30123.64323502857,-18.101376,15627.754345876147,-113.19818744398157,0.2,6779963.5,14,105.431885,15627.754345876147,560000,0.0,15627.754345876147,nan,30123.64323502857,0.2,10,10,0.0
13296.211079975601,10220.98631162669,-94.42692748726172,15,13296.211079975601,-40897.195,41698.794388690876,-18.281403,10220.986311626693,-94.42692748726172,0.2,7931457.0,15,1466.5857,10220.986311626693,584000,0.0,10220.98631162669,nan,41698.794388690876,0.2,10,10,0.0
429.0576277937232,204.41212029564724,-82.75935265827958,16,429.0576277937232,-41871.574,992.7210186631225,-17.390982,204.41212029564716,-82.75935265827958,0.0,10660891.0,16,1175.9038,204.41212029564716,608000,0.0,204.41212029564724,nan,992.7210186631225,0.0,10,10,0.0
