MetaTest/Average/MaxReturn,sweep-v1/MinReturn,MetaTest/sweep-v1/Iteration,Average/MinReturn,MetaTest/sweep-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,sweep-v1/AverageReturn,MetaTest/sweep-v1/AverageDiscountedReturn,Average/Iteration,sweep-v1/TerminationRate,MetaTest/sweep-v1/MinReturn,sweep-v1/MaxReturn,Average/AverageReturn,Average/StdReturn,MetaTest/sweep-v1/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/sweep-v1/SuccessRate,TotalEnvSteps,MetaTest/Average/AverageReturn,sweep-v1/Iteration,policy/KLBefore,Average/NumEpisodes,policy/dLoss,policy/LossAfter,MetaTest/Average/Iteration,Average/MaxReturn,sweep-v1/AverageDiscountedReturn,Average/AverageDiscountedReturn,policy/LossBefore,sweep-v1/NumEpisodes,MetaTest/sweep-v1/AverageReturn,Average/TerminationRate,sweep-v1/StdReturn,sweep-v1/SuccessRate,Average/SuccessRate,MetaTest/sweep-v1/NumEpisodes,MetaTest/sweep-v1/MaxReturn,LinearFeatureBaseline/ExplainedVariance,policy/Entropy,policy/KL,MetaTest/Average/AverageDiscountedReturn
-50.72537715849694,-85.12664362149593,0,-85.12664362149593,0.0,-76.85909087651248,0.0,8.256382273850273,-61.03502496600692,-62.0973575854837,0,0.0,-76.85909087651248,-36.77746193010618,-61.03502496600692,11.63435943590539,8.256382273850273,10,0.0,0.0,20000,-62.0973575854837,0,0.0,100,0.03323214,-0.04395437,0,-36.77746193010618,-23.09933277527516,-23.09933277527516,-0.010722227,100,-62.0973575854837,0.0,11.63435943590539,0.0,0.0,10,-50.72537715849694,0.4613158516534086,5.686895,0.010191509,-62.0973575854837
,-80.91800510149682,,-80.91800510149682,,,,,-45.791380968757586,,1,0.0,,4.871531724366902,-45.791380968757586,13.027843027628776,,,,,40000,,1,0.0,100,0.027046993,-0.037744608,,4.871531724366902,-18.26450452452927,-18.26450452452927,-0.0106976135,100,,0.0,13.027843027628776,0.0,0.0,,,0.5114322480848825,5.6805215,0.021942215,
,-53.070087494829224,,-53.070087494829224,,,,,-5.695723882671415,,2,0.0,,630.9332461596535,-5.695723882671415,90.2022980587211,,,,,60000,,2,0.0,100,0.10722968,-0.04484336,,630.9332461596535,-3.750788534326769,-3.750788534326769,0.062386315,100,,0.0,90.2022980587211,0.0,0.0,,,0.14840047700647196,5.6563745,0.009797407,
,-48.13264003768175,,-48.13264003768175,,,,,5.474399635666702,,3,0.0,,1200.683142837773,5.474399635666702,139.90151071607616,,,,,80000,,3,0.0,100,0.1795269,-0.0481041,,1200.683142837773,-3.870504487491,-3.870504487491,0.1314228,100,,0.0,139.90151071607616,0.0,0.0,,,0.12302047535682092,5.6364436,0.010792957,
,-51.049010935048166,,-51.049010935048166,,,,,23.806745903015095,,4,0.0,,1204.6624583445382,23.806745903015095,185.96953827511138,,,,,100000,,4,0.0,100,0.24155596,-0.15941435,,1204.6624583445382,5.399517741243164,5.399517741243164,0.0821416,100,,0.0,185.96953827511138,0.0,0.0,,,0.14412108650673172,5.6164117,0.0071789795,
,-62.986528174854804,,-62.986528174854804,,,,,33.899444384910154,,5,0.0,,1973.0612287768197,33.899444384910154,261.57865183846087,,,,,120000,,5,0.0,100,0.32662323,-0.36936796,,1973.0612287768197,7.011228565574036,7.011228565574036,-0.042744726,100,,0.0,261.57865183846087,0.0,0.0,,,0.13548134124370703,5.5860114,0.009827654,
,-39.21899314550365,,-39.21899314550365,,,,,114.27083473090735,,6,0.0,,3280.697878957034,114.27083473090735,480.30377034120727,,,,,140000,,6,0.0,100,0.6802443,-0.6637247,,3280.697878957034,32.66981277119959,32.66981277119959,0.01651958,100,,0.0,480.30377034120727,0.0,0.0,,,0.18465653618142885,5.547582,0.006936028,
,-53.644111350126074,,-53.644111350126074,,,,,74.04148922297308,,7,0.0,,2855.7684449375965,74.04148922297308,363.4609740966889,,,,,160000,,7,0.0,100,0.36127278,0.1163345,,2855.7684449375965,24.484917421106758,24.484917421106758,0.47760728,100,,0.0,363.4609740966889,0.0,0.0,,,0.20016663935796775,5.5262704,0.0077578337,
,-40.09850725860345,,-40.09850725860345,,,,,173.88067336842713,,8,0.0,,5671.801261989892,173.88067336842713,692.0729428281094,,,,,180000,,8,0.0,100,0.76964396,-0.4735086,,5671.801261989892,55.500269772616285,55.500269772616285,0.29613537,100,,0.0,692.0729428281094,0.0,0.0,,,0.1608610388294206,5.503878,0.007066584,
,-36.10947078001376,,-36.10947078001376,,,,,158.41288500346226,,9,0.0,,5397.460893842258,158.41288500346226,714.305833637983,,,,,200000,,9,0.0,100,0.8648879,-0.687582,,5397.460893842258,48.811291369766614,48.811291369766614,0.17730586,100,,0.0,714.305833637983,0.0,0.0,,,0.18715283924224102,5.482061,0.013408976,
