TotalEnvSteps,MetaTest/pick-place-wall-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/pick-place-wall-v1/SuccessRate,MetaTest/pick-place-wall-v1/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTrain/Average/ContrastiveLoss,MetaTest/pick-place-wall-v1/Iteration,MetaTest/pick-place-wall-v1/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/pick-place-wall-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/pick-place-wall-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/pick-place-wall-v1/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/pick-place-wall-v1/AverageReturn
508000,0.0,0.0,-76.994197019591,0.0,-76.99419701959103,0.05656912,9.88935,33,90.3379990787672,-0.4929353,192.15417343382174,-76.99419701959103,10,-126.3927160386329,0.0,3911.9678,-126.3927160386329,33,-124.020294,90.3379990787672,10,192.15417343382174,-76.994197019591
520000,0.0,0.0,-42.28828264129073,0.0,-42.28828264129071,0.08127785,9.363108,34,172.95716264211916,-0.7769277,473.2524233663791,-42.28828264129071,10,-113.45445112801029,0.0,6827.684,-113.45445112801029,34,-359.59998,172.95716264211916,10,473.2524233663791,-42.28828264129073
532000,0.0,0.0,19.91259780059227,0.0,19.91259780059228,0.11489762,10.182818,35,153.76986431491923,-1.0158445,455.22643126061945,19.91259780059228,10,-97.20010216528996,0.0,11883.64,-97.20010216528996,35,-708.34827,153.76986431491923,10,455.22643126061945,19.91259780059227
544000,0.0,0.0,-71.65110109691457,0.0,-71.65110109691457,0.16106524,18.087719,36,40.215421767200006,-1.4863039,40.02170432186292,-71.65110109691457,10,-94.17955689894426,0.0,26585.074,-94.17955689894426,36,-1455.7228,40.215421767200006,10,40.02170432186292,-71.65110109691457
556000,0.0,0.0,322.6381046883504,0.0,322.6381046883506,0.22953738,39.710873,37,460.8867471633093,-2.4605649,1439.190045715032,322.6381046883506,10,-51.2476336548457,0.0,67825.33,-51.2476336548457,37,-2797.3486,460.8867471633093,10,1439.190045715032,322.6381046883504
568000,0.0,0.0,2275.661563059498,0.0,2275.661563059498,0.33366352,68.40222,38,4591.500585527153,-3.8350303,14363.638556218026,2275.661563059498,10,-9.918721577435178,0.0,120534.7,-9.918721577435178,38,-4832.5537,4591.500585527153,10,14363.638556218026,2275.661563059498
580000,0.0,0.0,362.4696104098481,0.1,362.4696104098482,0.46891612,25.935055,39,590.1470519065577,-5.349147,1988.2762557765784,362.4696104098482,10,-93.66431101531421,0.1,166999.48,-93.66431101531421,39,-7259.3906,590.1470519065577,10,1988.2762557765784,362.4696104098481
592000,0.0,0.0,-71.42114050239454,0.0,-71.42114050239454,0.6623157,46.63639,40,88.1843323851654,-7.2826133,192.99175663896912,-71.42114050239454,10,-105.18165285500125,0.0,198481.53,-105.18165285500125,40,-8890.874,88.1843323851654,10,192.99175663896912,-71.42114050239454
604000,0.0,0.0,-112.09675418618951,0.0,-112.09675418618951,0.91705006,40.07114,41,5.246022907905298,-9.833835,-104.4162202135333,-112.09675418618951,10,-120.80800527031656,0.0,224743.45,-120.80800527031656,41,-10897.176,5.246022907905298,10,-104.4162202135333,-112.09675418618951
616000,0.0,0.0,-85.06154604768348,0.0,-85.06154604768349,1.2833452,46.324852,42,11.851517393323393,-13.245391,-49.94976095898158,-85.06154604768349,10,-91.50253904354535,0.0,258977.31,-91.50253904354535,42,-13191.28,11.851517393323393,10,-49.94976095898158,-85.06154604768348
628000,0.0,0.0,-106.6016499937981,0.0,-106.60164999379808,1.8027371,134.46884,43,6.838415559018574,-15.91185,-95.78609592926702,-106.60164999379808,10,-120.16358769195526,0.0,275335.5,-120.16358769195526,43,-15016.602,6.838415559018574,10,-95.78609592926702,-106.6016499937981
640000,0.0,0.0,-30.96849939422855,0.0,-30.968499394228576,2.4962504,125.579956,44,64.74815361606115,-19.687992,126.69620944266352,-30.968499394228576,10,-82.14972380545603,0.0,304759.5,-82.14972380545603,44,-16507.264,64.74815361606115,10,126.69620944266352,-30.96849939422855
652000,0.0,0.0,15.995557317221898,0.0,15.995557317221904,3.4079874,111.87269,45,207.335757518001,-22.017162,573.3497865546367,15.995557317221904,10,-115.28409981590039,0.0,310139.0,-115.28409981590039,45,-17310.215,207.335757518001,10,573.3497865546367,15.995557317221898
664000,0.0,0.0,-38.19358214372575,0.0,-38.19358214372575,4.5750155,124.8265,46,72.82644633029823,-19.24473,132.55900603155925,-38.19358214372575,10,-111.85346766121178,0.0,308383.62,-111.85346766121178,46,-17232.328,72.82644633029823,10,132.55900603155925,-38.19358214372575
676000,0.0,0.0,-72.46248991543465,0.0,-72.46248991543462,6.0796456,169.22237,47,34.13291246172825,-17.733461,-0.9487738674089802,-72.46248991543462,10,-110.23781825962702,0.0,341451.2,-110.23781825962702,47,-16530.79,34.13291246172825,10,-0.9487738674089802,-72.46248991543465
688000,0.0,0.0,-52.35600280368878,0.0,-52.35600280368876,8.351131,212.80307,48,106.46169957750223,-23.478905,256.34285776431483,-52.35600280368876,10,-119.30776910559983,0.0,453310.53,-119.30776910559983,48,-17644.578,106.46169957750223,10,256.34285776431483,-52.35600280368878
700000,0.0,0.0,-9.59215366517636,0.0,-9.592153665176337,11.102835,192.33447,49,111.9390330211433,-18.753433,196.2506771758926,-9.592153665176337,10,-144.56077795877061,0.0,479427.2,-144.56077795877061,49,-17982.355,111.9390330211433,10,196.2506771758926,-9.59215366517636
712000,0.0,0.0,-82.28027785626868,0.0,-82.28027785626867,13.3661585,422.82648,50,64.38051787652623,-7.996768,44.35023025628126,-82.28027785626867,10,-167.48093966833258,0.0,482392.9,-167.48093966833258,50,-18289.92,64.38051787652623,10,44.35023025628126,-82.28027785626868
724000,0.0,0.0,-34.48680934818632,0.0,-34.48680934818632,12.444832,261.75797,51,149.39708169110142,9.018462,344.9762516620433,-34.48680934818632,10,-156.84869144714338,0.0,399846.94,-156.84869144714338,51,-13112.838,149.39708169110142,10,344.9762516620433,-34.48680934818632
736000,0.0,0.0,-54.04871895704682,0.0,-54.048718957046844,11.545094,502.75778,52,96.61832944209293,-0.034056276,147.9444562900473,-54.048718957046844,10,-159.10443139070202,0.0,428884.84,-159.10443139070202,52,-13574.576,96.61832944209293,10,147.9444562900473,-54.04871895704682
748000,0.0,0.0,0.7610959980713602,0.0,0.7610959980713645,12.716406,534.588,53,329.62025373693757,-3.3341353,975.0190684227634,0.7610959980713645,10,-179.35731892532965,0.0,458853.66,-179.35731892532965,53,-14256.41,329.62025373693757,10,975.0190684227634,0.7610959980713602
760000,0.0,0.0,-114.66577367189807,0.0,-114.66577367189802,13.283505,853.40265,54,37.18225635660085,2.0571947,-64.69404969164553,-114.66577367189802,10,-161.28058963634274,0.0,473844.84,-161.28058963634274,54,-13479.311,37.18225635660085,10,-64.69404969164553,-114.66577367189807
772000,0.0,0.0,-91.56684938800973,0.0,-91.56684938800971,12.259408,806.00305,55,45.030631902667146,0.06315662,29.17271465448745,-91.56684938800971,10,-153.40828860197814,0.0,493298.03,-153.40828860197814,55,-12398.066,45.030631902667146,10,29.17271465448745,-91.56684938800973
784000,0.0,0.0,-32.94039345042503,0.0,-32.94039345042505,12.157404,757.656,56,127.14182193773478,1.7671456,286.83578868499,-32.94039345042505,10,-118.98124504127762,0.0,503191.3,-118.98124504127762,56,-9620.919,127.14182193773478,10,286.83578868499,-32.94039345042503
796000,0.0,0.0,341.4578903012151,0.0,341.45789030121506,13.521465,338.65732,57,786.6288358911991,-7.6859984,2209.681327520532,341.45789030121506,10,-144.96169987333553,0.0,717996.25,-144.96169987333553,57,-14729.262,786.6288358911991,10,2209.681327520532,341.4578903012151
808000,0.0,0.0,-76.58655592699485,0.0,-76.58655592699486,15.437716,771.8511,58,16.35567922065185,-2.128947,-43.418408637369154,-76.58655592699486,10,-95.72274153580219,0.0,918319.1,-95.72274153580219,58,-17066.28,16.35567922065185,10,-43.418408637369154,-76.58655592699485
820000,0.0,0.0,-74.36905430706886,0.0,-74.36905430706886,15.379596,535.2545,59,44.29751916940077,3.3987093,36.17466486397995,-74.36905430706886,10,-143.7506485025031,0.0,831495.06,-143.7506485025031,59,-15339.871,44.29751916940077,10,36.17466486397995,-74.36905430706886
832000,0.0,0.0,306.06782993558573,0.0,306.0678299355856,15.615016,380.69446,60,529.5071721554539,-4.8606434,1402.5772223718052,306.0678299355856,10,-97.27527632015722,0.0,1053784.2,-97.27527632015722,60,-17099.008,529.5071721554539,10,1402.5772223718052,306.06782993558573
844000,0.0,0.0,491.338320916295,0.0,491.33832091629483,17.506016,380.81854,61,1680.9868014020506,-0.83770734,5533.686872436502,491.33832091629483,10,-96.1078141792184,0.0,1105061.6,-96.1078141792184,61,-17778.965,1680.9868014020506,10,5533.686872436502,491.338320916295
856000,0.0,0.0,-71.73712226135888,0.0,-71.73712226135886,14.56128,597.1306,62,27.42786772126147,22.087868,-25.889843624667613,-71.73712226135886,10,-103.01158249907591,0.0,699428.94,-103.01158249907591,62,-13181.766,27.42786772126147,10,-25.889843624667613,-71.73712226135888
868000,0.0,0.0,-53.96134548058687,0.0,-53.961345480586864,11.705201,527.9251,63,45.982927039829185,8.737602,34.95691140214424,-53.961345480586864,10,-109.8844507216217,0.0,814981.25,-109.8844507216217,63,-13874.884,45.982927039829185,10,34.95691140214424,-53.96134548058687
880000,0.0,0.0,184.87007350756897,0.0,184.87007350756912,9.535035,684.1242,64,763.7392202988939,9.7195015,2467.033336174247,184.87007350756912,10,-133.3171132947232,0.0,670460.9,-133.3171132947232,64,-10164.766,763.7392202988939,10,2467.033336174247,184.87007350756897
892000,0.0,0.0,272.3769689572025,0.0,272.3769689572024,8.769375,583.5458,65,1052.8366864948678,-0.62133086,3428.200453749931,272.3769689572024,10,-126.83659771252674,0.0,832387.3,-126.83659771252674,65,-12063.782,1052.8366864948678,10,3428.200453749931,272.3769689572025
904000,0.0,0.0,1097.6920112900686,0.0,1097.6920112900675,9.639516,595.42474,66,2223.3955843913377,-7.115189,6930.563991280716,1097.6920112900675,10,-76.47100805700423,0.0,1071542.1,-76.47100805700423,66,-15625.799,2223.3955843913377,10,6930.563991280716,1097.6920112900686
916000,0.0,0.0,-36.33177676686313,0.0,-36.33177676686313,11.299272,1008.9376,67,83.9453304819502,-0.8861516,140.4688138448836,-36.33177676686313,10,-149.1398631297299,0.0,971759.0,-149.1398631297299,67,-14996.341,83.9453304819502,10,140.4688138448836,-36.33177676686313
928000,0.0,0.0,-33.3106732524285,0.0,-33.31067325242849,10.693689,1054.6925,68,117.74551599171943,0.41169348,295.211033559436,-33.31067325242849,10,-110.77403093612986,0.0,1022342.44,-110.77403093612986,68,-14462.154,117.74551599171943,10,295.211033559436,-33.3106732524285
940000,0.0,0.0,-77.68710133111503,0.0,-77.68710133111503,10.998015,1285.7955,69,50.1115976771224,1.4274191,31.74535866432792,-77.68710133111503,10,-130.6158346924383,0.0,955616.94,-130.6158346924383,69,-13990.966,50.1115976771224,10,31.74535866432792,-77.68710133111503
952000,0.0,0.0,813.7788685684802,0.1,813.7788685684812,9.940076,1746.0245,70,2717.651659549978,1.8832268,8966.103705061365,813.7788685684812,10,-135.82502395393647,0.1,830847.25,-135.82502395393647,70,-12518.224,2717.651659549978,10,8966.103705061365,813.7788685684802
964000,0.0,0.0,-50.99315532481791,0.0,-50.993155324817934,9.172963,2343.1616,71,125.30541710506132,1.3661315,313.0468551990426,-50.993155324817934,10,-139.83048196106162,0.0,886688.6,-139.83048196106162,71,-11347.948,125.30541710506132,10,313.0468551990426,-50.99315532481791
976000,0.0,0.0,-89.30640255439458,0.0,-89.30640255439465,8.718416,3397.9958,72,94.94685899243318,5.878289,176.58478436566404,-89.30640255439465,10,-158.13381782854304,0.0,797620.25,-158.13381782854304,72,-9162.85,94.94685899243318,10,176.58478436566404,-89.30640255439458
988000,0.0,0.0,-86.34931474579133,0.0,-86.34931474579133,6.591563,3303.3235,73,28.835374075133878,13.22446,-46.21707251212346,-86.34931474579133,10,-135.20479252334374,0.0,342811.66,-135.20479252334374,73,-4941.46,28.835374075133878,10,-46.21707251212346,-86.34931474579133
1000000,0.0,0.0,-77.41485843358198,0.0,-77.41485843358197,5.3408213,5387.425,74,11.44565245316939,9.059373,-60.69479620615171,-77.41485843358197,10,-99.2014327654077,0.0,533264.0,-99.2014327654077,74,-6164.162,11.44565245316939,10,-60.69479620615171,-77.41485843358198
1012000,0.0,0.0,-84.88727298406897,0.0,-84.88727298406897,4.1336846,3620.03,75,19.188271867076367,7.4696097,-57.58423257072273,-84.88727298406897,10,-114.93716766957658,0.0,246559.22,-114.93716766957658,75,-4676.531,19.188271867076367,10,-57.58423257072273,-84.88727298406897
1024000,0.0,0.0,-75.91376126894109,0.0,-75.9137612689411,3.9929647,3099.27,76,29.077120094623655,-0.26820827,-38.79962444806272,-75.9137612689411,10,-137.68257604324057,0.0,614351.1,-137.68257604324057,76,-6787.967,29.077120094623655,10,-38.79962444806272,-75.91376126894109
1036000,0.0,0.0,-53.93406231078054,0.0,-53.934062310780575,3.716022,6286.795,77,75.05906814961497,-1.9786766,161.95556121290014,-53.934062310780575,10,-103.53991340104572,0.0,813828.4,-103.53991340104572,77,-6737.847,75.05906814961497,10,161.95556121290014,-53.93406231078054
1048000,0.0,0.0,-83.58084794424619,0.0,-83.58084794424617,5.234636,1081.6646,78,70.61337852272504,-18.573706,102.85902506137822,-83.58084794424617,10,-152.1873976685325,0.0,1634968.6,-152.1873976685325,78,-20288.916,70.61337852272504,10,102.85902506137822,-83.58084794424619
1060000,0.0,0.0,-112.68512949008648,0.0,-112.68512949008644,7.175153,484.73013,79,22.072919251272346,-18.16579,-74.69457948958893,-112.68512949008644,10,-136.9397973665351,0.0,1721779.5,-136.9397973665351,79,-25788.44,22.072919251272346,10,-74.69457948958893,-112.68512949008648
1072000,0.0,0.0,-98.15361907167642,0.0,-98.15361907167645,9.130492,462.68124,80,21.365780957072968,-8.749961,-46.170095292023596,-98.15361907167645,10,-128.513817362551,0.0,1533917.0,-128.513817362551,80,-23316.08,21.365780957072968,10,-46.170095292023596,-98.15361907167642
1084000,0.0,0.0,109.98811139016375,0.0,109.98811139016371,10.237951,745.0335,81,264.2478390263104,-2.2807293,772.2917697192287,109.98811139016371,10,-119.80414741344156,0.0,1482820.2,-119.80414741344156,81,-23361.293,264.2478390263104,10,772.2917697192287,109.98811139016375
1096000,0.0,0.0,-111.0650701614716,0.0,-111.06507016147164,9.657176,952.5911,82,80.09255294379402,7.4443707,109.23592952580148,-111.06507016147164,10,-180.8161862723675,0.0,1160634.9,-180.8161862723675,82,-15655.937,80.09255294379402,10,109.23592952580148,-111.0650701614716
1108000,0.0,0.0,-95.14854637522471,0.0,-95.1485463752247,7.4317393,5801.8574,83,17.766369962354975,14.895716,-65.1700898146325,-95.1485463752247,10,-136.27221776088572,0.0,742560.1,-136.27221776088572,83,-5792.246,17.766369962354975,10,-65.1700898146325,-95.14854637522471
1120000,0.0,0.0,-72.48850201538012,0.0,-72.4885020153801,5.3575215,5908.544,84,30.416612692772386,16.563145,-39.83657306904184,-72.4885020153801,10,-137.34132363913605,0.0,349139.56,-137.34132363913605,84,-1655.6274,30.416612692772386,10,-39.83657306904184,-72.48850201538012
1132000,0.0,0.0,-91.22658790707906,0.0,-91.22658790707905,4.7591443,2901.2905,85,12.113632116733454,-0.69149923,-73.08701000899619,-91.22658790707905,10,-111.44321716649644,0.0,1005504.4,-111.44321716649644,85,-8883.226,12.113632116733454,10,-73.08701000899619,-91.22658790707906
1144000,0.0,0.0,-97.3694379743969,0.0,-97.36943797439693,4.8674526,1187.7411,86,35.66158411359488,-1.8763067,-52.969227520055895,-97.36943797439693,10,-162.6448010358893,0.0,1407454.2,-162.6448010358893,86,-11324.876,35.66158411359488,10,-52.969227520055895,-97.3694379743969
1156000,0.0,0.0,-109.76066993739173,0.0,-109.76066993739173,5.6666665,717.12006,87,16.850265790507255,-3.8391318,-89.42283211699404,-109.76066993739173,10,-137.46581574126014,0.0,1384335.1,-137.46581574126014,87,-12424.718,16.850265790507255,10,-89.42283211699404,-109.76066993739173
1168000,0.0,0.0,-112.82347264665172,0.0,-112.82347264665172,6.397366,2436.0894,88,14.351217302391198,2.8151147,-96.42550522027257,-112.82347264665172,10,-134.68416772735767,0.0,1335814.2,-134.68416772735767,88,-8773.07,14.351217302391198,10,-96.42550522027257,-112.82347264665172
1180000,0.0,0.0,-104.17995152575239,0.0,-104.17995152575236,6.0241895,2840.7588,89,33.32714108045064,-6.155957,-39.39600232710687,-104.17995152575236,10,-142.1070837155696,0.0,2113713.8,-142.1070837155696,89,-9997.5,33.32714108045064,10,-39.39600232710687,-104.17995152575239
1192000,0.0,0.0,-112.9496948546195,0.0,-112.9496948546195,7.6758213,1074.4747,90,22.064675276789988,-7.4271445,-71.77812970733167,-112.9496948546195,10,-160.28904672610608,0.0,2831060.2,-160.28904672610608,90,-14736.254,22.064675276789988,10,-71.77812970733167,-112.9496948546195
