MetaTest/Average/StdReturn,MetaTest/handle-pull-side-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-pull-side-v1/MinReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/Alpha,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTrain/Average/AlphaLoss,MetaTest/handle-pull-side-v1/Iteration,MetaTest/handle-pull-side-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/handle-pull-side-v1/AverageDiscountedReturn,MetaTest/handle-pull-side-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/handle-pull-side-v1/NumTrajs,MetaTest/handle-pull-side-v1/AverageReturn,MetaTest/handle-pull-side-v1/MaxReturn,MetaTest/Average/NumTrajs
525.9744774107285,0.0,0.0,-177.97188,1689.6141411628673,112.1653695762102,-77.19443553028148,43545.656,7.7325535,nan,-77.19443553028148,224000,3.291965,0,525.9744774107285,0.0,112.16536957621008,112.1653695762102,0.0,0,10,112.16536957621008,1689.6141411628673,10
13701.072171877175,0.0,0.0,-2140.1223,45505.95201401841,30461.93394572641,8197.998872943768,75406.64,28.090143,nan,8197.998872943768,248000,-4.3212194,1,13701.072171877175,0.0,30461.93394572641,30461.93394572641,0.0,1,10,30461.93394572641,45505.95201401841,10
13551.704397960057,0.0,0.0,-9570.994,37951.344768898736,8966.611594205078,-79.76820003268655,206540.06,29.982048,nan,-79.76820003268655,272000,-12.09602,2,13551.704397960057,0.0,8966.611594205086,8966.611594205078,0.0,2,10,8966.611594205086,37951.344768898736,10
18183.0836717284,0.0,0.0,-25672.367,45267.99297974503,26675.096026516974,-40.55651962888431,367080.44,34.06354,nan,-40.55651962888431,296000,-15.730953,3,18183.0836717284,0.0,26675.096026516967,26675.096026516974,0.0,3,10,26675.096026516967,45267.99297974503,10
16274.776341500337,0.0,0.0,-43265.793,46818.15406809479,35888.89219254511,-11.966379201238048,662666.5,31.993671,nan,-11.966379201238048,320000,-17.445957,4,16274.776341500337,0.0,35888.892192545114,35888.89219254511,0.0,4,10,35888.892192545114,46818.15406809479,10
15330.898197935523,0.0,0.0,-62719.55,46018.66391678119,34618.608027545255,7045.025688334398,1108048.0,11.199597,nan,7045.025688334398,344000,-15.937424,5,15330.898197935523,0.0,34618.60802754524,34618.608027545255,0.0,5,10,34618.60802754524,46018.66391678119,10
18050.210974868343,0.0,0.0,-67898.32,45528.53657149564,27340.1091558087,5542.884748335208,1519005.5,9.537995,nan,5542.884748335208,368000,-16.056622,6,18050.210974868343,0.0,27340.109155808703,27340.1091558087,0.0,6,10,27340.109155808703,45528.53657149564,10
14356.550999912926,0.0,0.0,-70492.64,45261.79500923056,36038.20203977358,7486.036795697775,2216996.2,13.117015,nan,7486.036795697775,392000,-15.80647,7,14356.550999912926,0.0,36038.20203977357,36038.20203977358,0.0,7,10,36038.20203977357,45261.79500923056,10
13257.574707671807,0.0,0.0,-78466.49,45289.142938561745,35020.299977410985,231.81940794933348,3344722.0,13.415915,nan,231.81940794933348,416000,-13.908218,8,13257.574707671807,0.0,35020.299977410985,35020.299977410985,0.0,8,10,35020.299977410985,45289.142938561745,10
14140.898067073926,0.0,0.0,-82588.09,46067.713781677216,38046.07115713003,8016.24996169285,4431467.0,19.976679,nan,8016.24996169285,440000,-14.436056,9,14140.898067073926,0.0,38046.071157130034,38046.07115713003,0.0,9,10,38046.071157130034,46067.713781677216,10
21557.04174459965,0.0,0.0,-81779.586,45926.43542025691,18993.089066035765,-87.74758290433381,5158458.5,295.2892,nan,-87.74758290433381,464000,-17.118256,10,21557.04174459965,0.0,18993.089066035776,18993.089066035765,0.0,10,10,18993.089066035776,45926.43542025691,10
22555.465823389924,0.0,0.0,-90498.88,46067.107503224805,22476.553509855745,-84.39361060653252,5754154.0,509.16458,nan,-84.39361060653252,488000,-17.548609,11,22555.465823389924,0.0,22476.55350985575,22476.553509855745,0.0,11,10,22476.55350985575,46067.107503224805,10
22724.29782743996,0.0,0.0,-102024.78,46066.37099124997,22640.28305785024,-87.71538231319416,6438312.5,351.82175,nan,-87.71538231319416,512000,-17.79339,12,22724.29782743996,0.0,22640.283057850233,22640.28305785024,0.0,12,10,22640.283057850233,46066.37099124997,10
22817.16022155307,0.0,0.0,-108168.086,46074.256977477366,22738.41983822984,-81.76437672355705,6755739.5,315.63913,nan,-81.76437672355705,536000,-18.380524,13,22817.16022155307,0.0,22738.419838229835,22738.41983822984,0.0,13,10,22738.419838229835,46074.256977477366,10
22711.329781921875,0.0,0.0,-112886.24,46073.01619301459,22631.12969762002,-83.0414611265079,6366046.0,376.34888,nan,-83.0414611265079,560000,-18.26699,14,22711.329781921875,0.0,22631.129697620043,22631.12969762002,0.0,14,10,22631.129697620043,46073.01619301459,10
13272.687690082983,0.0,0.0,-118836.26,44420.155856949474,4627.376738205219,-68.32222972130836,6710414.0,978.13776,nan,-68.32222972130836,584000,-18.832672,15,13272.687690082983,0.0,4627.376738205222,4627.376738205219,0.0,15,10,4627.376738205222,44420.155856949474,10
17235.694872076398,0.0,0.0,-117858.14,44741.99898044482,9195.089065024538,-68.76376247175008,6281851.5,16393.602,nan,-68.76376247175008,608000,-20.730003,16,17235.694872076398,0.0,9195.089065024536,9195.089065024538,0.0,16,10,9195.089065024536,44741.99898044482,10
1046.1157997676016,0.0,0.0,-121830.125,3396.033230274757,391.67177552758824,-69.64697600079194,6224475.0,7090.399,nan,-69.64697600079194,632000,-20.34479,17,1046.1157997676016,0.0,391.6717755275884,391.67177552758824,0.0,17,10,391.6717755275884,3396.033230274757,10
22241.05644323168,0.0,0.0,-120237.93,45992.2826897077,22081.11599662592,-83.69692011258738,6114335.5,4085.808,nan,-83.69692011258738,656000,-20.976345,18,22241.05644323168,0.0,22081.115996625926,22081.11599662592,0.0,18,10,22081.115996625926,45992.2826897077,10
22217.60383961851,0.0,0.0,-118920.52,46031.78580363107,22024.822004088986,-81.25922534858282,6100003.0,3470.651,nan,-81.25922534858282,680000,-21.064615,19,22217.60383961851,0.0,22024.822004088976,22024.822004088986,0.0,19,10,22024.822004088976,46031.78580363107,10
