MetaTest/Average/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/QfLoss,MetaTest/Average/StdReturn,MetaTest/pick-out-of-hole-v1/TerminationRate,TotalEnvSteps,MetaTest/pick-out-of-hole-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/pick-out-of-hole-v1/MaxReturn,MetaTest/pick-out-of-hole-v1/MinReturn,MetaTest/Average/Iteration,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/pick-out-of-hole-v1/NumTrajs
-39.56791817118249,-39.56791817118249,0,0.0,-39.56791817118249,nan,8.105484,2.4309556,1.7956520527312634,0.0,224000,-39.56791817118249,0.0,10,-36.414569745524474,6.72417,1.7956520527312634,-36.414569745524474,-42.53806215985112,0,0.0,-42.53806215985112,12.465445,10
-37.57187561146273,-37.57187561146273,1,0.0,-37.57187561146273,nan,7.7433105,5.7460914,0.3135542485045043,0.0,248000,-37.57187561146273,0.0,10,-36.74236944719396,6.679383,0.3135542485045043,-36.74236944719396,-37.954748397901724,1,0.0,-37.954748397901724,37.95787,10
-37.28540819569498,-37.28540819569498,2,0.0,-37.28540819569496,nan,7.622992,10.657725,0.6556896313506377,0.0,272000,-37.28540819569496,0.0,10,-35.51028454444642,6.601116,0.6556896313506377,-35.51028454444642,-38.007309064248645,2,0.0,-38.007309064248645,55.280586,10
-33.3624255093917,-33.3624255093917,3,0.0,-33.3624255093917,nan,7.5030456,16.420763,0.851953630429425,0.0,296000,-33.3624255093917,0.0,10,-31.94060047080519,6.5095196,0.851953630429425,-31.94060047080519,-34.673676153121896,3,0.0,-34.673676153121896,64.82029,10
-28.543119193760834,-28.543119193760834,4,0.0,-28.543119193760823,nan,7.433006,21.698765,0.9508707906928102,0.0,320000,-28.543119193760823,0.0,10,-26.92425924678377,6.4266486,0.9508707906928102,-26.92425924678377,-30.05158627557972,4,0.0,-30.05158627557972,67.59757,10
-28.05350211622321,-28.05350211622321,5,0.0,-28.053502116223218,nan,7.3716903,26.359793,0.691961541626875,0.0,344000,-28.053502116223218,0.0,10,-27.227567017742974,6.362576,0.691961541626875,-27.227567017742974,-29.45285140462956,5,0.0,-29.45285140462956,67.58356,10
-30.833403261598296,-30.833403261598296,6,0.0,-30.833403261598296,nan,7.426836,29.584723,0.4636164660184075,0.0,368000,-30.833403261598296,0.0,10,-30.240714559524513,6.3088646,0.4636164660184075,-30.240714559524513,-31.852591499600937,6,0.0,-31.852591499600937,63.92217,10
-23.349155889096078,-23.349155889096078,7,0.0,-23.349155889096085,nan,7.400137,33.66005,0.12897990834532908,0.0,392000,-23.349155889096085,0.0,10,-23.064738652166795,6.253242,0.12897990834532908,-23.064738652166795,-23.49872847937083,7,0.0,-23.49872847937083,58.782837,10
-26.21413046120379,-26.21413046120379,8,0.0,-26.214130461203798,nan,7.4470954,37.594955,0.2665453934828868,0.0,416000,-26.214130461203798,0.0,10,-25.70341903321928,6.2076936,0.2665453934828868,-25.70341903321928,-26.594749578937755,8,0.0,-26.594749578937755,52.145515,10
-26.538760262048253,-26.538760262048253,9,0.0,-26.538760262048253,nan,7.418802,41.211655,0.1833868580586195,0.0,440000,-26.538760262048253,0.0,10,-26.228240470003207,6.1651106,0.1833868580586195,-26.228240470003207,-26.732968004187306,9,0.0,-26.732968004187306,45.186916,10
