MetaTest/handle-press-v1/AverageReturn,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/handle-press-v1/StdReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/Alpha,MetaTest/Average/TerminationRate,MetaTest/handle-press-v1/TerminationRate,MetaTest/handle-press-v1/NumTrajs,MetaTest/handle-press-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/handle-press-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-press-v1/MinReturn,MetaTest/handle-press-v1/SuccessRate,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTest/handle-press-v1/Iteration,MetaTrain/Average/AlphaLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn
313.46986288056127,224000,313.46986288056127,479.35757901530354,10,nan,0.0,0.0,10,1122.6342337182505,173965.25,0,-73.60696884109,13.733357,313.4698628805613,313.4698628805613,-73.60696884109,0.0,0.0,479.35757901530354,0,-5.572796,-806.0137,1122.6342337182505
272.0138701204824,248000,272.0138701204824,414.7747121599475,10,nan,0.0,0.0,10,1162.2822056160994,331150.34,1,-44.433705140430625,33.969738,272.01387012048224,272.01387012048224,-44.433705140430625,0.0,0.0,414.7747121599475,1,-10.774244,-6608.462,1162.2822056160994
222.10796625791008,272000,222.10796625791008,448.80420963109674,10,nan,0.0,0.0,10,1123.1858971577033,752601.0,2,-68.69045128932588,610.21936,222.10796625791,222.10796625791,-68.69045128932588,0.0,0.0,448.80420963109674,2,-14.17575,-16611.584,1123.1858971577033
16953.71628906775,296000,16953.71628906775,23437.68483735525,10,nan,0.0,0.0,10,68622.89221927404,995304.3,3,-19.57332940452254,774.4734,16953.716289067746,16953.716289067746,-19.57332940452254,0.0,0.0,23437.68483735525,3,-13.680529,-28098.697,68622.89221927404
973.5652108001098,320000,973.5652108001098,760.3559451678129,10,nan,0.0,0.0,10,2097.45746384821,1958094.5,4,-67.99778026052847,630.5111,973.5652108001095,973.5652108001095,-67.99778026052847,0.0,0.0,760.3559451678129,4,-16.649063,-42890.13,2097.45746384821
271.503927528357,344000,271.503927528357,624.8038024101509,10,nan,0.0,0.0,10,1650.8706823836098,2806013.0,5,-57.23919425062438,1582.1217,271.50392752835717,271.50392752835717,-57.23919425062438,0.0,0.0,624.8038024101509,5,-22.18422,-53441.035,1650.8706823836098
17758.11065559734,368000,17758.11065559734,34934.302528066684,10,nan,0.0,0.0,10,90748.44773824433,4269786.0,6,-33.776732368534375,1306.6992,17758.11065559734,17758.11065559734,-33.776732368534375,0.0,0.0,34934.302528066684,6,-23.86014,-80168.05,90748.44773824433
183.02690633570313,392000,183.02690633570313,425.77007141166507,10,nan,0.0,0.0,10,1139.6234653304734,4241519.5,7,-61.863400072438964,1247.4149,183.02690633570282,183.02690633570282,-61.863400072438964,0.0,0.0,425.77007141166507,7,-21.749432,-73916.9,1139.6234653304734
180.24015644075126,416000,180.24015644075126,533.644024216803,10,nan,0.0,0.0,10,1362.8841139221768,5930763.0,8,-108.55704976169254,8133.365,180.24015644075104,180.24015644075104,-108.55704976169254,0.0,0.0,533.644024216803,8,-24.26932,-74972.57,1362.8841139221768
324.6693121677003,440000,324.6693121677003,552.9466180709917,10,nan,0.0,0.0,10,1643.58225914996,5928638.5,9,-68.80362087299406,6393.9717,324.6693121677002,324.6693121677002,-68.80362087299406,0.0,0.0,552.9466180709917,9,-25.5268,-78269.2,1643.58225914996
2630.074706128239,464000,2630.074706128239,4225.1618358147,10,nan,0.0,0.0,10,12002.76241532154,4700679.5,10,-21.00116629411678,2744.498,2630.0747061282386,2630.0747061282386,-21.00116629411678,0.0,0.0,4225.1618358147,10,-23.693441,-60332.35,12002.76241532154
8162.970621671426,488000,8162.970621671426,24685.19250602647,10,nan,0.0,0.0,10,82218.54003766864,4948436.0,11,-78.27470613553449,4233.5283,8162.970621671428,8162.970621671428,-78.27470613553449,0.1,0.1,24685.19250602647,11,-21.974195,-56701.848,82218.54003766864
169.8313798721949,512000,169.8313798721949,425.0484012089742,10,nan,0.0,0.0,10,894.9669134042264,1219302100.0,12,-118.80272020424555,20577.293,169.83137987219487,169.83137987219487,-118.80272020424555,0.0,0.0,425.0484012089742,12,-31.614708,-353745.38,894.9669134042264
150.09456847593165,536000,150.09456847593165,516.5547849227876,10,nan,0.0,0.0,10,1679.4377922467422,13647704.0,13,-63.99748198214044,6369.804,150.0945684759318,150.0945684759318,-63.99748198214044,0.0,0.0,516.5547849227876,13,-36.018353,-172819.69,1679.4377922467422
43826.672658440635,560000,43826.672658440635,86357.21428024971,10,nan,0.0,0.0,10,292981.0066149414,2656113.2,14,-91.35864707256763,353.02988,43826.6726584406,43826.6726584406,-91.35864707256763,0.2,0.2,86357.21428024971,14,-31.45591,-34910.953,292981.0066149414
25643.84355663192,584000,25643.84355663192,76857.92709223666,10,nan,0.0,0.0,10,256217.02282983123,5915113.5,15,-116.86489083270304,773.29047,25643.84355663192,25643.84355663192,-116.86489083270304,0.1,0.1,76857.92709223666,15,-24.178926,-44877.793,256217.02282983123
44807.20047163787,608000,44807.20047163787,80633.45055238013,10,nan,0.0,0.0,10,271820.4819682146,8630055.0,16,-75.47569493889867,3680.0576,44807.20047163787,44807.20047163787,-75.47569493889867,0.2,0.2,80633.45055238013,16,-22.957165,-49257.984,271820.4819682146
