MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTest/lever-pull-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/lever-pull-v1/AverageReturn,TotalEnvSteps,MetaTest/lever-pull-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/Alpha,MetaTrain/Average/QfLoss,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/Iteration,MetaTest/lever-pull-v1/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/lever-pull-v1/TerminationRate,MetaTest/lever-pull-v1/Iteration,MetaTest/lever-pull-v1/AverageDiscountedReturn,MetaTest/lever-pull-v1/MinReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/lever-pull-v1/StdReturn
8.454136,2.9371000052167338,0.0,-14.86523784771921,-14.865237847719218,224000,-9.679400799397513,-20.517163187206577,nan,1.3872442,-9.679400799397513,0.0,0,10,-4.4505224,0.0,0,-14.86523784771921,-20.517163187206577,10,6.730877,-14.865237847719218,0.0,2.9371000052167338
9.088145,4.525493950474046,0.0,-18.159190979123487,-18.159190979123487,248000,-9.181179852860893,-23.379064550768973,nan,3.3732514,-9.181179852860893,0.0,1,10,-7.936468,0.0,1,-18.159190979123487,-23.379064550768973,10,6.720051,-18.159190979123487,0.0,4.525493950474046
8.328049,2.0681211259712584,0.0,-12.963307632000326,-12.963307632000328,272000,-9.647855817772616,-16.001306837385933,nan,6.852036,-9.647855817772616,0.0,2,10,-1.0508834,0.0,2,-12.963307632000326,-16.001306837385933,10,6.699826,-12.963307632000328,0.0,2.0681211259712584
8.430148,2.298615859287497,0.0,-10.06134566745318,-10.061345667453184,296000,-6.6193308209786546,-13.237717773103931,nan,8.839367,-6.6193308209786546,0.0,3,10,-6.076784,0.0,3,-10.06134566745318,-13.237717773103931,10,6.6779,-10.061345667453184,0.0,2.298615859287497
7.749162,2.7309084797706844,0.0,-10.030826952142172,-10.03082695214217,320000,-5.5721638762196335,-15.019614164712568,nan,11.184074,-5.5721638762196335,0.0,4,10,-12.039178,0.0,4,-10.030826952142172,-15.019614164712568,10,6.6481876,-10.03082695214217,0.0,2.7309084797706844
7.7398205,1.4647386833150533,0.0,-10.187710282207188,-10.187710282207192,344000,-7.484889631890006,-11.847451824086667,nan,12.3525505,-7.484889631890006,0.0,5,10,-18.199581,0.0,5,-10.187710282207188,-11.847451824086667,10,6.6164083,-10.187710282207192,0.0,1.4647386833150533
7.7815027,1.144603314107498,0.0,-6.714092195077849,-6.714092195077846,368000,-4.94384781496288,-8.267561199603572,nan,12.610363,-4.94384781496288,0.0,6,10,-23.97516,0.0,6,-6.714092195077849,-8.267561199603572,10,6.5880055,-6.714092195077846,0.0,1.144603314107498
7.6903086,1.48350607590918,0.0,-8.029396216282269,-8.02939621628227,392000,-5.27673018558704,-11.097117978645631,nan,13.780979,-5.27673018558704,0.0,7,10,-29.696146,0.0,7,-8.029396216282269,-11.097117978645631,10,6.5625978,-8.02939621628227,0.0,1.48350607590918
7.721027,1.1165805035515233,0.0,-8.471055878721078,-8.471055878721076,416000,-6.903188934420076,-10.167803432860747,nan,15.457297,-6.903188934420076,0.0,8,10,-38.537476,0.0,8,-8.471055878721078,-10.167803432860747,10,6.537922,-8.471055878721076,0.0,1.1165805035515233
7.6860576,1.7963715511232274,0.0,-9.868084238188748,-9.868084238188752,440000,-7.970157589785332,-12.970768375646545,nan,17.579058,-7.970157589785332,0.0,9,10,-45.846478,0.0,9,-9.868084238188748,-12.970768375646545,10,6.513871,-9.868084238188752,0.0,1.7963715511232274
7.687201,0.8255743563054642,0.0,-9.407655373074146,-9.407655373074146,464000,-7.994605985519874,-10.527754307486884,nan,19.763987,-7.994605985519874,0.0,10,10,-52.630077,0.0,10,-9.407655373074146,-10.527754307486884,10,6.4920535,-9.407655373074146,0.0,0.8255743563054642
7.703072,1.1341189528657523,0.0,-9.05721588437504,-9.057215884375044,488000,-7.540139892952816,-10.478585596859219,nan,21.269594,-7.540139892952816,0.0,11,10,-59.71868,0.0,11,-9.05721588437504,-10.478585596859219,10,6.474902,-9.057215884375044,0.0,1.1341189528657523
