MetaTest/sweep-into-v1/Iteration,Average/NumEpisodes,MetaTest/sweep-into-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,Average/Iteration,sweep-into-v1/AverageReturn,sweep-into-v1/SuccessRate,policy/LossAfter,TotalEnvSteps,policy/Entropy,MetaTest/sweep-into-v1/TerminationRate,Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/sweep-into-v1/NumEpisodes,Average/MinReturn,policy/KL,policy/LossBefore,MetaTest/sweep-into-v1/StdReturn,MetaTest/Average/MaxReturn,sweep-into-v1/NumEpisodes,sweep-into-v1/AverageDiscountedReturn,Average/AverageDiscountedReturn,policy/dLoss,MetaTest/Average/Iteration,sweep-into-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,policy/KLBefore,Average/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/sweep-into-v1/SuccessRate,MetaTest/sweep-into-v1/AverageDiscountedReturn,sweep-into-v1/TerminationRate,Average/StdReturn,Average/SuccessRate,sweep-into-v1/MinReturn,MetaTest/Average/MinReturn,sweep-into-v1/Iteration,MetaTest/sweep-into-v1/MinReturn,LinearFeatureBaseline/ExplainedVariance,Average/AverageReturn,MetaTest/Average/AverageReturn,sweep-into-v1/StdReturn,MetaTest/sweep-into-v1/MaxReturn
0,100,-55.66841500663965,0.0,0.0,0,-59.39825561022929,0.0,-0.044001564,20000,5.6896214,0.0,0.0,10.542916381305625,10,-80.80910042487918,0.010605076,-0.014144171,10.542916381305625,-37.52264329573586,100,-22.354579623762543,-22.354579623762543,0.029857393,0,-28.993755000186034,-55.668415006639634,0.0,-28.993755000186034,10,0.0,-55.668415006639634,0.0,10.543190403331169,0.0,-80.80910042487918,-70.22751438908999,0,-70.22751438908999,0.4861316752652516,-59.39825561022929,-55.66841500663965,10.543190403331169,-37.52264329573586
,100,,,,1,-47.05260460104507,0.0,-0.03040202,40000,5.6981497,,0.0,,,-68.91214826638141,0.020412775,-0.009075198,,,100,-18.42936330245176,-18.42936330245176,0.021326821,,-24.839595151226828,,0.0,-24.839595151226828,,,,0.0,9.078225807624184,0.0,-68.91214826638141,,1,,0.5251057528061691,-47.05260460104507,,9.078225807624184,
,100,,,,2,0.27995217018969193,0.02,-0.121752396,60000,5.682694,,0.0,,,-59.20154961795205,0.011690589,0.061027758,,,100,-1.6632557676919189,-1.6632557676919189,0.18278015,,1121.3978162432256,,0.0,1121.3978162432256,,,,0.0,135.872183664873,0.02,-59.20154961795205,,2,,0.11301201662350036,0.27995217018969193,,135.872183664873,
,100,,,,3,115.32364297624679,0.0,-0.7602412,80000,5.648862,,0.0,,,-49.331735522430755,0.009560686,-0.046048436,,,100,43.00699748481214,43.00699748481214,0.71419275,,3988.161927500364,,0.0,3988.161927500364,,,,0.0,467.37723145610096,0.0,-49.331735522430755,,3,,0.16284682451055488,115.32364297624679,,467.37723145610096,
,100,,,,4,111.30388296001229,0.02,-0.57767004,100000,5.614066,,0.0,,,-44.14625545159977,0.006927179,-0.1476086,,,100,42.105002297875835,42.105002297875835,0.43006146,,3858.6125203620495,,0.0,3858.6125203620495,,,,0.0,451.2221912560039,0.02,-44.14625545159977,,4,,0.45209712060682494,111.30388296001229,,451.2221912560039,
,100,,,,5,146.11968633837935,0.01,-0.299105,120000,5.582336,,0.0,,,-71.5116559967446,0.008064075,0.2206081,,,100,61.707554309543355,61.707554309543355,0.5197131,,2019.7754111797383,,0.0,2019.7754111797383,,,,0.0,415.4705248234747,0.01,-71.5116559967446,,5,,0.12873430164043453,146.11968633837935,,415.4705248234747,
,100,,,,6,238.01915877108237,0.03,-1.5956897,140000,5.582398,,0.0,,,-44.41745333718293,0.0065102386,-0.91854256,,,100,81.37740115200195,81.37740115200195,0.6771471,,6956.054540818144,,0.0,6956.054540818144,,,,0.0,830.3675702334117,0.03,-44.41745333718293,,6,,0.1908938796018892,238.01915877108237,,830.3675702334117,
,100,,,,7,183.66382046808155,0.05,-0.5435956,160000,5.58361,,0.0,,,-40.13147503254003,0.0078872545,0.03520215,,,100,67.66171422964268,67.66171422964268,0.57879776,,4031.3894435993147,,0.0,4031.3894435993147,,,,0.0,571.8763880219694,0.05,-40.13147503254003,,7,,0.1377828297072714,183.66382046808155,,571.8763880219694,
,100,,,,8,101.36535102752414,0.04,-0.26728418,180000,5.5731287,,0.0,,,-61.42741207887181,0.005357078,0.07067383,,,100,53.684991237008774,53.684991237008774,0.337958,,5192.173096237546,,0.0,5192.173096237546,,,,0.0,527.6880848170675,0.04,-61.42741207887181,,8,,0.10410144940057942,101.36535102752414,,527.6880848170675,
,100,,,,9,177.98211101467552,0.04,-0.16994902,200000,5.56356,,0.0,,,-64.3600113640643,0.0056732288,0.30346993,,,100,90.08031262370221,90.08031262370221,0.47341895,,2262.168421539435,,0.0,2262.168421539435,,,,0.0,438.3733833837286,0.04,-64.3600113640643,,9,,0.273765953701796,177.98211101467552,,438.3733833837286,
