MetaTest/plate-slide-side-v1/SuccessRate,MetaTest/plate-slide-side-v1/NumTrajs,MetaTest/plate-slide-side-v1/Iteration,MetaTest/Average/Iteration,MetaTest/plate-slide-side-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/plate-slide-side-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-side-v1/StdReturn,MetaTest/plate-slide-side-v1/MinReturn,MetaTest/plate-slide-side-v1/AverageReturn,MetaTest/plate-slide-side-v1/TerminationRate,MetaTest/Average/AverageReturn
0.0,10,0,0,-90.84465157431062,0.0,-101.87794625733622,10,-86.26018481604233,0.0,4.520683930017388,224000,-86.26018481604233,-90.84465157431062,4.520683930017388,-101.87794625733622,-90.84465157431059,0.0,-90.84465157431059
0.0,10,1,1,-24.751080377485607,0.0,-30.308902435337146,10,-18.02525684440127,0.0,3.0436968304236665,248000,-18.02525684440127,-24.751080377485607,3.0436968304236665,-30.308902435337146,-24.751080377485614,0.0,-24.751080377485614
0.0,10,2,2,-81.44892177767488,0.0,-95.79150022282661,10,-41.35075707947952,0.0,22.362564724520176,272000,-41.35075707947952,-81.44892177767488,22.362564724520176,-95.79150022282661,-81.44892177767485,0.0,-81.44892177767485
0.0,10,3,3,-21.89050710498319,0.0,-26.48744715152915,10,-17.311156574881753,0.0,3.3770624696427536,296000,-17.311156574881753,-21.89050710498319,3.3770624696427536,-26.48744715152915,-21.89050710498318,0.0,-21.89050710498318
0.0,10,4,4,65.93641642609204,0.0,-21.892763042676567,10,849.4277791213431,0.0,261.16588179727376,320000,849.4277791213431,65.93641642609204,261.16588179727376,-21.892763042676567,65.93641642609197,0.0,65.93641642609197
0.0,10,5,5,8.712428078754323,0.0,-64.03515151975624,10,345.5023425062936,0.0,113.0173380109932,344000,345.5023425062936,8.712428078754323,113.0173380109932,-64.03515151975624,8.712428078754312,0.0,8.712428078754312
0.0,10,6,6,-50.928777638642245,0.0,-112.28640545358546,10,-25.55134308234587,0.0,26.37534048941023,368000,-25.55134308234587,-50.928777638642245,26.37534048941023,-112.28640545358546,-50.928777638642245,0.0,-50.928777638642245
0.0,10,7,7,-36.65828625636404,0.0,-83.65401140057517,10,-24.160208662037515,0.0,17.00383765941844,392000,-24.160208662037515,-36.65828625636404,17.00383765941844,-83.65401140057517,-36.65828625636405,0.0,-36.65828625636405
0.0,10,8,8,2066.256886311,0.0,-83.40324865844026,10,6527.615063315561,0.0,2815.720094253014,416000,6527.615063315561,2066.256886311,2815.720094253014,-83.40324865844026,2066.256886311,0.0,2066.256886311
0.0,10,9,9,725.116844945068,0.0,-86.91357892432508,10,7815.034145796432,0.0,2363.3258139129307,440000,7815.034145796432,725.116844945068,2363.3258139129307,-86.91357892432508,725.116844945068,0.0,725.116844945068
0.0,10,10,10,-50.89747561912314,0.0,-90.54955915428634,10,70.81919556058246,0.0,47.20497235778608,464000,70.81919556058246,-50.89747561912314,47.20497235778608,-90.54955915428634,-50.89747561912316,0.0,-50.89747561912316
0.0,10,11,11,254.08070240133375,0.0,-82.24240036685134,10,2534.224124569641,0.0,770.9961278097996,488000,2534.224124569641,254.08070240133375,770.9961278097996,-82.24240036685134,254.08070240133378,0.0,254.08070240133378
0.2,10,12,12,14112.643681963946,0.0,-67.09543553992613,10,83611.44290676467,0.2,26839.57181063362,512000,83611.44290676467,14112.643681963946,26839.57181063362,-67.09543553992613,14112.643681963946,0.0,14112.643681963946
0.1,10,13,13,5729.890312711671,0.0,-91.65083741227225,10,57423.77945945103,0.1,17231.737378394762,536000,57423.77945945103,5729.890312711671,17231.737378394762,-91.65083741227225,5729.89031271167,0.0,5729.89031271167
0.4,10,14,14,10469.396976750453,0.0,-85.63571643260175,10,95522.77922523412,0.4,28457.710363165646,560000,95522.77922523412,10469.396976750453,28457.710363165646,-85.63571643260175,10469.39697675045,0.0,10469.39697675045
0.0,10,15,15,20935.03563176265,0.0,224.48794728813104,10,62080.30310714985,0.0,21384.06396862375,584000,62080.30310714985,20935.03563176265,21384.06396862375,224.48794728813104,20935.035631762647,0.0,20935.035631762647
0.1,10,16,16,1939.1909956540658,0.0,-83.22865955194938,10,7383.809662719872,0.1,2953.0009754956636,608000,7383.809662719872,1939.1909956540658,2953.0009754956636,-83.22865955194938,1939.190995654065,0.0,1939.190995654065
0.0,10,17,17,-84.66897735584475,0.0,-107.4798509016365,10,-50.552524568674876,0.0,23.03353303411092,632000,-50.552524568674876,-84.66897735584475,23.03353303411092,-107.4798509016365,-84.66897735584476,0.0,-84.66897735584476
0.2,10,18,18,11698.947807476046,0.0,-50.88692508685563,10,57309.52141719617,0.2,16834.62448026292,656000,57309.52141719617,11698.947807476046,16834.62448026292,-50.88692508685563,11698.947807476043,0.0,11698.947807476043
0.0,10,19,19,3321.4196457007515,0.0,-58.74750012945793,10,24502.69166532567,0.0,7536.647547129369,680000,24502.69166532567,3321.4196457007515,7536.647547129369,-58.74750012945793,3321.419645700747,0.0,3321.419645700747
0.0,10,20,20,4892.946296521234,0.0,-50.207366052063435,10,46780.50547986004,0.0,13968.988200065276,704000,46780.50547986004,4892.946296521234,13968.988200065276,-50.207366052063435,4892.946296521232,0.0,4892.946296521232
0.0,10,21,21,26418.912522616367,0.0,-40.14173708913983,10,66270.44659163781,0.0,29568.03877370063,728000,66270.44659163781,26418.912522616367,29568.03877370063,-40.14173708913983,26418.912522616367,0.0,26418.912522616367
0.0,10,22,22,18893.466977973927,0.0,-40.19995900699582,10,78000.06137423893,0.0,28925.763498500004,752000,78000.06137423893,18893.466977973927,28925.763498500004,-40.19995900699582,18893.466977973923,0.0,18893.466977973923
