MetaTest/stick-push-v1/NumTrajs,MetaTest/stick-push-v1/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/stick-push-v1/MaxReturn,MetaTest/stick-push-v1/MinReturn,MetaTest/stick-push-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/stick-push-v1/SuccessRate,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/stick-push-v1/Iteration,MetaTest/stick-push-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/stick-push-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate
10,-16.818187416589986,10,-15.64008412862742,-19.38175218687023,-16.81818741658999,-16.818187416589986,0.0,-19.38175218687023,224000,0,1.2804665092198908,0.0,0,-16.81818741658999,0.0,1.2804665092198908,-15.64008412862742,0.0
10,-16.46034489289312,10,-13.088276606979326,-19.037852031931646,-16.460344892893122,-16.46034489289312,0.0,-19.037852031931646,248000,1,1.9612294770723764,0.0,1,-16.460344892893122,0.0,1.9612294770723764,-13.088276606979326,0.0
10,-15.565837040945828,10,-12.612021831429326,-19.038446413675082,-15.565837040945828,-15.565837040945828,0.0,-19.038446413675082,272000,2,2.1950278299635904,0.0,2,-15.565837040945828,0.0,2.1950278299635904,-12.612021831429326,0.0
10,-14.449704643269362,10,-11.969999950558813,-18.358140715081262,-14.449704643269357,-14.449704643269362,0.0,-18.358140715081262,296000,3,2.0798642451381846,0.0,3,-14.449704643269357,0.0,2.0798642451381846,-11.969999950558813,0.0
10,-13.2879091227993,10,-8.800345395927916,-16.571420555880625,-13.287909122799302,-13.2879091227993,0.0,-16.571420555880625,320000,4,2.360396370015912,0.0,4,-13.287909122799302,0.0,2.360396370015912,-8.800345395927916,0.0
10,-11.697264024115093,10,-8.810960069155929,-14.306296019305355,-11.697264024115093,-11.697264024115093,0.0,-14.306296019305355,344000,5,1.651013656438968,0.0,5,-11.697264024115093,0.0,1.651013656438968,-8.810960069155929,0.0
10,-8.897108830814927,10,-6.183571138180266,-12.07476139801041,-8.897108830814927,-8.897108830814927,0.0,-12.07476139801041,368000,6,2.080057216326138,0.0,6,-8.897108830814927,0.0,2.080057216326138,-6.183571138180266,0.0
10,-8.660102093874361,10,-6.000990826047939,-11.400994784547542,-8.660102093874361,-8.660102093874361,0.0,-11.400994784547542,392000,7,1.773305387049984,0.0,7,-8.660102093874361,0.0,1.773305387049984,-6.000990826047939,0.0
10,-6.365242049506099,10,-4.568934753758468,-8.506082516786213,-6.365242049506097,-6.365242049506099,0.0,-8.506082516786213,416000,8,1.2492942883872549,0.0,8,-6.365242049506097,0.0,1.2492942883872549,-4.568934753758468,0.0
10,-10.558020486109731,10,-8.745149305823041,-13.58408258240594,-10.558020486109735,-10.558020486109731,0.0,-13.58408258240594,440000,9,1.4436052246608126,0.0,9,-10.558020486109735,0.0,1.4436052246608126,-8.745149305823041,0.0
10,-16.068600013584792,10,-14.981455744358575,-17.75214919953354,-16.068600013584796,-16.068600013584792,0.0,-17.75214919953354,464000,10,0.9348392856097919,0.0,10,-16.068600013584796,0.0,0.9348392856097919,-14.981455744358575,0.0
10,-13.719933353323688,10,-11.211030606615818,-16.099360695004002,-13.719933353323693,-13.719933353323688,0.0,-16.099360695004002,488000,11,1.683093215594615,0.0,11,-13.719933353323693,0.0,1.683093215594615,-11.211030606615818,0.0
10,-9.802570624255528,10,-8.322573286116587,-12.784224002758764,-9.80257062425553,-9.802570624255528,0.0,-12.784224002758764,512000,12,1.4172997479931966,0.0,12,-9.80257062425553,0.0,1.4172997479931966,-8.322573286116587,0.0
10,-6.465103697282359,10,6.541037109211842,-12.454586433121392,-6.465103697282359,-6.465103697282359,0.0,-12.454586433121392,536000,13,4.808902069505684,0.0,13,-6.465103697282359,0.0,4.808902069505684,6.541037109211842,0.0
10,603.0475817747587,10,1590.112284864394,-47.07098610383142,603.0475817747584,603.0475817747587,0.0,-47.07098610383142,560000,14,543.3579133929337,0.0,14,603.0475817747584,0.0,543.3579133929337,1590.112284864394,0.0
10,-30.72703366311189,10,-1.2803972406288935,-45.43675327468748,-30.727033663111882,-30.72703366311189,0.0,-45.43675327468748,584000,15,14.048765139652051,0.0,15,-30.727033663111882,0.0,14.048765139652051,-1.2803972406288935,0.0
10,-17.222221857823268,10,-14.360900605552626,-19.926525161649366,-17.222221857823268,-17.222221857823268,0.0,-19.926525161649366,608000,16,1.5185474428666574,0.0,16,-17.222221857823268,0.0,1.5185474428666574,-14.360900605552626,0.0
10,-22.26496036736764,10,-17.740556498011077,-36.50557473098601,-22.264960367367635,-22.26496036736764,0.0,-36.50557473098601,632000,17,6.090935003037043,0.0,17,-22.264960367367635,0.0,6.090935003037043,-17.740556498011077,0.0
10,31.00471939711694,10,345.2692495381479,-14.331794956844742,31.00471939711695,31.00471939711694,0.0,-14.331794956844742,656000,18,105.05367384116363,0.0,18,31.00471939711695,0.0,105.05367384116363,345.2692495381479,0.0
10,-6.6682180711277965,10,4.426434335773244,-13.588970030931998,-6.6682180711277965,-6.6682180711277965,0.0,-13.588970030931998,680000,19,5.0391005222329595,0.0,19,-6.6682180711277965,0.0,5.0391005222329595,4.426434335773244,0.0
10,-1.62999815770047,10,46.66942759657817,-34.63295094733863,-1.6299981577004707,-1.62999815770047,0.0,-34.63295094733863,704000,20,28.24109749186044,0.0,20,-1.6299981577004707,0.0,28.24109749186044,46.66942759657817,0.0
