MetaTrain/Average/PolicyLoss,MetaTest/Average/MinReturn,MetaTest/button-press-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/button-press-v1/Iteration,MetaTrain/Average/Alpha,MetaTest/button-press-v1/TerminationRate,MetaTest/button-press-v1/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/button-press-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/button-press-v1/StdReturn,MetaTest/button-press-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/button-press-v1/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/button-press-v1/AverageReturn,TotalEnvSteps
-1210.9755,-102.15466182474526,0.1,10,37229.7508563082,107651.95740399756,0,nan,0.0,10,37229.750856308194,20.102118,37229.750856308194,1027770.25,107651.95740399756,-102.15466182474526,0.0,0.1,0,360154.13245142024,360154.13245142024,-6.543735,37229.7508563082,224000
-26141.549,-59.22931120087411,0.1,10,13401.896747345356,38927.31159696065,1,nan,0.0,10,13401.896747345341,92.28711,13401.896747345341,3528746.0,38927.31159696065,-59.22931120087411,0.0,0.1,1,130153.86289659467,130153.86289659467,-18.468388,13401.896747345356,248000
-216925.08,-121.91468312760962,0.0,10,-111.5723116711262,8.595868417676849,2,nan,0.0,10,-111.57231167112613,2091944.8,-111.57231167112613,261110200000.0,8.595868417676849,-121.91468312760962,0.0,0.0,2,-95.14153539942667,-95.14153539942667,-43.89937,-111.5723116711262,272000
1635.197,-109.7227948444168,0.0,10,-98.96146171216839,5.717366020905664,3,nan,0.0,10,-98.96146171216846,42946.945,-98.96146171216846,5462640.5,5.717366020905664,-109.7227948444168,0.0,0.0,3,-91.99725171058193,-91.99725171058193,-44.481194,-98.96146171216839,296000
4794.4746,-121.94383470114279,0.0,10,-109.5599244358967,8.5095359448908,4,nan,0.0,10,-109.55992443589676,10598.289,-109.55992443589676,4996248.0,8.5095359448908,-121.94383470114279,0.0,0.0,4,-92.80069365953806,-92.80069365953806,-37.586178,-109.5599244358967,320000
5899.584,-121.02711826800679,0.0,10,-109.14997817695345,10.425298115956403,5,nan,0.0,10,-109.14997817695357,11369.332,-109.14997817695357,4285653.5,10.425298115956403,-121.02711826800679,0.0,0.0,5,-89.18922184426123,-89.18922184426123,-37.586273,-109.14997817695345,344000
4668.3433,-120.82416426630374,0.0,10,-107.48772485576615,8.53792923689936,6,nan,0.0,10,-107.48772485576606,14379.958,-107.48772485576606,3674839.0,8.53792923689936,-120.82416426630374,0.0,0.0,6,-92.58305993988091,-92.58305993988091,-37.58635,-107.48772485576615,368000
4337.1724,-115.13356614418053,0.0,10,-104.94923991603385,8.788946290243578,7,nan,0.0,10,-104.94923991603389,15689.002,-104.94923991603389,3382106.0,8.788946290243578,-115.13356614418053,0.0,0.0,7,-85.84129285838655,-85.84129285838655,-37.586723,-104.94923991603385,392000
3392.427,-114.90771670328097,0.0,10,-15.294196920051695,258.5318186990989,8,nan,0.0,10,-15.29419692005186,5336.245,-15.29419692005186,3112229.5,258.5318186990989,-114.90771670328097,0.0,0.0,8,760.0138463404071,760.0138463404071,-37.58636,-15.294196920051695,416000
3511.0227,-119.3817617483928,0.0,10,-108.09481626940685,8.927425888501782,9,nan,0.0,10,-108.09481626940676,1253.3794,-108.09481626940676,2524569.2,8.927425888501782,-119.3817617483928,0.0,0.0,9,-90.02855103162854,-90.02855103162854,-37.58614,-108.09481626940685,440000
3730.575,-119.88616552630954,0.0,10,-108.4017118144948,7.913105216870483,10,nan,0.0,10,-108.4017118144948,1801.6733,-108.4017118144948,1952488.5,7.913105216870483,-119.88616552630954,0.0,0.0,10,-95.58786778150389,-95.58786778150389,-37.586327,-108.4017118144948,464000
4690.265,-120.16775834727481,0.0,10,-105.72970915289702,9.555300477863906,11,nan,0.0,10,-105.72970915289713,3610.1538,-105.72970915289713,2047375.4,9.555300477863906,-120.16775834727481,0.0,0.0,11,-89.86213488664008,-89.86213488664008,-37.586533,-105.72970915289702,488000
5238.6704,-118.20288793809078,0.0,10,-104.9454150594003,6.751480540274559,12,nan,0.0,10,-104.94541505940033,1445.0562,-104.94541505940033,1836757.4,6.751480540274559,-118.20288793809078,0.0,0.0,12,-95.32143824707553,-95.32143824707553,-37.586063,-104.9454150594003,512000
4928.9644,-113.90844617006826,0.0,10,-103.72320104255277,7.241837873194304,13,nan,0.0,10,-103.7232010425527,1822.2814,-103.7232010425527,1082025.1,7.241837873194304,-113.90844617006826,0.0,0.0,13,-90.03347977414741,-90.03347977414741,-37.58643,-103.72320104255277,536000
5722.6494,-124.01975140615752,0.0,10,-105.54376818859016,10.523659471603683,14,nan,0.0,10,-105.54376818859024,5393.778,-105.54376818859024,2683883.0,10.523659471603683,-124.01975140615752,0.0,0.0,14,-88.69707863548925,-88.69707863548925,-37.586197,-105.54376818859016,560000
5812.485,-122.40122009013479,0.0,10,-111.26068655260985,8.408133351892259,15,nan,0.0,10,-111.26068655260981,22348.76,-111.26068655260981,1593508.8,8.408133351892259,-122.40122009013479,0.0,0.0,15,-97.76222245819505,-97.76222245819505,-37.58643,-111.26068655260985,584000
