MetaTrain/Average/Alpha,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTest/plate-slide-back-side-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/plate-slide-back-side-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/plate-slide-back-side-v1/TerminationRate,MetaTest/plate-slide-back-side-v1/AverageDiscountedReturn,MetaTest/plate-slide-back-side-v1/MinReturn,MetaTest/plate-slide-back-side-v1/Iteration,MetaTest/plate-slide-back-side-v1/NumTrajs,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,MetaTest/plate-slide-back-side-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/plate-slide-back-side-v1/SuccessRate,MetaTest/Average/NumTrajs
nan,7.9718995,-28.180973982272413,0.4098659648733468,0.4098659648733468,-27.74845104431374,-28.180973982272413,0,-28.805799458411823,-2.6856477,0.0,-28.180973982272405,-28.805799458411823,0,10,224000,-28.180973982272405,136.2888,0.0,-27.74845104431374,0.0,6.6936207,0.0,10
nan,11.451222,-80.88184867456339,64.73012897155623,64.73012897155623,-15.730806391064593,-80.88184867456339,1,-145.61739034201312,-541.73206,0.0,-80.88184867456349,-145.61739034201312,1,10,248000,-80.88184867456349,15755.87,0.0,-15.730806391064593,0.0,-4.221884,0.0,10
nan,22.345589,-26.81197842691236,0.40523278808520546,0.40523278808520546,-26.10693134112306,-26.81197842691236,2,-27.492895518814997,-2314.509,0.0,-26.81197842691237,-27.492895518814997,2,10,272000,-26.81197842691237,19036.193,0.0,-26.10693134112306,0.0,-7.051454,0.0,10
nan,16.52078,-19.176241938504905,0.38938039606512176,0.38938039606512176,-18.602604817600497,-19.176241938504905,3,-20.026080246815983,-3803.5266,0.0,-19.1762419385049,-20.026080246815983,3,10,296000,-19.1762419385049,21462.578,0.0,-18.602604817600497,0.0,-5.897809,0.0,10
nan,13.989311,-35.83833827511066,9.553415152212228,9.553415152212228,-16.87629539077576,-35.83833827511066,4,-45.152711002280114,-4214.1104,0.0,-35.83833827511065,-45.152711002280114,4,10,320000,-35.83833827511065,18465.973,0.0,-16.87629539077576,0.0,-6.2383614,0.0,10
nan,18.067785,-68.56655906170907,2.809099173154136,2.809099173154136,-62.2154102163801,-68.56655906170907,5,-71.21541421018323,-5035.424,0.0,-68.56655906170906,-71.21541421018323,5,10,344000,-68.56655906170906,34194.074,0.0,-62.2154102163801,0.0,-7.593746,0.0,10
nan,17.721413,3591.0691813057283,10693.233446316128,10693.233446316128,35668.957291050036,3591.0691813057283,6,-46.784404477209634,-5244.7764,0.0,3591.069181305731,-46.784404477209634,6,10,368000,3591.069181305731,44396.28,0.0,35668.957291050036,0.0,-6.7588205,0.0,10
nan,42.15899,-23.60412586289693,6.23530581630412,6.23530581630412,-17.0464451242984,-23.60412586289693,7,-31.760974569422643,-13246.94,0.0,-23.60412586289693,-31.760974569422643,7,10,392000,-23.60412586289693,80237.12,0.0,-17.0464451242984,0.0,-12.429047,0.0,10
nan,42.302216,-81.9136706039362,3.394540344267597,3.394540344267597,-73.38781356454203,-81.9136706039362,8,-84.90298068689823,-27226.764,0.0,-81.9136706039362,-84.90298068689823,8,10,416000,-81.9136706039362,139294.78,0.0,-73.38781356454203,0.0,-13.462761,0.0,10
nan,143.81139,3404.937312686735,7609.6835418510445,7609.6835418510445,24602.055692137434,3404.937312686735,9,-28.07013713298599,-20952.238,0.0,3404.9373126867345,-28.07013713298599,9,10,440000,3404.9373126867345,118358.414,0.0,24602.055692137434,0.0,-14.000063,0.0,10
nan,224.74016,6723.080074921383,16450.999434841196,16450.999434841196,55738.62161071361,6723.080074921383,10,-62.92436363424118,-19292.912,0.0,6723.080074921383,-62.92436363424118,10,10,464000,6723.080074921383,149295.42,0.0,55738.62161071361,0.0,-12.069062,0.0,10
nan,1584.2887,1089.8286860664632,2696.696197544894,2696.696197544894,8969.179113537695,1089.8286860664632,11,-16.964901424817374,-18352.094,0.0,1089.828686066463,-16.964901424817374,11,10,488000,1089.828686066463,232787.9,0.0,8969.179113537695,0.0,-11.612225,0.0,10
nan,691.6293,-57.16592399618777,11.981643685377875,11.981643685377875,-49.513299681652626,-57.16592399618777,12,-92.55527872242081,-25682.74,0.0,-57.16592399618778,-92.55527872242081,12,10,512000,-57.16592399618778,267722.9,0.0,-49.513299681652626,0.0,-12.627313,0.0,10
nan,468.209,92.99576258254996,317.3338912578553,317.3338912578553,963.6447856500239,92.99576258254996,13,-89.12413084981668,-27741.438,0.0,92.99576258254989,-89.12413084981668,13,10,536000,92.99576258254989,328687.56,0.0,963.6447856500239,0.0,-12.947587,0.0,10
nan,521.66266,7350.917928730884,15997.947582548217,15997.947582548217,54724.70787607016,7350.917928730884,14,-13.50828470768239,-28968.25,0.0,7350.917928730884,-13.50828470768239,14,10,560000,7350.917928730884,474945.66,0.0,54724.70787607016,0.0,-12.980996,0.0,10
nan,5353.75,-33.811379622205244,37.715729057827645,37.715729057827645,-5.7440893853978645,-33.811379622205244,15,-137.89423997126113,-14608.556,0.0,-33.81137962220526,-137.89423997126113,15,10,584000,-33.81137962220526,620218.75,0.0,-5.7440893853978645,0.0,-12.060705,0.0,10
