Average/TerminationRate,plate-slide-back-side-v1/MinReturn,MetaTest/Average/Iteration,Average/Iteration,MetaTest/Average/AverageReturn,Average/NumEpisodes,plate-slide-back-side-v1/MaxReturn,MetaTest/plate-slide-back-side-v1/NumEpisodes,MetaTest/plate-slide-back-side-v1/SuccessRate,plate-slide-back-side-v1/AverageReturn,plate-slide-back-side-v1/Iteration,policy/LossAfter,Average/AverageReturn,policy/Entropy,MetaTest/plate-slide-back-side-v1/MinReturn,Average/MinReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,Average/SuccessRate,MetaTest/plate-slide-back-side-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-back-side-v1/Iteration,plate-slide-back-side-v1/StdReturn,plate-slide-back-side-v1/NumEpisodes,MetaTest/plate-slide-back-side-v1/AverageDiscountedReturn,MetaTest/plate-slide-back-side-v1/AverageReturn,Average/AverageDiscountedReturn,policy/dLoss,LinearFeatureBaseline/ExplainedVariance,MetaTest/plate-slide-back-side-v1/TerminationRate,MetaTest/Average/TerminationRate,plate-slide-back-side-v1/SuccessRate,plate-slide-back-side-v1/TerminationRate,policy/KLBefore,TotalEnvSteps,MetaTest/Average/NumEpisodes,policy/KL,Average/StdReturn,plate-slide-back-side-v1/AverageDiscountedReturn,MetaTest/plate-slide-back-side-v1/MaxReturn,policy/LossBefore,MetaTest/Average/StdReturn,Average/MaxReturn
0.0,-95.67942493595034,0,0,-70.75298345764813,100,-53.33449541538692,10,0.0,-74.67899783548621,0,-0.05659761,-74.67899783548621,5.6789327,-84.5141317847591,-95.67942493595034,0.0,-61.688355542746,-84.5141317847591,0.0,7.350554128061173,-70.75298345764816,0,9.009989551208317,100,-70.75298345764816,-70.75298345764813,-28.922799288474977,0.026260732,0.5589467876903949,0.0,0.0,0.0,0.0,0.0,20000,10,0.008975257,9.009989551208317,-28.922799288474977,-61.688355542746,-0.030336877,7.350554128061173,-53.33449541538692
0.0,-95.45435342708136,,1,,100,-37.53706956482999,,,-60.07665962455463,1,-0.03818301,-60.07665962455463,5.679644,,-95.45435342708136,,,,0.0,,,,9.301388218012832,100,,,-24.593638935433194,0.022211468,0.5473974122086368,,,0.0,0.0,0.0,40000,,0.02248812,9.301388218012832,-24.593638935433194,,-0.015971543,,-37.53706956482999
0.0,-58.42381434952245,,2,,100,1282.15970832273,,,-16.394448294761457,2,-0.3399236,-16.394448294761457,5.6728463,,-58.42381434952245,,,,0.0,,,,162.12796989231086,100,,,-14.287405323054331,0.24462584,0.09140409461256704,,,0.0,0.0,0.0,60000,,0.016546236,162.12796989231086,-14.287405323054331,,-0.095297754,,1282.15970832273
0.0,-51.35623731065649,,3,,100,6508.48460595282,,,121.53370597562133,3,-0.90381086,121.53370597562133,5.655935,,-51.35623731065649,,,,0.0,,,,833.5426453176366,100,,,31.144596991866635,0.98780775,0.10988711146920083,,,0.0,0.0,0.0,80000,,0.008254178,833.5426453176366,31.144596991866635,,0.08399688,,6508.48460595282
0.0,-43.584681636338374,,4,,100,5354.430789956077,,,31.426832862754097,4,-0.2544875,31.426832862754097,5.6455216,,-43.584681636338374,,,,0.0,,,,536.3851046186501,100,,,8.81978032183295,0.4409389,0.10195361911898493,,,0.0,0.0,0.0,100000,,0.005105847,536.3851046186501,8.81978032183295,,0.18645136,,5354.430789956077
0.0,-41.08279168938022,,5,,100,7413.602843825268,,,209.95460762555,5,-0.89286643,209.95460762555,5.6152196,,-41.08279168938022,,,,0.04,,,,1032.9928931598179,100,,,39.876033349144016,1.0056782,0.07266052946725998,,,0.04,0.0,0.0,120000,,0.008416972,1032.9928931598179,39.876033349144016,,0.11281172,,7413.602843825268
0.0,-41.79612021820388,,6,,100,16199.955078410083,,,481.44785946282025,6,-3.7389581,481.44785946282025,5.6002274,,-41.79612021820388,,,,0.02,,,,2050.444816333102,100,,,123.19556547075483,2.3829882,0.11163357558858711,,,0.02,0.0,0.0,140000,,0.007554561,2050.444816333102,123.19556547075483,,-1.3559699,,16199.955078410083
0.0,-48.92614524067846,,7,,100,23623.48216118681,,,1087.9234810138887,7,-6.611831,1087.9234810138887,5.605592,,-48.92614524067846,,,,0.08,,,,3924.104884201854,100,,,314.75330994550956,5.9029946,0.13623945150000105,,,0.08,0.0,0.0,160000,,0.008606634,3924.104884201854,314.75330994550956,,-0.70883673,,23623.48216118681
0.0,-37.8162132155494,,8,,100,8852.425897757197,,,152.9715955339151,8,-1.395041,152.9715955339151,5.5940695,,-37.8162132155494,,,,0.01,,,,1028.4241231583276,100,,,26.96499434441624,0.95634806,0.13449983015297273,,,0.01,0.0,0.0,180000,,0.005125338,1028.4241231583276,26.96499434441624,,-0.43869296,,8852.425897757197
0.0,-38.78316388978016,,9,,100,22964.050202527513,,,1392.309995031479,9,-3.0816312,1392.309995031479,5.580958,,-38.78316388978016,,,,0.12,,,,4238.703986965866,100,,,394.0132146176506,5.484497,0.13830918717655738,,,0.12,0.0,0.0,200000,,0.005665636,4238.703986965866,394.0132146176506,,2.4028656,,22964.050202527513
