MetaTest/basketball-v1/NumTrajs,MetaTest/basketball-v1/MaxReturn,MetaTest/basketball-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v1/AverageDiscountedReturn,MetaTest/basketball-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/basketball-v1/StdReturn,MetaTest/basketball-v1/Iteration,MetaTest/basketball-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/basketball-v1/TerminationRate
10,-23.70745535145785,-37.38125674170971,-30.261871528034664,4.12912010552652,-37.38125674170971,-30.261871528034668,-30.261871528034668,-30.261871528034664,0.0,0,4.12912010552652,0,0.0,10,-23.70745535145785,224000,0.0,0.0
10,-21.934596230727777,-39.645188189698004,-28.774567609462974,4.8914197370298815,-39.645188189698004,-28.77456760946298,-28.77456760946298,-28.774567609462974,0.0,1,4.8914197370298815,1,0.0,10,-21.934596230727777,248000,0.0,0.0
10,-15.807482000366608,-27.20345069048287,-23.340159561729735,4.35596347689286,-27.20345069048287,-23.340159561729735,-23.340159561729735,-23.340159561729735,0.0,2,4.35596347689286,2,0.0,10,-15.807482000366608,272000,0.0,0.0
10,-21.395998594249065,-31.507342552004907,-29.038242420749135,2.899624336741866,-31.507342552004907,-29.03824242074914,-29.03824242074914,-29.038242420749135,0.0,3,2.899624336741866,3,0.0,10,-21.395998594249065,296000,0.0,0.0
10,-27.002096612357064,-31.364671553656862,-29.801100340349876,1.1279251243221713,-31.364671553656862,-29.801100340349866,-29.801100340349866,-29.801100340349876,0.0,4,1.1279251243221713,4,0.0,10,-27.002096612357064,320000,0.0,0.0
10,-14.5871352620237,-33.29538269011647,-23.685106630613227,6.0181422884680575,-33.29538269011647,-23.685106630613227,-23.685106630613227,-23.685106630613227,0.0,5,6.0181422884680575,5,0.0,10,-14.5871352620237,344000,0.0,0.0
10,-18.67038876434484,-20.758946268916322,-19.661611349609156,0.7281726609379882,-20.758946268916322,-19.661611349609156,-19.661611349609156,-19.661611349609156,0.0,6,0.7281726609379882,6,0.0,10,-18.67038876434484,368000,0.0,0.0
10,-12.761142743805811,-18.99284303444745,-14.847058863397285,2.025682911831179,-18.99284303444745,-14.847058863397288,-14.847058863397288,-14.847058863397285,0.0,7,2.025682911831179,7,0.0,10,-12.761142743805811,392000,0.0,0.0
10,-13.423269710205018,-31.93182807918251,-17.974317439935657,5.172769620325644,-31.93182807918251,-17.974317439935668,-17.974317439935668,-17.974317439935657,0.0,8,5.172769620325644,8,0.0,10,-13.423269710205018,416000,0.0,0.0
10,-13.401285857607375,-18.504243983685424,-15.806909504385882,1.5481539258031949,-18.504243983685424,-15.806909504385889,-15.806909504385889,-15.806909504385882,0.0,9,1.5481539258031949,9,0.0,10,-13.401285857607375,440000,0.0,0.0
10,-13.338173064442827,-17.892245492455906,-16.08229552726079,1.5449914890859653,-17.892245492455906,-16.08229552726079,-16.08229552726079,-16.08229552726079,0.0,10,1.5449914890859653,10,0.0,10,-13.338173064442827,464000,0.0,0.0
10,-27.173813455436626,-183.91751458915212,-87.50847682936124,55.62468173142064,-183.91751458915212,-87.50847682936123,-87.50847682936123,-87.50847682936124,0.0,11,55.62468173142064,11,0.0,10,-27.173813455436626,488000,0.0,0.0
10,-22.179649153633207,-156.44139948337494,-75.80530099634976,35.97617546094983,-156.44139948337494,-75.80530099634977,-75.80530099634977,-75.80530099634976,0.0,12,35.97617546094983,12,0.0,10,-22.179649153633207,512000,0.0,0.0
