MetaTest/plate-slide-back-side-v1/Iteration,MetaTest/Average/MinReturn,policy/dLoss,MetaTest/plate-slide-back-side-v1/SuccessRate,plate-slide-back-side-v1/MaxReturn,policy/LossBefore,MetaTest/Average/Iteration,Average/AverageDiscountedReturn,policy/Entropy,plate-slide-back-side-v1/AverageDiscountedReturn,Average/NumEpisodes,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/NumEpisodes,MetaTest/plate-slide-back-side-v1/AverageReturn,MetaTest/plate-slide-back-side-v1/TerminationRate,plate-slide-back-side-v1/Iteration,Average/MaxReturn,plate-slide-back-side-v1/StdReturn,MetaTest/plate-slide-back-side-v1/MaxReturn,MetaTest/Average/StdReturn,plate-slide-back-side-v1/SuccessRate,TotalEnvSteps,policy/KL,policy/KLBefore,Average/Iteration,MetaTest/Average/AverageDiscountedReturn,Average/StdReturn,Average/MinReturn,Average/TerminationRate,plate-slide-back-side-v1/TerminationRate,Average/AverageReturn,plate-slide-back-side-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/plate-slide-back-side-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,plate-slide-back-side-v1/AverageReturn,MetaTest/plate-slide-back-side-v1/MinReturn,MetaTest/Average/AverageReturn,plate-slide-back-side-v1/NumEpisodes,MetaTest/plate-slide-back-side-v1/NumEpisodes,policy/LossAfter,Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/plate-slide-back-side-v1/StdReturn
0,-90.67764371644368,0.032401934,0.0,-52.622377085040355,-0.014607618,0,-28.950229942905544,5.6887946,-28.950229942905544,100,0.4560536447807413,10,-77.2141813265097,0.0,0,-52.622377085040355,10.037715468250362,-66.8623354931808,7.645719223191728,0.0,20000,0.009280307,0.0,0,-77.2141813265097,10.037715468250362,-100.95090707835288,0.0,0.0,-74.80736039336334,-100.95090707835288,0.0,-77.2141813265097,0.0,-74.80736039336334,-90.67764371644368,-77.2141813265097,100,10,-0.047009554,0.0,-66.8623354931808,7.645719223191728
,,0.022763334,,-37.54828925704051,-0.015035405,,-24.974785653002467,5.6755776,-24.974785653002467,100,0.6218223181201159,,,,1,-37.54828925704051,9.910488072361158,,,0.0,40000,0.02406426,0.0,1,,9.910488072361158,-83.3633457896569,0.0,0.0,-61.386806478525344,-83.3633457896569,,,,-61.386806478525344,,,100,,-0.03779874,0.0,,
,,0.54282725,,4151.893603349467,-0.03382871,,-10.989423408446509,5.6486354,-10.989423408446509,100,0.14392797122470535,,,,2,4151.893603349467,417.21316955203037,,,0.01,60000,0.015309215,0.0,2,,417.21316955203037,-62.43660773640189,0.0,0.0,1.4315522323839085,-62.43660773640189,,,,1.4315522323839085,,,100,,-0.576656,0.01,,
,,0.22710313,,1929.4198729751033,0.11579453,,-4.666025067658152,5.633194,-4.666025067658152,100,0.06533508757448558,,,,3,1929.4198729751033,221.0846077359839,,,0.01,80000,0.015186496,0.0,3,,221.0846077359839,-59.18122989206958,0.0,0.0,10.357788210861388,-59.18122989206958,,,,10.357788210861388,,,100,,-0.1113086,0.01,,
,,2.4597678,,22648.217220314815,0.7236203,,89.26823513323137,5.6126013,89.26823513323137,100,0.288900995601873,,,,4,22648.217220314815,2293.3019024432133,,,0.01,100000,0.0069120536,0.0,4,,2293.3019024432133,-49.87163484077249,0.0,0.0,257.7746075181806,-49.87163484077249,,,,257.7746075181806,,,100,,-1.7361476,0.01,,
,,0.81684875,,5168.935911625777,-0.06868711,,52.96439694199219,5.582433,52.96439694199219,100,0.12851763951361028,,,,5,5168.935911625777,839.3941986088975,,,0.0,120000,0.014608295,0.0,5,,839.3941986088975,-46.25783083492222,0.0,0.0,177.64418360539727,-46.25783083492222,,,,177.64418360539727,,,100,,-0.88553584,0.0,,
,,3.9277842,,32508.022389827813,3.8532906,,150.14315184628424,5.556483,150.14315184628424,100,0.13799267326432985,,,,6,32508.022389827813,3349.6354167756767,,,0.01,140000,0.0077760704,0.0,6,,3349.6354167756767,-50.722969019032014,0.0,0.0,399.3723222728741,-50.722969019032014,,,,399.3723222728741,,,100,,-0.07449375,0.01,,
,,0.6779041,,8349.07302304899,0.04245996,,58.7977981092865,5.5388207,58.7977981092865,100,0.15670970419388963,,,,7,8349.07302304899,967.5432389537018,,,0.02,160000,0.014323481,0.0,7,,967.5432389537018,-48.929360963058954,0.0,0.0,110.51856282700258,-48.929360963058954,,,,110.51856282700258,,,100,,-0.63544416,0.02,,
,,6.236841,,33243.85076154127,-2.9152374,,333.7236904171646,5.516808,333.7236904171646,100,0.2073969781899685,,,,8,33243.85076154127,4752.491620112325,,,0.04,180000,0.0070618447,0.0,8,,4752.491620112325,-48.48222664446541,0.0,0.0,866.3239290249668,-48.48222664446541,,,,866.3239290249668,,,100,,-9.152079,0.04,,
,,1.8952765,,21667.048432461102,1.2952719,,109.0548409033467,5.4975405,109.0548409033467,100,0.10192547906283178,,,,9,21667.048432461102,2210.2728201964205,,,0.02,200000,0.008410972,0.0,9,,2210.2728201964205,-49.24946563957134,0.0,0.0,265.4854053052642,-49.24946563957134,,,,265.4854053052642,,,100,,-0.6000047,0.02,,
1,-44.10733315674722,3.502324,0.0,26354.2500961204,-2.8670726,1,290.11752486637766,5.4849477,290.11752486637766,100,0.1536440752932603,10,-23.80057741864163,0.0,10,26354.2500961204,3599.6251468902033,-18.54533972072366,6.9803550042113445,0.02,220000,0.0060656075,0.0,10,-23.80057741864163,3599.6251468902033,-45.767982727104396,0.0,0.0,721.7433953334616,-45.767982727104396,0.0,-23.80057741864163,0.0,721.7433953334616,-44.10733315674722,-23.80057741864163,100,10,-6.3693967,0.02,-18.54533972072366,6.9803550042113445
,,3.4849086,,28234.0509069763,0.010039844,,218.25562474953387,5.4652467,218.25562474953387,100,0.2460795197924327,,,,11,28234.0509069763,3207.1775626094254,,,0.03,240000,0.0072216834,0.0,11,,3207.1775626094254,-40.20050487400532,0.0,0.0,658.0613333923473,-40.20050487400532,,,,658.0613333923473,,,100,,-3.4748688,0.03,,
,,3.0832055,,31184.228727667854,-1.8150399,,193.3415969118529,5.4532847,193.3415969118529,100,0.1309315841922022,,,,12,31184.228727667854,3106.9299545169006,,,0.01,260000,0.010666824,0.0,12,,3106.9299545169006,-46.058994414436214,0.0,0.0,331.93938542315266,-46.058994414436214,,,,331.93938542315266,,,100,,-4.8982453,0.01,,
,,7.250022,,31541.80737052386,6.4086814,,777.1988526153816,5.434609,777.1988526153816,100,0.18947861964723156,,,,13,31541.80737052386,5961.268305728445,,,0.09,280000,0.005397616,0.0,13,,5961.268305728445,-49.411323518055696,0.0,0.0,1839.3458622907367,-49.411323518055696,,,,1839.3458622907367,,,100,,-0.8413406,0.09,,
,,4.280194,,40635.8584154174,-3.0042515,,489.05747146565125,5.4201255,489.05747146565125,100,0.11910702077645174,,,,14,40635.8584154174,4709.325852670836,,,0.03,300000,0.0066097314,0.0,14,,4709.325852670836,-42.05718629814035,0.0,0.0,1040.8464900451822,-42.05718629814035,,,,1040.8464900451822,,,100,,-7.2844453,0.03,,
,,5.7738314,,33521.46270397378,-0.24415626,,312.3983466013326,5.419601,312.3983466013326,100,0.20027656466199362,,,,15,33521.46270397378,4595.466369697063,,,0.02,320000,0.0066960757,0.0,15,,4595.466369697063,-48.9323889578718,0.0,0.0,872.4726648184816,-48.9323889578718,,,,872.4726648184816,,,100,,-6.0179877,0.02,,
,,6.0612817,,33045.377982717786,-4.171243,,722.8662514936874,5.4118533,722.8662514936874,100,0.17207283709906585,,,,16,33045.377982717786,5273.356986427973,,,0.07,340000,0.0053391242,0.0,16,,5273.356986427973,-47.743890322586466,0.0,0.0,1721.1706630557073,-47.743890322586466,,,,1721.1706630557073,,,100,,-10.232525,0.07,,
,,12.471381,,46906.68189125918,3.7062874,,1307.1837454691658,5.397491,1307.1837454691658,100,0.23241453084026475,,,,17,46906.68189125918,9890.204946564274,,,0.11,360000,0.0043578683,0.0,17,,9890.204946564274,-38.30540512764902,0.0,0.0,3524.7611270477973,-38.30540512764902,,,,3524.7611270477973,,,100,,-8.765094,0.11,,
,,10.182456,,45835.60488458254,-4.7086,,1396.3130483943905,5.37517,1396.3130483943905,100,0.1620165937692768,,,,18,45835.60488458254,9544.823544527357,,,0.09,380000,0.007734258,0.0,18,,9544.823544527357,-32.589928228023446,0.0,0.0,3249.054781426657,-32.589928228023446,,,,3249.054781426657,,,100,,-14.891056,0.09,,
,,8.777801,,44280.55546946901,8.122816,,978.6888240285791,5.344274,978.6888240285791,100,0.17780325220211934,,,,19,44280.55546946901,7676.306852014996,,,0.08,400000,0.0069279345,0.0,19,,7676.306852014996,-37.40103612688043,0.0,0.0,2627.3530744372133,-37.40103612688043,,,,2627.3530744372133,,,100,,-0.65498435,0.08,,
2,-32.13640095931623,10.029966,0.1,43802.111160099346,13.20375,2,1154.7095019633184,5.324427,1154.7095019633184,100,0.17819888016189644,10,4309.619079679962,0.0,20,43802.111160099346,8664.679566887178,30076.06398132904,9193.962694130116,0.07,420000,0.009861243,0.0,20,4309.619079679962,8664.679566887178,-40.31196063111197,0.0,0.0,2726.9812833822525,-40.31196063111197,0.0,4309.619079679962,0.1,2726.9812833822525,-32.13640095931623,4309.619079679962,100,10,3.1737828,0.07,30076.06398132904,9193.962694130116
,,15.075969,,68958.25200858034,0.214575,,2196.7310944762157,5.303269,2196.7310944762157,100,0.25816815657784764,,,,21,68958.25200858034,11883.650950855965,,,0.17,440000,0.006654027,0.0,21,,11883.650950855965,-42.52225591915546,0.0,0.0,5255.058233407277,-42.52225591915546,,,,5255.058233407277,,,100,,-14.861394,0.17,,
,,15.683644,,56234.72500376316,-2.843928,,2309.0689820995613,5.287475,2309.0689820995613,100,0.22950279607268997,,,,22,56234.72500376316,12702.440580107796,,,0.18,460000,0.0061655,0.0,22,,12702.440580107796,-41.17855653406607,0.0,0.0,5584.7672968903125,-41.17855653406607,,,,5584.7672968903125,,,100,,-18.527573,0.18,,
,,13.675137,,52292.36617929173,-1.8701625,,1914.1674820328224,5.265633,1914.1674820328224,100,0.2562617592709372,,,,23,52292.36617929173,11189.24792565517,,,0.18,480000,0.0069668284,0.0,23,,11189.24792565517,-43.62581858413312,0.0,0.0,4662.117235804838,-43.62581858413312,,,,4662.117235804838,,,100,,-15.5453,0.18,,
,,15.052076,,63156.17940096755,-18.151106,,2217.247814387361,5.2908106,2217.247814387361,100,0.17261275310969104,,,,24,63156.17940096755,12429.497581602574,,,0.19,500000,0.00803784,0.0,24,,12429.497581602574,-36.9228730691214,0.0,0.0,5379.55465952849,-36.9228730691214,,,,5379.55465952849,,,100,,-33.203182,0.19,,
,,17.648607,,69578.96556868221,1.5291687,,3320.4183985053546,5.2768736,3320.4183985053546,100,0.20233537381541256,,,,25,69578.96556868221,14251.98350738576,,,0.25,520000,0.00523787,0.0,25,,14251.98350738576,-26.520828613096327,0.0,0.0,7882.48794132175,-26.520828613096327,,,,7882.48794132175,,,100,,-16.119438,0.25,,
,,16.364958,,55226.73735626115,10.983146,,2925.183356508743,5.257365,2925.183356508743,100,0.22089282360533524,,,,26,55226.73735626115,14315.976102311406,,,0.26,540000,0.006917076,0.0,26,,14315.976102311406,-40.44015232772084,0.0,0.0,7367.79025785344,-40.44015232772084,,,,7367.79025785344,,,100,,-5.3818126,0.26,,
,,16.841232,,61771.52648576967,-13.813663,,3128.5886366247114,5.2488813,3128.5886366247114,100,0.23293694394300546,,,,27,61771.52648576967,14545.014416125343,,,0.23,560000,0.004552052,0.0,27,,14545.014416125343,-24.87817558797301,0.0,0.0,7045.188564182299,-24.87817558797301,,,,7045.188564182299,,,100,,-30.654894,0.23,,
,,15.647757,,52376.62015143226,9.14785,,2342.9457177936797,5.213714,2342.9457177936797,100,0.19901473842878992,,,,28,52376.62015143226,12241.994205730132,,,0.2,580000,0.006585849,0.0,28,,12241.994205730132,-41.57977766064236,0.0,0.0,5395.700345143763,-41.57977766064236,,,,5395.700345143763,,,100,,-6.499906,0.2,,
,,19.403282,,70865.01150508456,-5.633592,,3479.831207967886,5.1791067,3479.831207967886,100,0.2797241333523349,,,,29,70865.01150508456,16769.59936223028,,,0.24,600000,0.005712346,0.0,29,,16769.59936223028,-32.00394074266346,0.0,0.0,8574.158889892387,-32.00394074266346,,,,8574.158889892387,,,100,,-25.036875,0.24,,
3,-24.98221562478077,20.780437,0.2,71033.47927725881,-12.961375,3,3821.3192148691487,5.1764293,3821.3192148691487,100,0.23078623912124308,10,5243.131673508115,0.0,30,71033.47927725881,16069.662373093483,33837.578126780674,10414.590733670744,0.33,620000,0.004606645,0.0,30,5243.131673508115,16069.662373093483,-26.309541179817405,0.0,0.0,9520.826472369798,-26.309541179817405,0.0,5243.131673508115,0.2,9520.826472369798,-24.98221562478077,5243.131673508115,100,10,-33.741814,0.33,33837.578126780674,10414.590733670744
