MetaTest/stick-pull-v1/TerminationRate,TotalEnvSteps,MetaTest/stick-pull-v1/StdReturn,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/stick-pull-v1/Iteration,MetaTest/Average/NumTrajs,MetaTest/stick-pull-v1/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/stick-pull-v1/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTest/stick-pull-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTrain/Average/Alpha,MetaTest/stick-pull-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/stick-pull-v1/MaxReturn,MetaTest/stick-pull-v1/AverageReturn
0.0,224000,1.7112312440974198,1.561273,-24.568005357015995,6.730631,0.0,-17.836015112022405,0,10,10,-21.236452778314312,-21.236452778314312,-6.9232135,0.0,0,1.7112312440974198,nan,-24.568005357015995,8.389522,-21.236452778314312,0.0,-17.836015112022405,-21.236452778314312
0.0,248000,2.019999698339523,29.061352,-15.093761897267521,6.719084,0.0,-8.937335555953958,1,10,10,-11.069121866771349,-11.069121866771349,-13.2314005,0.0,1,2.019999698339523,nan,-15.093761897267521,53.63085,-11.069121866771349,0.0,-8.937335555953958,-11.069121866771349
0.0,272000,2.267013412175335,23.743074,-14.4072896279648,6.7004046,0.0,-7.185572358355981,2,10,10,-10.507976067764362,-10.507976067764359,-13.032556,0.0,2,2.267013412175335,nan,-14.4072896279648,12.540041,-10.507976067764359,0.0,-7.185572358355981,-10.507976067764362
0.0,296000,2.272802863904099,29.148241,-12.90064671150837,6.6746435,0.0,-6.272259898273643,3,10,10,-9.456623249194841,-9.456623249194843,-23.594149,0.0,3,2.272802863904099,nan,-12.90064671150837,18.439266,-9.456623249194843,0.0,-6.272259898273643,-9.456623249194841
0.0,320000,2.3596352396806544,30.297392,-12.193562861239343,6.640116,0.0,-3.7727768547072733,4,10,10,-8.401559851100329,-8.401559851100329,-34.372288,0.0,4,2.3596352396806544,nan,-12.193562861239343,10.325409,-8.401559851100329,0.0,-3.7727768547072733,-8.401559851100329
0.0,344000,1.7179380582284933,103.94123,-15.430879547481648,6.5854893,0.0,-10.000010196718156,5,10,10,-12.346341985398492,-12.346341985398492,-46.537056,0.0,5,1.7179380582284933,nan,-15.430879547481648,13.861567,-12.346341985398492,0.0,-10.000010196718156,-12.346341985398492
0.0,368000,1.4759818080033302,256.88837,-18.501600265459317,6.486298,0.0,-13.578128107373328,6,10,10,-15.636916756176685,-15.636916756176685,-55.372704,0.0,6,1.4759818080033302,nan,-18.501600265459317,8.792999,-15.636916756176685,0.0,-13.578128107373328,-15.636916756176685
0.0,392000,1.0850444412528815,763.7922,-16.237737876604935,5.991332,0.0,-13.117445120981076,7,10,10,-14.430262034234918,-14.430262034234914,-61.8251,0.0,7,1.0850444412528815,nan,-16.237737876604935,7.660047,-14.430262034234914,0.0,-13.117445120981076,-14.430262034234918
0.0,416000,1.2182994278494876,2100.9248,-13.659906319107645,5.586122,0.0,-10.243168841396626,8,10,10,-11.616834899247376,-11.61683489924738,-86.10761,0.0,8,1.2182994278494876,nan,-13.659906319107645,7.6836524,-11.61683489924738,0.0,-10.243168841396626,-11.616834899247376
0.0,440000,13.625759153262065,4187.779,-44.31461163008261,5.387169,0.0,-7.221882252293603,9,10,10,-14.91545146975848,-14.915451469758485,-131.36784,0.0,9,13.625759153262065,nan,-44.31461163008261,7.6956153,-14.915451469758485,0.0,-7.221882252293603,-14.91545146975848
0.0,464000,19.276731691879057,15292.049,-57.87854143852363,3.7793965,0.0,3.8401126533533607,10,10,10,-26.038676175549547,-26.03867617554954,-286.16882,0.0,10,19.276731691879057,nan,-57.87854143852363,7.840532,-26.03867617554954,0.0,3.8401126533533607,-26.038676175549547
0.0,488000,2.9268609410370057,66632.766,-27.604303152339796,-2.3645365,0.0,-18.979671122822776,11,10,10,-23.555624881020552,-23.555624881020556,-934.41187,0.0,11,2.9268609410370057,nan,-27.604303152339796,8.135488,-23.555624881020556,0.0,-18.979671122822776,-23.555624881020552
0.0,512000,14.326081497964232,176049.38,-27.093129267299922,-8.02495,0.0,22.36948912923305,12,10,10,-1.5254644681650196,-1.525464468165022,-3098.733,0.0,12,14.326081497964232,nan,-27.093129267299922,8.060286,-1.525464468165022,0.0,22.36948912923305,-1.5254644681650196
0.0,536000,166.348981418739,493312.2,-36.184944172950935,-10.766689,0.0,535.2360982457817,13,10,10,37.8799026587604,37.879902658760386,-7124.169,0.0,13,166.348981418739,nan,-36.184944172950935,8.191876,37.879902658760386,0.0,535.2360982457817,37.8799026587604
0.0,560000,11.158012140149554,919537.44,-22.876510261488132,-13.9287815,0.0,11.624818574256311,14,10,10,-8.40854248107953,-8.40854248107954,-14388.248,0.0,14,11.158012140149554,nan,-22.876510261488132,8.023612,-8.40854248107954,0.0,11.624818574256311,-8.40854248107953
0.0,584000,382.7627810746088,923912.06,-35.552502725534566,-16.494923,0.0,985.2482714231766,15,10,10,232.82465932885097,232.82465932885088,-26742.738,0.0,15,382.7627810746088,nan,-35.552502725534566,7.749278,232.82465932885088,0.0,985.2482714231766,232.82465932885097
0.0,608000,263.8052497039223,804781.94,-40.70451531679646,-17.06034,0.0,634.4886321489649,16,10,10,104.53719455472651,104.53719455472654,-36004.81,0.0,16,263.8052497039223,nan,-40.70451531679646,7.624637,104.53719455472654,0.0,634.4886321489649,104.53719455472651
0.0,632000,5.6335006855725345,446125.53,-48.601193404911555,-17.18798,0.0,-30.946784034514103,17,10,10,-37.5895418005029,-37.5895418005029,-40728.633,0.0,17,5.6335006855725345,nan,-48.601193404911555,7.624632,-37.5895418005029,0.0,-30.946784034514103,-37.5895418005029
0.0,656000,6.16442836888427,277676.94,-39.800743445894526,-14.449992,0.0,-20.26145881661039,18,10,10,-31.307781393881005,-31.307781393881008,-41045.24,0.0,18,6.16442836888427,nan,-39.800743445894526,7.624632,-31.307781393881008,0.0,-20.26145881661039,-31.307781393881005
0.0,680000,7.479887151198667,174559.8,-38.702493423374406,-10.142814,0.0,-14.98005433655958,19,10,10,-28.615984359418967,-28.615984359418967,-36922.44,0.0,19,7.479887151198667,nan,-38.702493423374406,7.624632,-28.615984359418967,0.0,-14.98005433655958,-28.615984359418967
0.0,704000,24.395419998332564,133894.73,-92.48393623243825,-8.864955,0.0,-28.648833247647197,20,10,10,-69.45846538599821,-69.4584653859982,-32265.307,0.0,20,24.395419998332564,nan,-92.48393623243825,7.624632,-69.4584653859982,0.0,-28.648833247647197,-69.45846538599821
0.0,728000,33.26120368664237,119219.45,-95.06790324773155,-8.12586,0.0,-23.209930165832777,21,10,10,-58.94653393704942,-58.94653393704941,-28155.883,0.0,21,33.26120368664237,nan,-95.06790324773155,7.624632,-58.94653393704941,0.0,-23.209930165832777,-58.94653393704942
0.0,752000,43.731532325892346,105580.73,-24.45819400071126,-7.793254,0.0,117.47288106516035,22,10,10,3.5730295467080966,3.5730295467081112,-24941.94,0.0,22,43.731532325892346,nan,-24.45819400071126,7.624632,3.5730295467081112,0.0,117.47288106516035,3.5730295467080966
0.0,776000,56.14331245868868,145409.83,-93.93062289651157,-7.379521,0.0,141.5980011363337,23,10,10,-8.812308352136261,-8.812308352136274,-22260.027,0.0,23,56.14331245868868,nan,-93.93062289651157,7.624632,-8.812308352136274,0.0,141.5980011363337,-8.812308352136261
0.0,800000,21.523509241256196,154511.9,-68.9118908375325,-7.655116,0.0,-10.747287476595783,24,10,10,-33.7266560262477,-33.72665602624771,-19966.123,0.0,24,21.523509241256196,nan,-68.9118908375325,7.624632,-33.72665602624771,0.0,-10.747287476595783,-33.7266560262477
0.0,824000,21.93670196033234,144298.06,-73.99082798151241,-7.8154483,0.0,-16.846446959535253,25,10,10,-41.957988768138044,-41.957988768138044,-18288.049,0.0,25,21.93670196033234,nan,-73.99082798151241,7.624632,-41.957988768138044,0.0,-16.846446959535253,-41.957988768138044
0.0,848000,20.45496111316168,135876.36,-70.11937920357623,-7.0258126,0.0,-19.65245110015093,26,10,10,-43.88212904064313,-43.882129040643136,-16624.373,0.0,26,20.45496111316168,nan,-70.11937920357623,7.624632,-43.882129040643136,0.0,-19.65245110015093,-43.88212904064313
0.0,872000,22.943246549392452,113288.43,-72.7244677954957,-6.1783853,0.0,-16.74280148036456,27,10,10,-39.51058022178395,-39.510580221783954,-14772.464,0.0,27,22.943246549392452,nan,-72.7244677954957,7.624632,-39.510580221783954,0.0,-16.74280148036456,-39.51058022178395
0.0,896000,16.626668644264825,96079.54,-63.96741467120069,-5.966792,0.0,-8.810592371836304,28,10,10,-37.79073741339234,-37.79073741339234,-13102.112,0.0,28,16.626668644264825,nan,-63.96741467120069,7.624632,-37.79073741339234,0.0,-8.810592371836304,-37.79073741339234
0.0,920000,13.91015223193538,85834.85,-56.59571881631064,-7.004924,0.0,-17.878947038133145,29,10,10,-33.66839054034274,-33.66839054034273,-11704.726,0.0,29,13.91015223193538,nan,-56.59571881631064,7.624632,-33.66839054034273,0.0,-17.878947038133145,-33.66839054034274
