policy/Entropy,coffee-button-v1/AverageDiscountedReturn,Average/MinReturn,policy/LossAfter,coffee-button-v1/Iteration,MetaTest/coffee-button-v1/MinReturn,MetaTest/Average/MaxReturn,MetaTest/coffee-button-v1/TerminationRate,Average/SuccessRate,MetaTest/coffee-button-v1/SuccessRate,policy/dLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/coffee-button-v1/Iteration,MetaTest/Average/MinReturn,policy/KL,MetaTest/coffee-button-v1/MaxReturn,MetaTest/coffee-button-v1/StdReturn,MetaTest/coffee-button-v1/AverageReturn,Average/NumEpisodes,coffee-button-v1/SuccessRate,coffee-button-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/coffee-button-v1/AverageDiscountedReturn,coffee-button-v1/NumEpisodes,LinearFeatureBaseline/ExplainedVariance,MetaTest/coffee-button-v1/NumEpisodes,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,Average/AverageDiscountedReturn,policy/LossBefore,TotalEnvSteps,coffee-button-v1/TerminationRate,Average/AverageReturn,Average/Iteration,coffee-button-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/NumEpisodes,Average/TerminationRate,policy/KLBefore,Average/StdReturn,Average/MaxReturn,coffee-button-v1/StdReturn,coffee-button-v1/MinReturn
5.6701837,-19.899411572987724,-74.73952549425563,-0.01686203,0,-66.5775701432042,-31.239862437516024,0.0,0.01,0.1,0.012620495,-49.99262920787546,-49.99262920787546,0,-66.5775701432042,0.0072721574,-31.239862437516024,11.08894181949442,-49.99262920787546,100,0.01,-32.528769776740845,0,-49.99262920787546,100,0.5677989523966641,10,0.0,0.1,-19.899411572987724,-0.0042415345,20000,0.0,-51.12684938960189,0,-51.12684938960189,11.08894181949442,10,0.0,0.0,8.4836077164514,-32.528769776740845,8.4836077164514,-74.73952549425563
5.671338,14.349632086870052,-61.65531830903574,-0.8159195,1,,,,0.02,,0.77483046,,,,,0.007983556,,,,100,0.02,6860.8082175303625,,,100,0.09292804718969028,,,,14.349632086870052,-0.04108906,40000,0.0,26.598111135397822,1,26.598111135397822,,,0.0,0.0,686.9222453618717,6860.8082175303625,686.9222453618717,-61.65531830903574
5.6540213,225.8250776294738,-65.6459320149831,-5.594331,2,,,,0.04,,3.2518504,,,,,0.009771835,,,,100,0.04,17943.515777840003,,,100,0.11826057773569743,,,,225.8250776294738,-2.3424804,60000,0.0,476.719444601518,2,476.719444601518,,,0.0,0.0,2464.3455813974874,17943.515777840003,2464.3455813974874,-65.6459320149831
5.6492076,1297.2700411501128,-56.45982308072049,-8.873213,3,,,,0.08,,10.145365,,,,,0.005665571,,,,100,0.08,97858.06926818112,,,100,0.30835802441749616,,,,1297.2700411501128,1.2721516,80000,0.0,3482.830723979962,3,3482.830723979962,,,0.0,0.0,11509.063050000223,97858.06926818112,11509.063050000223,-56.45982308072049
5.6359224,2684.01000598867,-53.22286371538687,-7.313375,4,,,,0.1,,20.375925,,,,,0.004451495,,,,100,0.1,196681.89178776828,,,100,0.27758901025176974,,,,2684.01000598867,13.06255,100000,0.0,6870.624111296307,4,6870.624111296307,,,0.0,0.0,24945.093026730498,196681.89178776828,24945.093026730498,-53.22286371538687
5.6015706,2215.9745373645037,-55.89063342448281,7.4593377,5,,,,0.05,,13.547363,,,,,0.01004704,,,,100,0.05,124151.56043278595,,,100,0.2193241588795971,,,,2215.9745373645037,21.0067,120000,0.0,5407.827780038164,5,5407.827780038164,,,0.0,0.0,17732.657944368173,124151.56043278595,17732.657944368173,-55.89063342448281
5.599897,2444.3303177564508,-50.55674813327593,-15.236909,6,,,,0.25,,14.997022,,,,,0.0046063703,,,,100,0.25,101853.98935260235,,,100,0.19360570929552245,,,,2444.3303177564508,-0.2398875,140000,0.0,7050.271572064676,6,7050.271572064676,,,0.0,0.0,19558.66894550522,101853.98935260235,19558.66894550522,-50.55674813327593
5.6145945,3104.2137044063466,-43.02606516819326,-7.2066,7,,,,0.26,,13.865244,,,,,0.007839291,,,,100,0.26,189252.54913556846,,,100,0.18875543033301834,,,,3104.2137044063466,6.6586437,160000,0.0,6886.735355963761,7,6886.735355963761,,,0.0,0.0,21589.337097318745,189252.54913556846,21589.337097318745,-43.02606516819326
5.6188607,5542.170002034958,-46.24523237338174,-10.127864,8,,,,0.29,,30.557522,,,,,0.0067504137,,,,100,0.29,201930.64492439726,,,100,0.26081569739095023,,,,5542.170002034958,20.429657,180000,0.0,12259.874453845508,8,12259.874453845508,,,0.0,0.0,30645.347598004748,201930.64492439726,30645.347598004748,-46.24523237338174
5.5983787,3052.0050039240123,-44.08109266054232,-1.9243687,9,,,,0.13,,11.9532,,,,,0.0046917116,,,,100,0.13,134239.1647351587,,,100,0.2554234127323025,,,,3052.0050039240123,10.0288315,200000,0.0,7087.1739746236335,9,7087.1739746236335,,,0.0,0.0,20986.69616221673,134239.1647351587,20986.69616221673,-44.08109266054232
5.576856,3771.0627915164723,-44.59762481050112,3.9218156,10,-36.63376315377631,67541.3720209491,0.0,0.16,0.3,8.21945,13296.385614899347,13296.385614899347,1,-36.63376315377631,0.0036298023,67541.3720209491,20197.224269071874,13296.385614899347,100,0.16,74925.0513409116,1,13296.385614899347,100,0.26368467878346136,10,0.0,0.3,3771.0627915164723,12.141266,220000,0.0,7113.824265815826,10,7113.824265815826,20197.224269071874,10,0.0,0.0,12271.505801045958,74925.0513409116,12271.505801045958,-44.59762481050112
5.5614624,5148.990604431588,-47.737612793907964,-21.926168,11,,,,0.4,,20.058237,,,,,0.0035621647,,,,100,0.4,186730.82548014694,,,100,0.2183612608603569,,,,5148.990604431588,-1.8679312,240000,0.0,12582.49924261179,11,12582.49924261179,,,0.0,0.0,26716.757500535587,186730.82548014694,26716.757500535587,-47.737612793907964
5.5712442,3505.3655662526294,-46.30089568220113,-31.4678,12,,,,0.16,,17.83572,,,,,0.0065695075,,,,100,0.16,194016.79439426202,,,100,0.26879727130719033,,,,3505.3655662526294,-13.632081,260000,0.0,8073.265935511392,12,8073.265935511392,,,0.0,0.0,25798.28380949269,194016.79439426202,25798.28380949269,-46.30089568220113
5.564997,6232.2396240512635,-53.95383689295966,-41.86982,13,,,,0.27,,16.730188,,,,,0.00677081,,,,100,0.27,222915.6835857491,,,100,0.22611949818846677,,,,6232.2396240512635,-25.139631,280000,0.0,12812.4665493226,13,12812.4665493226,,,0.0,0.0,29330.01642589941,222915.6835857491,29330.01642589941,-53.95383689295966
5.5595727,4383.3256074922665,-50.653385332766945,0.3591125,14,,,,0.27,,16.3374,,,,,0.0050745234,,,,100,0.27,150804.93466959856,,,100,0.2567113362518787,,,,4383.3256074922665,16.696512,300000,0.0,11401.475295691598,14,11401.475295691598,,,0.0,0.0,27832.569207554006,150804.93466959856,27832.569207554006,-50.653385332766945
5.571437,6156.130549490085,-59.464665867726595,-12.8606,15,,,,0.37,,27.541962,,,,,0.0057750745,,,,100,0.37,193743.603168498,,,100,0.2990702803218863,,,,6156.130549490085,14.681362,320000,0.0,17068.529086425733,15,17068.529086425733,,,0.0,0.0,37874.06848856162,193743.603168498,37874.06848856162,-59.464665867726595
5.555692,6045.330517078258,-56.72175725603014,8.937694,16,,,,0.22,,24.675255,,,,,0.0052082604,,,,100,0.22,191423.0530772041,,,100,0.25253033806914693,,,,6045.330517078258,33.61295,340000,0.0,14175.57922504988,16,14175.57922504988,,,0.0,0.0,34674.00013295198,191423.0530772041,34674.00013295198,-56.72175725603014
5.532716,8395.642812191953,-51.29685650731542,-69.40757,17,,,,0.4,,23.473293,,,,,0.0056118215,,,,100,0.4,191032.2807211844,,,100,0.3274521438342526,,,,8395.642812191953,-45.934277,360000,0.0,19162.1589777214,17,19162.1589777214,,,0.0,0.0,40135.18920455238,191032.2807211844,40135.18920455238,-51.29685650731542
5.5060096,7381.075998492007,-54.1161457307476,-44.23333,18,,,,0.32,,24.66093,,,,,0.004253776,,,,100,0.32,304027.0578835953,,,100,0.3581439267442339,,,,7381.075998492007,-19.5724,380000,0.0,17291.79782664306,18,17291.79782664306,,,0.0,0.0,45679.70463499113,304027.0578835953,45679.70463499113,-54.1161457307476
5.485648,3767.6973232365876,-55.35383630650208,-35.342377,19,,,,0.09,,19.561714,,,,,0.005717665,,,,100,0.09,243692.40154501196,,,100,0.31588061353395447,,,,3767.6973232365876,-15.780663,400000,0.0,9032.357596925618,19,9032.357596925618,,,0.0,0.0,31797.6092257568,243692.40154501196,31797.6092257568,-55.35383630650208
5.4675593,7662.261945903417,-55.933501677435444,-13.092287,20,-43.82521982849243,101793.94271347762,0.0,0.31,0.3,30.0304,22074.983176590045,22074.983176590038,2,-43.82521982849243,0.007691551,101793.94271347762,35532.07717807199,22074.983176590038,100,0.31,272428.85261252476,2,22074.983176590045,100,0.2823268946745878,10,0.0,0.3,7662.261945903417,16.938112,420000,0.0,17660.893540095196,20,17660.893540095196,35532.07717807199,10,0.0,0.0,43886.89721991467,272428.85261252476,43886.89721991467,-55.933501677435444
5.4454775,9326.133378087141,-50.84137627630286,33.839188,21,,,,0.3,,34.685547,,,,,0.004188584,,,,100,0.3,333630.48087256413,,,100,0.3211039081709287,,,,9326.133378087141,68.524734,440000,0.0,20208.657518745807,21,20208.657518745807,,,0.0,0.0,48207.52915852218,333630.48087256413,48207.52915852218,-50.84137627630286
5.43187,10106.65516040457,-53.914942757328376,-76.02945,22,,,,0.27,,26.878773,,,,,0.005556659,,,,100,0.27,185516.4784009769,,,100,0.3178596058333576,,,,10106.65516040457,-49.150677,460000,0.0,20754.79502194442,22,20754.79502194442,,,0.0,0.0,40388.271890016935,185516.4784009769,40388.271890016935,-53.914942757328376
5.411202,12517.3045311025,-45.4131673995489,-24.720932,23,,,,0.29,,43.036907,,,,,0.0049255416,,,,100,0.29,291949.48601502395,,,100,0.37897630518464964,,,,12517.3045311025,18.315975,480000,0.0,27545.82821099197,23,27545.82821099197,,,0.0,0.0,52069.30670536425,291949.48601502395,52069.30670536425,-45.4131673995489
5.3737173,11577.68751208304,-52.46898089217551,17.1648,24,,,,0.25,,32.8462,,,,,0.0075191725,,,,100,0.25,203431.91579165426,,,100,0.34434564663347955,,,,11577.68751208304,50.011,500000,0.0,25252.050534906248,24,25252.050534906248,,,0.0,0.0,45528.19314094495,203431.91579165426,45528.19314094495,-52.46898089217551
5.3466134,5193.735930074187,-61.23212433369933,-13.763256,25,,,,0.13,,22.09232,,,,,0.009041392,,,,100,0.13,177183.67080368113,,,100,0.3460969007861544,,,,5193.735930074187,8.329062,520000,0.0,11357.749086320076,25,11357.749086320076,,,0.0,0.0,32680.728881906045,177183.67080368113,32680.728881906045,-61.23212433369933
5.322657,13895.808411706566,-48.998831095403496,10.340588,26,,,,0.44,,40.831314,,,,,0.0058881524,,,,100,0.44,227493.92050295218,,,100,0.31957585848433867,,,,13895.808411706566,51.1719,540000,0.0,30414.513140269424,26,30414.513140269424,,,0.0,0.0,53373.499055210625,227493.92050295218,53373.499055210625,-48.998831095403496
