MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/Average/Iteration,MetaTest/door-lock-v1/StdReturn,MetaTest/door-lock-v1/Iteration,MetaTrain/Average/QfLoss,MetaTest/door-lock-v1/TerminationRate,MetaTest/door-lock-v1/AverageDiscountedReturn,TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTest/door-lock-v1/MaxReturn,MetaTest/door-lock-v1/MinReturn,MetaTest/Average/StdReturn,MetaTest/door-lock-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/door-lock-v1/NumEpisodes,MetaTrain/Average/AlphaLoss,MetaTrain/Average/PolicyLoss,MetaTest/door-lock-v1/AverageReturn
0.0,0.0,10,0,7.809672360306677,0,263901.94,0.0,-90.37814075370065,112000,175.09785,-78.35867018618677,-104.15322842391735,7.809672360306677,0.0,-90.37814075370065,0.97617066,-78.35867018618677,-90.37814075370065,-104.15322842391735,10,0.11540692,-123.868065,-90.37814075370065
0.0,0.0,10,1,18.813056585969225,1,380974.12,0.0,-78.02872562326726,124000,185.45874,-51.86237616845341,-111.18861251520754,18.813056585969225,0.0,-78.02872562326726,1.1039941,-51.86237616845341,-78.02872562326726,-111.18861251520754,10,-0.7374094,-601.54724,-78.02872562326726
0.0,0.0,10,2,13.011421337249109,2,199941.12,0.0,-68.49044385412141,136000,56.480686,-47.498100030073694,-86.4513130261979,13.011421337249109,0.0,-68.49044385412142,0.9830955,-47.498100030073694,-68.49044385412141,-86.4513130261979,10,1.1226348,-448.91232,-68.49044385412142
0.0,0.0,10,3,12.08617535303283,3,177352.42,0.0,-53.08781218968661,148000,198.90553,-40.308303014523965,-82.83193180647048,12.08617535303283,0.0,-53.0878121896866,0.959815,-40.308303014523965,-53.08781218968661,-82.83193180647048,10,-0.41365108,-666.75037,-53.0878121896866
0.0,0.0,10,4,27.762551359769738,4,178449.75,0.0,-84.96359882522871,160000,360.16614,-48.85385387366434,-120.97449214595974,27.762551359769738,0.0,-84.96359882522873,1.0417974,-48.85385387366434,-84.96359882522871,-120.97449214595974,10,-1.3051548,-927.97424,-84.96359882522873
0.0,0.1,10,5,19.07560405026441,5,183355.94,0.0,-42.66631828604663,172000,401.336,-23.69922925041375,-85.78319876914547,19.07560405026441,0.1,-42.66631828604663,1.1445655,-23.69922925041375,-42.66631828604663,-85.78319876914547,10,-0.23178601,-1132.4817,-42.66631828604663
0.0,0.1,10,6,29.787164268141066,6,226888.75,0.0,-65.45908162356994,184000,729.948,-34.79766292916103,-125.07923307528785,29.787164268141066,0.1,-65.45908162356993,1.180617,-34.79766292916103,-65.45908162356994,-125.07923307528785,10,-0.36140767,-1422.6847,-65.45908162356993
0.0,0.1,10,7,9.304452360254901,7,246240.06,0.0,-39.25879172262684,196000,809.173,-28.242266412970817,-55.81771755981626,9.304452360254901,0.1,-39.25879172262684,1.3348044,-28.242266412970817,-39.25879172262684,-55.81771755981626,10,-1.6161993,-1708.6274,-39.25879172262684
0.0,0.0,10,8,19.411157690465913,8,527649.2,0.0,-100.07796431022201,208000,1721.4777,-68.6795903551304,-126.93565735729467,19.411157690465913,0.0,-100.07796431022197,1.7601933,-68.6795903551304,-100.07796431022201,-126.93565735729467,10,-5.357339,-4269.1846,-100.07796431022197
0.0,0.0,10,9,3.8891300984236064,9,659753.06,0.0,-50.90048269023517,220000,2437.872,-45.40091838953255,-58.32068870039445,3.8891300984236064,0.0,-50.90048269023517,2.2008915,-45.40091838953255,-50.90048269023517,-58.32068870039445,10,-6.4977894,-6562.8765,-50.90048269023517
