MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/window-open-v1/Iteration,MetaTest/window-open-v1/SuccessRate,MetaTest/window-open-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/window-open-v1/AverageReturn,MetaTest/window-open-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/window-open-v1/NumTrajs,MetaTrain/Average/AlphaLoss,MetaTest/window-open-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/window-open-v1/StdReturn,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/window-open-v1/TerminationRate,MetaTrain/Average/Alpha,MetaTrain/Average/ContrastiveLoss
-68.40561278040067,-63.3452012205189,0,0.0,-63.3452012205189,0,-68.40561278040067,-68.40561278040067,3940.7842,-74.84054496630698,3.440068950989018,-30.784382,10,6.0928955,-74.84054496630698,0.0,3.440068950989018,224000,0.0,10,-68.40561278040067,0.0,nan,7.8252234
8655.612226190673,87248.78984976596,1,0.1,87248.78984976596,1,8655.612226190673,8655.612226190668,156168.67,-98.18005005187133,26197.733742414,-1396.898,10,-3.2972195,-98.18005005187133,0.0,26197.733742414,248000,0.1,10,8655.612226190668,0.0,nan,25.408821
-56.03781026723573,-17.52280482919232,2,0.0,-17.52280482919232,2,-56.03781026723573,-56.03781026723567,1253379.4,-125.56528268632786,28.29774336350131,-8802.579,10,-18.25318,-125.56528268632786,0.0,28.29774336350131,272000,0.0,10,-56.03781026723567,0.0,nan,129.78812
-65.6807440294174,-34.38467451256099,3,0.0,-34.38467451256099,3,-65.6807440294174,-65.68074402941741,838190.5,-97.22639291191953,19.90396101557262,-2593.2202,10,-23.51913,-97.22639291191953,0.0,19.90396101557262,296000,0.0,10,-65.68074402941741,0.0,nan,990.4581
-70.49855400360806,-17.95459377949758,4,0.1,-17.95459377949758,4,-70.49855400360806,-70.49855400360806,1468507.1,-102.46572916866674,23.991494525015327,-12230.192,10,-11.36402,-102.46572916866674,0.0,23.991494525015327,320000,0.1,10,-70.49855400360806,0.0,nan,561.1196
-68.93216236020405,-39.176792037811886,5,0.0,-39.176792037811886,5,-68.93216236020405,-68.93216236020403,4723791.0,-94.84109799938025,17.885231724035876,-18111.607,10,-18.070957,-94.84109799938025,0.0,17.885231724035876,344000,0.0,10,-68.93216236020403,0.0,nan,8989.638
9494.078669373943,95774.29476561263,6,0.1,95774.29476561263,6,9494.078669373943,9494.078669373954,13403585.0,-113.1500749384077,28760.075724407383,-40748.367,10,-18.767439,-113.1500749384077,0.0,28760.075724407383,368000,0.1,10,9494.078669373954,0.0,nan,11393.333
11520.614894051341,103975.29754754786,7,0.1,103975.29754754786,7,11520.614894051341,11520.614894051341,15344226.0,-107.12415174690169,31020.715013765835,-43371.215,10,-21.268742,-107.12415174690169,0.0,31020.715013765835,392000,0.1,10,11520.614894051341,0.0,nan,2041.9523
-65.67781755116579,-48.27472438500856,8,0.0,-48.27472438500856,8,-65.67781755116579,-65.67781755116576,25197978.0,-109.61301105856877,17.444001935777784,-60235.617,10,-22.081648,-109.61301105856877,0.0,17.444001935777784,416000,0.0,10,-65.67781755116576,0.0,nan,6061.789
502.0899350074157,5755.797159445242,9,0.0,5755.797159445242,9,502.0899350074157,502.0899350074154,41281120.0,-119.59268172564953,1751.3802055041233,-82227.28,10,-21.885298,-119.59268172564953,0.0,1751.3802055041233,440000,0.0,10,502.0899350074154,0.0,nan,4244.884
