MetaTest/Average/MaxReturn,MetaTest/window-open-v1/NumTrajs,MetaTest/window-open-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTest/window-open-v1/MinReturn,MetaTest/window-open-v1/Iteration,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/window-open-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/window-open-v1/AverageReturn,MetaTest/window-open-v1/StdReturn,MetaTest/window-open-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/Iteration,MetaTest/window-open-v1/SuccessRate
-35.35813991602615,10,-35.35813991602615,10,-100.2172140799913,0,-70.38174764678199,224000,0.0,-70.38174764678197,-100.2172140799913,21.39862618954964,0.0,-70.38174764678199,21.39862618954964,-70.38174764678197,0.0,0,0.0
-54.91598786258523,10,-54.91598786258523,10,-60.24025137613264,1,-56.83101596430653,248000,0.0,-56.83101596430656,-60.24025137613264,1.9714026686811286,0.0,-56.83101596430653,1.9714026686811286,-56.83101596430656,0.0,1,0.0
2486.4513772799937,10,2486.4513772799937,10,-96.2093289638564,2,616.9413709427293,272000,0.0,616.9413709427292,-96.2093289638564,1049.0804447245382,0.0,616.9413709427293,1049.0804447245382,616.9413709427292,0.0,2,0.0
-19.291566150082154,10,-19.291566150082154,10,-47.591334012102976,3,-31.57626964274977,296000,0.0,-31.57626964274977,-47.591334012102976,6.773902283890905,0.0,-31.57626964274977,6.773902283890905,-31.57626964274977,0.0,3,0.0
25.852104475385435,10,25.852104475385435,10,-67.94967875275809,4,-40.43259987224414,320000,0.0,-40.43259987224415,-67.94967875275809,27.293613829180458,0.3,-40.43259987224414,27.293613829180458,-40.43259987224415,0.0,4,0.3
168573.39149827464,10,168573.39149827464,10,-66.60233057364336,5,17147.50981726648,344000,0.0,17147.509817266473,-66.60233057364336,50484.87630115124,0.2,17147.50981726648,50484.87630115124,17147.509817266473,0.0,5,0.2
-117.7504473860931,10,-117.7504473860931,10,-137.6948103804823,6,-126.16905298509978,368000,0.0,-126.16905298509967,-137.6948103804823,5.954990747972768,0.0,-126.16905298509978,5.954990747972768,-126.16905298509967,0.0,6,0.0
166795.84319848436,10,166795.84319848436,10,-136.18199015670342,7,16591.856249903594,392000,0.0,16591.856249903598,-136.18199015670342,50068.000818862965,0.1,16591.856249903594,50068.000818862965,16591.856249903598,0.0,7,0.1
-25.843076407279636,10,-25.843076407279636,10,-122.63511218361081,8,-58.7264795347773,416000,0.0,-58.72647953477728,-122.63511218361081,29.61988077844007,0.1,-58.7264795347773,29.61988077844007,-58.72647953477728,0.0,8,0.1
110803.37756929988,10,110803.37756929988,10,-104.39591345654728,9,11006.247008568294,440000,0.0,11006.2470085683,-104.39591345654728,33265.714336119556,0.1,11006.247008568294,33265.714336119556,11006.2470085683,0.0,9,0.1
-11.26327718744182,10,-11.26327718744182,10,-111.02504590000538,10,-75.39656161415935,464000,0.0,-75.39656161415932,-111.02504590000538,25.4657190780777,0.0,-75.39656161415935,25.4657190780777,-75.39656161415932,0.0,10,0.0
-26.791371775632328,10,-26.791371775632328,10,-70.43662074085545,11,-56.37369367395182,488000,0.0,-56.373693673951834,-70.43662074085545,12.169004941180091,0.0,-56.37369367395182,12.169004941180091,-56.373693673951834,0.0,11,0.0
129425.95313187501,10,129425.95313187501,10,-104.33577149525469,12,12874.964164939682,512000,0.0,12874.964164939676,-104.33577149525469,38850.338774984346,0.2,12874.964164939682,38850.338774984346,12874.964164939676,0.0,12,0.2
-34.99334161857971,10,-34.99334161857971,10,-114.04025770624561,13,-77.3167525343464,536000,0.0,-77.31675253434648,-114.04025770624561,29.74564980408079,0.0,-77.3167525343464,29.74564980408079,-77.31675253434648,0.0,13,0.0
-79.27098286679755,10,-79.27098286679755,10,-104.1798356688646,14,-90.40294158679873,560000,0.0,-90.40294158679873,-104.1798356688646,9.943203554168212,0.0,-90.40294158679873,9.943203554168212,-90.40294158679873,0.0,14,0.0
63445.747510781846,10,63445.747510781846,10,-94.56811808921503,15,10082.32116299949,584000,0.0,10082.32116299949,-94.56811808921503,21075.742810621818,0.1,10082.32116299949,21075.742810621818,10082.32116299949,0.0,15,0.1
129343.04814193817,10,129343.04814193817,10,-91.64428635012499,16,23599.46167087804,608000,0.0,23599.461670878045,-91.64428635012499,47570.44774627525,0.2,23599.46167087804,47570.44774627525,23599.461670878045,0.0,16,0.2
174623.790589505,10,174623.790589505,10,-86.77185332180665,17,22133.028489501474,632000,0.0,22133.02848950147,-86.77185332180665,51725.7827697253,0.3,22133.028489501474,51725.7827697253,22133.02848950147,0.0,17,0.3
631.9846343533618,10,631.9846343533618,10,-80.98244273494932,18,62.711004066492706,656000,0.0,62.711004066492805,-80.98244273494932,219.4936668349273,0.1,62.711004066492706,219.4936668349273,62.711004066492805,0.0,18,0.1
159195.59540762025,10,159195.59540762025,10,-86.22210190468293,19,15952.876964337722,680000,0.0,15952.876964337722,-86.22210190468293,47747.95723416961,0.1,15952.876964337722,47747.95723416961,15952.876964337722,0.0,19,0.1
92348.9565037404,10,92348.9565037404,10,-39.61917319584824,20,24184.949880782384,704000,0.0,24184.94988078239,-39.61917319584824,35389.637898168454,0.4,24184.949880782384,35389.637898168454,24184.94988078239,0.0,20,0.4
99128.55412074928,10,99128.55412074928,10,-25.11770226167201,21,35294.34422079575,728000,0.0,35294.34422079575,-25.11770226167201,41608.48545119284,0.3,35294.34422079575,41608.48545119284,35294.34422079575,0.0,21,0.3
50139.9091264538,10,50139.9091264538,10,-44.88887484191722,22,8261.934321848237,752000,0.0,8261.934321848235,-44.88887484191722,14968.879781065894,0.2,8261.934321848237,14968.879781065894,8261.934321848235,0.0,22,0.2
62513.434104573564,10,62513.434104573564,10,-79.39707085192144,23,6318.00328645441,776000,0.0,6318.003286454408,-79.39707085192144,18735.26259031724,0.1,6318.00328645441,18735.26259031724,6318.003286454408,0.0,23,0.1
79614.29996948829,10,79614.29996948829,10,-76.73811737834528,24,13686.737934757079,800000,0.0,13686.737934757073,-76.73811737834528,25173.35063273612,0.3,13686.737934757079,25173.35063273612,13686.737934757073,0.0,24,0.3
-14.878771238934691,10,-14.878771238934691,10,-70.93556566299466,25,-46.63684932266608,824000,0.0,-46.63684932266606,-70.93556566299466,17.71029884954144,0.1,-46.63684932266608,17.71029884954144,-46.63684932266606,0.0,25,0.1
93326.01048402871,10,93326.01048402871,10,-83.59527342046387,26,9376.050368862921,848000,0.0,9376.050368862927,-83.59527342046387,27984.66133850498,0.1,9376.050368862921,27984.66133850498,9376.050368862927,0.0,26,0.1
95664.26255796138,10,95664.26255796138,10,-92.64776679902667,27,34613.8377322454,872000,0.0,34613.8377322454,-92.64776679902667,42735.16104279449,0.4,34613.8377322454,42735.16104279449,34613.8377322454,0.0,27,0.4
146150.65285037417,10,146150.65285037417,10,-64.55079828458032,28,56098.08082339639,896000,0.0,56098.080823396405,-64.55079828458032,64093.901878155426,0.4,56098.08082339639,64093.901878155426,56098.080823396405,0.0,28,0.4
134982.07990370973,10,134982.07990370973,10,-66.67109635962477,29,39868.050157980935,920000,0.0,39868.05015798096,-66.67109635962477,60980.45841226444,0.3,39868.050157980935,60980.45841226444,39868.05015798096,0.0,29,0.3
125049.27245031402,10,125049.27245031402,10,-69.06118315900426,30,31312.928366622586,944000,0.0,31312.928366622597,-69.06118315900426,49047.54710492056,0.3,31312.928366622586,49047.54710492056,31312.928366622597,0.0,30,0.3
140212.56906866084,10,140212.56906866084,10,-81.26015217031336,31,44295.719452750855,968000,0.0,44295.719452750855,-81.26015217031336,56324.22681107145,0.4,44295.719452750855,56324.22681107145,44295.719452750855,0.0,31,0.4
107652.67834159982,10,107652.67834159982,10,-81.85431290046624,32,10708.14827411866,992000,0.0,10708.14827411866,-81.85431290046624,32314.846436581473,0.1,10708.14827411866,32314.846436581473,10708.14827411866,0.0,32,0.1
101659.47000680395,10,101659.47000680395,10,-71.2369827010713,33,16260.38563710277,1016000,0.0,16260.385637102769,-71.2369827010713,33848.8584403128,0.1,16260.38563710277,33848.8584403128,16260.385637102769,0.0,33,0.1
165389.2955033088,10,165389.2955033088,10,-69.8301870279627,34,16636.55334778038,1040000,0.0,16636.553347780373,-69.8301870279627,49586.36093425219,0.2,16636.55334778038,49586.36093425219,16636.553347780373,0.0,34,0.2
121157.811352613,10,121157.811352613,10,-75.42102775579846,35,12278.737341774435,1064000,0.0,12278.737341774438,-75.42102775579846,36298.909313391596,0.2,12278.737341774435,36298.909313391596,12278.737341774438,0.0,35,0.2
167169.45219415447,10,167169.45219415447,10,-84.12623031262503,36,51901.54466351063,1088000,0.0,51901.544663510635,-84.12623031262503,66221.78265079038,0.5,51901.54466351063,66221.78265079038,51901.544663510635,0.0,36,0.5
113606.38998620362,10,113606.38998620362,10,-85.1272639669526,37,11301.056242086852,1112000,0.0,11301.056242086846,-85.1272639669526,34101.78221263425,0.2,11301.056242086852,34101.78221263425,11301.056242086846,0.0,37,0.2
48205.41521696635,10,48205.41521696635,10,-84.32717874513858,38,4760.136817038904,1136000,0.0,4760.136817038899,-84.32717874513858,14481.762773548568,0.1,4760.136817038904,14481.762773548568,4760.136817038899,0.0,38,0.1
170464.40174509565,10,170464.40174509565,10,-85.62385362504615,39,40496.30010672925,1160000,0.0,40496.30010672925,-85.62385362504615,64932.684675208824,0.3,40496.30010672925,64932.684675208824,40496.30010672925,0.0,39,0.3
151592.2763190431,10,151592.2763190431,10,-73.47158778597598,40,43305.738958430906,1184000,0.0,43305.738958430906,-73.47158778597598,66356.9631433711,0.4,43305.738958430906,66356.9631433711,43305.738958430906,0.0,40,0.4
135652.59825095392,10,135652.59825095392,10,-65.56674903147673,41,23458.372463003667,1208000,0.0,23458.372463003652,-65.56674903147673,47718.825782444546,0.2,23458.372463003667,47718.825782444546,23458.372463003652,0.0,41,0.2
129344.62208757046,10,129344.62208757046,10,-79.68618290626782,42,52638.058134257226,1232000,0.0,52638.058134257226,-79.68618290626782,55352.86720774822,0.5,52638.058134257226,55352.86720774822,52638.058134257226,0.0,42,0.5
168760.0017391663,10,168760.0017391663,10,-77.26152670224138,43,31596.461542420606,1256000,0.0,31596.46154242059,-77.26152670224138,58161.83190985895,0.3,31596.461542420606,58161.83190985895,31596.46154242059,0.0,43,0.3
166580.33638885128,10,166580.33638885128,10,-61.186730909124684,44,37252.801643603576,1280000,0.0,37252.801643603554,-61.186730909124684,54578.960174715474,0.3,37252.801643603576,54578.960174715474,37252.801643603554,0.0,44,0.3
162466.5185159289,10,162466.5185159289,10,-83.5979005255285,45,38742.90248143069,1304000,0.0,38742.9024814307,-83.5979005255285,53982.52267585032,0.4,38742.90248143069,53982.52267585032,38742.9024814307,0.0,45,0.4
131527.94268258754,10,131527.94268258754,10,-81.46373124824945,46,48129.9138010303,1328000,0.0,48129.9138010303,-81.46373124824945,54267.17958799788,0.6,48129.9138010303,54267.17958799788,48129.9138010303,0.0,46,0.6
-18.492557321009663,10,-18.492557321009663,10,-107.03796578570143,47,-50.89931577402487,1352000,0.0,-50.89931577402486,-107.03796578570143,29.298223193596463,0.1,-50.89931577402487,29.298223193596463,-50.89931577402486,0.0,47,0.1
179990.5970632929,10,179990.5970632929,10,-105.80871890307367,48,17945.507324086095,1376000,0.0,17945.50732408608,-105.80871890307367,54015.06519582976,0.1,17945.507324086095,54015.06519582976,17945.50732408608,0.0,48,0.1
125055.32321581594,10,125055.32321581594,10,-86.32464942970103,49,40354.80155927278,1400000,0.0,40354.80155927279,-86.32464942970103,49483.43356990803,0.5,40354.80155927278,49483.43356990803,40354.80155927279,0.0,49,0.5
113339.77887886911,10,113339.77887886911,10,-69.96514998029541,50,20898.841570098597,1424000,0.0,20898.8415700986,-69.96514998029541,42060.194711034615,0.2,20898.841570098597,42060.194711034615,20898.8415700986,0.0,50,0.2
155596.6441300644,10,155596.6441300644,10,-62.3237753410258,51,28997.29774807934,1448000,0.0,28997.297748079356,-62.3237753410258,57685.05046290674,0.2,28997.29774807934,57685.05046290674,28997.297748079356,0.0,51,0.2
123773.48126429865,10,123773.48126429865,10,-121.75198605081626,52,16357.767333643269,1472000,0.0,16357.767333643269,-121.75198605081626,37666.76390741617,0.3,16357.767333643269,37666.76390741617,16357.767333643269,0.0,52,0.3
136883.10354630725,10,136883.10354630725,10,-58.08877352342992,53,32942.57580301804,1496000,0.0,32942.57580301803,-58.08877352342992,48167.036161737,0.3,32942.57580301804,48167.036161737,32942.57580301803,0.0,53,0.3
