MetaTest/Average/StdReturn,MetaTest/button-press-topdown-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha,MetaTest/button-press-topdown-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/button-press-topdown-v1/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-v1/StdReturn,MetaTest/button-press-topdown-v1/Iteration,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTest/button-press-topdown-v1/SuccessRate,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/button-press-topdown-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/NumTrajs,MetaTrain/Average/QfLoss,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-v1/MinReturn
19.606689554233803,0.0,0.0,nan,-62.44881914857181,-21.771041194215947,-87.09642835940673,10,-102.02424,-62.44881914857181,19.606689554233803,0,224000,0.0,0.0,0,3.1049657,-62.44881914857181,-62.44881914857181,204.41577,10,126039.734,-21.771041194215947,-87.09642835940673
6.5064156304860905,0.0,0.0,nan,-64.15072957972598,-51.08445678601091,-75.25266760039315,10,-816.2965,-64.15072957972598,6.5064156304860905,1,248000,0.0,0.0,1,1.5272875,-64.15072957972598,-64.15072957972598,53.369236,10,151401.45,-51.08445678601091,-75.25266760039315
43.39167079337339,0.0,0.0,nan,-87.66149748711446,-28.77404318080763,-140.24103191725322,10,-2191.2769,-87.66149748711447,43.39167079337339,2,272000,0.0,0.0,2,-0.7407086,-87.66149748711447,-87.66149748711446,380.14322,10,412121.53,-28.77404318080763,-140.24103191725322
30.071732873826733,0.0,0.0,nan,-97.55685955862272,-40.10150988213514,-127.89377309173881,10,-1417.2535,-97.5568595586227,30.071732873826733,3,296000,0.0,0.0,3,0.5095812,-97.5568595586227,-97.55685955862272,2586.3545,10,810147.1,-40.10150988213514,-127.89377309173881
22.846937170760203,0.0,0.0,nan,-58.61609876210527,-23.08374786672943,-97.56443655035875,10,-4598.489,-58.61609876210527,22.846937170760203,4,320000,0.0,0.0,4,-2.65152,-58.61609876210527,-58.61609876210527,6551.692,10,2441167.8,-23.08374786672943,-97.56443655035875
78769.91060135743,0.0,0.0,nan,39285.022836664946,203764.24280937214,-92.35710795718964,10,-20897.492,39285.02283666496,78769.91060135743,5,344000,0.1,0.1,5,-9.206531,39285.02283666496,39285.022836664946,15721.46,10,6639599.0,203764.24280937214,-92.35710795718964
94897.28093178546,0.0,0.0,nan,48340.74415975753,245305.41805117336,-100.18536079730663,10,-53705.645,48340.74415975757,94897.28093178546,6,368000,0.0,0.0,6,-14.737777,48340.74415975757,48340.74415975753,17078.527,10,12391270.0,245305.41805117336,-100.18536079730663
124390.93130493627,0.0,0.0,nan,76463.69829713684,317649.87599374604,-89.49238362750842,10,-124768.69,76463.6982971368,124390.93130493627,7,392000,0.3,0.3,7,-19.350418,76463.6982971368,76463.69829713684,17477.512,10,19012346.0,317649.87599374604,-89.49238362750842
10.955500395897397,0.0,0.0,nan,-74.00178277657113,-59.62983355118584,-87.68565223822887,10,-198054.11,-74.00178277657113,10.955500395897397,8,416000,0.0,0.0,8,-20.923813,-74.00178277657113,-74.00178277657113,29252.613,10,29791162.0,-59.62983355118584,-87.68565223822887
151289.37885881,0.0,0.0,nan,148793.39871734675,334097.64932817937,-59.325044866193124,10,-273088.0,148793.39871734672,151289.37885881,9,440000,0.4,0.4,9,-19.640398,148793.39871734672,148793.39871734675,25572.979,10,35958624.0,334097.64932817937,-59.325044866193124
