MetaTest/door-close-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTest/door-close-v1/Iteration,MetaTest/door-close-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/door-close-v1/StdReturn,MetaTest/door-close-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/door-close-v1/SuccessRate,MetaTest/door-close-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/door-close-v1/NumTrajs,MetaTest/door-close-v1/AverageDiscountedReturn
-52.42415569993841,13.414625598753538,0,-94.4707986750681,-71.31748458970068,13.414625598753538,-71.31748458970065,0.9,-94.4707986750681,0,0.9,0.0,-71.31748458970065,10,-52.42415569993841,224000,0.0,10,-71.31748458970068
-41.0383333017817,6.386716409161342,1,-60.55543336023265,-53.354848755353785,6.386716409161342,-53.35484875535376,0.8,-60.55543336023265,1,0.8,0.0,-53.35484875535376,10,-41.0383333017817,248000,0.0,10,-53.354848755353785
2127.390839843592,672.498825238191,2,-62.51703361473603,246.75645478818296,672.498825238191,246.75645478818288,0.6,-62.51703361473603,2,0.6,0.0,246.75645478818288,10,2127.390839843592,272000,0.0,10,246.75645478818296
-39.55300857971492,6.7018438055366865,3,-62.63659231058896,-45.4398554242636,6.7018438055366865,-45.4398554242636,0.1,-62.63659231058896,3,0.1,0.0,-45.4398554242636,10,-39.55300857971492,296000,0.0,10,-45.4398554242636
594.3956136261162,189.5923807361324,4,-52.73676387460983,25.965333204055263,189.5923807361324,25.96533320405531,0.4,-52.73676387460983,4,0.4,0.0,25.96533320405531,10,594.3956136261162,320000,0.0,10,25.965333204055263
-129.31837969443072,4.949730083810741,5,-145.69870052226582,-138.428121437877,4.949730083810741,-138.428121437877,0.0,-145.69870052226582,5,0.0,0.0,-138.428121437877,10,-129.31837969443072,344000,0.0,10,-138.428121437877
-56.69661772534076,12.8496538165381,6,-91.67771103399869,-71.34537000816479,12.8496538165381,-71.34537000816482,0.0,-91.67771103399869,6,0.0,0.0,-71.34537000816482,10,-56.69661772534076,368000,0.0,10,-71.34537000816479
-66.93777045820117,6.544681907930428,7,-90.2282566978143,-83.65595962401234,6.544681907930428,-83.6559596240123,0.0,-90.2282566978143,7,0.0,0.0,-83.6559596240123,10,-66.93777045820117,392000,0.0,10,-83.65595962401234
-60.03522904066743,7.8873102637747134,8,-90.28318787226378,-82.15549313098867,7.8873102637747134,-82.15549313098856,0.0,-90.28318787226378,8,0.0,0.0,-82.15549313098856,10,-60.03522904066743,416000,0.0,10,-82.15549313098867
-46.778224202311584,6.884694108627248,9,-69.87414920302015,-60.840324145248,6.884694108627248,-60.840324145248,0.2,-69.87414920302015,9,0.2,0.0,-60.840324145248,10,-46.778224202311584,440000,0.0,10,-60.840324145248
