MetaTrain/Average/QfLoss,MetaTest/push-back-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTest/push-back-v1/MaxReturn,MetaTest/push-back-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/push-back-v1/AverageReturn,MetaTest/push-back-v1/Iteration,MetaTest/push-back-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/push-back-v1/TerminationRate,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/push-back-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/push-back-v1/NumEpisodes,MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha
1.490985,-85.83281485250171,-69.22020937905172,8.435696,3.3248584,-51.77402558048197,0.0,-85.83281485250171,-69.2202093790517,0,11.578047258535866,0.0,0.0,5.8515577,0.0,112000,11.578047258535866,-69.22020937905172,-51.77402558048197,0,10,10,-69.2202093790517,0.8696141
4.392001,-59.71184666831166,-45.02887185115839,7.9987507,19.279482,-31.339716129880856,0.0,-59.71184666831166,-45.028871851158385,1,8.762427621079462,0.0,0.0,4.4389644,0.0,124000,8.762427621079462,-45.02887185115839,-31.339716129880856,1,10,10,-45.028871851158385,0.66282547
4.682796,-52.63482092212574,-42.744288603136496,7.6342564,38.186962,-31.448087607436314,0.0,-52.63482092212574,-42.7442886031365,2,7.264607595469591,0.0,0.0,3.3674,0.0,136000,7.264607595469591,-42.744288603136496,-31.448087607436314,2,10,10,-42.7442886031365,0.5113226
6.3809795,-42.73840881480746,-36.35567928663756,8.153818,55.93259,-30.231303711666815,0.0,-42.73840881480746,-36.35567928663756,3,4.214806534158119,0.0,0.0,2.5157032,0.0,148000,4.214806534158119,-36.35567928663756,-30.231303711666815,3,10,10,-36.35567928663756,0.39645427
8.364651,-32.435708931706785,-29.104912699284817,7.627027,71.958534,-24.13452318081288,0.0,-32.435708931706785,-29.104912699284817,4,2.387829498291766,0.0,0.0,1.8455669,0.0,160000,2.387829498291766,-29.104912699284817,-24.13452318081288,4,10,10,-29.104912699284817,0.30879024
10.2219515,-33.70518117498422,-30.483852883619488,7.721675,85.21788,-24.821020217911116,0.0,-33.70518117498422,-30.483852883619484,5,3.1450159849183024,0.0,0.0,1.3365518,0.0,172000,3.1450159849183024,-30.483852883619488,-24.821020217911116,5,10,10,-30.483852883619484,0.24120176
12.003187,-34.30291663052712,-29.47969094620016,7.7295127,96.70724,-25.897176211268963,0.0,-34.30291663052712,-29.47969094620016,6,2.0820733511194938,0.0,0.0,0.95404583,0.0,184000,2.0820733511194938,-29.47969094620016,-25.897176211268963,6,10,10,-29.47969094620016,0.1889191
13.239115,-32.227329209953744,-27.46626199110936,7.662645,105.50739,-23.133284007832994,0.0,-32.227329209953744,-27.466261991109356,7,2.8237342810414297,0.0,0.0,0.66736,0.0,196000,2.8237342810414297,-27.46626199110936,-23.133284007832994,7,10,10,-27.466261991109356,0.14841464
14.265656,-30.306687712229404,-27.64632005908802,7.684702,112.456085,-23.448267603994562,0.0,-30.306687712229404,-27.64632005908802,8,1.8124743581655418,0.0,0.0,0.45551753,0.0,208000,1.8124743581655418,-27.64632005908802,-23.448267603994562,8,10,10,-27.64632005908802,0.11703949
15.1048765,-33.51455980608401,-30.0206617027294,7.69303,118.41875,-23.792042147174666,0.0,-33.51455980608401,-30.020661702729406,9,2.446042739396077,0.0,0.0,0.30313343,0.0,220000,2.446042739396077,-30.0206617027294,-23.792042147174666,9,10,10,-30.020661702729406,0.09275247
