MetaTrain/Average/PolicyLoss,MetaTest/handle-pull-v1/Iteration,MetaTest/Average/MaxReturn,MetaTest/handle-pull-v1/AverageReturn,MetaTest/handle-pull-v1/StdReturn,MetaTrain/Average/Alpha,MetaTest/handle-pull-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/handle-pull-v1/SuccessRate,MetaTest/handle-pull-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-pull-v1/NumEpisodes,MetaTest/Average/NumEpisodes,MetaTest/handle-pull-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/handle-pull-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/SuccessRate,TotalEnvSteps
-130220.58,31,67152.1448804863,46894.98920932259,7189.088070085582,58.73476,67152.1448804863,0.0,7189.088070085582,-0.06250815,31,0.0,0.0,46894.98920932259,10,10,38656.25257074891,46894.98920932259,8948195.0,46894.98920932259,38656.25257074891,2554.9902,0.0,968000
-136278.28,32,76903.4019087604,46785.33829626271,14768.779475442214,58.864056,76903.4019087604,0.0,14768.779475442214,-0.87902623,32,0.0,0.0,46785.3382962627,10,10,12859.925968726395,46785.33829626271,9352063.0,46785.3382962627,12859.925968726395,2043.3923,0.0,992000
-133788.52,33,47301.21184803797,21006.812003800987,21689.656454799137,57.18634,47301.21184803797,0.0,21689.656454799137,2.3424695,33,0.0,0.0,21006.81200380099,10,10,-18.42016858475978,21006.812003800987,9509958.0,21006.81200380099,-18.42016858475978,3407.6182,0.0,1016000
-117480.77,34,58838.76126160628,42729.49355272338,12661.623278126046,54.907036,58838.76126160628,0.0,12661.623278126046,0.66900486,34,0.0,0.0,42729.4935527234,10,10,6809.2857462487755,42729.49355272338,9185878.0,42729.4935527234,6809.2857462487755,3716.4731,0.0,1040000
-138541.83,35,74648.27301865641,50077.93535991037,16736.502854871855,56.946976,74648.27301865641,0.0,16736.502854871855,-1.7778796,35,0.0,0.0,50077.93535991037,10,10,9483.397942862304,50077.93535991037,10139359.0,50077.93535991037,9483.397942862304,3353.6597,0.0,1064000
-143270.53,36,62266.85858771638,47339.13237287513,6993.222073332342,57.70761,62266.85858771638,0.0,6993.222073332342,1.262559,36,0.0,0.0,47339.132372875116,10,10,39457.50993377652,47339.13237287513,10305595.0,47339.132372875116,39457.50993377652,1832.555,0.0,1088000
-143839.64,37,93262.90092692686,47396.75031967282,16073.952836699047,58.341423,93262.90092692686,0.0,16073.952836699047,-3.0625648,37,0.1,0.0,47396.75031967282,10,10,30098.934991600738,47396.75031967282,12605820.0,47396.75031967282,30098.934991600738,5489.497,0.1,1112000
-137342.94,38,76381.49617703872,44843.2846805192,17124.836405818056,58.686054,76381.49617703872,0.0,17124.836405818056,2.710076,38,0.0,0.0,44843.28468051921,10,10,8515.731405027056,44843.2846805192,10462581.0,44843.28468051921,8515.731405027056,3176.4036,0.0,1136000
-133079.17,39,51823.05254146419,28957.087105045957,21811.24272228619,54.49911,51823.05254146419,0.0,21811.24272228619,2.7086883,39,0.0,0.0,28957.08710504596,10,10,-19.868832634016833,28957.087105045957,10543292.0,28957.08710504596,-19.868832634016833,2883.659,0.0,1160000
-147196.61,40,56326.30656414382,31601.587088232693,19477.41861237887,53.43126,56326.30656414382,0.0,19477.41861237887,-0.65474874,40,0.0,0.0,31601.587088232685,10,10,-23.54092960248414,31601.587088232693,10710772.0,31601.587088232685,-23.54092960248414,2246.5078,0.0,1184000
-149284.16,41,59243.74313194013,51278.49389348387,5674.59452607403,51.615746,59243.74313194013,0.0,5674.59452607403,0.911801,41,0.0,0.0,51278.49389348388,10,10,43565.75197012488,51278.49389348387,10840726.0,51278.49389348388,43565.75197012488,2320.899,0.0,1208000
-149269.55,42,73926.82856932402,47637.200258487945,15130.429290582415,51.009537,73926.82856932402,0.0,15130.429290582415,0.366973,42,0.0,0.0,47637.200258487945,10,10,16969.023547805507,47637.200258487945,10797160.0,47637.200258487945,16969.023547805507,2342.9133,0.0,1232000
-149851.7,43,84321.6897884209,56288.813288083125,11846.43097981397,51.364132,84321.6897884209,0.0,11846.43097981397,-1.1061713,43,0.0,0.0,56288.81328808311,10,10,45520.91056601806,56288.813288083125,10863297.0,56288.81328808311,45520.91056601806,2437.2415,0.0,1256000
-150593.47,44,93755.76451208198,52134.0696839227,18846.642861875836,52.03402,93755.76451208198,0.0,18846.642861875836,0.4730331,44,0.0,0.0,52134.0696839227,10,10,18019.332620023335,52134.0696839227,10868058.0,52134.0696839227,18019.332620023335,2412.819,0.0,1280000
-150743.83,45,82955.58424778581,59579.66476954402,10332.509181074889,52.361526,82955.58424778581,0.0,10332.509181074889,0.52448004,45,0.0,0.0,59579.66476954403,10,10,46200.95892755306,59579.66476954402,10930507.0,59579.66476954403,46200.95892755306,2156.6575,0.0,1304000
-154724.89,46,75464.69691226535,48835.429791742135,20470.00183993314,52.82504,75464.69691226535,0.0,20470.00183993314,-1.0117165,46,0.0,0.0,48835.429791742135,10,10,6322.728648112191,48835.429791742135,11570289.0,48835.429791742135,6322.728648112191,2297.7844,0.0,1328000
-157466.02,47,90590.79564714502,65384.59442374535,15713.411956160693,53.80865,90590.79564714502,0.0,15713.411956160693,-1.0282304,47,0.0,0.0,65384.59442374535,10,10,41376.32660819796,65384.59442374535,11962793.0,65384.59442374535,41376.32660819796,2218.995,0.0,1352000
-161748.58,48,81032.68158035708,45008.26603263714,19241.23053067461,54.578117,81032.68158035708,0.0,19241.23053067461,-0.40827662,48,0.0,0.0,45008.26603263714,10,10,10513.515704764452,45008.26603263714,12987455.0,45008.26603263714,10513.515704764452,2116.995,0.0,1376000
-163294.02,49,140627.71905411978,68392.88303489234,35969.07923590009,54.47103,140627.71905411978,0.0,35969.07923590009,-0.29746914,49,0.1,0.0,68392.88303489235,10,10,21187.346764936956,68392.88303489234,13470766.0,68392.88303489235,21187.346764936956,2234.2715,0.1,1400000
