MetaTrain/Average/PolicyLoss,MetaTest/handle-pull-v1/Iteration,MetaTest/Average/MaxReturn,MetaTest/handle-pull-v1/AverageReturn,MetaTest/handle-pull-v1/StdReturn,MetaTrain/Average/Alpha,MetaTest/handle-pull-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/handle-pull-v1/SuccessRate,MetaTest/handle-pull-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-pull-v1/NumEpisodes,MetaTest/Average/NumEpisodes,MetaTest/handle-pull-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/handle-pull-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/SuccessRate,TotalEnvSteps
-116.27595,0,1165.0336190700057,38.649370722653934,376.3646902292627,0.92874473,1165.0336190700057,0.0,376.3646902292627,0.6953174,0,0.0,0.0,38.64937072265399,10,10,-109.36566653057722,38.649370722653934,9911.345,38.64937072265399,-109.36566653057722,9.3525505,0.0,224000
-2602.0176,1,163.2595076866174,-65.46011509446119,78.08869643666478,1.5779619,163.2595076866174,0.0,78.08869643666478,-10.32395,1,0.0,0.0,-65.46011509446119,10,10,-113.22119886450703,-65.46011509446119,29198.203,-65.46011509446119,-113.22119886450703,87.50829,0.0,248000
-6049.238,2,1204.3683975479505,69.00419698197142,378.9848872592617,3.2280476,1204.3683975479505,0.0,378.9848872592617,-23.564844,2,0.0,0.0,69.00419698197145,10,10,-82.3342955121592,69.00419698197142,29009.184,69.00419698197145,-82.3342955121592,58.58039,0.0,272000
-6918.878,3,44756.99229674748,7666.318753693531,15750.881599464405,5.9306035,44756.99229674748,0.0,15750.881599464405,-25.10337,3,0.0,0.0,7666.3187536935275,10,10,-109.76443320167898,7666.318753693531,87248.805,7666.3187536935275,-109.76443320167898,240.336,0.0,296000
-5233.675,4,45971.81501032951,21292.178036539768,19103.480248179218,7.4258223,45971.81501032951,0.0,19103.480248179218,2.5193748,4,0.0,0.0,21292.17803653976,10,10,-83.26181009410463,21292.178036539768,106657.45,21292.17803653976,-83.26181009410463,144.19218,0.0,320000
-8438.248,5,46430.389305938166,29114.470915410522,15754.79576764046,8.903677,46430.389305938166,0.0,15754.79576764046,-14.459437,5,0.0,0.0,29114.470915410522,10,10,-54.59587720995157,29114.470915410522,229174.94,29114.470915410522,-54.59587720995157,118.736626,0.0,344000
-12359.197,6,46429.21268065618,18176.441364594546,22348.507685150933,11.903583,46429.21268065618,0.0,22348.507685150933,-0.12259058,6,0.0,0.0,18176.44136459454,10,10,-81.35397983732821,18176.441364594546,378124.6,18176.44136459454,-81.35397983732821,513.7521,0.0,368000
-18687.156,7,46438.52447747808,39103.33428513007,13173.627162519457,12.830828,46438.52447747808,0.0,13173.627162519457,-8.088391,7,0.0,0.0,39103.33428513008,10,10,1450.6582762595879,39103.33428513007,650037.1,39103.33428513008,1450.6582762595879,468.45834,0.0,392000
-30724.982,8,46417.70617594989,39814.005597429445,13408.705930838056,20.086317,46417.70617594989,0.0,13408.705930838056,-19.75021,8,0.0,0.0,39814.00559742944,10,10,-49.79525645106904,39814.005597429445,1200736.0,39814.00559742944,-49.79525645106904,212.09059,0.0,416000
-41955.754,9,46180.18437016132,39319.49417746605,13163.452887938294,31.738379,46180.18437016132,0.0,13163.452887938294,-13.1741905,9,0.0,0.0,39319.494177466055,10,10,-59.77698295766046,39319.49417746605,1905467.6,39319.494177466055,-59.77698295766046,679.1978,0.0,440000
-52174.523,10,46183.045137574714,43702.38701278354,1429.335691644227,40.238014,46183.045137574714,0.0,1429.335691644227,-4.222413,10,0.0,0.0,43702.38701278354,10,10,40893.63641769916,43702.38701278354,2518364.0,43702.38701278354,40893.63641769916,942.4463,0.0,464000
-55045.207,11,46419.11622574782,37959.29668090381,13484.019608716333,39.01954,46419.11622574782,0.0,13484.019608716333,2.7289057,11,0.0,0.0,37959.29668090382,10,10,-14.401805993711742,37959.29668090381,2717375.5,37959.29668090382,-14.401805993711742,1203.3418,0.0,488000
-57222.0,12,46421.55532979743,44400.73788914128,2434.711782100195,35.7424,46421.55532979743,0.0,2434.711782100195,3.8050663,12,0.0,0.0,44400.73788914127,10,10,39454.40457992823,44400.73788914128,2706080.8,44400.73788914127,39454.40457992823,1286.084,0.0,512000
-58693.9,13,46250.6517599398,41595.860908029164,5176.926328968864,30.370016,46250.6517599398,0.0,5176.926328968864,3.2135944,13,0.0,0.0,41595.86090802915,10,10,27512.897653935983,41595.860908029164,2784459.2,41595.86090802915,27512.897653935983,1483.1202,0.0,536000
-66232.195,14,46413.80039239903,42124.660207879475,2445.067090736831,31.348372,46413.80039239903,0.0,2445.067090736831,-1.7945487,14,0.0,0.0,42124.660207879475,10,10,38481.55970477698,42124.660207879475,3395283.0,42124.660207879475,38481.55970477698,1353.7124,0.0,560000
-72440.4,15,46184.23113443138,44346.31547061342,1477.8834928645945,32.52126,46184.23113443138,0.0,1477.8834928645945,-1.0801567,15,0.0,0.0,44346.31547061344,10,10,42135.294665130474,44346.31547061342,3886036.0,44346.31547061344,42135.294665130474,1044.4147,0.0,584000
-76003.15,16,48282.39761158709,44335.11648900029,1650.2536387570342,34.119255,48282.39761158709,0.0,1650.2536387570342,-0.22306138,16,0.0,0.0,44335.11648900028,10,10,42622.92652984352,44335.11648900029,4219609.0,44335.11648900028,42622.92652984352,916.541,0.0,608000
-80672.72,17,46175.01020581995,44390.73005952007,1115.749325079092,34.617954,46175.01020581995,0.0,1115.749325079092,-0.22725102,17,0.0,0.0,44390.73005952007,10,10,42621.866836622365,44390.73005952007,4509439.0,44390.73005952007,42621.866836622365,1013.42395,0.0,632000
-84644.94,18,46175.93183965565,40548.539994907864,9452.207766935237,36.07129,46175.93183965565,0.0,9452.207766935237,-1.0063783,18,0.0,0.0,40548.53999490786,10,10,16031.644708748601,40548.539994907864,4760273.0,40548.53999490786,16031.644708748601,1147.2493,0.0,656000
-89233.45,19,48817.054501816034,41454.77815616202,13136.673652192985,38.264626,48817.054501816034,0.0,13136.673652192985,-1.4740279,19,0.0,0.0,41454.77815616202,10,10,2181.9106087250507,41454.77815616202,5157410.0,41454.77815616202,2181.9106087250507,931.013,0.0,680000
-93921.08,20,57538.21586101415,44294.90208068331,7377.771425446103,40.709282,57538.21586101415,0.0,7377.771425446103,-1.124224,20,0.0,0.0,44294.9020806833,10,10,31446.409154661626,44294.90208068331,5678637.0,44294.9020806833,31446.409154661626,948.30023,0.0,704000
-91847.64,21,46164.932815581524,35048.64160576199,14120.35474367796,41.413967,46164.932815581524,0.0,14120.35474367796,0.7507544,21,0.0,0.0,35048.64160576199,10,10,7274.650315839777,35048.64160576199,5884294.0,35048.64160576199,7274.650315839777,1318.1895,0.0,728000
-87903.1,22,46186.426574820034,30796.39595783435,12416.567239643075,40.96378,46186.426574820034,0.0,12416.567239643075,-0.56496584,22,0.0,0.0,30796.395957834357,10,10,10222.652620696577,30796.39595783435,5875392.5,30796.395957834357,10222.652620696577,1251.0731,0.0,752000
-95932.31,23,46181.21678088204,33195.30169688886,17639.5061664739,45.163933,46181.21678088204,0.0,17639.5061664739,-4.4029326,23,0.0,0.0,33195.301696888855,10,10,-16.26441264656494,33195.30169688886,6286960.5,33195.301696888855,-16.26441264656494,1259.0569,0.0,776000
-103726.805,24,45941.719885772996,37578.07422139851,13613.363052053444,49.62935,45941.719885772996,0.0,13613.363052053444,-1.758762,24,0.0,0.0,37578.0742213985,10,10,719.9274451199889,37578.07422139851,6786836.5,37578.0742213985,719.9274451199889,1279.4064,0.0,800000
-108719.62,25,54185.95888760447,40900.410070010825,9166.198863413969,52.051796,54185.95888760447,0.0,9166.198863413969,-1.918984,25,0.0,0.0,40900.410070010825,10,10,20404.834845400783,40900.410070010825,7224623.5,40900.410070010825,20404.834845400783,1132.069,0.0,824000
-105458.42,26,46179.214571212775,39293.789287767686,11589.418841031302,52.34692,46179.214571212775,0.0,11589.418841031302,-0.554303,26,0.0,0.0,39293.78928776768,10,10,14084.681117050717,39293.789287767686,7192432.0,39293.78928776768,14084.681117050717,1382.8484,0.0,848000
-109102.98,27,46186.88350003882,42277.37076871745,5361.177785358203,54.765278,46186.88350003882,0.0,5361.177785358203,-0.10026483,27,0.0,0.0,42277.37076871745,10,10,31370.534930144895,42277.37076871745,7342598.5,42277.37076871745,31370.534930144895,1646.8435,0.0,872000
-106204.59,28,45950.44161246029,44578.143064904645,1434.0664978586565,55.950527,45950.44161246029,0.0,1434.0664978586565,-1.5266322,28,0.0,0.0,44578.143064904645,10,10,41068.2934364283,44578.143064904645,7436430.5,44578.143064904645,41068.2934364283,2136.5837,0.0,896000
-126246.414,29,66701.82629332322,49966.823778954116,6575.746652722744,58.677727,66701.82629332322,0.0,6575.746652722744,-1.2768116,29,0.0,0.0,49966.823778954116,10,10,44813.65910043008,49966.823778954116,8843506.0,49966.823778954116,44813.65910043008,2406.7725,0.0,920000
-114964.67,30,62242.433291924266,49188.64125455864,7638.373761216691,58.028873,62242.433291924266,0.0,7638.373761216691,1.0793781,30,0.0,0.0,49188.64125455863,10,10,37999.41871266459,49188.64125455864,8476350.0,49188.64125455863,37999.41871266459,4806.235,0.0,944000
